ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|P69905|HBA_HUMAN,37202745139808.1,98.51974157527378,35842460.29551868,stomach
sp|P68871|HBB_HUMAN,33825330657578.66,98.38243653276724,32588537.929685358,stomach
sp|Q01995|TAGL_HUMAN,2795042264666.3027,94.78527449928124,2692844.0634990013,stomach
sp|P63261|ACTG_HUMAN,2473941636889.5796,94.60921586651759,2383484.190761054,stomach
sp|P05814|CASB_HUMAN,1909475640437.185,94.23558091595508,1839657.3847018792,stomach
sp|P01037|CYTN_HUMAN,1862254289440.7185,94.19945448591133,1794162.6398428353,stomach
sp|P01834|IGKC_HUMAN,1534209602066.582,93.919899996378,1478112.6107878024,stomach
sp|P02810|PRPC_HUMAN,1048004853440.0641,93.37004979881652,1009685.500566535,stomach
sp|P04406|G3P_HUMAN,795838959959.5099,92.97295283302488,766739.825697786,stomach
sp|P01861|IGHG4_HUMAN,686929261648.6187,92.7606378471069,661812.3123426471,stomach
sp|P01266|THYG_HUMAN,620107444553.1703,92.61299451526158,597433.7747611494,stomach
sp|P0DOX5|IGG1_HUMAN,597480031967.9005,92.55936680416771,575633.7131224175,stomach
sp|P07148|FABPL_HUMAN,533328738777.3178,92.39550137644605,513828.0541462127,stomach
sp|P01009|A1AT_HUMAN,526218474739.63464,92.37613820598638,506977.7705044119,stomach
sp|Q96DR5|BPIA2_HUMAN,420939516580.0294,92.05408925779872,405548.2425594026,stomach
sp|P06703|S10A6_HUMAN,418763714806.076,92.0466127462476,403451.9970162102,stomach
sp|P0DOY3|IGLC3_HUMAN,415361703668.54,92.03484451163186,400174.377349602,stomach
sp|P30086|PEBP1_HUMAN,379960162486.315,91.90632447062103,366067.26161242684,stomach
sp|P68032|ACTC_HUMAN,367883871599.41785,91.85972673422845,354432.5294171515,stomach
sp|P02647|APOA1_HUMAN,334709153042.5128,91.72338430961243,322470.81454309134,stomach
sp|P01859|IGHG2_HUMAN,333944499565.6336,91.72008465737639,321734.1199313933,stomach
sp|P06702|S10A9_HUMAN,319595804546.91,91.65672477533458,307910.07201319817,stomach
sp|P01036|CYTS_HUMAN,306068870679.5333,91.59433262600423,294877.7382905245,stomach
sp|P00325|ADH1B_HUMAN,281140764546.862,91.47176896097187,270861.10589028016,stomach
sp|P05109|S10A8_HUMAN,268725530975.135,91.40660970063487,258899.8241439485,stomach
sp|P01876|IGHA1_HUMAN,267271734952.69888,91.39878358065762,257499.18486273068,stomach
sp|P09211|GSTP1_HUMAN,236165051015.79544,91.22027178843881,227529.88878676214,stomach
sp|Q96DA0|ZG16B_HUMAN,234399821309.12143,91.20944777568477,225829.20311326775,stomach
sp|P06733|ENOA_HUMAN,229320721821.23795,91.17784303099373,220935.81632024166,stomach
sp|P00738|HPT_HUMAN,220649631749.43152,91.12223364528644,212581.77684144443,stomach
sp|P05062|ALDOB_HUMAN,198044961740.61905,90.96630430531913,190803.62621736008,stomach
sp|P15121|ALDR_HUMAN,192744506746.145,90.9271660493917,185696.97758232872,stomach
sp|P31327|CPSM_HUMAN,185847731709.74893,90.8745973858083,179052.3769089058,stomach
sp|P68104|EF1A1_HUMAN,177503956892.29807,90.80832749106226,171013.68469720593,stomach
sp|P60174|TPIS_HUMAN,176935663774.09824,90.80370117776002,170466.17070465654,stomach
sp|P25311|ZA2G_HUMAN,166086746318.89474,90.71241325692685,160013.93413780688,stomach
sp|P08758|ANXA5_HUMAN,165723701546.40695,90.70925625505869,159664.16377020394,stomach
sp|P47710|CASA1_HUMAN,162469978773.12112,90.68064946710219,156529.41043746308,stomach
