"Mixture","TechRepMixture","Run","Channel","Protein","Abundance","BioReplicate","Condition"
"1","1_1","1_1_1","1","sp|O15379|HDAC3_HUMAN",12.3419421428301,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|O60861|GAS7_HUMAN",13.9237022358621,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00350|6PGD_ECOLI",14.4545964888303,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00363|FRDA_ECOLI",14.5410836561458,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00370|DHE4_ECOLI",14.416937359413,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00393|NDH_ECOLI",14.4659857150789,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00448|SODM_ECOLI",15.5895466894959,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00452|RIR1_ECOLI",14.9005938909359,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00490|PHSM_ECOLI",15.4031277475538,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00509|AAT_ECOLI",16.0315525870111,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00547|KHSE_ECOLI",14.4215849420295,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00550|PTM3C_ECOLI",16.8190640045006,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00561|AK1H_ECOLI",14.1878331259776,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00562|AK2H_ECOLI",14.7995603371701,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00579|RPOD_ECOLI",15.7284216399553,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00582|DPO1_ECOLI",14.4829552591776,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00634|PPB_ECOLI",14.1454128273973,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00722|BGAL_ECOLI",13.4589115191911,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00803|LEP_ECOLI",15.5202840663914,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00805|ASPG2_ECOLI",14.9750878245159,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00811|AMPC_ECOLI",14.3233677328902,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00861|DCDA_ECOLI",15.0056726820166,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00864|CAPP_ECOLI",14.9604023606924,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00887|AROH_ECOLI",14.4711846166213,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00888|AROF_ECOLI",12.4944531389004,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00893|ILVI_ECOLI",14.7841419376539,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00894|ILVH_ECOLI",13.2414657280059,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00895|TRPE_ECOLI",14.1606392656926,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00903|PABA_ECOLI",13.2134790986346,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00904|TRPGD_ECOLI",13.5277617346165,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00909|TRPC_ECOLI",15.1255298731954,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00914|PHR_ECOLI",14.3953783011787,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00926|SDHD_ECOLI",13.7926195613437,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00934|THRC_ECOLI",13.7389287055835,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00935|METB_ECOLI",14.3802339813737,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00936|CYAA_ECOLI",14.3381495977979,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00946|MANA_ECOLI",13.852193546106,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00954|SYW_ECOLI",14.5961347859795,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00956|SYI_ECOLI",15.2907686731813,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00957|SYA_ECOLI",15.4517137952596,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00959|SYM_ECOLI",15.0514943880232,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00960|SYGA_ECOLI",14.6414994025595,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00961|SYGB_ECOLI",15.6240253914419,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00962|SYQ_ECOLI",15.0060074427225,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00963|ASNA_ECOLI",16.2909502655342,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P00968|CARB_ECOLI",14.63523443379,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02358|RS6_ECOLI",12.552250654762,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02359|RS7_ECOLI",16.0660729459799,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02413|RL15_ECOLI",17.5499745910239,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02769|ALBU_BOVIN",12.9029020785589,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02916|MALF_ECOLI",13.7040663496198,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02918|PBPA_ECOLI",13.5058754530432,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02919|PBPB_ECOLI",14.5252204735636,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02924|ARAF_ECOLI",13.5171218832875,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02925|RBSB_ECOLI",14.9621021029716,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02929|TONB_ECOLI",13.2951066015993,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02930|TOLC_ECOLI",13.7020210942781,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02931|OMPF_ECOLI",14.6273002468756,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
"1","1_1","1_1_1","1","sp|P02942|MCP1_ECOLI",13.7422711159516,"1","treatment|0|2|4|20|4|2|2|4|2|2|4|40|5"
