"Mixture","TechRepMixture","Run","Channel","Protein","Abundance","BioReplicate","Condition"
"1","1_1","1_1_1","1","sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",17.4089574730216,"1","Control"
"1","1_1","1_1_1","1","sp|A0AVT1|UBA6_HUMAN",17.0226967845968,"1","Control"
"1","1_1","1_1_1","1","sp|A0MZ66|SHOT1_HUMAN",17.399299893221,"1","Control"
"1","1_1","1_1_1","1","sp|A1L0T0|HACL2_HUMAN",14.9759570830957,"1","Control"
"1","1_1","1_1_1","1","sp|A1L170|CA226_HUMAN",16.0211145700334,"1","Control"
"1","1_1","1_1_1","1","sp|A2RRP1|NBAS_HUMAN",13.7968376315252,"1","Control"
"1","1_1","1_1_1","1","sp|A2VDF0|FUCM_HUMAN",13.993519766328,"1","Control"
"1","1_1","1_1_1","1","sp|A3KMH1|VWA8_HUMAN",16.512625097778,"1","Control"
"1","1_1","1_1_1","1","sp|A4D1P6|WDR91_HUMAN",15.4902952556588,"1","Control"
"1","1_1","1_1_1","1","sp|A4FU01|MTMRB_HUMAN",19.7040772295223,"1","Control"
"1","1_1","1_1_1","1","sp|A5A3E0|POTEF_HUMAN",14.3862728022619,"1","Control"
"1","1_1","1_1_1","1","sp|A5PLN9|TPC13_HUMAN",17.4209341703853,"1","Control"
"1","1_1","1_1_1","1","sp|A5YKK6|CNOT1_HUMAN",16.9406349533952,"1","Control"
"1","1_1","1_1_1","1","sp|A6NCS6|CB072_HUMAN",17.4068567168241,"1","Control"
"1","1_1","1_1_1","1","sp|A6NDG6|PGP_HUMAN",15.9716205222368,"1","Control"
"1","1_1","1_1_1","1","sp|A6NED2|RCCD1_HUMAN",14.9513976830178,"1","Control"
"1","1_1","1_1_1","1","sp|A6NHL2|TBAL3_HUMAN",17.4516047890579,"1","Control"
"1","1_1","1_1_1","1","sp|A6NHR9|SMHD1_HUMAN",16.2411055861308,"1","Control"
"1","1_1","1_1_1","1","sp|A6NJ78|MET15_HUMAN",14.0793929045798,"1","Control"
"1","1_1","1_1_1","1","sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN",16.2311712650354,"1","Control"
"1","1_1","1_1_1","1","sp|B1AK53|ESPN_HUMAN",16.3672448239065,"1","Control"
"1","1_1","1_1_1","1","sp|B2RXH8|HNRC2_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN",19.2721161728407,"1","Control"
"1","1_1","1_1_1","1","sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN",16.6009452407173,"1","Control"
"1","1_1","1_1_1","1","sp|E9PRG8|CK098_HUMAN",18.0574593369292,"1","Control"
"1","1_1","1_1_1","1","sp|O00115|DNS2A_HUMAN",16.8401696049205,"1","Control"
"1","1_1","1_1_1","1","sp|O00148|DX39A_HUMAN",16.0048317714514,"1","Control"
"1","1_1","1_1_1","1","sp|O00151|PDLI1_HUMAN",16.0865101931705,"1","Control"
"1","1_1","1_1_1","1","sp|O00154|BACH_HUMAN",17.3528499306217,"1","Control"
"1","1_1","1_1_1","1","sp|O00159|MYO1C_HUMAN",16.4920698717998,"1","Control"
"1","1_1","1_1_1","1","sp|O00161|SNP23_HUMAN",14.8771119983661,"1","Control"
"1","1_1","1_1_1","1","sp|O00168|PLM_HUMAN",16.1083175855451,"1","Control"
"1","1_1","1_1_1","1","sp|O00170|AIP_HUMAN",16.6695902906673,"1","Control"
"1","1_1","1_1_1","1","sp|O00186|STXB3_HUMAN",15.224512328268,"1","Control"
"1","1_1","1_1_1","1","sp|O00192|ARVC_HUMAN",14.4769767332006,"1","Control"
"1","1_1","1_1_1","1","sp|O00193|SMAP_HUMAN",17.8675993948088,"1","Control"
"1","1_1","1_1_1","1","sp|O00203|AP3B1_HUMAN",15.4715827873817,"1","Control"
"1","1_1","1_1_1","1","sp|O00217|NDUS8_HUMAN",12.4001469193698,"1","Control"
"1","1_1","1_1_1","1","sp|O00221|IKBE_HUMAN",17.552831537921,"1","Control"
"1","1_1","1_1_1","1","sp|O00231|PSD11_HUMAN",17.4840318169397,"1","Control"
"1","1_1","1_1_1","1","sp|O00232|PSD12_HUMAN",16.6718000056576,"1","Control"
"1","1_1","1_1_1","1","sp|O00233|PSMD9_HUMAN",17.1610060390482,"1","Control"
"1","1_1","1_1_1","1","sp|O00264|PGRC1_HUMAN",15.6789784969347,"1","Control"
"1","1_1","1_1_1","1","sp|O00267|SPT5H_HUMAN",16.7872312898693,"1","Control"
"1","1_1","1_1_1","1","sp|O00273|DFFA_HUMAN",17.1825830472979,"1","Control"
"1","1_1","1_1_1","1","sp|O00299|CLIC1_HUMAN",18.5035369157374,"1","Control"
"1","1_1","1_1_1","1","sp|O00303|EIF3F_HUMAN",17.2468673304997,"1","Control"
"1","1_1","1_1_1","1","sp|O00308|WWP2_HUMAN",18.0114186580858,"1","Control"
"1","1_1","1_1_1","1","sp|O00330|ODPX_HUMAN",16.2771866531867,"1","Control"
"1","1_1","1_1_1","1","sp|O00401|WASL_HUMAN",16.5383027997803,"1","Control"
"1","1_1","1_1_1","1","sp|O00410|IPO5_HUMAN",16.9886676859123,"1","Control"
"1","1_1","1_1_1","1","sp|O00418|EF2K_HUMAN",16.7255535874664,"1","Control"
"1","1_1","1_1_1","1","sp|O00422|SAP18_HUMAN",17.7545059865051,"1","Control"
"1","1_1","1_1_1","1","sp|O00425|IF2B3_HUMAN",17.6714412941775,"1","Control"
"1","1_1","1_1_1","1","sp|O00429|DNM1L_HUMAN",16.2468631031591,"1","Control"
"1","1_1","1_1_1","1","sp|O00442|RTCA_HUMAN",16.7849103134092,"1","Control"
"1","1_1","1_1_1","1","sp|O00461|GOLI4_HUMAN",14.9331259324879,"1","Control"
"1","1_1","1_1_1","1","sp|O00468|AGRIN_HUMAN",16.8731974929479,"1","Control"
"1","1_1","1_1_1","1","sp|O00469|PLOD2_HUMAN",17.2452467103038,"1","Control"
"1","1_1","1_1_1","1","sp|O00471|EXOC5_HUMAN",16.8588563935716,"1","Control"
"1","1_1","1_1_1","1","sp|O00472|ELL2_HUMAN",16.6743866795308,"1","Control"
"1","1_1","1_1_1","1","sp|O00483|NDUA4_HUMAN",16.0759208337131,"1","Control"
"1","1_1","1_1_1","1","sp|O00487|PSDE_HUMAN",17.2147283096045,"1","Control"
"1","1_1","1_1_1","1","sp|O00488|ZN593_HUMAN",16.5657865386411,"1","Control"
"1","1_1","1_1_1","1","sp|O00505|IMA4_HUMAN",17.4442969095447,"1","Control"
"1","1_1","1_1_1","1","sp|O00515|LAD1_HUMAN",17.084827457145,"1","Control"
"1","1_1","1_1_1","1","sp|O00541|PESC_HUMAN",18.4531821013391,"1","Control"
"1","1_1","1_1_1","1","sp|O00560|SDCB1_HUMAN",16.1790041527525,"1","Control"
"1","1_1","1_1_1","1","sp|O00566|MPP10_HUMAN",16.4036325435842,"1","Control"
