# Protein abundances computed from file 'ID_mapper_merge_epi_filter_resconf.consensusXML'
# Parameters (relevant only): top=3, average=median, include_all=true
# Files/samples associated with abundance values below: 1: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_126'), 2: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_127'), 3: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_128'), 4: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_129'), 5: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_130'), 6: '20200103_HepG2_sp3_TMT_BP123_F2.mzML' ('tmt6plex_131'), 7: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_126'), 8: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_127'), 9: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_128'), 10: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_129'), 11: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_130'), 12: '20200103_HepG2_sp3_TMT_BP123_F1.mzML' ('tmt6plex_131'), 13: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_126'), 14: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_127'), 15: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_128'), 16: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_129'), 17: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_130'), 18: '20200103_HepG2_sp3_TMT_BP456_F1.mzML' ('tmt6plex_131'), 19: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_126'), 20: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_127'), 21: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_128'), 22: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_129'), 23: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_130'), 24: '20200103_HepG2_sp3_TMT_BP456_F2.mzML' ('tmt6plex_131')
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"	"abundance_11"	"abundance_12"	"ratio_1"	"ratio_2"	"ratio_3"	"ratio_4"	"ratio_5"	"ratio_6"	"ratio_7"	"ratio_8"	"ratio_9"	"ratio_10"	"ratio_11"	"ratio_12"
"sp|A0A0B4J2D5|GAL3B_HUMAN/sp|P0DPI2|GAL3A_HUMAN"	2	1.988950276243094e-03	6	3.498115e05	6.025741875e05	5.426965859375e05	5.44989703125e05	6.14893890625e05	4.656392109375e05	3.5603040625e05	3.756961875e05	6.50979625e05	3.4753140625e05	5.237008125e05	4.069966875e05	0	0.784561155038041	0.633568114405458	0.639651253871893	0.81375975434622	0.412634832616742	0.025422739268597	0.102988757414141	0.896034670790656	-9.434359018887408e-03	0.582165124650461	0.218439334187754
"sp|A0AV96|RBM47_HUMAN"	1	1.988950276243094e-03	1	0.0	0.0	0.0	0.0	0.0	0.0	4.039855859375e04	3.508412109375e04	4.271375e04	3.8746171875e04	4.89033203125e04	3.8191140625e04	0	0.0	0.0	0.0	0.0	0.0	inf	inf	inf	inf	inf	inf
"sp|A0AVT1|UBA6_HUMAN"	1	1.988950276243094e-03	14	1.79770703125e05	2.1818109375e05	1.97666703125e05	2.26346203125e05	2.3294009375e05	1.8997209375e05	2.6735559375e05	2.87617e05	4.0346809375e05	3.043541015625e05	4.69608109375e05	4.246275e05	0	0.279368165019213	0.136911943287516	0.332373179247311	0.373801051359524	0.079629580301153	0.572601934994959	0.677991023921902	1.166296662856226	0.759592881257419	1.385299394822363	1.240039880157223
"sp|A0FGR8|ESYT2_HUMAN"	1	1.988950276243094e-03	1	0.0	0.0	0.0	0.0	0.0	0.0	1.67826796875e04	1.8605380859375e04	2.5281009765625e04	1.9005990234375e04	2.7652849609375e04	2.54282890625e04	0	0.0	0.0	0.0	0.0	0.0	inf	inf	inf	inf	inf	inf
"sp|A0MZ66|SHOT1_HUMAN"	1	1.988950276243094e-03	12	2.5850290625e05	3.5299809375e05	2.8355690625e05	3.4678709375e05	3.473261875e05	2.5611140625e05	2.8733259375e05	2.722885e05	3.4618190625e05	2.52629296875e05	4.1123090625e05	3.385418125e05	0	0.449479892414031	0.133457794391277	0.423869706994826	0.426110690007513	-0.013408993663379	0.152541154851182	0.074955551694773	0.421349821611703	-0.033158545242463	0.66976819471931	0.38915352835934
"sp|A1L0T0|HACL2_HUMAN"	1	1.988950276243094e-03	6	2.9281390625e04	4.56375390625e04	5.071737890625e04	4.203705078125e04	4.750426953125e04	4.335819140625e04	8.216409765625e04	9.232567968750001e04	1.0560416015625e05	8.4235029296875e04	1.4447289453125e05	1.1894290625e05	0	0.640236927118775	0.792496116979739	0.521677385436851	0.698073112683228	0.566320507637858	1.488524061595361	1.656747906983051	1.850610692653248	1.524436234156342	2.302742868520935	2.022213255556977
"sp|A1L170|CA226_HUMAN"	1	1.988950276243094e-03	1	5.805548828125e04	6.5598421875e04	6.32850390625e04	6.29364296875e04	6.72884609375e04	4.9560828125e04	7.793940625e04	7.5291203125e04	1.01889703125e05	7.76797890625e04	1.14065296875e05	1.000583984375e05	0	0.176228648969256	0.124432019923546	0.116462879644788	0.212926664472185	-0.228232164800967	0.424920482102931	0.375048854259125	0.81150389753576	0.420106824306253	0.974355570152269	0.785337901483807
"sp|A2RRP1|NBAS_HUMAN"	1	1.988950276243094e-03	3	3.205775366210938e04	3.2137380859375e04	2.913740380859375e04	3.176320080566406e04	3.015185205078125e04	2.676600610351563e04	6.210228125e04	8.052300000000001e04	9.114049218750001e04	6.548223046875e04	7.8396640625e04	6.62105625e04	0	3.579019574844151e-03	-0.137801000505187	-0.01331703563951	-0.088426715982414	-0.260271454166867	0.953972927932334	1.328727585842722	1.507418824498618	1.030430126920916	1.290118497636279	1.046388049891061
"sp|A2RTX5|SYTC2_HUMAN"	1	1.988950276243094e-03	1	0.0	0.0	0.0	0.0	0.0	0.0	1.13172998046875e04	1.772025e04	2.99040390625e04	1.63137900390625e04	4.641769140625e04	2.7578220703125e04	0	0.0	0.0	0.0	0.0	0.0	inf	inf	inf	inf	inf	inf
"sp|A2VDF0|FUCM_HUMAN"	1	1.988950276243094e-03	1	1.4238900390625e04	1.7338689453125e04	1.1799650390625e04	1.7383919921875e04	1.9312060546875e04	1.3434099609375e04	6115.79638671875	1.04559501953125e04	1.7045349609375e04	9680.095703125	1.9854939453125e04	9990.43359375	0	0.284157118968168	-0.271093622528169	0.28791569650859	0.439664366889239	-0.083938106271444	-1.21922545649083	-0.445513563146324	0.259540452801188	-0.556744521423176	0.479660223987281	-0.511218538694955
