"Mixture","TechRepMixture","Run","Channel","Protein","Abundance","BioReplicate","Condition"
"1","1_1","1_1_1","1","sp|P0C0T4|RS25B_YEAST;sp|Q3E792|RS25A_YEAST",21.8424939261764,"1","galactose"
"1","1_1","1_1_1","1","sp|Q01852|TIM44_YEAST",16.8614023887265,"1","galactose"
"1","1_1","1_1_1","1","sp|P09938|RIR2_YEAST",16.9169180449208,"1","galactose"
"1","1_1","1_1_1","1","sp|P26570|PPZ1_YEAST",16.1072006859317,"1","galactose"
"1","1_1","1_1_1","1","sp|P04802|SYDC_YEAST",17.2062383396247,"1","galactose"
"1","1_1","1_1_1","1","sp|P53075|SHE10_YEAST",16.8371548424798,"1","galactose"
"1","1_1","1_1_1","1","sp|P24276|SSD1_YEAST",15.44545238678,"1","galactose"
"1","1_1","1_1_1","1","sp|P00360|G3P1_YEAST",17.5394742938391,"1","galactose"
"1","1_1","1_1_1","1","sp|P15180|SYKC_YEAST",15.9768796061464,"1","galactose"
"1","1_1","1_1_1","1","sp|P15705|STI1_YEAST",17.6192523078685,"1","galactose"
"1","1_1","1_1_1","1","sp|P40008|FMP52_YEAST",16.9668046122571,"1","galactose"
"1","1_1","1_1_1","1","sp|Q99186|AP2M_YEAST",15.6604896948005,"1","galactose"
"1","1_1","1_1_1","1","sp|P14843|AROF_YEAST",16.2453180530665,"1","galactose"
"1","1_1","1_1_1","1","sp|Q12118|SGT2_YEAST",17.3553912294001,"1","galactose"
"1","1_1","1_1_1","1","sp|P38110|ATM_YEAST",15.3941349306751,"1","galactose"
"1","1_1","1_1_1","1","sp|P53207|SNU71_YEAST",15.0692576886865,"1","galactose"
"1","1_1","1_1_1","1","sp|P00431|CCPR_YEAST",18.4680544255703,"1","galactose"
"1","1_1","1_1_1","1","sp|Q06708|VAC14_YEAST",16.4583443192559,"1","galactose"
"1","1_1","1_1_1","1","sp|P05030|PMA1_YEAST",18.3596532562543,"1","galactose"
"1","1_1","1_1_1","1","sp|Q12116|TMS1_YEAST",15.0334631345128,"1","galactose"
"1","1_1","1_1_1","1","sp|Q06505|IWS1_YEAST",16.3050090402021,"1","galactose"
"1","1_1","1_1_1","1","sp|Q04697|GSF2_YEAST",18.3605941771855,"1","galactose"
"1","1_1","1_1_1","1","sp|P09457|ATPO_YEAST",18.0460192935593,"1","galactose"
"1","1_1","1_1_1","1","sp|P25044|PTP1_YEAST",16.2427114496925,"1","galactose"
"1","1_1","1_1_1","1","sp|P35197|GCS1_YEAST",16.3908069129573,"1","galactose"
"1","1_1","1_1_1","1","sp|P38431|IF5_YEAST",16.7619817167733,"1","galactose"
"1","1_1","1_1_1","1","sp|P32790|SLA1_YEAST",16.5539721658296,"1","galactose"
"1","1_1","1_1_1","1","sp|P16521|EF3A_YEAST",17.2669380728706,"1","galactose"
"1","1_1","1_1_1","1","sp|P46675|STU2_YEAST",15.5091006447956,"1","galactose"
"1","1_1","1_1_1","1","sp|Q05788|PNPH_YEAST",14.1724927408368,"1","galactose"
"1","1_1","1_1_1","1","sp|P33313|CNS1_YEAST",15.0419746343683,"1","galactose"
"1","1_1","1_1_1","1","sp|P30771|NAM7_YEAST",15.2746342612291,"1","galactose"
"1","1_1","1_1_1","1","sp|P25339|PUF4_YEAST",16.9767088527972,"1","galactose"
"1","1_1","1_1_1","1","sp|P50089|YG51_YEAST",14.9989059124764,"1","galactose"
"1","1_1","1_1_1","1","sp|P33892|GCN1_YEAST",16.8493295564259,"1","galactose"
"1","1_1","1_1_1","1","sp|P32263|P5CR_YEAST",12.8569024537246,"1","galactose"
"1","1_1","1_1_1","1","sp|P38297|FZO1_YEAST",16.8654436178459,"1","galactose"
"1","1_1","1_1_1","1","sp|Q99258|RIB3_YEAST",18.3596532562543,"1","galactose"
"1","1_1","1_1_1","1","sp|P43561|FET5_YEAST",15.1980298331339,"1","galactose"
"1","1_1","1_1_1","1","sp|P07342|ILVB_YEAST",15.6878661337318,"1","galactose"
"1","1_1","1_1_1","1","sp|P07275|PUT2_YEAST",16.3717670699623,"1","galactose"
"1","1_1","1_1_1","1","sp|P06779|RAD7_YEAST",16.8595967619503,"1","galactose"
"1","1_1","1_1_1","1","sp|P81450|ATP18_YEAST",17.7226961178949,"1","galactose"
"1","1_1","1_1_1","1","sp|Q04053|SNX41_YEAST",15.2137842801555,"1","galactose"
"1","1_1","1_1_1","1","sp|Q02207|FOX2_YEAST",15.9812287008899,"1","galactose"
"1","1_1","1_1_1","1","sp|P04161|PUR3_YEAST",14.792455035009,"1","galactose"
"1","1_1","1_1_1","1","sp|Q03714|USA1_YEAST",15.6269371350894,"1","galactose"
"1","1_1","1_1_1","1","sp|P32844|SEC6_YEAST",15.3740506846317,"1","galactose"
"1","1_1","1_1_1","1","sp|P10963|PCKA_YEAST",12.1191549957864,"1","galactose"
"1","1_1","1_1_1","1","sp|P32602|SEC17_YEAST",17.4221173432009,"1","galactose"
"1","1_1","1_1_1","1","sp|Q12363|WTM1_YEAST",17.7754247791389,"1","galactose"
"1","1_1","1_1_1","1","sp|Q08208|NOP12_YEAST",18.0279353277646,"1","galactose"
"1","1_1","1_1_1","1","sp|Q07478|SUB2_YEAST",17.1833304836138,"1","galactose"
"1","1_1","1_1_1","1","sp|P25642|IMG2_YEAST",17.4756834830148,"1","galactose"
"1","1_1","1_1_1","1","sp|Q03653|EFR3_YEAST",15.5867800086175,"1","galactose"
"1","1_1","1_1_1","1","sp|Q05787|HRD3_YEAST",16.0249011210093,"1","galactose"
"1","1_1","1_1_1","1","sp|P19097|FAS2_YEAST",16.2941616687946,"1","galactose"
"1","1_1","1_1_1","1","sp|P54838|DAK1_YEAST",16.8124391783818,"1","galactose"
"1","1_1","1_1_1","1","sp|P16862|PFKA2_YEAST",17.3295512244649,"1","galactose"
"1","1_1","1_1_1","1","sp|P00127|QCR6_YEAST",16.4274165855684,"1","galactose"
"1","1_1","1_1_1","1","sp|P38789|SSF1_YEAST",17.3639027292556,"1","galactose"
"1","1_1","1_1_1","1","sp|P32419|MDHP_YEAST",17.5618421068676,"1","galactose"
"1","1_1","1_1_1","1","sp|P38689|KPR3_YEAST",17.2938118626677,"1","galactose"
"1","1_1","1_1_1","1","sp|Q03629|YMH9_YEAST",16.0963453768637,"1","galactose"
"1","1_1","1_1_1","1","sp|Q05022|RRP5_YEAST",16.4702107698081,"1","galactose"
"1","1_1","1_1_1","1","sp|Q08647|PUS7_YEAST",16.3167132948669,"1","galactose"
"1","1_1","1_1_1","1","sp|Q08162|RRP44_YEAST",14.9725642486949,"1","galactose"
"1","1_1","1_1_1","1","sp|P32383|PLC1_YEAST",16.2692083187742,"1","galactose"
"1","1_1","1_1_1","1","sp|P06115|CATT_YEAST",15.1156843249482,"1","galactose"
"1","1_1","1_1_1","1","sp|P14922|CYC8_YEAST",16.791387162837,"1","galactose"
"1","1_1","1_1_1","1","sp|P47039|BNA3_YEAST",15.254635517687,"1","galactose"
