"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|P00350|6PGD_ECOLI","treatment vs control",0.00288891351398109,0.0302778499339258,10.836948852362,0.925727898441351,0.998427123623591,NA
"sp|P00363|FRDA_ECOLI","treatment vs control",0.0531766352105708,0.0338655621305555,10.836948852362,0.145080023639786,0.970868553748902,NA
"sp|P00370|DHE4_ECOLI","treatment vs control",0.017442919518924,0.028467529971111,10.836948852362,0.552695436379232,0.970868553748902,NA
"sp|P00393|NDH_ECOLI","treatment vs control",0.0353542958510057,0.0394289674941704,10.836948852362,0.389385965659622,0.970868553748902,NA
"sp|P00448|SODM_ECOLI","treatment vs control",-0.0623784717400406,0.0508264153105397,10.836948852362,0.245709009773185,0.970868553748902,NA
"sp|P00452|RIR1_ECOLI","treatment vs control",0.00582473663481468,0.0366018439187253,10.836948852362,0.87648733538046,0.989929720781616,NA
"sp|P00490|PHSM_ECOLI","treatment vs control",-0.0173797249329504,0.0418199532166939,10.836948852362,0.685823945113723,0.970868553748902,NA
"sp|P00509|AAT_ECOLI","treatment vs control",0.0176803436466703,0.0352841720217677,10.836948852362,0.626333531423973,0.970868553748902,NA
"sp|P00547|KHSE_ECOLI","treatment vs control",0.0382858066864216,0.0488201588746404,10.836948852362,0.449712427590807,0.970868553748902,NA
"sp|P00550|PTM3C_ECOLI","treatment vs control",0.020974748136581,0.0621064057765371,10.836948852362,0.74202334097266,0.97616920339999,NA
"sp|P00561|AK1H_ECOLI","treatment vs control",-0.0184644080881047,0.0450107961942326,10.836948852362,0.689636358693172,0.970868553748902,NA
"sp|P00562|AK2H_ECOLI","treatment vs control",0.0427715664620363,0.0351768209479859,10.836948852362,0.24984488455368,0.970868553748902,NA
"sp|P00579|RPOD_ECOLI","treatment vs control",-0.00359035263436223,0.0423267246713234,10.836948852362,0.93394749564097,0.999402863047922,NA
"sp|P00582|DPO1_ECOLI","treatment vs control",0.00316430223438719,0.0287303815418798,10.836948852362,0.914313187243288,0.997749896218098,NA
"sp|P00634|PPB_ECOLI","treatment vs control",-0.0173702246271302,0.0442428321193681,10.836948852362,0.702218947203949,0.970868553748902,NA
"sp|P00722|BGAL_ECOLI","treatment vs control",-0.00121404096732947,0.0508003443234598,10.836948852362,0.981368113239977,0.999402863047922,NA
"sp|P00803|LEP_ECOLI","treatment vs control",-0.0129346065984806,0.0526289659741828,10.836948852362,0.810452974724581,0.980765895179851,NA
"sp|P00805|ASPG2_ECOLI","treatment vs control",0.0671825181789797,0.0481348558851646,10.836948852362,0.190737984955767,0.970868553748902,NA
"sp|P00811|AMPC_ECOLI","treatment vs control",-0.0114931898135657,0.0472029292800478,10.836948852362,0.812177529258095,0.980765895179851,NA
"sp|P00861|DCDA_ECOLI","treatment vs control",0.0555733678643794,0.0477689109786,10.836948852362,0.269651713642635,0.970868553748902,NA
"sp|P00864|CAPP_ECOLI","treatment vs control",0.029531159784138,0.0351269976409042,10.836948852362,0.418680819221751,0.970868553748902,NA
"sp|P00887|AROH_ECOLI","treatment vs control",0.0161405750133987,0.0315320695663595,10.836948852362,0.619005729621309,0.970868553748902,NA
"sp|P00888|AROF_ECOLI","treatment vs control",-0.112946917821923,0.050545153327535,10.836948852362,0.0474935697019494,0.970868553748902,NA
"sp|P00893|ILVI_ECOLI","treatment vs control",-0.0171934146220802,0.0358540805630773,10.836948852362,0.641086939980863,0.970868553748902,NA
"sp|P00894|ILVH_ECOLI","treatment vs control",-0.0489298824543112,0.0699694693214463,10.836948852362,0.499097174831009,0.970868553748902,NA
"sp|P00895|TRPE_ECOLI","treatment vs control",0.0522670801906834,0.0367811810652253,10.836948852362,0.18343891925353,0.970868553748902,NA
"sp|P00903|PABA_ECOLI","treatment vs control",0.0220661577213556,0.0733922105339828,10.836948852362,0.769362722020098,0.980209147106349,NA
"sp|P00904|TRPGD_ECOLI","treatment vs control",0.0596362546140078,0.0360015418971791,10.836948852362,0.126258400767009,0.970868553748902,NA
