"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.74502145224724,0.325697624112908,14.5687935709421,6,6.56102050111684e-06,0.00207433243856814,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",4.72969964636128,0.487090605306728,9.7101023810199,6,6.84817085208067e-05,0.0100348530219155,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.384589231785372,0.868317524094004,0.442913129257238,6,0.673350244714754,0.996279176895934,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",3.67587464074908,0.783888546887747,4.68928223960321,6,0.0033633462533853,0.205350974026136,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",2.22515953012427,0.58667867174449,3.79280794972102,6,0.00904359818700806,0.388443810924739,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-2.11974143425601,0.325032669925494,-6.5216257637791,6,0.00062011374309856,0.0474717830198206,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.71905781305273,0.275349621158357,-6.24318205276947,6,0.000782249953079628,0.0573128465623007,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",4.66199218732927,0.275406138062336,16.9276989254105,6,2.71697508114066e-06,0.00207433243856814,NA,0.4375,0.4375
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-1.08273537754358,0.339415311302844,-3.19000157473011,6,0.0188362887044504,0.690036042873034,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",5.81257858330976,0.410962742879007,14.1438091019873,6,7.80194928751143e-06,0.00214358556674377,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",3.81822946151119,0.379963142138357,10.0489469584417,6,5.63290105857206e-05,0.00884365466195813,NA,0.480263157894737,0.480263157894737
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.567244246190235,0.622655475277834,0.911008203914253,6,0.397413276695865,0.996279176895934,NA,0.15625,0.15625
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",4.33809122001862,0.463612066317613,9.35715770832993,6,8.44918689089091e-05,0.0110396601174015,NA,0.392857142857143,0.392857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.44065695265421,0.588259786026281,7.54880251572359,6,0.000280391128753443,0.026795639173916,NA,0.486842105263158,0.486842105263158
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",2.03514442133317,0.498433779148316,4.08307884913151,6,0.00647956943573069,0.323683945903092,NA,0.392857142857143,0.392857142857143
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",2.01241317968747,0.527027586563282,3.81842095365502,6,0.00877686197186822,0.388443810924739,NA,0.229166666666667,0.229166666666667
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",1.68541048915931,0.219385059756895,7.68243056763731,6,0.000254566605939921,0.0254335181752703,NA,0.458333333333333,0.458333333333333
