"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.80346425464295,28.9127482437776,-5.77532289891643,0.000220213977238426,0.0193513032498267,0.994202141527726,TRUE,30.8144803710991,27.0110161164561,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.14379647498456,29.7742908456655,-8.56372360795672,9.20645050026846e-06,0.00215737823389624,4.04633668263532,TRUE,32.3461890831577,27.2023926081732,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.00434873381688,31.9187666361277,-2.11179450108795,0.0623721147438853,0.999754437737202,-4.57611413083653,FALSE,32.4209410030361,31.4165922692193,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.49310268424141,29.5245324860962,-8.58513726032979,9.01343558761213e-06,0.00215737823389624,4.06596496044963,TRUE,31.7710838282169,27.2779811439755,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.69138326013479,30.1101236624156,-4.89930622440023,0.000730744993042745,0.0531427996664534,-0.197453520893173,FALSE,31.455815292483,28.7644320323482,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.69583104985245,33.4420456216957,4.15714452621073,0.00220011137880831,0.128889858275187,-1.29922573803358,FALSE,32.0941300967695,34.7899611466219,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.72973326985349,32.4127050119026,4.38134361589811,0.00156402679481391,0.0970156620665449,-0.957906905399751,FALSE,31.0478383769759,33.7775716468294,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.653261677,30.7076003113594,-10.3789474376857,1.75046842294552e-06,0.000738347580798422,5.54329083992901,TRUE,32.5342311498594,28.8809694728594,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.14294355767411,30.3264230734862,3.28836887949056,0.00877910845916457,0.417186426628085,-2.67844471226285,FALSE,29.2549512946492,31.3978948523233,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.21921796283337,28.9287969437415,-4.21717230519416,0.0020066240121771,0.120913429762328,-1.2071572866097,FALSE,30.5384059251582,27.3191879623249,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.24711596034344,28.6272157678229,-10.7175337517873,1.31996665025401e-06,0.000738347580798422,5.7886983447727,TRUE,31.2507737479946,26.0036577876512,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.418659758945046,30.1301240091267,-0.798494251432606,0.444141679274767,0.999754437737202,-6.21281462288399,FALSE,30.3394538885993,29.9207941296542,4,4
