"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.82264608537853,28.954645049852,-5.64585452598986,0.000426321422046461,0.0225595085832919,0.227837439665776,TRUE,30.8659680925413,27.0433220071628,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.16297830572014,29.8161876517399,-12.0164638439578,1.57472349762151e-06,0.00033331647366322,5.89749588181854,TRUE,32.3976768046,27.2346984988798,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.02353056455247,31.9606634422021,-4.25434531822366,0.00256951150106445,0.116545700226852,-1.65324710918161,FALSE,32.4724287244784,31.4488981599259,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.51228451497699,29.5664292921706,-10.6116206563454,4.16706224843016e-06,0.000496140848953716,4.95744171405312,TRUE,31.8225715496591,27.3102870346821,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.71056509087038,30.15202046849,-8.42363073214438,2.43507565561744e-05,0.00220896148759582,3.19188894585628,TRUE,31.5073030139252,28.7967379230548,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.67664921911687,33.4839424277701,6.04289164870742,0.000268232529902194,0.0150289108665788,0.712403952491644,TRUE,32.1456178182117,34.8222670373286,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.71055143911792,32.4546018179771,7.03310674309381,9.19050943264984e-05,0.00589057759398839,1.82713748703394,TRUE,31.0993260984181,33.809877537536,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.67244350773559,30.7494971174338,-11.5814258320237,2.10448620005783e-06,0.000400904621111017,5.62029097574989,TRUE,32.5857188713016,28.913275363566,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.12376172693853,30.3683198795607,3.94833653800581,0.00396081612350851,0.167674549228527,-2.10461922703609,FALSE,29.3064390160914,31.4302007430299,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.23839979356895,28.970693749816,-5.87533686293186,0.000325345467579768,0.0177080890211274,0.510648715311911,TRUE,30.5898936466005,27.3514938530315,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.26629779107903,28.6691125738974,-11.041903087005,3.05739876946783e-06,0.000424643642741753,5.2595255135439,TRUE,31.3022614694369,26.0359636783578,4,4
"12","P01344ups|IGF2_HUMAN_UPS",-5.11540200824829,28.284539894253,-10.7579707961808,3.7459342171966e-06,0.000475733645583968,5.06167332266532,TRUE,30.8422408983772,25.7268388901289,4,4
"13","P01375ups|TNFA_HUMAN_UPS",-5.06105637794023,29.7301297214862,-19.8182466870924,2.84276242201149e-08,4.72534161710128e-05,9.38895677250038,TRUE,32.2606579104563,27.1996015325161,4,4
"14","P01579ups|IFNG_HUMAN_UPS",-1.43641731143748,29.2122545143282,-1.85267538210632,0.0997856672614295,0.849370060280756,-5.3466327229653,FALSE,29.9304631700469,28.4940458586094,4,4
"15","P02144ups|MYG_HUMAN_UPS",-1.29332915002102,30.7928397050881,-1.55488744707697,0.15728870570938,0.947092070907759,-5.76193015210491,FALSE,31.4395042800986,30.1461751300776,4,4
"16","P02741ups|CRP_HUMAN_UPS",-4.35207495063956,28.5014851741104,-15.6947948907265,1.87604973809503e-07,0.000119129158369035,7.83860070661354,TRUE,30.6775226494302,26.3254476987906,4,4
"17","P02753ups|RETBP_HUMAN_UPS",-4.18887192885705,29.5414051951219,-12.541285997996,1.12366411927884e-06,0.000305797163889457,6.21668762715511,TRUE,31.6358411595504,27.4469692306934,4,4
"18","P02768ups|ALBU_HUMAN_UPS",2.29318360050547,33.8850745566024,11.012939544329,3.12074068156669e-06,0.000424643642741753,5.23960195754793,TRUE,32.7384827563497,35.0316663568552,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-3.04279917661324,30.5012181776487,-12.0913276673447,1.49950095666766e-06,0.00033331647366322,5.9440225647424,TRUE,32.0226177659554,28.9798185893421,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-3.54179362543073,30.7086785051411,-9.19894883955707,1.25142484702053e-05,0.00125471807030217,3.86538131006276,TRUE,32.4795753178565,28.9377816924258,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.980105075331721,31.9916251259762,-3.78385232655121,0.005025859199431,0.199463786977418,-2.35229574751955,FALSE,32.4816776636421,31.5015725883104,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-4.5698413841275,28.8084036377509,-7.29458586002813,7.0554414330802e-05,0.00516946766539146,2.10062602512324,TRUE,31.0933243298147,26.5234829456872,4,4
"23","P06396ups|GELS_HUMAN_UPS",-3.76489912310412,30.6205009536179,-14.0433208939563,4.57267939353109e-07,0.000174219084893534,7.04734679210557,TRUE,32.5029505151699,28.7380513920658,4,4
"24","P06732ups|KCRM_HUMAN_UPS",-1.28145161937603,31.1414699676251,-2.69731720678665,0.0263466266486053,0.596951009731427,-4.04948398884971,FALSE,31.7821957773131,30.500744157937,4,4
"25","P08263ups|GSTA1_HUMAN_UPS",-2.30760538642532,30.6213495554799,-2.47364742347219,0.0375148526616484,0.687265598084379,-4.40211586223724,FALSE,31.7751522486926,29.4675468622672,4,4
"26","P08758ups|ANXA5_HUMAN_UPS",-4.31719465605626,29.9541306777016,-18.5046760108175,4.96098857438454e-08,4.72534161710128e-05,8.95092017669584,TRUE,32.1127280057298,27.7955333496735,4,4
"27","P09211ups|GSTP1_HUMAN_UPS",-1.99660094179171,29.1153944947341,-3.43727025412251,0.00840200220448966,0.296403966658385,-2.88434460532797,FALSE,30.11369496563,28.1170940238382,4,4
"28","P10145ups|IL8_HUMAN_UPS",NA,30.4970033397901,NA,NA,NA,NA,NA,30.4970033397901,NA,4,0
"29","P10599ups|THIO_HUMAN_UPS",-4.48564563474919,29.6583531635234,-11.236634013206,7.31510820247076e-06,0.000774182284761489,4.47968485898808,TRUE,31.5807727212731,27.0951270865239,4,3
"30","P10636-8ups|TAU_HUMAN_UPS",-4.9310264863616,30.1952223288635,-11.0520818024291,3.03547937787585e-06,0.000424643642741753,5.26651349947984,TRUE,32.6607355720443,27.7297090856827,4,4
"31","P12081ups|SYHC_HUMAN_UPS",-3.60714132520577,30.6203194868796,-8.70042067915102,1.90928501134871e-05,0.00181859397330965,3.43893458889991,TRUE,32.4238901494824,28.8167488242767,4,4
"32","P15559ups|NQO1_HUMAN_UPS",-0.38364462168143,31.3565472579561,-0.903502681449574,0.391772026822193,0.962266737660347,-6.50609961697106,FALSE,31.5483695687968,31.1647249471154,4,4
"33","P16083ups|NQO2_HUMAN_UPS",-3.73991560918138,29.7199519984864,-7.29754981386832,7.0346199614366e-05,0.00516946766539146,2.10367891254103,TRUE,31.5899098030771,27.8499941938957,4,4
"34","P41159ups|LEP_HUMAN_UPS",3.4328768767293,32.5194930951933,6.74439285811481,0.000124124755515104,0.0076276664276217,1.51534826233009,TRUE,30.8030546568286,34.2359315335579,4,4
"35","P51965ups|UB2E1_HUMAN_UPS",0.355648110194968,28.3650250247432,0.854307084004025,0.424296890709414,0.962266737660347,-6.34336495455034,FALSE,28.2464756546782,28.6021237648732,4,2
"36","P55957ups|BID_HUMAN_UPS",-3.4437583469653,29.022550589805,-6.37726009917376,0.000184414359147541,0.0109784173180021,1.10336759436586,TRUE,30.7444297632876,27.3006714163223,4,4
"37","P61626ups|LYSC_HUMAN_UPS",-3.555570410818,28.2753307634664,-8.2164571708872,2.9339137926848e-05,0.00254050262502933,3.00193973865196,TRUE,30.0531159688754,26.4975455580574,4,4
"38","P61769ups|B2MG_HUMAN_UPS",-5.08664416323992,29.2455762478797,-8.1345206412608,3.16163084875751e-05,0.00261865511603611,2.92559124629553,TRUE,31.7888983294997,26.7022541662597,4,4
"39","P62937ups|PPIA_HUMAN_UPS",-1.31389375832486,29.9802157051182,-1.77792425024131,0.11201816613239,0.885454798681337,-5.45402652788153,FALSE,30.6371625842807,29.3232688259558,4,4
