"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0AVK6|E2F8_HUMAN","4vs1",-1.05245326218921,0.0354750531164053,-29.667418924949,2,0.00113422991537782,0.00422145220863159,NA,0.666666666666667,0
"sp|A0AVK6|E2F8_HUMAN","10vs1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"sp|A0FGR8|ESYT2_HUMAN","4vs1",0.324428539883043,0.324080733678492,1.00107320852,15,0.332667876160776,0.439804172608112,NA,0.492424242424242,0.492424242424242
"sp|A0FGR8|ESYT2_HUMAN","10vs1",-0.635790126098721,0.324080733678492,-1.96182636000035,15,0.0686132676719615,0.0859585342197565,NA,0.636363636363636,0.636363636363636
"sp|A0JNW5|UH1BL_HUMAN","4vs1",-0.239000448959448,0.190840924936946,-1.25235427903325,15,0.229615622002159,0.329339675849338,NA,0.3125,0.3125
"sp|A0JNW5|UH1BL_HUMAN","10vs1",-0.709020799267763,0.190840924936946,-3.71524503720585,15,0.00207333669202137,0.00326302126035056,NA,0.395833333333333,0.395833333333333
"sp|A0MZ66|SHOT1_HUMAN","4vs1",-0.278562616095727,0.0450642220847177,-6.18145844328673,15,1.75676671554381e-05,0.000120657054638998,NA,0.135416666666667,0.135416666666667
"sp|A0MZ66|SHOT1_HUMAN","10vs1",-0.6598789696521,0.0450642220847177,-14.6430791240903,15,2.72600386708177e-10,2.16691254832064e-09,NA,0.145833333333333,0.145833333333333
"sp|A1L390|PKHG3_HUMAN","4vs1",-0.592066620264952,0.208354557373578,-2.84163028506922,14,0.0130637822516075,0.0324969707751431,NA,0.416666666666667,0.333333333333333
"sp|A1L390|PKHG3_HUMAN","10vs1",-1.77481008498344,0.208354557373578,-8.51822061084666,14,6.54641625352781e-07,1.94732164642983e-06,NA,0.444444444444444,0.361111111111111
"sp|A2A2Y4|FRMD3_HUMAN","4vs1",-0.20711432183648,0.109876359683361,-1.88497618990415,15,0.0789570966319557,0.140793681583373,NA,0.166666666666667,0.166666666666667
"sp|A2A2Y4|FRMD3_HUMAN","10vs1",-0.428452319949802,0.109876359683361,-3.89940403180907,15,0.00142295751072719,0.0022787674570358,NA,0.166666666666667,0.166666666666667
"sp|A3KN83|SBNO1_HUMAN","4vs1",-0.249388796038801,0.047447481416426,-5.25610187503998,15,9.6807723765302e-05,0.000517135276524049,NA,0.375,0.375
