"","1_TechRep1","1_TechRep2","1_TechRep3","1_TechRep4","1_TechRep5","1_TechRep6","4_TechRep1","4_TechRep2","4_TechRep3","4_TechRep4","4_TechRep5","4_TechRep6","10_TechRep1","10_TechRep2","10_TechRep3","10_TechRep4","10_TechRep5","10_TechRep6"
"sp|A0AVK6|E2F8_HUMAN",NA,4583910,5021548,5178967,NA,NA,4307177,2975110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",20784645,43478909,70632217.5,39597855,45965109.5,45360856,69845538,70786228,57826787.5,52399656.5,54361254.1,42040440,29885600,31376911.5,21582315,24928942,27734517,49116815
"sp|A0JNW5|UH1BL_HUMAN",6846592,8645136.33333333,8379890.66666667,9526787,6451783.66666667,8505769.33333333,7950252,6844478,8382098,10036710.6666667,15621495,10380381.3333333,13805900,16246044.3333333,12630260,7844580.5,11391892.3333333,7952196.33333333
"sp|A0MZ66|SHOT1_HUMAN",56493096.6666667,77315883.3333333,81827266.6666667,79896426.6666667,81340836.6666667,83787396.6666667,79055483.3333333,81102446.6666667,84139710,82192878.3333333,84580056.6666667,79513273.3333333,82076476.6666667,85599973.3333333,81468590,75939346.3333333,80100380,87896356.6666667
"sp|A1L390|PKHG3_HUMAN",23178733.6666667,19247294.5,20394935,18261296.5,21090285,NA,18122070,19923700,16804020,14629533.5,20292940,15310150,21578901,57638970,57812340,57961700,56162610,30043022.5
"sp|A2A2Y4|FRMD3_HUMAN",19572480,29050817.5,36574346.5,33008105,33311375,33450675,28428904,28402915,30798235,30228715,31045296.5,33814747.5,29596260,33128312.5,34575408,34772550,42239893,38024567
"sp|A3KN83|SBNO1_HUMAN",50715150,57593980,61614362,60374811,55691850,65857730,57010770,60237980,56530510,60514200,34423186,60165000,61058430,62130960,67748860,61180610,62650200,64406800
"sp|A6ND36|FA83G_HUMAN",15607915,17042935,15048530,16993020,15896480,16301860,14731760,15402285,17433475,17715075,18522730,16397065,16169770,13608840,11035924,15812355,13559670,19063855
"sp|A6NHT5|HMX3_HUMAN",NA,1388715,21114970,NA,NA,30324350,29202616,54418220,6537106,52118870,28294186.5,55473480,22641930,27180220,NA,29145140,33598709,16838964
"sp|A7E2V4|ZSWM8_HUMAN",8917754,111495200,82929028,194908800,100897960,211191300,174531700,173564400,184503300,173052300,174772100,186615800,8626226,14420940,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",26486844.3333333,84060590,47122550,42353219.5,43836021,45634450.6666667,83375030,47904385,83727150,83831890,82533300,94706880,77611460,76789110,76290380,85615360,85880940,90647760
"sp|O00148|DX39A_HUMAN",9016692,8867022,NA,NA,17930920,NA,NA,NA,6367836,12905780,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00159|MYO1C_HUMAN",13126860,12845320,14466630,14609810,15068955,13606950,6968312,18835450,16949040,16480290,12470770,13207170,19897560,20295530,16619940,22149140,23540790,20751790
"sp|O00178|GTPB1_HUMAN",94656388,20018342,3071920,18546111.5,20824217.5,133580558.5,21596343.5,19269097,34325260,36077300,NA,19846033.5,36733160,315811250,355685977,20390621.5,38432570,43953860
"sp|O00193|SMAP_HUMAN",129295471,1273723680.66667,1442159272.33333,465397000.333333,1562648390.66667,1551041117.66667,2291521345,2463480066.5,1572681550,2418028050,1625308206.66667,1632992380,525290733.333333,1640253731,1660940433.33333,1635313483.33333,498734886.666667,1712062796.66667
"sp|O00203|AP3B1_HUMAN",371464993.333333,424528493.333333,414600463.333333,438075340,433170303.333333,452047933.333333,476824930,480529600,469696043.333333,470883163.333333,491454623.333333,468699840,520777473.333333,539221803.333333,521224156.666667,539494173.333333,542048563.333333,550851993.333333
"sp|O00232|PSD12_HUMAN",14194980.6666667,118220568,12206075,11007550,8282273.5,8563992.5,NA,15308700,NA,12726340,6201480.5,10957742,NA,10402880,NA,13247255,NA,NA
"sp|O00257|CBX4_HUMAN",19614770,22363400,21554360,20349685,22888620,22709820,22383615,23930945,23208935,22572765,24975775,24386700,22879395,21234610,18868510,28497190,31749840,33190390
"sp|O00264|PGRC1_HUMAN",3836090435,4848277987.33333,5066013761.66667,5308684847.33333,5452357572,5486525909.33333,5555105303.33333,5637462313.33333,5554856163.33333,5668241543.33333,5679727203.33333,5761567100,5036168300,4846949291,4913845220.66667,4883611215,4945033556.66667,5286150163.33333
"sp|O00267|SPT5H_HUMAN",43483789,41336850,36013520,45681345,51652600,24112677,41108341,36763620,43552785,35564860,29205825,34875370,30402150,25443600,42642147,43191650,34541980,50439290
"sp|O00273|DFFA_HUMAN",972664200,1012533000,990891200,1012257000,489638946.5,1023379000,984588800,493827315,995588600,1021943000,1021226000,970875000,969918600,992349600,951554600,979167700,1009826000,1034646000
"sp|O00299|CLIC1_HUMAN",45539289.6666667,52429551,48109906.6666667,73094505,58478001.6666667,86688255,94908935,92183915,111148530,90922255,88967290,101827210,102097315,86444350,91586715,77041580,94784445,97066495
"sp|O00401|WASL_HUMAN",123125200,193245300,204541700,206312100,205561300,210197500,200834000,113161550,124584365,119861565,126173215,108373480,160767750,154016400,151753100,164461300,168475650,169837200
"sp|O00410|IPO5_HUMAN",119724100,27358200,93095170.5,82969525,85734556.6666667,74105126.6666667,70241205,21910395,59911575,52534660,82096330,59114210,36160490,68642950,14038440,27968490,13868490,14828675
"sp|O00418|EF2K_HUMAN",21435116.5,232007760,132789783,262857055,278035070,167502113.5,298538490,305217330,297152430,290737720,302867070,158427485,254999660,298178030,34896137,301709820,582689630,326840910
"sp|O00429|DNM1L_HUMAN",478455413.333333,177028850,197047320,255520393.333333,158434760,188920493.333333,155026558.666667,402635926.666667,187681077,575925876.5,276644553,156695708,1468206000,1527135270,1502715660,782810255,784611608,1634238300
"sp|O00443|P3C2A_HUMAN",48499250,29219889,28150595,29446345,32009205,30787530,28035660,31570710,30765105,30395240,31422265,44836770,23089740.6666667,22657323.3333333,21664520,23280750,30606880,24038030
"sp|O00472|ELL2_HUMAN",29980738,30290349,31278686,33659833,32488242,33008218,41728905,33786295,32695659,34383857,35631346.5,34414800,33829705,32732032,34485671,29257085,29961070,33780317
"sp|O00499|BIN1_HUMAN",156843205,388940089,351119404.333333,377936703.333333,400485860,339599123.333333,415142443.333333,427735440,427372700,357362911.333333,422293920,387708736.666667,369796771,357158006.666667,384751673.333333,397263166.666667,388048926.666667,383554757
"sp|O00505|IMA4_HUMAN",7233357,377194550,710361770,729217260,837854425,838867770,714916800,727067920,1071132570,987226620,1030958130,171645323.333333,1101191635,743819983.333333,1095908765,1104984625,1153438455,1252579795
"sp|O00512|BCL9_HUMAN",69525175,53933840,56588503.3333333,57481146.6666667,55003150,55106493.3333333,49029532.3333333,52292810,50813091.3333333,51630760,58731660,56985850,50229268,53479810,49672827.0333333,77689365,57340676.6666667,59211200
"sp|O00566|MPP10_HUMAN",NA,NA,30815834,85423520,81184525,89307550,122120600,133409940,127001883.333333,141571706.666667,129050596.666667,152679600,155828290,214062315,145809956.666667,149655580,165137830,154380576.666667
"sp|O00567|NOP56_HUMAN",46404211.5,805581998.5,2250917345,2679543790,3056929462,2133422251,2361191157.5,2372455543.33333,2995637645,2713729775,3447846139,7414767860,5598911520,4983369840,3485374820,5066820220,2474879066.66667,3818602130
"sp|O00571|DDX3X_HUMAN",24065731,39377796.3333333,16603487.5,10738846.3333333,12786902.6666667,41721202,49088207.6666667,54367230,37624953.3333333,40970411.3333333,40351788.3333333,14851420,30672491.6666667,33785543,55480190,52775450,8688527,54295405
"sp|O00592|PODXL_HUMAN",22952508.3333333,506060340,137801994.5,836503530,530872990,14493466.6666667,13601010,928188400,19954885,17651546.6666667,117370000,107690425,39139320,77796680,16656865,12009135,14176110,12005435.3333333
"sp|O00712|NFIB_HUMAN",8577883,13036110,17876700,18111330,32392740,18812549.5,37969780,35412630,32734450,35546970,39727330,41030650,NA,NA,43514810,47181440,NA,NA
"sp|O13563|RPN13_YEAST",NA,112303713,145628790,76603598.5,84382052.5,129251381,703253736.5,765408415,783053090,921501537,975207965.5,899928057.5,1756981100,1826471639.5,2196156678,2439343109.5,2001100811.5,2780149836
"sp|O14497|ARI1A_HUMAN",31155993.3333333,84454776.6666667,81177296.6666667,102134733.333333,98413663.3333333,88449773.3333333,88433713.3333333,88687503.3333333,98204103.3333333,95598223.3333333,83527990,94325026.6666667,77311053.3333333,82697230,78673620,116834210,82343210,84598741.8
"sp|O14523|C2C2L_HUMAN",12431679.5,5458879,17821874,19071491.5,22468862.5,19035946.5,16200961.5,16165469,17908063.5,17476231,17022944.5,16796284,23673180,23284605,23392770,15662882.5,21209275,25409125
"sp|O14524|NEMP1_HUMAN",7261514,13002690,9132483.5,8931601,11758360,8686095.5,6457325,9758949.5,9429963,9438704,9267710.5,8408682,11017560,13313670,14724770,9502290,11072560,11722860
"sp|O14544|SOCS6_HUMAN",21587765,23348145,22568415,21751205,15920870,28013195,12555708.5,13185971,NA,13789647.5,25007835,22101450,12451892,18908200,23786020,19325750,18331640,30205320
"sp|O14578|CTRO_HUMAN",28102796.6666667,43935000,46557806.3333333,48652678.3333333,54892459.6666667,53073958.6666667,49091106,51954333.3333333,51511052.6666667,52300643.3333333,47131066.6666667,49874523.3333333,47291060,55969340,46083444,46877823.3333333,50597990,53422803.3333333
"sp|O14617|AP3D1_HUMAN",15730680,9740629,8219933,53762300,37705700,62818490,NA,12122720,12791970,9742243,13340710,12992900,19145980,21626180,19898290,22310575,18638370,17147840
"sp|O14646|CHD1_HUMAN",31512282.5,27364785.3333333,36897140,34378663.3333333,40052923.3333333,43334603.3333333,54389010,59616646.3333333,62761753.3333333,61306056.3333333,60759753,62945286.6666667,64121166.6666667,87112760,83487885,82227835,93393615,63653383.3333333
"sp|O14647|CHD2_HUMAN",20961050,48706290,37340110,45606260,77187250,48770473,58660784,42321890.6666667,36944473.3333333,37330481.3333333,38679443.3333333,38602746,53693339,33414673.3333333,51850685,37324280,58469792.5,57200265
"sp|O14672|ADA10_HUMAN",12434751.5,18501010,19971010,17108130,20301390,19631680,19900380,21120610,21930120,8261919,21315910,20128420,16901370,19469250,19300370,17378670,20195650,25333220
"sp|O14686|KMT2D_HUMAN",54057936.6666667,92685550,89675300,86517240,92956916.6666667,100353816.666667,91117666.6666667,93296586.6666667,90864576.6666667,89667513.3333333,94798783.3333333,89095223.3333333,82650826.6666667,85822126.6666667,93781146.6666667,87289752,92268096.6666667,98620540
"sp|O14713|ITBP1_HUMAN",14219343.5,17779451.5,19399521.5,18119952,23781847,20954006,9744101.55,13781837.5,14170016.5,20709596,14138691,27434781.5,18067738,12597689.5,15226900,51965325,NA,17197370
"sp|O14737|PDCD5_HUMAN",307639100,8120646,334474200,202615397.5,184113122.5,225414085.5,367824400,390176100,206003383.25,209046384.5,432064000,456581200,NA,431029100,417605300,431655700,442590000,462184100
"sp|O14757|CHK1_HUMAN",11446328.6666667,26040550,34238753.3333333,20138286.6666667,39205600,29494840,22989506.6666667,25182590,16018076.6666667,23625380,28055813.3333333,29741113.3333333,33308720,NA,11887179,8994735.5,21479205,NA
"sp|O14776|TCRG1_HUMAN",NA,3154397,6045776,7403571,6319527,5442371,NA,5789062,NA,10069655,5649646,3866183,9380606,NA,NA,NA,9762494,NA
"sp|O14874|BCKD_HUMAN",17700775.6666667,21250103.5,19323198.6666667,19323791,42553380,26639800,25427355,29146685,34610760,33124390,17489801,18932420,NA,3356094,NA,NA,NA,NA
