"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",-0.459282275300097,22.0469807454939,-2.09070609898669,0.094914539959529,0.214064376154276,-5.41183445306664,FALSE,21.7714113803138,22.2306936556139,2,3
"2","sp|A0FGR8|ESYT2_HUMAN",0.449953151778338,25.5390681672138,1.82000500813342,0.0945107091885131,0.213766619895633,-6.14906234576117,FALSE,25.764044743103,25.3140915913247,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",0.25289659614288,23.0554061520666,1.36226835422248,0.198852990906095,0.354246192513669,-6.79543998799309,FALSE,23.181854450138,22.9289578539951,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",0.10260988694928,26.2331791292905,1.02799780949777,0.324808098247042,0.495718560539585,-7.18033430556402,FALSE,26.2844840727651,26.1818741858158,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.228642249721147,24.1549899323615,-2.02833434133019,0.0682628095522091,0.172014137390507,-5.78279017974606,FALSE,24.0510616370337,24.2797038867549,6,5
"6","sp|A2A2Y4|FRMD3_HUMAN",0.00751402297512571,24.8537716695112,0.0537462995552104,0.958047311056977,0.973406786985746,-7.72686261427262,FALSE,24.8575286809988,24.8500146580237,6,6
"7","sp|A3KN83|SBNO1_HUMAN",-0.1186418074162,25.7412369691987,-0.836293275746339,0.419801491408931,0.583121523683091,-7.36041259230909,FALSE,25.6819160654906,25.8005578729068,6,6
"8","sp|A6ND36|FA83G_HUMAN",0.0453143161586907,23.9661138876663,0.576903824856938,0.57497533625549,0.708586522803922,-7.55061856840017,FALSE,23.9887710457457,23.943456729587,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.67831505342297,24.3158951583978,1.60519841368458,0.144244225144861,0.286342295021317,-6.27220532445251,FALSE,24.8753335095388,23.1970184561158,6,3
"10","sp|A7E2V4|ZSWM8_HUMAN",1.08755989843234,26.8615382985605,1.71452431700191,0.112865052310239,0.241649415208155,-6.30829217613734,FALSE,27.4053182477766,26.3177583493443,6,6
"11","sp|A7KAX9|RHG32_HUMAN",0.770596385035591,25.8251006934422,3.12244525845348,0.0090985698844941,0.0362655261905543,-3.8919764331557,TRUE,26.21039888596,25.4398025009244,6,6
"12","sp|O00148|DX39A_HUMAN",-0.314767527895437,23.3008033926504,-0.652208401003442,0.545068310765223,0.68369528341902,-7.02570252721633,FALSE,23.1119428759132,23.4267104038086,2,3
"13","sp|O00159|MYO1C_HUMAN",-0.0458675599943429,23.7087885652719,-0.22155195482558,0.828495860890498,0.892578413666558,-7.70188635922218,FALSE,23.6858547852747,23.731722345269,6,6
"14","sp|O00178|GTPB1_HUMAN",-0.0364509297101394,24.6086367391324,-0.044029593756968,0.965694870137417,0.978431852837071,-7.67980956174168,FALSE,24.588754413836,24.6252053435461,5,6
"15","sp|O00193|SMAP_HUMAN",1.28875033703538,30.2250264278817,2.28272842641914,0.042069917334293,0.121113756803701,-5.39538186955227,FALSE,30.8694015963994,29.580651259364,6,6
"16","sp|O00203|AP3B1_HUMAN",0.176250931582597,28.7391166378815,2.58424233581407,0.0243870824527566,0.0802873428801792,-4.86896211757158,FALSE,28.8272421036728,28.6509911720902,6,6
"17","sp|O00232|PSD12_HUMAN",-0.565355046418029,23.6939108091594,-0.800077883506096,0.442899898383262,0.600617779479671,-7.27594133881193,FALSE,23.3546977813086,23.9200528277266,4,6
"18","sp|O00257|CBX4_HUMAN",0.128865829995213,24.4252650633697,1.83905057407632,0.0914999292231548,0.208985194387413,-6.11974035977246,FALSE,24.4896979783673,24.3608321483721,6,6
"19","sp|O00264|PGRC1_HUMAN",0.184784349671591,32.3012596528306,1.99041952547756,0.0705135339256289,0.175796209696501,-5.8809936769062,FALSE,32.3936518276664,32.2088674779948,6,6
"20","sp|O00267|SPT5H_HUMAN",-0.104548425568131,25.1756695608254,-0.601701014750684,0.558892934550117,0.69348682774574,-7.53524133437714,FALSE,25.1233953480413,25.2279437736094,6,6
"21","sp|O00273|DFFA_HUMAN",-0.00220330457837602,29.7271658001619,-0.00953313233005833,0.992554966227359,0.995697205930493,-7.72837842211806,FALSE,29.7260641478727,29.728267452451,6,6
"22","sp|O00299|CLIC1_HUMAN",0.705686020422432,26.1692262556041,4.54488219724177,0.000722825027528744,0.00421232516042613,-1.29721860439506,TRUE,26.5220692658153,25.8163832453929,6,6
"23","sp|O00401|WASL_HUMAN",-0.537466678104609,27.2132075897525,-3.056207453237,0.0102735786026899,0.0399704637505095,-4.01372140791345,TRUE,26.9444742507002,27.4819409288048,6,6
"24","sp|O00410|IPO5_HUMAN",-0.462248819470726,25.9047644257627,-1.21314954601843,0.249081172744829,0.41465545265615,-6.97751110217335,FALSE,25.6736400160274,26.1358888354981,6,6
"25","sp|O00418|EF2K_HUMAN",0.924348772833147,27.5401141450227,1.68300298215533,0.118937282347556,0.250420274710179,-6.35478545182262,FALSE,28.0022885314393,27.0779397586061,6,6
"26","sp|O00429|DNM1L_HUMAN",0.199356529861848,27.8411059651681,0.536026071482042,0.602018036584815,0.730898334646794,-7.5746300474297,FALSE,27.940784230099,27.7414277002371,6,6
"27","sp|O00443|P3C2A_HUMAN",0.00174324967733825,24.950534971911,0.0113991409801816,0.991097743450785,0.994628970565218,-7.72835725744918,FALSE,24.9514065967497,24.9496633470723,6,6
