"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_4","mean_1","ngood_4","ngood_1"
"1","sp|A0AVK6|E2F8_HUMAN",-0.899725622723206,22.3243795217285,-3.42361667402451,0.0210054070250453,0.050187282571621,-3.70869271709307,FALSE,21.7845441480946,22.6842697708178,2,3
"2","sp|A0FGR8|ESYT2_HUMAN",0.0387959629073707,25.7534283868759,0.194821927315727,0.848886875036237,0.889226540585479,-7.66509424132774,FALSE,25.7728263683296,25.7340304054222,6,6
"3","sp|A0JNW5|UH1BL_HUMAN",-0.156918921265568,23.2920348188414,-0.885846792395656,0.393609444717122,0.50969958684468,-7.27420854188132,FALSE,23.2135753582086,23.3704942794742,6,6
"4","sp|A0MZ66|SHOT1_HUMAN",-0.254812408592385,26.4276517585481,-4.10838665846591,0.00153942649277942,0.00661423460732891,-2.03910183438018,TRUE,26.3002455542519,26.5550579628443,6,6
"5","sp|A1L390|PKHG3_HUMAN",-0.701988948759391,24.3967962589332,-4.40281410265575,0.0011416354747863,0.0053297346751073,-1.6218649937391,TRUE,24.0777103731335,24.7796993218929,6,5
"6","sp|A2A2Y4|FRMD3_HUMAN",-0.432453697876789,25.0884928038687,-5.3082725281355,0.000205006217221144,0.00139327281677105,0.0591777336485428,TRUE,24.8722659549303,25.3047196528071,6,6
"7","sp|A3KN83|SBNO1_HUMAN",-0.509714245247353,25.9444297260193,-3.58753855477338,0.00389892645057595,0.0133848797912617,-2.99249696921613,TRUE,25.6895726033956,26.199286848643,6,6
"8","sp|A6ND36|FA83G_HUMAN",-0.378384155859922,24.2025211190787,-3.37224203097211,0.00576395979921582,0.0181949236699802,-3.38972939314283,TRUE,24.0133290411488,24.3917131970087,6,6
"9","sp|A6NHT5|HMX3_HUMAN",1.22030583219021,24.4912109623353,1.23461452761211,0.249439077450049,0.358869501325695,-6.70294458446566,FALSE,24.8979795730654,23.6776737408751,6,3
"10","sp|A7E2V4|ZSWM8_HUMAN",0.777060404628178,27.0566576908203,1.43629176288425,0.177212288576658,0.274424649689571,-6.65675546963098,FALSE,27.4451878931343,26.6681274885062,6,6
"11","sp|A7KAX9|RHG32_HUMAN",0.364045424080694,26.0420507290351,1.64915386622997,0.125784257496928,0.208407250166478,-6.36157747829164,FALSE,26.2240734410755,25.8600280169948,6,6
"12","sp|O00148|DX39A_HUMAN",-0.837734320983314,23.6352328072839,-2.08925318362567,0.0951142389044941,0.167907100015942,-5.37224537321112,FALSE,23.1325922146939,23.9703265356772,2,3
"13","sp|O00159|MYO1C_HUMAN",-0.455546292775116,23.9454366955695,-2.30884751998528,0.0401495065461923,0.0840454162630862,-5.30839879691912,FALSE,23.7176635491819,24.173209841957,6,6
"14","sp|O00178|GTPB1_HUMAN",-0.465578685540337,24.8571615841405,-0.57271247686658,0.578723261453465,0.67420196129804,-7.4617954578284,FALSE,24.6032095738458,25.0687882593861,5,6
"15","sp|O00193|SMAP_HUMAN",0.909053436756997,30.3726016840488,1.77857371587991,0.101377717249072,0.175901788655987,-6.16975439094338,FALSE,30.8271284024273,29.9180749656703,6,6
"16","sp|O00203|AP3B1_HUMAN",-0.132620142622366,28.901553825326,-1.80939091645439,0.0962325969146256,0.169409467485122,-6.12283899595917,FALSE,28.8352437540148,28.9678638966372,6,6
"17","sp|O00232|PSD12_HUMAN",-0.972752848052217,23.9723836323554,-1.35741709659223,0.20552577796385,0.309203470111787,-6.64643296174155,FALSE,23.3887319235241,24.3614847715763,4,6
"18","sp|O00257|CBX4_HUMAN",-0.332082656082806,24.6760617151431,-3.72202269896093,0.00305958962776817,0.011339268576597,-2.74492577374781,TRUE,24.5100203871017,24.8421030431845,6,6
"19","sp|O00264|PGRC1_HUMAN",-0.36611666263837,32.4669905469576,-3.77860536527489,0.00276421505710688,0.010569057571291,-2.64098859069486,TRUE,32.2839322156384,32.6500488782768,6,6
"20","sp|O00267|SPT5H_HUMAN",-0.529471732446211,25.3939010432415,-2.70307605538243,0.0196330346128093,0.0473096413911328,-4.61432214195919,TRUE,25.1291651770184,25.6586369094646,6,6
"21","sp|O00273|DFFA_HUMAN",-0.307763874969509,29.899491937148,-1.14990371397594,0.273230975964617,0.384373209805941,-7.00712659379719,FALSE,29.7456099996632,30.0533738746327,6,6
"22","sp|O00299|CLIC1_HUMAN",0.329829579980485,26.3768417499535,2.78831451490457,0.0167962731543954,0.0420262682117794,-4.46054330557205,TRUE,26.5417565399437,26.2119269599632,6,6
"23","sp|O00401|WASL_HUMAN",-0.801981114836856,27.3773758451167,-5.28242014374467,0.000213664137971329,0.00144052816424819,0.0158391701219385,TRUE,26.9763852876983,27.7783664025351,6,6
"24","sp|O00410|IPO5_HUMAN",-0.813821311726584,26.0941773853161,-2.11984924502903,0.0562102097709005,0.110545292295759,-5.62721143877685,FALSE,25.6872667294528,26.5010880411794,6,6
"25","sp|O00418|EF2K_HUMAN",0.629483665547129,27.7349410488297,1.38498821408644,0.191991950460184,0.29356410761273,-6.72371115538127,FALSE,28.0496828816032,27.4201992160561,6,6
"26","sp|O00429|DNM1L_HUMAN",-0.0647184815769959,28.0167626647434,-0.158883203324888,0.87648058824849,0.910232810819304,-7.67196246596898,FALSE,27.9844034239549,28.0491219055319,6,6
"27","sp|O00443|P3C2A_HUMAN",-0.43406792942649,25.1784165301961,-2.13680190650345,0.0545520814795272,0.107718597729418,-5.59908030417797,FALSE,24.9613825654828,25.3954504949093,6,6
"28","sp|O00472|ELL2_HUMAN",-0.28451304735329,25.2195980662445,-2.88640449118859,0.0140315888578799,0.0366324178730439,-4.28243829566334,TRUE,25.0773415425678,25.3618545899211,6,6
"29","sp|O00499|BIN1_HUMAN",0.0340471928796839,28.6033006642532,0.223724121876609,0.826845174337838,0.871644779028734,-7.65856514778552,FALSE,28.6203242606931,28.5862770678134,6,6
"30","sp|O00505|IMA4_HUMAN",0.850056674264459,28.9743743004621,0.851541870798955,0.411622538407734,0.526204304015938,-7.30453065404603,FALSE,29.3994026375943,28.5493459633299,6,6
"31","sp|O00512|BCL9_HUMAN",-0.507185231602402,25.9241975577006,-3.74113766598646,0.00295633650858353,0.0110372798958163,-2.70979615578497,TRUE,25.6706049418994,26.1777901735018,6,6
"32","sp|O00566|MPP10_HUMAN",0.77681172180987,26.7270782691441,3.171188714201,0.0104009228591705,0.0292634178113177,-3.78621979440307,TRUE,27.0378029578681,26.2609912360582,6,4
"33","sp|O00567|NOP56_HUMAN",1.15578302614867,30.9060430923807,1.42128358541245,0.181433539452959,0.280447574703201,-6.67652034633003,FALSE,31.483934605455,30.3281515793063,6,6
"34","sp|O00571|DDX3X_HUMAN",0.367659416940106,24.9604244724035,0.85741186734409,0.408501475938365,0.524595360437566,-7.29941685727951,FALSE,25.1442541808735,24.7765947639334,6,6
"35","sp|O00592|PODXL_HUMAN",-1.56988371118057,26.7072775337287,-1.24427322920345,0.237839480167534,0.346507518519942,-6.89816484816822,FALSE,25.9223356781384,27.4922193893189,6,6
"36","sp|O00712|NFIB_HUMAN",0.701682077536016,24.7942300927484,3.80293532498077,0.00264638319459991,0.0102421090050546,-2.59634621948539,TRUE,25.1450711315164,24.4433890539804,6,6
