"Protein","LogIntensities","GROUP","SUBJECT","originalRUN"
"sp|A0AVK6|E2F8_HUMAN",22.6634003481703,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0AVK6|E2F8_HUMAN",22.6376561231164,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0AVK6|E2F8_HUMAN",22.6175797864914,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0AVK6|E2F8_HUMAN",21.5321842825421,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",21.2847865669517,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0FGR8|ESYT2_HUMAN",23.3417235946683,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0FGR8|ESYT2_HUMAN",23.3116883295971,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0FGR8|ESYT2_HUMAN",22.3928399530351,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0FGR8|ESYT2_HUMAN",22.3339937228967,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0FGR8|ESYT2_HUMAN",23.2260783259763,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0FGR8|ESYT2_HUMAN",21.1718404945662,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0FGR8|ESYT2_HUMAN",22.2162424281895,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0FGR8|ESYT2_HUMAN",21.8930665167793,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0FGR8|ESYT2_HUMAN",22.2417272695491,"SP=Yeast;CT=Mixture;QY=10",3,"16"
"sp|A0FGR8|ESYT2_HUMAN",22.0448264167067,"SP=Yeast;CT=Mixture;QY=10",3,"17"
"sp|A0FGR8|ESYT2_HUMAN",22.4387496163871,"SP=Yeast;CT=Mixture;QY=10",3,"18"
"sp|A0FGR8|ESYT2_HUMAN",22.7559267838875,"SP=Yeast;CT=Mixture;QY=4",2,"10"
"sp|A0FGR8|ESYT2_HUMAN",22.8228942180294,"SP=Yeast;CT=Mixture;QY=4",2,"11"
"sp|A0FGR8|ESYT2_HUMAN",22.6115888147432,"SP=Yeast;CT=Mixture;QY=4",2,"12"
"sp|A0FGR8|ESYT2_HUMAN",23.2817413984239,"SP=Yeast;CT=Mixture;QY=4",2,"7"
"sp|A0FGR8|ESYT2_HUMAN",23.3150869923614,"SP=Yeast;CT=Mixture;QY=4",2,"8"
"sp|A0FGR8|ESYT2_HUMAN",23.0156872972643,"SP=Yeast;CT=Mixture;QY=4",2,"9"
"sp|A0JNW5|UH1BL_HUMAN",22.7530909155394,"SP=Yeast;CT=Mixture;QY=1",1,"1"
"sp|A0JNW5|UH1BL_HUMAN",23.0916217623285,"SP=Yeast;CT=Mixture;QY=1",1,"2"
"sp|A0JNW5|UH1BL_HUMAN",23.0697996487068,"SP=Yeast;CT=Mixture;QY=1",1,"3"
"sp|A0JNW5|UH1BL_HUMAN",23.0452072857056,"SP=Yeast;CT=Mixture;QY=1",1,"4"
"sp|A0JNW5|UH1BL_HUMAN",22.9147829522588,"SP=Yeast;CT=Mixture;QY=1",1,"5"
"sp|A0JNW5|UH1BL_HUMAN",23.0132207891767,"SP=Yeast;CT=Mixture;QY=1",1,"6"
"sp|A0JNW5|UH1BL_HUMAN",21.8516417896323,"SP=Yeast;CT=Mixture;QY=10",3,"13"
"sp|A0JNW5|UH1BL_HUMAN",22.8200373989318,"SP=Yeast;CT=Mixture;QY=10",3,"14"
"sp|A0JNW5|UH1BL_HUMAN",21.7653804026,"SP=Yeast;CT=Mixture;QY=10",3,"15"
"sp|A0JNW5|UH1BL_HUMAN",22.3161917305374,"SP=Yeast;CT=Mixture;QY=10",3,"16"
"sp|A0JNW5|UH1BL_HUMAN",22.7661249714837,"SP=Yeast;CT=Mixture;QY=10",3,"17"
"sp|A0JNW5|UH1BL_HUMAN",22.1727451755621,"SP=Yeast;CT=Mixture;QY=10",3,"18"
"sp|A0JNW5|UH1BL_HUMAN",22.9745167974986,"SP=Yeast;CT=Mixture;QY=4",2,"10"
"sp|A0JNW5|UH1BL_HUMAN",22.8295011324315,"SP=Yeast;CT=Mixture;QY=4",2,"11"
"sp|A0JNW5|UH1BL_HUMAN",22.9418877885595,"SP=Yeast;CT=Mixture;QY=4",2,"12"
"sp|A0JNW5|UH1BL_HUMAN",22.7142906481702,"SP=Yeast;CT=Mixture;QY=4",2,"7"
"sp|A0JNW5|UH1BL_HUMAN",22.1283948318602,"SP=Yeast;CT=Mixture;QY=4",2,"8"
