"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN","BaP vs Control",0.0577105652464501,0.173423639352434,0.332772195658804,10,0.746177318166801,0.95625462787549,NA,0.261904761904762,0.261904761904762
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN","BaP vs Control",0.378606053487664,0.150418346408517,2.5170204468238,2,0.12818621659559,0.765501790900329,NA,0.666666666666667,0
"sp|A0AV96|RBM47_HUMAN","BaP vs Control",0.168432582560542,0.135832971883913,1.23999777244431,6,0.261269370639661,0.847762682911806,NA,0.541666666666667,0.208333333333333
"sp|A0AVT1|UBA6_HUMAN","BaP vs Control",0.22665213852767,0.137548464151006,1.64779839547203,10,0.130412845450154,0.771871707886681,NA,0.37797619047619,0.37797619047619
"sp|A0FGR8|ESYT2_HUMAN","BaP vs Control",0.54359817623323,0.647375364226465,0.839695493946953,3,0.462723149522496,0.896580362313816,NA,0.583333333333333,0
"sp|A0MZ66|SHOT1_HUMAN","BaP vs Control",0.083088264364288,0.1884364626169,0.44093517364105,10,0.668639858167347,0.941344186070691,NA,0.25,0.25
"sp|A0PJW6|TM223_HUMAN","BaP vs Control",-0.296009862876676,0.213661879399554,-1.38541261411976,1,0.398022228170361,0.876800987650095,NA,0.75,0
"sp|A1L0T0|HACL2_HUMAN","BaP vs Control",0.450020089965676,0.157328244277185,2.86038970328061,10,0.016945576147859,0.544362025494669,NA,0.402777777777778,0.402777777777778
"sp|A1L170|CA226_HUMAN","BaP vs Control",0.119959309382162,0.145567038969237,0.82408291211799,5,0.447405424360866,0.886437459239861,NA,0.416666666666667,0
"sp|A2RRP1|NBAS_HUMAN","BaP vs Control",-0.0999676911350628,0.196221008817715,-0.509464770043715,10,0.621479731571647,0.933524923196089,NA,0.4375,0.4375
"sp|A2RTX5|SYTC2_HUMAN","BaP vs Control",3.64098629718173,3.31687592077213,1.09771555649093,2,0.386835228957898,0.876800987650095,NA,0.666666666666667,0
"sp|A3KMH1|VWA8_HUMAN","BaP vs Control",0.124137437771453,0.128664788716465,0.964812821050921,10,0.357390479798207,0.86917707570325,NA,0.425,0.425
"sp|A3KN83|SBNO1_HUMAN","BaP vs Control",-0.39045125797927,0.149823334852953,-2.60607774057683,2,0.12107384319397,0.755981181766103,NA,0.666666666666667,0
"sp|A4D1E9|GTPBA_HUMAN","BaP vs Control",0.111561879819821,0.0871636281955536,1.27991321758118,10,0.229470187295385,0.841375327430009,NA,0.472222222222222,0.472222222222222
