protein,logFC,AveExpr,t,P.Value,adj.P.Val,B
sp|Q86TG7|PEG10_HUMAN,-1.030186229,28.40310149,-7.502518478,9.14E-06,0.040252546,3.556267573
sp|Q8TB61|S35B2_HUMAN,-0.780192896,24.98351608,-5.946004224,7.98E-05,0.104759172,1.76137656
sp|Q14914|PTGR1_HUMAN,0.886283045,25.77849024,5.710882464,0.000113877,0.104759172,1.455072846
sp|O60218|AK1BA_HUMAN,0.806112861,29.73967687,5.178381425,0.000262163,0.176554967,0.725924113
sp|P61966|AP1S1_HUMAN,0.58589979,25.0221652,5.135733013,0.000280755,0.176554967,0.665408207
sp|Q9Y520|PRC2C_HUMAN,-0.586076772,24.08032948,-4.818837968,0.000470858,0.255617773,0.206100398
sp|P02656|APOC3_HUMAN,-1.14016201,24.39325073,-4.893723931,0.000542167,0.255617773,0.095089351
sp|P21741|MK_HUMAN,-1.052950496,23.29816533,-4.849351512,0.000580686,0.255617773,0.034995346
sp|A6NCS6|CB072_HUMAN,-1.261082764,25.4854343,-4.514761767,0.000783424,0.291756313,-0.250145391
sp|P29372|3MG_HUMAN,3.987900279,24.28303052,14.93605616,5.07E-05,0.104759172,-0.295060648
sp|Q6P1A2|MBOA5_HUMAN,1.099213044,22.84601815,4.752167297,0.000890522,0.291756313,-0.332495608
sp|P02679|FIBG_HUMAN,-0.371412729,28.69344664,-4.401150168,0.000950549,0.291756313,-0.42432415
sp|P10451|OSTP_HUMAN,1.385869712,24.4680017,4.555411591,0.001189817,0.291756313,-0.581691763
sp|P08195|4F2_HUMAN,1.302677644,27.86616963,4.270278352,0.001190134,0.291756313,-0.62733682
sp|O94907|DKK1_HUMAN,-0.942191424,24.88463572,-4.224379737,0.001288403,0.291756313,-0.699116333
sp|P10606|COX5B_HUMAN,-1.544816707,26.38107459,-4.31577898,0.001354441,0.291756313,-0.71386185
sp|P69905|HBA_HUMAN,-0.602008701,27.55654899,-4.123721922,0.001534617,0.291756313,-0.857544607
sp|Q9Y5V3|MAGD1_HUMAN,-0.884119269,23.10486886,-4.199049035,0.001638606,0.291756313,-0.883884395
sp|Q15796|SMAD2_HUMAN,1.280288724,23.43762094,6.081951644,0.00121826,0.291756313,-0.895515321
sp|P02787|TRFE_HUMAN,-0.40760478,29.80334069,-4.065745199,0.001698161,0.291756313,-0.949405539
sp|P02671|FIBA_HUMAN,-0.330242398,28.38323341,-4.053029424,0.001736388,0.291756313,-0.969610693
sp|P62249|RS16_HUMAN,0.335473786,29.6620055,4.035832998,0.001789509,0.291756313,-0.996967966
sp|Q9NU22|MDN1_HUMAN,-5.65596825,24.53098136,-4.598671201,0.002064314,0.319579746,-1.024068331
sp|P46199|IF2M_HUMAN,-1.194339669,23.18417979,-4.026627431,0.002177963,0.319579746,-1.13879685
sp|Q7Z2E3|APTX_HUMAN,-1.341096953,23.7016019,-4.411294538,0.002615613,0.328317862,-1.234317795
sp|P04066|FUCO_HUMAN,0.38105713,25.40410091,3.87339411,0.002382594,0.327845234,-1.257149442
sp|O15533|TPSN_HUMAN,0.50633725,24.94015028,3.873239632,0.002383246,0.327845234,-1.257398324
sp|Q9Y4E6|WDR7_HUMAN,5.427380533,22.18339264,18.69388173,0.00011899,0.104759172,-1.37394386
sp|P02792|FRIL_HUMAN,1.127925714,24.472072,3.856546131,0.002894057,0.337345214,-1.394382335
sp|Q969V3|NCLN_HUMAN,1.190914729,23.03446555,3.837632617,0.002987632,0.337345214,-1.42304224
sp|Q9BTY2|FUCO2_HUMAN,0.751575716,24.91772604,3.713187808,0.003168144,0.337345214,-1.516607922
sp|Q86SE8|NPM2_HUMAN,1.714586751,22.60257272,5.951941925,0.002685017,0.328317862,-1.524194116
sp|Q8N2G8|GHDC_HUMAN,0.556666231,22.95708911,3.768626876,0.003356589,0.337345214,-1.527990199
sp|Q01581|HMCS1_HUMAN,-0.281292061,27.92133212,-3.702819518,0.003227382,0.337345214,-1.533487358
sp|Q8ND24|RN214_HUMAN,-0.484406144,24.54106982,-3.701453781,0.00323527,0.337345214,-1.535711503
sp|O00754|MA2B1_HUMAN,0.823467621,23.3337015,3.687310152,0.003318128,0.337345214,-1.558754923
sp|P55060|XPO2_HUMAN,0.779650639,30.3313443,3.677793954,0.003375102,0.337345214,-1.574269365
sp|Q5JPH6|SYEM_HUMAN,-0.501690538,24.73595874,-3.6657661,0.003448554,0.337345214,-1.593890204
sp|Q8ND04|SMG8_HUMAN,-2.419663097,22.72231523,-7.106227786,0.001286776,0.291756313,-1.597703351
sp|Q96ER9|MITOK_HUMAN,-0.633470515,23.41610148,-3.798635813,0.003815051,0.34783343,-1.602236091
sp|Q9UHW5|GPN3_HUMAN,2.73075368,22.44649989,7.059581608,0.001322906,0.291756313,-1.606820792
sp|Q9NX47|MARH5_HUMAN,-1.7049036,22.41199416,-4.270843865,0.004346442,0.34783343,-1.63461674
sp|Q96F07|CYFP2_HUMAN,1.334689461,22.69684924,5.196138964,0.002595507,0.328317862,-1.696217347
sp|P51571|SSRD_HUMAN,0.337447384,28.06250467,3.600291848,0.003878192,0.34783343,-1.700915507
sp|P09497|CLCB_HUMAN,-0.63075841,23.94497129,-3.752556822,0.005000732,0.34783343,-1.801824588
sp|P07099|HYEP_HUMAN,0.482293183,27.18251761,3.537510177,0.004341771,0.34783343,-1.803862214
sp|Q9HD34|LYRM4_HUMAN,-0.626144443,24.65497747,-3.504869335,0.004604833,0.34783343,-1.857499209
