"Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN","BaP vs Control",0.365509315239231,0.28159931054205,1.29797659850681,10,0.223433761472709,0.56985578023014,NA,0.261904761904762,0.261904761904762
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN","BaP vs Control",1.5227988710719,0.241373704995094,6.3088846861047,2,0.0242154802408492,0.460719605868612,NA,0.666666666666667,0
"sp|A0AV96|RBM47_HUMAN","BaP vs Control",0.173477110468115,0.193137662795084,0.898204461820432,6,0.403678304478022,0.687991739260961,NA,0.541666666666667,0.208333333333333
"sp|A0AVT1|UBA6_HUMAN","BaP vs Control",0.397924045369216,0.226501731549918,1.75682562180113,10,0.109464998451471,0.508979468847709,NA,0.37797619047619,0.37797619047619
"sp|A0FGR8|ESYT2_HUMAN","BaP vs Control",1.18017523663135,0.66938845654754,1.76306481697976,3,0.176091321331033,0.547343558911082,NA,0.583333333333333,0
"sp|A0MZ66|SHOT1_HUMAN","BaP vs Control",0.167286694105484,0.160650672998658,1.04130714788155,10,0.322253910541389,0.638254152040117,NA,0.25,0.25
"sp|A0PJW6|TM223_HUMAN","BaP vs Control",-0.226459603606174,0.638860657588278,-0.354474173540546,1,0.783132198353892,0.893033192658494,NA,0.75,0
"sp|A1L0T0|HACL2_HUMAN","BaP vs Control",0.789053678310314,0.258541069597197,3.05194714147214,10,0.0122110786024043,0.460719605868612,NA,0.402777777777778,0.402777777777778
"sp|A1L170|CA226_HUMAN","BaP vs Control",0.0388739671892941,0.174393686431313,0.222909257696121,5,0.832426302389086,0.917842204922772,NA,0.416666666666667,0
"sp|A2RRP1|NBAS_HUMAN","BaP vs Control",0.0727474189512933,0.351190885991858,0.207144951230255,10,0.840053929280762,0.922416039716962,NA,0.4375,0.4375
"sp|A2RTX5|SYTC2_HUMAN","BaP vs Control",4.60845653873162,3.11332840505173,1.48023463610645,2,0.276952495790005,0.604499139977705,NA,0.666666666666667,0
"sp|A3KMH1|VWA8_HUMAN","BaP vs Control",0.383876677187602,0.246212876212618,1.55912510788471,10,0.150026058410858,0.528810551374742,NA,0.425,0.425
