"Protein","LogIntensities","GROUP","SUBJECT"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.1196341849206,"BaP",1
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.51699926883,"BaP",2
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.2148364936455,"BaP",3
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.0175687110696,"BaP",4
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",26.0251526081039,"BaP",5
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.1915015552561,"BaP",6
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",24.3951324552386,"Control",7
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",24.5321973741276,"Control",8
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",24.6774555525657,"Control",9
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",24.8900183524346,"Control",10
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.6201544400089,"Control",11
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",25.777678756015,"Control",12
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",26.5911278422351,"BaP",2
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",26.6573192674304,"BaP",5
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",26.2667296825568,"BaP",6
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",24.9822600596689,"Control",8
"sp|A0AV96|RBM47_HUMAN",21.9622461533163,"BaP",1
"sp|A0AV96|RBM47_HUMAN",21.6014927601524,"BaP",3
"sp|A0AV96|RBM47_HUMAN",22.0165410299759,"BaP",4
"sp|A0AV96|RBM47_HUMAN",22.0982597334349,"BaP",5
"sp|A0AV96|RBM47_HUMAN",21.9817908197777,"BaP",6
"sp|A0AV96|RBM47_HUMAN",21.4470626078565,"Control",8
"sp|A0AV96|RBM47_HUMAN",21.6626998588824,"Control",10
"sp|A0AV96|RBM47_HUMAN",22.166004499851,"Control",12
"sp|A0AVT1|UBA6_HUMAN",23.7978929728702,"BaP",1
"sp|A0AVT1|UBA6_HUMAN",24.1649983062248,"BaP",2
"sp|A0AVT1|UBA6_HUMAN",23.5488018749598,"BaP",3
"sp|A0AVT1|UBA6_HUMAN",23.5623374978075,"BaP",4
"sp|A0AVT1|UBA6_HUMAN",24.2445134582964,"BaP",5
"sp|A0AVT1|UBA6_HUMAN",23.4310751797359,"BaP",6
"sp|A0AVT1|UBA6_HUMAN",23.9130910329088,"Control",7
"sp|A0AVT1|UBA6_HUMAN",22.6970483872495,"Control",8
"sp|A0AVT1|UBA6_HUMAN",23.3061056225161,"Control",9
"sp|A0AVT1|UBA6_HUMAN",23.1487396077169,"Control",10
"sp|A0AVT1|UBA6_HUMAN",23.6616438120292,"Control",11
"sp|A0AVT1|UBA6_HUMAN",23.6354465552589,"Control",12
"sp|A0FGR8|ESYT2_HUMAN",24.3354102555584,"BaP",1
"sp|A0FGR8|ESYT2_HUMAN",23.1135528510208,"BaP",4
"sp|A0FGR8|ESYT2_HUMAN",24.6756505298246,"BaP",5
"sp|A0FGR8|ESYT2_HUMAN",22.4984058810128,"Control",9
"sp|A0FGR8|ESYT2_HUMAN",23.2243194033271,"Control",10
"sp|A0MZ66|SHOT1_HUMAN",24.8036763115899,"BaP",1
"sp|A0MZ66|SHOT1_HUMAN",25.3583822915655,"BaP",2
"sp|A0MZ66|SHOT1_HUMAN",25.137323663322,"BaP",3
"sp|A0MZ66|SHOT1_HUMAN",24.8070420887101,"BaP",4
"sp|A0MZ66|SHOT1_HUMAN",25.4928677938155,"BaP",5
"sp|A0MZ66|SHOT1_HUMAN",24.9963490069137,"BaP",6
"sp|A0MZ66|SHOT1_HUMAN",24.4499494946077,"Control",7
"sp|A0MZ66|SHOT1_HUMAN",24.8919456538816,"Control",8
"sp|A0MZ66|SHOT1_HUMAN",25.1339412069354,"Control",9
"sp|A0MZ66|SHOT1_HUMAN",25.1457672176304,"Control",10
"sp|A0MZ66|SHOT1_HUMAN",25.1288280444955,"Control",11
"sp|A0MZ66|SHOT1_HUMAN",24.8414893737332,"Control",12
"sp|A0PJW6|TM223_HUMAN",23.0753146182192,"BaP",3
"sp|A0PJW6|TM223_HUMAN",22.9329278491921,"Control",10
"sp|A0PJW6|TM223_HUMAN",23.6706205944586,"Control",12
"sp|A1L0T0|HACL2_HUMAN",22.9597455706048,"BaP",1
"sp|A1L0T0|HACL2_HUMAN",23.6042493199254,"BaP",2
"sp|A1L0T0|HACL2_HUMAN",22.4342790223499,"BaP",3
"sp|A1L0T0|HACL2_HUMAN",22.5898216098583,"BaP",4
"sp|A1L0T0|HACL2_HUMAN",23.9439674990792,"BaP",5
"sp|A1L0T0|HACL2_HUMAN",22.9573540463638,"BaP",6
"sp|A1L0T0|HACL2_HUMAN",22.1484948091428,"Control",7
"sp|A1L0T0|HACL2_HUMAN",21.9267175480733,"Control",8
