"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",-0.358278168965645,26.5853579924958,-1.21064628180867,0.248860956524012,0.617251726083799,-5.25549342267606,FALSE,26.7644970769786,26.4062189080129,6,6
"2","sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","sp|A0AV96|RBM47_HUMAN",-0.209807219159174,22.1800323862389,-0.663531436201406,0.523171552420042,0.773076955448171,-5.59626187475572,FALSE,22.2732800391985,22.0634728200393,5,4
"4","sp|A0AVT1|UBA6_HUMAN",-1.04450065943265,25.8869046868271,-2.70658627837489,0.0187722504148871,0.494471492311037,-3.10374694191348,FALSE,26.4091550165435,25.3646543571108,6,6
"5","sp|A0FGR8|ESYT2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6","sp|A0MZ66|SHOT1_HUMAN",-0.048017450420437,25.9361200518056,-0.238046564282789,0.815778323234354,0.911617934244676,-5.92330198085079,FALSE,25.9601287770158,25.9121113265954,6,6
"7","sp|A0PJW6|TM223_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8","sp|A1L0T0|HACL2_HUMAN",-0.462819224510611,23.9862538215226,-2.23645965542881,0.0446472464829847,0.495415456970165,-3.8604140893225,FALSE,24.2176634337779,23.7548442092673,6,6
"9","sp|A1L170|CA226_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10","sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"11","sp|A2RRP1|NBAS_HUMAN",0.662500150603059,23.3863976374036,1.33844089684254,0.205053576603123,0.590965179249003,-5.11155936246442,FALSE,23.0551475621021,23.7176477127052,6,6
"12","sp|A2RTX5|SYTC2_HUMAN",-3.50227129385743,22.8807402903533,-1.68780054659002,0.149394208288378,0.563124845632532,-4.4321688301202,FALSE,24.2816488078962,20.7793775140388,3,2
"13","sp|A3KMH1|VWA8_HUMAN",-0.441937534320336,23.6044879835527,-1.3965417047412,0.187329109626173,0.579719470146562,-5.04264529228381,FALSE,23.8254567507129,23.3835192163925,6,6
"14","sp|A3KN83|SBNO1_HUMAN",1.1381541090301,21.7571554610583,1.33932698732858,0.247521216512784,0.617002673605933,-4.65943106904436,FALSE,20.9035398792857,22.0416939883158,1,3
"15","sp|A4D1E1|Z804B_HUMAN",6.6933147633518,21.1166482091776,10.8417419263079,0.0054296030537411,0.426091894379503,-3.30290935005783,FALSE,17.7699908275017,24.4633055908535,1,1
"16","sp|A4D1E9|GTPBA_HUMAN",-0.568299859630525,23.4200913315279,-1.77722548564148,0.100335754508959,0.546739896264879,-4.5443824376795,FALSE,23.7042412613431,23.1359414017126,6,6
"17","sp|A4D1P6|WDR91_HUMAN",0.226026111341277,23.8773738447415,0.438922332081717,0.669820629499181,0.844638427429713,-5.77082869977564,FALSE,23.7643607890709,23.9903869004121,5,5
"18","sp|A4FU69|EFCB5_HUMAN",6.97222528272447,23.5894798572946,11.293517463315,0.00495820533497254,0.424833834721343,-3.29759232716563,FALSE,20.1033672159324,27.0755924986568,1,1
"19","sp|A5A3E0|POTEF_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"20","sp|A5D8V6|VP37C_HUMAN",0.0394382844960869,22.8317684308078,0.0312473581516423,0.975735719830021,0.993479108071303,-5.81276990122201,FALSE,22.8098582727544,22.8492965572505,4,5
"21","sp|A5PLN9|TPC13_HUMAN",-0.988369323653411,22.3544013644344,-2.69874653094124,0.0238621387176883,0.494471492311037,-3.17803737774332,FALSE,22.7936766193915,21.805307295738,5,4
"22","sp|A5YKK6|CNOT1_HUMAN",0.0702819806559641,25.4776487234696,0.205161080833289,0.840814304782603,0.923699667994265,-5.93063000666093,FALSE,25.4425077331416,25.5127897137976,6,6
"23","sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"24","sp|A6NCS6|CB072_HUMAN",1.05896990999999,25.4666417983908,3.67273488534924,0.00308563259292285,0.399498666883717,-1.49925436615925,FALSE,24.9371568433908,25.9961267533908,6,6
"25","sp|A6NDB9|PALM3_HUMAN",-0.303487134939359,22.5644049977597,-1.27971786637794,0.228834820519625,0.608014596536928,-5.08753747859613,FALSE,22.6857998517354,22.3823127167961,6,4
"26","sp|A6NDG6|PGP_HUMAN",-0.64283456823757,27.944153715042,-0.741024770376121,0.472638370978651,0.745435675057913,-5.68100546877797,FALSE,28.2655709991608,27.6227364309233,6,6
"27","sp|A6NDU8|CE051_HUMAN",0.242171445786999,24.1154079159969,0.643756820683468,0.532630691490868,0.776851309296405,-5.70225388642517,FALSE,24.0053299860938,24.2475014318808,6,5
"28","sp|A6NED2|RCCD1_HUMAN",-0.613910710186731,23.2242655813917,-1.23217119697179,0.245386594428908,0.616792516960735,-5.13906008338891,FALSE,23.4698298654663,22.8559191552796,6,4
"29","sp|A6NH11|GLTD2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"30","sp|A6NHL2|TBAL3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31","sp|A6NHQ2|FBLL1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"32","sp|A6NHR9|SMHD1_HUMAN",-0.436833476839297,25.7225806828584,-1.65122897539032,0.124064875029734,0.555245859177784,-4.71752875282944,FALSE,25.9409974212781,25.5041639444388,6,6
"33","sp|A6NHX0|CAST2_HUMAN",-0.382137143982854,22.4004144710768,-1.60731961460759,0.138302200880171,0.557181039302843,-4.69851532135081,FALSE,22.5532693286699,22.1711321846871,6,4
"34","sp|A6NIH7|U119B_HUMAN",0.336016716596075,23.5294373708072,0.406284768578792,0.704139629197464,0.859097186177172,-5.27186227123798,FALSE,23.2774248333602,23.6134415499562,1,3
"35","sp|A6NJ78|MET15_HUMAN",-0.241788392473116,22.985287163953,-1.14009992471986,0.277924059408766,0.637530854360286,-5.28886567188463,FALSE,23.0951909787135,22.8534025862404,6,5
"36","sp|A6NLJ0|C2C4B_HUMAN;sp|O75161|NPHP4_HUMAN;sp|Q8NCU7|C2C4A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"37","sp|A6PVI3|NCB2L_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"38","sp|A7E2Y1|MYH7B_HUMAN",-0.0234115730079332,24.1704309427372,-0.0204076350608047,0.984268093264089,0.994824175499032,-5.69609277277047,FALSE,24.183808984456,24.1603974114481,3,4
"39","sp|A8MWD9|RUXGL_HUMAN;sp|P62308|RUXG_HUMAN",-0.139929332658528,27.6152069424883,-0.718068926198788,0.486178243717123,0.751137773543658,-5.69716760600638,FALSE,27.6851716088176,27.5452422761591,6,6
"40","sp|A8MWX3|WASH4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"41","sp|A8MXV4|NUD19_HUMAN",0.358233017442145,21.2861697725281,0.903905311843443,0.388965383190447,0.701439964984052,-5.41892922751639,FALSE,21.0871514295047,21.4453844469468,4,5
"42","sp|A9QM74|IMA8_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"43","sp|B2RUZ4|SMIM1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"44","sp|B7ZAP0|RBG10_HUMAN",-1.58477239239774,26.4220023786933,-3.39457548233463,0.0376482130989888,0.495415456970165,-3.40236156570881,FALSE,26.9502598428259,25.3654874504282,2,1
"45","sp|B7ZAQ6|GPHRA_HUMAN;sp|P0CG08|GPHRB_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"46","sp|B7ZW38|HNRC3_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P0DMR1|HNRC4_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"47","sp|C9JLW8|MCRI1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"48","sp|E9PAV3|NACAM_HUMAN;sp|Q13765|NACA_HUMAN",-0.0341824945994014,29.4997495300403,-0.273675343487309,0.788891796137432,0.898979392370436,-5.91414834947747,FALSE,29.51684077734,29.4826582827406,6,6
"49","sp|E9PRG8|CK098_HUMAN",-0.0871070989826043,26.694462816327,-0.671418571333145,0.514410261039302,0.768907969132431,-5.72857417374986,FALSE,26.7380163658183,26.6509092668357,6,6
"50","sp|O00116|ADAS_HUMAN",0.183714246040224,24.4175622921314,0.57254343081446,0.577306364216841,0.804719004205996,-5.78864190577553,FALSE,24.3257051691113,24.5094194151516,6,6
"51","sp|O00139|KIF2A_HUMAN",-0.0953676579082525,23.071965317791,-0.306143790473516,0.765619722023957,0.889839003277411,-5.80148737924075,FALSE,23.1101123809543,23.0147447230461,6,4
"52","sp|O00142|KITM_HUMAN",-1.80281536088099,23.119260684291,-2.92017626161472,0.0867641800965089,0.534691229331979,-3.88276871583552,FALSE,24.0206683647315,22.2178530038505,1,1
"53","sp|O00148|DX39A_HUMAN",-0.348341910668259,25.5708130617568,-2.19430361292553,0.048183740118383,0.497772674066569,-3.92601635497373,FALSE,25.744984017091,25.3966421064227,6,6
"54","sp|O00151|PDLI1_HUMAN",-0.234811212933351,26.6441820368395,-0.738705561390419,0.473995602731662,0.745988074088229,-5.68265933032272,FALSE,26.7615876433062,26.5267764303728,6,6
"55","sp|O00154|BACH_HUMAN",-0.172836487440362,26.5343792716699,-0.923844858211598,0.37339852821983,0.693763996274925,-5.53617744229725,FALSE,26.6207975153901,26.4479610279497,6,6
"56","sp|O00159|MYO1C_HUMAN",-2.29201873709536,27.8940030542285,-3.34612988276827,0.00566631431101403,0.426091894379503,-2.04031534590054,FALSE,29.0400124227762,26.7479936856808,6,6
"57","sp|O00160|MYO1F_HUMAN",NA,24.0365794476262,NA,NA,NA,NA,NA,NA,24.0365794476262,0,1
"58","sp|O00161|SNP23_HUMAN",-0.276624231028061,24.0138362391885,-0.780006614294724,0.451477619010423,0.736206304581265,-5.60885789970344,FALSE,24.1395745260195,23.8629502949914,6,5
"59","sp|O00165|HAX1_HUMAN",0.172137049854246,23.2516211502551,0.650043362361888,0.533331133444538,0.777134607554735,-5.55716068274578,FALSE,23.165552625328,23.3376896751822,4,4
"60","sp|O00168|PLM_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"61","sp|O00170|AIP_HUMAN",-0.257093036441379,26.1994332798747,-1.43051482037272,0.177567563664373,0.577097610825037,-5.00139375594956,FALSE,26.3279797980954,26.070886761654,6,6
