"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0AV96|RBM47_HUMAN",-0.0072606401131786,22.2305926837699,-0.0355939109828572,0.972425661705412,0.99232487612888,-5.89048495062551,FALSE,22.2338196349313,22.2265589948181,5,4
"2","sp|A0AVT1|UBA6_HUMAN",-0.843350632412049,25.9056382683803,-2.80440588790619,0.0164659689854701,0.46999923042942,-3.01066707727565,FALSE,26.3273135845863,25.4839629521743,6,6
"3","sp|A0MZ66|SHOT1_HUMAN",0.153132576600167,25.9548536333588,0.771948580413762,0.455683710079994,0.883735874446349,-5.73396502037938,FALSE,25.8782873450587,26.0314199216589,6,6
"4","sp|A1L0T0|HACL2_HUMAN",-0.261669197490011,24.0049874030758,-1.55391509736895,0.147222755700616,0.703116265739854,-4.91391552520072,FALSE,24.1358220018208,23.8741528043308,6,6
"5","sp|A2RRP1|NBAS_HUMAN",0.863650177623654,23.4051312189568,1.98257025304193,0.0717663706533068,0.629633002268956,-4.31329687911655,FALSE,22.9733061301449,23.8369563077686,6,6
"6","sp|A2RTX5|SYTC2_HUMAN",-3.00669609512485,22.9854556244182,-1.29935326085383,0.256085057403539,0.784540105979816,-4.86919995777631,FALSE,24.1881340624682,21.1814379673433,3,2
"7","sp|A3KMH1|VWA8_HUMAN",-0.240787507299737,23.6232215651059,-1.05241996878263,0.314173971493655,0.811429358340161,-5.49068096758767,FALSE,23.7436153187557,23.502827811456,6,6
"8","sp|A3KN83|SBNO1_HUMAN",1.1541096929595,21.6780346362563,1.30287998098963,0.271214958021061,0.792221949063425,-4.72870148045265,FALSE,20.8124523665367,21.9665620594962,1,3
"9","sp|A4D1E1|Z804B_HUMAN",6.96993919255042,20.8820987244472,16.0997176034275,0.0110028929282787,0.451839015210162,-3.60196613120486,FALSE,17.3971291281719,24.3670683207224,1,1
"10","sp|A4D1E9|GTPBA_HUMAN",-0.367149832609926,23.438824913081,-1.61434962026469,0.133478524577227,0.689151145949995,-4.83429346660273,FALSE,23.622399829386,23.2552499967761,6,6
"11","sp|A4D1P6|WDR91_HUMAN",0.449688818070055,23.8561295342179,0.769629693689591,0.460180980310948,0.884707933260445,-5.65028279795167,FALSE,23.6312851251828,24.0809739432529,5,5
"12","sp|A4FU69|EFCB5_HUMAN",6.96707552534238,23.4958174658545,16.0931028780925,0.0110097583497087,0.451839015210162,-3.60198263273598,FALSE,20.0122797031833,26.9793552285257,1,1
"13","sp|A5D8V6|VP37C_HUMAN",0.306272175970199,22.875593358255,0.217009054034697,0.833305726906566,0.966922975363623,-5.86687260011716,FALSE,22.7054421493826,23.0117143253528,4,5
"14","sp|A5PLN9|TPC13_HUMAN",-0.696727645387163,22.3509442242202,-2.39427511075213,0.041736415597761,0.542944943562564,-3.67580977033675,FALSE,22.6606009555034,21.9638733101163,5,4
"15","sp|A5YKK6|CNOT1_HUMAN",0.271432007676566,25.4963823050227,0.828339449387842,0.42430138970739,0.870701194716313,-5.69027709889301,FALSE,25.3606663011844,25.632098308861,6,6
"16","sp|A6NCS6|CB072_HUMAN",1.26011993702059,25.485375379944,4.50195010813295,0.000800290463066682,0.292492450538772,-0.270645944470044,FALSE,24.8553154114337,26.1154353484543,6,6
"17","sp|A6NDB9|PALM3_HUMAN",-0.153924630462265,22.5423885675934,-0.609811365975822,0.556254565827105,0.90101428158937,-5.73959458061768,FALSE,22.6039584197783,22.450033789316,6,4
"18","sp|A6NDG6|PGP_HUMAN",-0.441684541216965,27.9628872965952,-0.53104005188488,0.605474520327431,0.909872521093491,-5.88865975568757,FALSE,28.1837295672037,27.7420450259867,6,6
"19","sp|A6NDU8|CE051_HUMAN",0.486430645846515,24.1445933931578,1.23626087100176,0.243241716752766,0.774416620366105,-5.25675893556974,FALSE,23.9234885541366,24.4099191999831,6,5
"20","sp|A6NED2|RCCD1_HUMAN",-0.320816756552476,23.2596617308882,-0.622773227304455,0.548053667017991,0.899254369134439,-5.73171971001083,FALSE,23.3879884335092,23.0671716769567,6,4
"21","sp|A6NHR9|SMHD1_HUMAN",-0.235683449818702,25.7413142644116,-1.48312136179063,0.16486659723554,0.727544127515208,-5.00472621476884,FALSE,25.8591559893209,25.6234725395022,6,6
"22","sp|A6NHX0|CAST2_HUMAN",-0.32236304608278,22.3424826782797,-1.56395124258589,0.150413017898392,0.705962644542284,-4.81739951887379,FALSE,22.4714278967128,22.14906485063,6,4
"23","sp|A6NIH7|U119B_HUMAN",0.397648201058132,23.749990711851,0.656174222707221,0.552057050837195,0.900007807348572,-5.20868642073206,FALSE,23.4517545610574,23.8494027621155,1,3
"24","sp|A6NJ78|MET15_HUMAN",0.00247080758640033,23.0144726411138,0.0139069314763836,0.989164351121347,0.996436701417452,-5.98645690329603,FALSE,23.0133495467564,23.0158203543428,6,5
"25","sp|A7E2Y1|MYH7B_HUMAN",0.186634998922436,24.2491515809088,0.168612734345092,0.871208438586467,0.971805078706602,-5.75755215960104,FALSE,24.142503010096,24.3291380090184,3,4
"26","sp|A8MXV4|NUD19_HUMAN",0.516799077754999,21.3062830107853,1.78180160430774,0.110332073658061,0.653443812473469,-4.51444812718237,FALSE,21.0191724120326,21.5359714897876,4,5
"27","sp|B7ZAP0|RBG10_HUMAN",-1.4478942881825,26.2752113718538,-4.89889347014438,0.0240732804661647,0.495036511514369,-3.17246366654425,FALSE,26.7578428012479,25.3099485130655,2,1
"28","sp|E9PRG8|CK098_HUMAN",0.114042928038002,26.7131963978802,0.843608742052433,0.41605557165329,0.868811136508263,-5.67797980139133,FALSE,26.6561749338612,26.7702178618992,6,6
"29","sp|O00116|ADAS_HUMAN",0.384864273060824,24.4362958736846,1.54836113991232,0.148545468588438,0.704804951177673,-4.92113762678115,FALSE,24.2438637371542,24.628728010215,6,6
"30","sp|O00139|KIF2A_HUMAN",0.20790087891811,23.1114313005644,0.641313746924607,0.53644501461079,0.898465080781975,-5.72019227833299,FALSE,23.0282709489972,23.2361718279153,6,4
"31","sp|O00142|KITM_HUMAN",-2.05076466754322,23.1696157586571,-4.73701866062497,0.0687284922856353,0.614909612612704,-3.7871460651493,FALSE,24.1949980924287,22.1442334248855,1,1
"32","sp|O00148|DX39A_HUMAN",-0.14719188364766,25.58954664331,-1.00707997867914,0.334574057603587,0.821721382932282,-5.53428936557912,FALSE,25.6631425851338,25.5159507014862,6,6
"33","sp|O00151|PDLI1_HUMAN",-0.03366118591275,26.6629156183927,-0.0974002815617865,0.924081933911952,0.97935632190306,-6.02653019907956,FALSE,26.679746211349,26.6460850254363,6,6
"34","sp|O00154|BACH_HUMAN",0.0283135395802454,26.553112853223,0.257895659608314,0.80103500281515,0.960932591699439,-5.99739830682176,FALSE,26.5389560834329,26.5672696230132,6,6
"35","sp|O00159|MYO1C_HUMAN",-2.09086871007476,27.9127366357817,-3.23704150316895,0.00747945264071279,0.385763769139822,-2.29561214787338,FALSE,28.958170990819,26.8673022807443,6,6
"36","sp|O00160|MYO1F_HUMAN",NA,23.9629598686612,NA,NA,NA,NA,NA,NA,23.9629598686612,0,1
"37","sp|O00161|SNP23_HUMAN",-0.0323650309685465,24.0430217163494,-0.114808674380156,0.910757792052054,0.979277405083631,-5.97979043542041,FALSE,24.0577330940623,24.0253680630938,6,5
"38","sp|O00165|HAX1_HUMAN",0.385699636071291,23.2125609296665,2.04612573429456,0.0771816134624423,0.633859536995294,-4.14838290065913,FALSE,23.0197111116309,23.4054107477021,4,4
"39","sp|O00170|AIP_HUMAN",-0.055943009420778,26.2181668614278,-0.615894031878909,0.549935453983391,0.899254369134439,-5.84023705952759,FALSE,26.2461383661382,26.1901953567174,6,6
"40","sp|O00178|GTPB1_HUMAN",0.0149291206045752,23.2614579273945,0.104203884569521,0.91879904220997,0.97935632190306,-6.02582767828107,FALSE,23.2539933670922,23.2689224876968,6,6
"41","sp|O00186|STXB3_HUMAN",-0.0790224458791132,25.1964954911206,-0.594498235924778,0.563668441343285,0.903188028819065,-5.85308129238777,FALSE,25.2360067140602,25.1569842681811,6,6
"42","sp|O00193|SMAP_HUMAN",0.150690939029717,28.7748724749776,1.3398166988221,0.206125909751583,0.757507312916085,-5.17977920560693,FALSE,28.6995270054628,28.8502179444925,6,6
"43","sp|O00203|AP3B1_HUMAN",-0.122442546827163,25.9578516030575,-0.338222870719195,0.741276943727951,0.945752391405488,-5.97305198228057,FALSE,26.0190728764711,25.896630329644,6,6
"44","sp|O00217|NDUS8_HUMAN",0.0836356205541618,26.6570231520008,0.414400022950826,0.68619015682352,0.932402268916731,-5.94404077600789,FALSE,26.6152053417237,26.6988409622778,6,6
