"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",-0.165692128935942,26.6052955325213,-0.689194849496246,0.504358678760028,0.878762606093867,-5.7887396837406,FALSE,26.6881415969893,26.5224494680533,6,6
"2","sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"3","sp|A0AV96|RBM47_HUMAN",0.0275729980642541,22.2348735198307,0.145598150037179,0.887629055804357,0.974209828210569,-5.87587321501623,FALSE,22.2226188540244,22.2501918520886,5,4
"4","sp|A0AVT1|UBA6_HUMAN",-0.863672700416733,25.9052352096382,-2.83336809394891,0.0156367263495889,0.452007847375121,-2.96132510031357,FALSE,26.3370715598466,25.4733988594298,6,6
"5","sp|A0FGR8|ESYT2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"6","sp|A0MZ66|SHOT1_HUMAN",0.14084639471342,25.9521216764429,0.693302199430246,0.501872204550242,0.877575505359059,-5.78595245637906,FALSE,25.8816984790862,26.0225448737996,6,6
"7","sp|A0PJW6|TM223_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"8","sp|A1L0T0|HACL2_HUMAN",-0.280655636753222,24.0008214138009,-1.80522930578677,0.0972427993863416,0.629656407306406,-4.56782252923155,FALSE,24.1411492321775,23.8604935954243,6,6
"9","sp|A1L170|CA226_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"10","sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"11","sp|A2RRP1|NBAS_HUMAN",0.825744852686316,23.3924339544066,1.87153793353075,0.0868943157927014,0.621223553253526,-4.47284561721134,FALSE,22.9795615280634,23.8053063807497,6,6
"12","sp|A2RTX5|SYTC2_HUMAN",-3.07797496541228,22.9508732338944,-1.32564051852039,0.2481418717209,0.758865334997804,-4.84090815317727,FALSE,24.1820632200593,21.1040882546471,3,2
"13","sp|A3KMH1|VWA8_HUMAN",-0.254082176569273,23.623257715687,-1.1269266802399,0.282721731473777,0.77934963394977,-5.41156432272593,FALSE,23.7502988039717,23.4962166274024,6,6
"14","sp|A3KN83|SBNO1_HUMAN",1.08155015661594,21.7202701323233,1.2733349303497,0.280709264439799,0.77934963394977,-4.75083538629735,FALSE,20.9091075148614,21.9906576714773,1,3
"15","sp|A4D1E1|Z804B_HUMAN",5.8456825334992,21.5283809134971,13.634005319064,0.0146337702093367,0.452007847375121,-3.6245590882903,FALSE,18.6055396467475,24.4512221802467,1,1
"16","sp|A4D1E9|GTPBA_HUMAN",-0.381457863545629,23.435375217952,-1.67223175309382,0.121418458560702,0.655004968853201,-4.75270246799902,FALSE,23.6261041497248,23.2446462861792,6,6
"17","sp|A4D1P6|WDR91_HUMAN",0.453406877908548,23.8450644403716,0.762179309886552,0.464438293196804,0.860899520706187,-5.65159210102099,FALSE,23.6183610014173,24.0717678793259,5,5
"18","sp|A4FU69|EFCB5_HUMAN",6.85047278333863,23.5520659821303,15.977498235819,0.0115326614063879,0.412738012283899,-3.61718215096653,FALSE,20.126829590461,26.9773023737996,1,1
"19","sp|A5A3E0|POTEF_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"20","sp|A5D8V6|VP37C_HUMAN",0.320520240132439,22.8561457026993,0.225653790655296,0.826796913284788,0.960531874370768,-5.8605901389635,FALSE,22.6780789026257,22.9985991427581,4,5
"21","sp|A5PLN9|TPC13_HUMAN",-0.660395480814446,22.3741136397651,-2.17286307062865,0.0595482995681721,0.579937200661712,-3.98339755245491,FALSE,22.6676227423493,22.0072272615348,5,4
"22","sp|A5YKK6|CNOT1_HUMAN",0.263451727528613,25.4843784079276,0.788384332999461,0.446407516612275,0.860899520706187,-5.71724519405009,FALSE,25.3526525441633,25.6161042716919,6,6
