"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_BaP","mean_Control","ngood_BaP","ngood_Control"
"1","sp|A0AV96|RBM47_HUMAN",0.028154488596717,22.2353478717149,0.148639964715922,0.885298016819381,0.975417987354764,-5.82999767627801,FALSE,22.2228347656719,22.2509892542686,5,4
"2","sp|A0AVT1|UBA6_HUMAN",-0.86456270195714,25.9047506966571,-2.8375952803915,0.0155094263591239,0.455506307306971,-2.93098486055382,FALSE,26.3370320476356,25.4724693456785,6,6
"3","sp|A0MZ66|SHOT1_HUMAN",0.141097628367229,25.9522702637109,0.694245381115243,0.501295103300308,0.877004762531138,-5.74031281929616,FALSE,25.8817214495273,26.0228190778945,6,6
"4","sp|A1L0T0|HACL2_HUMAN",-0.281123789921275,24.0004493327547,-1.80509167143218,0.0972515351979168,0.629997906962654,-4.53120167005003,FALSE,24.1410112277153,23.8598874377941,6,6
"5","sp|A2RRP1|NBAS_HUMAN",0.825096776512891,23.3925601281531,1.87100068812347,0.0869603183285843,0.622943647352097,-4.43750420987874,FALSE,22.9800117398966,23.8051085164095,6,6
"6","sp|A2RTX5|SYTC2_HUMAN",-3.07807829300905,22.9519620776435,-1.32730582334352,0.247554426632184,0.759085905712843,-4.80862687273011,FALSE,24.1831933948471,21.1051151018381,3,2
"7","sp|A3KMH1|VWA8_HUMAN",-0.254752252698257,23.6231180819376,-1.12850356743103,0.282070670526844,0.779344900401728,-5.36730502268747,FALSE,23.7504942082867,23.4957419555884,6,6
"8","sp|A3KN83|SBNO1_HUMAN",1.08157021960837,21.7214735804666,1.2735943442427,0.280503662147062,0.779344900401728,-4.72646479254051,FALSE,20.9102959157604,21.9918661353687,1,3
"9","sp|A4D1E1|Z804B_HUMAN",5.84174789673774,21.530325974749,13.5730827768563,0.0145409651665702,0.455339937787455,-3.67252632292499,FALSE,18.6094520263802,24.4511999231179,1,1
"10","sp|A4D1E9|GTPBA_HUMAN",-0.381781631510102,23.4351343336878,-1.67187438905703,0.121475954821377,0.65516448556462,-4.71503094335911,FALSE,23.6260251494428,23.2442435179327,6,6
"11","sp|A4D1P6|WDR91_HUMAN",0.452862696629061,23.8452789519859,0.761527326604375,0.464797900752963,0.862778410251177,-5.60825393649775,FALSE,23.6188476036714,24.0717103003005,5,5
"12","sp|A4FU69|EFCB5_HUMAN",6.8442523803337,23.5547068268588,15.9023644542831,0.0114527411305203,0.41863259428436,-3.6657389822015,FALSE,20.1325806366919,26.9768330170256,1,1
"13","sp|A5D8V6|VP37C_HUMAN",0.316359295694369,22.8557453776658,0.222738851370324,0.828989445961097,0.960454155486447,-5.81595815499052,FALSE,22.6799902133911,22.9963495090855,4,5
"14","sp|A5PLN9|TPC13_HUMAN",-0.660643399182535,22.3743908886186,-2.17936531049159,0.0589112312820363,0.575204538842867,-3.94702408815503,FALSE,22.6680101771442,22.0073667779616,5,4
"15","sp|A5YKK6|CNOT1_HUMAN",0.263330783735163,25.4844704921529,0.788191759102978,0.446507453387083,0.862003444522289,-5.67281406852506,FALSE,25.3528051002853,25.6161358840205,6,6
"16","sp|A6NCS6|CB072_HUMAN",1.24272619718557,25.4798448011924,4.42636563859596,0.000911876138714058,0.311664144840974,-0.395247036912419,FALSE,24.8584817025996,26.1012078997852,6,6
"17","sp|A6NDB9|PALM3_HUMAN",-0.142335007603933,22.5470887013831,-0.556822676584909,0.590503733435267,0.901381743516786,-5.72131125070148,FALSE,22.6040227044247,22.4616876968207,6,4
"18","sp|A6NDG6|PGP_HUMAN",-0.454420380335498,27.960209649089,-0.541573829359393,0.598434648267112,0.904273968991995,-5.83309943005304,FALSE,28.1874198392568,27.7329994589213,6,6
"19","sp|A6NDU8|CE051_HUMAN",0.45050033992343,24.1412954189419,1.12138415238742,0.287080492806689,0.779510237711506,-5.33253135017278,FALSE,23.9365225371585,24.387022877082,6,5
"20","sp|A6NED2|RCCD1_HUMAN",-0.294367714950843,23.2571589402055,-0.554212042711796,0.592219337914805,0.902304366930029,-5.72274038197132,FALSE,23.3749060261858,23.080538311235,6,4
"21","sp|A6NHR9|SMHD1_HUMAN",-0.246011100034502,25.7373031817602,-1.52426597761906,0.154424911198486,0.696961225848884,-4.90897350713755,FALSE,25.8603087317774,25.6142976317429,6,6
"22","sp|A6NHX0|CAST2_HUMAN",-0.268217391144266,22.3401463354072,-1.31623666064635,0.218919250720728,0.732068646193495,-5.07052102861862,FALSE,22.4474332918649,22.1792159007206,6,4
"23","sp|A6NIH7|U119B_HUMAN",0.406558373367349,23.7397799702316,0.609820667365101,0.579175322195407,0.897270122081947,-5.19621116334565,FALSE,23.4348611902061,23.8414195635735,1,3
"24","sp|A6NJ78|MET15_HUMAN",-0.0165193882904797,22.9991154133079,-0.0930659967457538,0.927600602882928,0.984147810097313,-5.93156834737178,FALSE,23.0066242261672,22.9901048378768,6,5
"25","sp|A7E2Y1|MYH7B_HUMAN",0.19495089979868,24.2469630837531,0.179117800578578,0.863287214357165,0.972800657799045,-5.70713316980811,FALSE,24.1355625695824,24.3305134693811,3,4
"26","sp|A8MXV4|NUD19_HUMAN",0.430179431024187,21.3301367029266,1.34787401586504,0.212459577312234,0.731962591235664,-5.00446152822864,FALSE,21.0911481301354,21.5213275611596,4,5
"27","sp|B7ZAP0|RBG10_HUMAN",-1.49763686573318,26.2910973308983,-5.10723087835358,0.022019965567191,0.459692995459834,-3.20409277141314,FALSE,26.790309619476,25.2926727537428,2,1
"28","sp|E9PRG8|CK098_HUMAN",0.0904348328097857,26.7097003997413,0.703824787414674,0.495528543766879,0.874204078822534,-5.73378570463155,FALSE,26.6644829833364,26.7549178161462,6,6
"29","sp|O00116|ADAS_HUMAN",0.351030687007423,24.4327206265362,1.36272416154596,0.19902567967206,0.731910304094708,-5.10780412773245,FALSE,24.2572052830325,24.60823597004,6,6
"30","sp|O00139|KIF2A_HUMAN",0.185442609387512,23.1061079373673,0.587841991854266,0.570325232585505,0.894163256147255,-5.70385327053984,FALSE,23.0319308936123,23.2173735029998,6,4
"31","sp|O00142|KITM_HUMAN",-2.03025329891472,23.1538172804404,-4.71721761556056,0.0698771910613089,0.6078206460571,-3.83280194730065,FALSE,24.1689439298978,22.1386906309831,1,1
"32","sp|O00148|DX39A_HUMAN",-0.153116190947662,25.591560192697,-1.0445123887478,0.317680596044102,0.792766090070168,-5.45108337059891,FALSE,25.6681182881708,25.5150020972232,6,6
"33","sp|O00151|PDLI1_HUMAN",-0.0511363426176027,26.6663709950755,-0.148748105135841,0.884325527332965,0.975417987354764,-5.96925912278606,FALSE,26.6919391663843,26.6408028237667,6,6
"34","sp|O00154|BACH_HUMAN",0.0133502472892445,26.5531241683647,0.123483557302036,0.90385331890318,0.979833927829106,-5.97275662608686,FALSE,26.5464490447201,26.5597992920093,6,6
"35","sp|O00159|MYO1C_HUMAN",-2.10625302348506,27.9171004513868,-3.2940218347685,0.00675034530365312,0.369966910283037,-2.18504371825682,FALSE,28.9702269631293,26.8639739396443,6,6
"36","sp|O00160|MYO1F_HUMAN",NA,23.9563339029358,NA,NA,NA,NA,NA,NA,23.9563339029358,0,1
"37","sp|O00161|SNP23_HUMAN",-0.0807745588510495,24.0334511635483,-0.279950283459986,0.784945974407234,0.957741051961553,-5.89616706760963,FALSE,24.0701668721169,23.9893923132659,6,5
"38","sp|O00165|HAX1_HUMAN",0.354104013171331,23.2157571118961,1.895654098727,0.096968936354078,0.629997906962654,-4.31080070825833,FALSE,23.0387051053104,23.3928091184818,4,4
"39","sp|O00170|AIP_HUMAN",-0.075109143653522,26.2181497658176,-0.839614155096611,0.418215836489625,0.847254263942013,-5.63264105351077,FALSE,26.2557043376444,26.1805951939909,6,6
"40","sp|O00178|GTPB1_HUMAN",0.00330541865608893,23.2561733743797,0.0221468098524748,0.982709979464185,0.996576578758036,-5.98026870245727,FALSE,23.2545206650517,23.2578260837078,6,6
"41","sp|O00186|STXB3_HUMAN",-0.0780141538280629,25.1901279283018,-0.605187072195556,0.556793660344845,0.889813214524863,-5.79703847860396,FALSE,25.2291350052159,25.1511208513878,6,6
"42","sp|O00193|SMAP_HUMAN",0.11462051987385,28.7621762959816,1.08865917098938,0.298564437029333,0.780426592654114,-5.40769520789135,FALSE,28.7048660360447,28.8194865559185,6,6
"43","sp|O00203|AP3B1_HUMAN",-0.143901078475005,25.9589178806478,-0.397144496918829,0.698523373787983,0.937173077676603,-5.90075394888177,FALSE,26.0308684198853,25.8869673414103,6,6
"44","sp|O00217|NDUS8_HUMAN",0.0549497291513339,26.6513537024905,0.278829333116574,0.785319916995056,0.957741051961553,-5.9410565056569,FALSE,26.6238788379149,26.6788285670662,6,6
"45","sp|O00221|IKBE_HUMAN",-2.90203746825667,21.9531180906456,-1.50415805425847,0.173352169105226,0.705080525457936,-4.78785823413144,FALSE,23.4041368247739,20.5020993565173,4,4
"46","sp|O00231|PSD11_HUMAN",-0.23680375890928,28.2238882903893,-2.14073330018381,0.0544526365567963,0.567778871016271,-4.03809458697586,FALSE,28.3422901698439,28.1054864109347,6,6
"47","sp|O00232|PSD12_HUMAN",-0.136624736697984,27.4017110655992,-1.4818648104494,0.165216655647761,0.705080525457936,-4.96259327691688,FALSE,27.4700234339482,27.3333986972502,6,6
"48","sp|O00233|PSMD9_HUMAN",0.180105451453634,24.0789178418674,0.999736662898548,0.342182853520947,0.818848051220432,-5.41126553923172,FALSE,23.9888651161406,24.1689705675943,5,5
"49","sp|O00244|ATOX1_HUMAN",0.869142290471255,24.1277727548312,1.50570310204297,0.159072613138562,0.705080525457936,-4.93256827424811,FALSE,23.6932016095955,24.5623439000668,6,6
"50","sp|O00255|MEN1_HUMAN",0.389089694213376,22.8933884172359,0.795014383786404,0.450980673929153,0.862304832845808,-5.48187093548514,FALSE,22.6988435701292,23.0879332643426,4,4
"51","sp|O00257|CBX4_HUMAN",0.693120867836913,23.122432903787,0.803961441436415,0.490384203022631,0.868273160763819,-5.0269685887335,FALSE,22.891392614508,23.5845134823449,2,1
"52","sp|O00264|PGRC1_HUMAN",0.093575143789486,24.8494787402569,0.244787987793706,0.810928184772985,0.957741051961553,-5.95007899198837,FALSE,24.8026911683622,24.8962663121517,6,6
"53","sp|O00267|SPT5H_HUMAN",-0.193445098747791,25.962645779167,-0.712835755081537,0.490141014225759,0.868193214693223,-5.72757147702608,FALSE,26.0593683285409,25.8659232297931,6,6
"54","sp|O00268|TAF4_HUMAN",0.00619107404300088,22.80428816733,0.0225714409524845,0.982378530453305,0.996470957313116,-5.98025903008792,FALSE,22.8011926303085,22.8073837043515,6,6
"55","sp|O00273|DFFA_HUMAN",0.139301958254722,26.8410988200076,0.926648878425774,0.373123307124786,0.831032314669857,-5.5596214833342,FALSE,26.7714478408802,26.9107497991349,6,6
"56","sp|O00299|CLIC1_HUMAN",-0.0674247184619525,30.3711509829976,-0.73798963383581,0.475292389384405,0.863360746179994,-5.70984497175834,FALSE,30.4048633422285,30.3374386237666,6,6
"57","sp|O00303|EIF3F_HUMAN",-0.217887366109971,27.5273162381899,-2.39138728966219,0.0348455073771809,0.516090217370139,-3.64899559387472,FALSE,27.6362599212449,27.418372555135,6,6
"58","sp|O00308|WWP2_HUMAN",-0.41564975652166,20.8494723108221,-0.437894349479279,0.672359569483485,0.933199011931282,-5.74421147144786,FALSE,21.0342055359429,20.6185557794212,5,4
"59","sp|O00330|ODPX_HUMAN",0.0619368891758507,27.03791140795,0.280916210828252,0.783758221179001,0.957741051961553,-5.94046574064751,FALSE,27.0069429633621,27.0688798525379,6,6
"60","sp|O00338|ST1C2_HUMAN",-0.230258018006361,23.0153985979137,-1.60881071545816,0.134711221370206,0.670725228290463,-4.79922244509166,FALSE,23.1305276069169,22.9002695889105,6,6
"61","sp|O00399|DCTN6_HUMAN",-0.387944878155175,23.8792236829662,-1.5425322061134,0.163932646936854,0.705080525457936,-4.72105579423769,FALSE,24.0247030122744,23.6367581341193,5,3
"62","sp|O00401|WASL_HUMAN",0.241882991315252,22.5822151863967,1.30864013896526,0.216172804675193,0.731962591235664,-5.17091267277137,FALSE,22.4612736907391,22.7031566820543,6,6
"63","sp|O00410|IPO5_HUMAN",-0.137015557768007,26.9471880081613,-1.24056345079738,0.23944911369779,0.751814450024604,-5.24769952766354,FALSE,27.0156957870453,26.8786802292773,6,6
"64","sp|O00411|RPOM_HUMAN",1.94586134655732,22.3259133596714,1.16571095251613,0.269492598667987,0.776252005624479,-5.28692988540101,FALSE,21.441430929418,23.3872922759753,6,5
"65","sp|O00418|EF2K_HUMAN",-0.740537296474832,25.1481474844745,-1.76778953530149,0.103553793747816,0.630796617205435,-4.5834518143416,FALSE,25.5184161327119,24.7778788362371,6,6
"66","sp|O00422|SAP18_HUMAN",-0.00486687638249964,26.9887293777707,-0.0395336743992183,0.969142043391097,0.99478312297508,-5.97972246157089,FALSE,26.9911628159619,26.9862959395794,6,6
"67","sp|O00425|IF2B3_HUMAN",-0.0374677416409868,27.6633755726576,-0.40437933367763,0.693343633801619,0.937019396104846,-5.89784319008972,FALSE,27.682109443478,27.6446417018371,6,6
"68","sp|O00429|DNM1L_HUMAN",-0.171286280873867,25.5311353156712,-1.82731878980283,0.0936633651255129,0.624865063999845,-4.49979554103127,FALSE,25.6167784561081,25.4454921752342,6,6
"69","sp|O00442|RTCA_HUMAN",-0.172190644046144,25.0870423653764,-0.936125555106292,0.368426595762215,0.830427864175605,-5.55129839727192,FALSE,25.1731376873995,25.0009470433534,6,6
"70","sp|O00443|P3C2A_HUMAN",-0.0816906566108971,22.7814829400704,-0.200934248535171,0.844255302941246,0.964863203361423,-5.95999008816333,FALSE,22.8223282683759,22.740637611765,6,6
"71","sp|O00461|GOLI4_HUMAN",-0.0918174908922054,23.4064280728845,-0.161419844489359,0.874822334700462,0.97432099249577,-5.92271118533293,FALSE,23.4481632960173,23.3563458051251,6,5
"72","sp|O00462|MANBA_HUMAN",-0.388927345814091,24.1731161480321,-1.77039585741389,0.103101764219461,0.630401861001558,-4.57982002843204,FALSE,24.3675798209391,23.978652475125,6,6
"73","sp|O00468|AGRIN_HUMAN",-0.0473139677245336,25.7734215556459,-0.45818330738834,0.655346821728919,0.929485754273562,-5.87460324227362,FALSE,25.7970785395081,25.7497645717836,6,6
"74","sp|O00469|PLOD2_HUMAN",0.0961040336524694,27.0802194582249,0.919361201242476,0.376763634779481,0.83126913682599,-5.56597294394901,FALSE,27.0321674413987,27.1282714750512,6,6
"75","sp|O00471|EXOC5_HUMAN",0.0531683002295853,22.3530542619416,0.267895821741702,0.793517795298522,0.957741051961553,-5.94408061954622,FALSE,22.3264701118268,22.3796384120564,6,6
"76","sp|O00483|NDUA4_HUMAN",-0.277996955009827,25.7004127753962,-0.822958129220559,0.427246330372873,0.850485257300832,-5.64589869467991,FALSE,25.8394112529011,25.5614142978913,6,6
"77","sp|O00487|PSDE_HUMAN",0.0494473972786361,27.2288413217541,0.12791283417175,0.90042462248003,0.979833927829106,-5.97219023662111,FALSE,27.2041176231148,27.2535650203935,6,6
