"","BaP_BP1","BaP_BP2","BaP_BP3","BaP_BP4","BaP_BP5","BaP_BP6","DMSO_BP1","DMSO_BP2","DMSO_BP3","DMSO_BP4","DMSO_BP5","DMSO_BP6"
"sp|A0A0B4J2D5|GAL3B_HUMAN;sp|P0DPI2|GAL3A_HUMAN",96697294.0492154,119382597.803279,99368242.9896632,105903249.251977,127651211.443239,103050407.305978,52358925.2330035,87642494.1078237,79760016.9291896,99980777.504188,127394362.014397,172091604.360301
"sp|A0A0U1RR11|CENL1_HUMAN;sp|A0A0U1RRI6|CENL3_HUMAN;sp|P0DPI3|CENL2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0AV96|RBM47_HUMAN",4638497.4647121,NA,3794517.85408589,6101267.33828768,5138115.36914317,5088812.57584221,4966980.46149883,4143488.22721394,NA,4455347.49050378,NA,6753991.10138111
"sp|A0AVT1|UBA6_HUMAN",49800943.1853279,180115814.851335,89782613.5287017,65624030.2366457,83183569.3317414,84412957.3958604,82755383.5691742,35572018.2587749,38634582.5648428,35390131.9654084,56811052.9816832,44704051.1665987
"sp|A0FGR8|ESYT2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0MZ66|SHOT1_HUMAN",53038818.7937463,64054973.2919785,69442717.7793026,53060240.8453155,71417566.0333636,62468030.8659113,38858463.707026,86233436.5522675,69305173.2170582,99099713.3837021,73321634.347169,59452197.8237805
"sp|A0PJW6|TM223_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A1L0T0|HACL2_HUMAN",16416756.4215136,21620841.3387424,17393447.0739046,17490237.7800627,16204511.5160855,22923611.0052998,10158882.557116,16245084.6556748,17379615.2965434,14366028.4409968,17099519.716353,17718093.5245063
"sp|A1L170|CA226_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A2RRP1|NBAS_HUMAN",5716894.07924721,8108670.34743329,6094572.52673098,8736037.5985235,15198721.5919745,8531968.59953073,61106388.252852,10789834.2508064,9488674.76900684,14617873.6555586,10889204.5175838,9965069.94504653
"sp|A2RTX5|SYTC2_HUMAN",4474087.38750271,NA,NA,399491671.83594,3858042.13440008,NA,NA,2588648.73147053,NA,1962700.66239328,NA,NA
"sp|A3KMH1|VWA8_HUMAN",13862463.8024251,17293980.4514812,9330198.9966944,17671470.4137176,16150360.2968886,12366103.5002866,9280743.99614965,8270139.31894875,14192896.6807983,9460353.8994737,16568989.6825201,16070369.6350237
"sp|A3KN83|SBNO1_HUMAN",NA,NA,NA,NA,NA,1969103.50188537,3343688.30971775,NA,NA,NA,2498549.61775488,8662215.52676264
"sp|A4D1E1|Z804B_HUMAN",NA,NA,NA,NA,398864.623544936,NA,22937775.978864,NA,NA,NA,NA,NA
"sp|A4D1E9|GTPBA_HUMAN",9851880.28721673,16199979.7239447,9833619.47718173,10711427.0343038,24699126.189717,11342799.6216801,10017801.2411359,9976747.62974666,8128633.46944649,8524586.94598904,11382097.364889,12227566.8264682
"sp|A4D1P6|WDR91_HUMAN",25083597.5725851,3301888.5462897,NA,20701005.7727137,20559764.7299902,10046475.4611203,23630960.1607196,35342019.6325192,17682026.7081548,NA,13618855.0674132,8475699.086879
"sp|A4FU69|EFCB5_HUMAN",NA,NA,NA,NA,NA,1144931.28977357,132122631.992096,NA,NA,NA,NA,NA
"sp|A5A3E0|POTEF_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A5D8V6|VP37C_HUMAN",NA,2963881.51178081,65213390.2017357,2170454.01935627,4834813.98010891,NA,NA,35381014.995021,2262206.49408806,72244738.6245464,2591920.78055164,2758103.25580751
"sp|A5PLN9|TPC13_HUMAN",4324436.37635574,10185346.6042302,NA,7201941.62146007,4948482.60008414,8362669.06053694,6517709.98400157,3781586.51141227,NA,3419438.0807451,3746435.77929968,NA
"sp|A5YKK6|CNOT1_HUMAN",69021442.7933587,57720168.5102603,30393770.3549514,36890970.7088048,36363897.9413169,38086108.3051239,57129356.3303646,66879413.4044658,25103781.5850811,80752941.5111445,79996578.4334712,29865779.2121027
"sp|A6NCE7|MP3B2_HUMAN;sp|Q9GZQ8|MLP3B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NCS6|CB072_HUMAN",49138511.9972601,36946550.4415231,39556575.0875444,32631738.5876869,19123760.7640187,17684826.179048,120274087.552508,67603258.0223632,69468267.4754624,73732724.3975317,64531494.5942902,51809642.2514613
"sp|A6NDB9|PALM3_HUMAN",4538776.54720601,6440053.54540631,7533306.19990112,8989723.97457032,3981091.72275801,8485382.97910283,NA,NA,5675661.25762542,6569764.49931176,4596073.56751397,6507382.56340367
"sp|A6NDG6|PGP_HUMAN",191575219.775864,613190191.671842,655625011.758684,585135252.829609,445907285.942548,40773876.3113355,158552938.079478,39689320.5225036,520198672.152329,127849476.556439,555932910.147856,529566328.209403
