"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.16977456737176,0.315538039256495,13.2148078792561,5,4.43319166401057e-05,0.00327612863970381,NA,0.505681818181818,0.380681818181818
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",5.94448204971037,0.225744991815986,26.33273058193,6,1.97927125800135e-07,5.48505547373623e-05,NA,0.386904761904762,0.386904761904762
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.889427892981195,0.195649462516488,4.54602778633364,6,0.00390822695025173,0.195844843883858,NA,0.0227272727272727,0.0227272727272727
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",4.5803307951163,0.22210741740815,20.6221424235435,3,0.000249347604623251,0.0149406389040472,NA,0.519230769230769,0.144230769230769
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",4.18038873947792,0.203627211821987,20.5296173437393,6,8.68761978134458e-07,0.000137574664680292,NA,0.138888888888889,0.138888888888889
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-1.82210606194375,0.135916078221419,-13.4061112253061,6,1.06667911092817e-05,0.000985344828719897,NA,0.0993589743589743,0.0993589743589744
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.8608712753469,0.155655898174264,-11.9550322035569,6,2.07535996818997e-05,0.00173134494345161,NA,0.155405405405405,0.155405405405405
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",6.40237987669292,0.214590018277986,29.8354039394279,6,9.40271205340792e-08,3.47430210373423e-05,NA,0.477040816326531,0.477040816326531
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-2.03973333455996,0.168700948903604,-12.0908231270558,6,1.94397257953227e-05,0.00172391488352922,NA,0.025,0.025
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",5.2564521843323,0.215592252232779,24.3814521620972,6,3.12965191984205e-07,7.12221619092013e-05,NA,0.391666666666667,0.391666666666667
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.522791311267319,0.431743238860011,1.21088476717716,6,0.271466861694206,0.88813868409299,NA,0.145833333333333,0.145833333333333
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",6.69133129679901,0.353046839412895,18.9530978606874,5,7.53417726384598e-06,0.000761998123395906,NA,0.392857142857143,0.267857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",5.60992207207887,0.288516479714063,19.4440264820874,6,1.19848562230018e-06,0.000166065164039969,NA,0.46875,0.46875
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",1.74414000624818,0.184053631184502,9.47625969139287,6,7.86479926278005e-05,0.00528371514108587,NA,0.215,0.215
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"18","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",3.8589322334902,0.221201805582811,17.4453016932791,6,2.27494385329763e-06,0.000265450027513729,NA,0.25,0.25
"19","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",5.08386544068378,0.0726162686240452,70.0100065317922,6,5.714106965371e-10,1.26681751422275e-06,NA,0.496575342465753,0.496575342465753
"20","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",6.20779188016683,0.198746684554369,31.2346940231278,5,6.31480398638473e-07,0.0001076916956755,NA,0.496478873239437,0.371478873239437
"21","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.87482157989704,0.0849412358766141,10.2991388207232,6,4.8947121158438e-05,0.00350050863252442,NA,0.105769230769231,0.105769230769231
"22","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",7.69688485238102,0.134169051628507,57.367066092801,5,3.04493337210943e-08,1.68765432149165e-05,NA,0.5,0.375
"23","P06732ups|KCRM_HUMAN_UPS","UPS1-UPS2",4.25314061281494,0.181943312447188,23.3761854481433,6,4.01986002707133e-07,7.42669140001428e-05,NA,0.286057692307692,0.286057692307692
"24","P08263ups|GSTA1_HUMAN_UPS","UPS1-UPS2",7.02286555707273,0.19631310459072,35.7737990630541,5,3.2125467708255e-07,7.12221619092013e-05,NA,0.470588235294118,0.345588235294118
"25","P08758ups|ANXA5_HUMAN_UPS","UPS1-UPS2",7.94119704118036,0.231319449915577,34.3300014074848,5,3.94452429830494e-07,7.42669140001428e-05,NA,0.483333333333333,0.358333333333333
"26","P09211ups|GSTP1_HUMAN_UPS","UPS1-UPS2",1.94164219966797,0.306400232993493,6.33694753002751,4,0.00317514547101494,0.163704593238142,NA,0.514705882352941,0.264705882352941
"27","P10145ups|IL8_HUMAN_UPS","UPS1-UPS2",7.65595071061476,0.33251960167709,23.0240583472413,4,2.10853917335108e-05,0.00173134494345161,NA,0.416666666666667,0.166666666666667
"28","P10599ups|THIO_HUMAN_UPS","UPS1-UPS2",6.3756428437893,0.137959638710106,46.2138267641192,6,6.87818468847468e-09,7.62446772717418e-06,NA,0.375,0.375
"29","P10636-8ups|TAU_HUMAN_UPS","UPS1-UPS2",8.82097525265824,0.313095282494553,28.173453085521,5,1.0550158313638e-06,0.00015593133987557,NA,0.504901960784314,0.379901960784314
"30","P12081ups|SYHC_HUMAN_UPS","UPS1-UPS2",4.14205747437868,0.13833391512147,29.942458223217,6,9.20395417658426e-08,3.47430210373423e-05,NA,0.319148936170213,0.319148936170213
"31","P15559ups|NQO1_HUMAN_UPS","UPS1-UPS2",1.22267090203262,0.110207538586834,11.0942583212605,6,3.19462744204912e-05,0.00252946037107961,NA,0.149038461538462,0.149038461538462
"32","P16083ups|NQO2_HUMAN_UPS","UPS1-UPS2",3.98240352520569,0.288550251267626,13.8014210963624,6,9.00307793205712e-06,0.000867818425016115,NA,0.295833333333333,0.295833333333333
"33","P41159ups|LEP_HUMAN_UPS","UPS1-UPS2",-2.22607475061901,0.257481341705351,-8.64557694113007,6,0.000131956294089797,0.00812630844436331,NA,0.158653846153846,0.158653846153846
"34","P51965ups|UB2E1_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"35","P55957ups|BID_HUMAN_UPS","UPS1-UPS2",6.2214121281879,0.146226032672674,42.546542598981,6,1.12809472874176e-08,8.33662004540159e-06,NA,0.443181818181818,0.443181818181818
"36","P61626ups|LYSC_HUMAN_UPS","UPS1-UPS2",4.43063699801299,0.257618133687786,17.1984671055128,6,2.4743766164903e-06,0.00027428464793795,NA,0.340277777777778,0.340277777777778
"37","P61769ups|B2MG_HUMAN_UPS","UPS1-UPS2",6.98444289225506,0.366188506026153,19.0733536889228,6,1.3430391079261e-06,0.000175148100133657,NA,0.291666666666667,0.291666666666667
"38","P62937ups|PPIA_HUMAN_UPS","UPS1-UPS2",0.822145702647887,0.225216009248079,3.65047629337167,6,0.0107002438253252,0.456200780014345,NA,0.0855263157894737,0.0855263157894737
"39","P62988ups|UBIQ_HUMAN_UPS","UPS1-UPS2",-2.27003131932634,0.159639783833725,-14.2197093031066,6,7.56155106662604e-06,0.000761998123395906,NA,0.05,0.05
"40","P63165ups|SUMO1_HUMAN_UPS","UPS1-UPS2",1.05692211453907,0.121104640775924,8.72734610141542,6,0.000125165572300023,0.00792834496540433,NA,0.15,0.15
"41","P63279ups|UBC9_HUMAN_UPS","UPS1-UPS2",3.89843124198281,0.209803590774609,18.5813370857455,6,1.56746094104321e-06,0.000193058939238488,NA,0.301136363636364,0.301136363636364
"42","P68871ups|HBB_HUMAN_UPS;CON__Q3SX09;CON__P02070","UPS1-UPS2",-1.5937426051437,0.149374903201477,-10.669413475663,6,3.9982070449307e-05,0.0030565603512453,NA,0.0543478260869565,0.0543478260869565
"43","P69905ups|HBA_HUMAN_UPS","UPS1-UPS2",-1.79420833401449,0.200442810779045,-8.95122317952479,6,0.000108545289073891,0.00707779134931815,NA,0.0583333333333333,0.0583333333333333
"44","P99999ups|CYC_HUMAN_UPS","UPS1-UPS2",7.3040147903429,0.403534732153228,18.1000895545453,4,5.47825325394324e-05,0.00379540233249755,NA,0.520833333333333,0.270833333333333
"45","Q06830ups|PRDX1_HUMAN_UPS","UPS1-UPS2",0.772374575115083,0.101281307803271,7.62603279783222,6,0.000265116487094819,0.0154674539970845,NA,0.109375,0.109375
"46","Q15843ups|NEDD8_HUMAN_UPS","UPS1-UPS2",4.82231440191639,0.17407532380286,27.7024583184326,6,1.46323681837757e-07,4.63428003763295e-05,NA,0.28125,0.28125
"47","sp|A5A614|YCIZ_ECOLI","UPS1-UPS2",-0.295238398607581,0.406142177900567,-0.726933607668451,5,0.499861390920425,0.894241338979096,NA,0.125,0
"48","sp|P00350|6PGD_ECOLI","UPS1-UPS2",-0.169129215659661,0.183208114972682,-0.923153516889136,6,0.391539233046951,0.88813868409299,NA,0.0558035714285714,0.0558035714285714
"49","sp|P00363|FRDA_ECOLI","UPS1-UPS2",-0.046658257517576,0.147834783332597,-0.315610822201462,6,0.762987406746808,0.94803817277267,NA,0.155487804878049,0.155487804878049
"50","sp|P00370|DHE4_ECOLI","UPS1-UPS2",-0.210736398986142,0.248037651559894,-0.849614555132392,6,0.42813245700461,0.88813868409299,NA,0.196428571428571,0.196428571428571
"51","sp|P00393|NDH_ECOLI","UPS1-UPS2",-0.103077384290461,0.119962564228739,-0.85924625697328,6,0.423199654858256,0.88813868409299,NA,0.116071428571429,0.116071428571429
"52","sp|P00448|SODM_ECOLI","UPS1-UPS2",-0.11517813838173,0.116457591080003,-0.989013574070972,6,0.360847717553669,0.88813868409299,NA,0.128571428571429,0.128571428571429
"53","sp|P00452|RIR1_ECOLI","UPS1-UPS2",-0.0661153908125907,0.134271051735205,-0.492402420016613,6,0.63993207909823,0.914591777347469,NA,0.122395833333333,0.122395833333333
"54","sp|P00490|PHSM_ECOLI","UPS1-UPS2",-0.00215404156877542,0.100871955346299,-0.0213542164557084,6,0.98365553226822,0.997182339589771,NA,0.122881355932203,0.122881355932203
"55","sp|P00509|AAT_ECOLI","UPS1-UPS2",-0.115629535335571,0.118834328898634,-0.973031416150833,6,0.368116037842749,0.88813868409299,NA,0.0494791666666666,0.0494791666666667
"56","sp|P00547|KHSE_ECOLI","UPS1-UPS2",-0.03387518842222,0.245600910179569,-0.137927780468942,6,0.894809921411028,0.974820945870004,NA,0.416666666666667,0.416666666666667
"57","sp|P00550|PTM3C_ECOLI","UPS1-UPS2",-0.217346555294691,0.241906313715759,-0.898474090883273,6,0.403545603661919,0.88813868409299,NA,0.120689655172414,0.120689655172414
"58","sp|P00561|AK1H_ECOLI","UPS1-UPS2",-0.0502059665471398,0.220291968690433,-0.227906477233821,6,0.827287024039609,0.961839450333642,NA,0.199074074074074,0.199074074074074
"59","sp|P00562|AK2H_ECOLI","UPS1-UPS2",-0.0125106817789102,0.0986112110954323,-0.126868757009817,6,0.903189179120873,0.979189915801222,NA,0.235294117647059,0.235294117647059
"60","sp|P00579|RPOD_ECOLI","UPS1-UPS2",0.0528638511214728,0.105791859503678,0.499696776004157,6,0.635081221969521,0.914591777347469,NA,0.1015625,0.1015625
"61","sp|P00582|DPO1_ECOLI","UPS1-UPS2",-0.151762761871834,0.133671704659375,-1.13533946663252,6,0.299541634001863,0.88813868409299,NA,0.104779411764706,0.104779411764706
"62","sp|P00634|PPB_ECOLI","UPS1-UPS2",-0.023359107389178,0.23520449982751,-0.0993140327090195,6,0.924124005491374,0.985526350386147,NA,0.263888888888889,0.263888888888889
"63","sp|P00722|BGAL_ECOLI","UPS1-UPS2",-0.130299944652605,0.115319149442976,-1.12990726416203,6,0.301652105451297,0.88813868409299,NA,0.235,0.235
"64","sp|P00803|LEP_ECOLI","UPS1-UPS2",0.28079745847816,0.209501993858188,1.34030924148737,6,0.228665317832187,0.88813868409299,NA,0.144230769230769,0.144230769230769
"65","sp|P00805|ASPG2_ECOLI","UPS1-UPS2",-0.103491804588069,0.15496633870205,-0.667834095164693,6,0.529075934370136,0.894241338979096,NA,0.133928571428571,0.133928571428571
"66","sp|P00811|AMPC_ECOLI","UPS1-UPS2",-0.102212521072878,0.169349870983793,-0.603558304940543,6,0.568237628879833,0.895541494362088,NA,0.171875,0.171875
"67","sp|P00861|DCDA_ECOLI","UPS1-UPS2",-0.619945010780445,0.354976341212557,-1.74644036462483,6,0.131335548468889,0.88813868409299,NA,0.291666666666667,0.291666666666667
