"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",2.80967089689056,1.29891162734419,2.16309627055639,5,0.0828622528089606,0.864215265469332,NA,0.505681818181818,0
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",5.70705882692608,0.171605101701103,33.2569298368907,6,4.91861356088918e-08,2.18091325289826e-05,NA,0.386904761904762,0
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.871130989881944,0.178186472411845,4.88887275274458,6,0.00274152103074954,0.159946108557151,NA,0.0227272727272727,0
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",4.45487307129235,0.288024599718105,15.4669881518885,3,0.000587159870585996,0.040679169784036,NA,0.519230769230769,0
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",3.9892548038921,0.0971041324660412,41.0822351488203,6,1.39102067642227e-08,1.42346813354344e-05,NA,0.138888888888889,0
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-1.74515817995481,0.114746599839046,-15.2088008045792,6,5.09952822236315e-06,0.000869665697613777,NA,0.0993589743589743,0
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.69254952499116,0.157889086883202,-10.7198639146176,6,3.8914345479979e-05,0.00345092415716453,NA,0.155405405405405,0
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",5.88036538677138,0.548353976330978,10.7236669023844,6,3.88352082356658e-05,0.00345092415716453,NA,0.477040816326531,0
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-2.05004442008951,0.168592133837801,-12.1597868976605,6,1.88095562356771e-05,0.00241188598542588,NA,0.025,0
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",4.07167722870573,0.343987896669605,11.8366874768751,6,2.19833171970496e-05,0.00243685071129295,NA,0.391666666666667,0
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.687668261288033,0.396398942772203,1.73478833338668,6,0.133468580784269,0.864215265469332,NA,0.145833333333333,0
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",6.52452909830812,0.418843649193199,15.5774812650879,5,1.98075438946343e-05,0.00241188598542588,NA,0.392857142857143,0
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.81016409988174,0.505995909904045,9.50633000332734,6,7.72473983809974e-05,0.00590543042105763,NA,0.46875,0
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",1.24904964581053,0.194277038561839,6.42921909380946,6,0.000669221794261654,0.0449595369053966,NA,0.215,0
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"18","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",3.76273737884983,0.12405745673233,30.3306022705948,6,8.52325996447689e-08,3.14934455687421e-05,NA,0.25,0
"19","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",3.77799953764652,1.31479894582697,2.87344277970216,6,0.0282993415579913,0.864215265469332,NA,0.496575342465753,0
"20","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",4.90095171869844,0.317359727171517,15.4428911392709,5,2.06702001457337e-05,0.00241188598542588,NA,0.496478873239437,0
"21","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.787361822084569,0.0714385902514543,11.0215195920463,6,3.31786430569636e-05,0.00319813268075167,NA,0.105769230769231,0
"22","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",7.05066635981123,0.213892566800871,32.9635875863569,5,4.82901659770718e-07,0.000111833734823374,NA,0.5,0
"23","P06732ups|KCRM_HUMAN_UPS","UPS1-UPS2",3.98412177039155,0.146638638238307,27.1696588174587,6,1.64274099212491e-07,5.20279539934419e-05,NA,0.286057692307692,0.00480769230769231
"24","P08263ups|GSTA1_HUMAN_UPS","UPS1-UPS2",6.72669686203554,0.106983549752525,62.8759924081389,5,1.92620857042414e-08,1.42346813354344e-05,NA,0.470588235294118,0
"25","P08758ups|ANXA5_HUMAN_UPS","UPS1-UPS2",7.24638533951566,0.706380215079392,10.2584772121643,5,0.000151237499967039,0.0108159205621589,NA,0.483333333333333,0
"26","P09211ups|GSTP1_HUMAN_UPS","UPS1-UPS2",1.78439241111024,0.356633249495514,5.00343816409269,4,0.00747224108305033,0.37649905638915,NA,0.514705882352941,0
"27","P10145ups|IL8_HUMAN_UPS","UPS1-UPS2",7.06417238846207,0.916480257693953,7.70793732779027,4,0.00152465804041002,0.0913558615024058,NA,0.416666666666667,0
"28","P10599ups|THIO_HUMAN_UPS","UPS1-UPS2",6.08745212012334,0.144303521550259,42.1850558789249,6,1.18717466968121e-08,1.42346813354344e-05,NA,0.375,0
"29","P10636-8ups|TAU_HUMAN_UPS","UPS1-UPS2",7.33515185342285,1.13837051252146,6.44355398593005,5,0.00133863849896887,0.0824378208948329,NA,0.504901960784314,0
"30","P12081ups|SYHC_HUMAN_UPS","UPS1-UPS2",3.95459426492026,0.116927613243361,33.8208756274668,6,4.44866814497402e-08,2.18091325289826e-05,NA,0.319148936170213,0
"31","P15559ups|NQO1_HUMAN_UPS","UPS1-UPS2",1.0856351629239,0.0971123680941123,11.1791647575909,6,3.05743216086896e-05,0.00308105777302112,NA,0.149038461538462,0
"32","P16083ups|NQO2_HUMAN_UPS","UPS1-UPS2",3.78222044456058,0.282547390531174,13.3861453735255,6,1.07598804122144e-05,0.00159031032492529,NA,0.295833333333333,0
"33","P41159ups|LEP_HUMAN_UPS","UPS1-UPS2",-2.13951242998468,0.188665760150698,-11.3402263785211,6,2.81551752077114e-05,0.00297238206835696,NA,0.158653846153846,0
"34","P51965ups|UB2E1_HUMAN_UPS","UPS1-UPS2",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"35","P55957ups|BID_HUMAN_UPS","UPS1-UPS2",5.55395399633048,0.551632112438449,10.0682209593993,6,5.57165172183627e-05,0.00457494513604111,NA,0.443181818181818,0
