"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",-4.54419219368158,0.945314372115991,6.26820779139531,-4.80706982536388,0.00264413185250544,0.124332955553367
"O76070ups|SYUG_HUMAN_UPS",-6.19880838930116,0.157810294472825,8.40016888704061,-39.2801268764415,8.10429467015133e-11,1.18794051068366e-07
"P00167ups|CYB5_HUMAN_UPS",-0.791956495064365,0.145802976593543,9.27348065550944,-5.43168948650556,0.000374599893978421,0.0198163343914585
"P00441ups|SODC_HUMAN_UPS",-4.27427755013177,0.218030484500215,5.87236095358071,-19.6040363801859,1.41416759964653e-06,0.000115091486186618
"P00709ups|LALBA_HUMAN_UPS",-4.70648399641755,0.231274633343663,8.3286950676905,-20.3501954726869,2.1431373475441e-08,2.51937701522406e-06
"P00915ups|CAH1_HUMAN_UPS",1.86162054710986,0.108022693148148,9.0692733704297,17.2336061327107,3.06562191918402e-08,3.41413472683863e-06
"P00918ups|CAH2_HUMAN_UPS",1.83800434922848,0.116142965487241,9.45004431171463,15.8253609378555,4.05856162868499e-08,4.29395820314872e-06
"P01008ups|ANT3_HUMAN_UPS",-6.05406050763462,0.330797904829005,9.16682422326507,-18.3013870984584,1.57523078220752e-08,2.08324270946944e-06
"P01031ups|CO5_HUMAN_UPS",2.16130424008974,0.149257381647316,9.15111303144259,14.4803842613074,1.28503391282647e-07,1.29482464740038e-05
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-5.07267144897376,0.229842948916351,8.61813730734634,-22.0701634437344,6.94366274043271e-09,1.22439919656297e-06
"P01133ups|EGF_HUMAN_UPS",-0.639257503175143,0.292817573708805,9.1685859853595,-2.1831254698219,0.0563447818158104,0.772593005750629
"P01344ups|IGF2_HUMAN_UPS",-6.77679378359975,0.246363398825656,8.4680626031212,-27.507307562336,1.39853931699801e-09,3.69913649345973e-07
"P01375ups|TNFA_HUMAN_UPS",-4.94999210806525,0.216747230693591,8.93462119570405,-22.8376256168315,3.11926213993408e-09,7.33373187566723e-07
"P01579ups|IFNG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02144ups|MYG_HUMAN_UPS",-1.60092389167973,0.214408823619998,9.07255190126435,-7.46668847228551,3.66153402118182e-05,0.00227876646730022
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.00260289785535,0.208991770489259,9.4680626031212,-19.151964158613,6.85649547792023e-09,1.22439919656297e-06
"P02787ups|TRFE_HUMAN_UPS",-5.07096032673014,0.84688728171306,8.0863754045317,-5.98776299541628,0.000314317228211278,0.0175025067077648
"P02788ups|TRFL_HUMAN_UPS",-5.2982478802367,0.379467886485059,7.61975007251658,-13.9623089830167,1.06094086279276e-06,9.35396194028949e-05
"P04040ups|CATA_HUMAN_UPS",-0.869609741249339,0.0932613023962004,9.33058128998696,-9.32444346053619,4.95099545628026e-06,0.000349210212849635
"P05413ups|FABPH_HUMAN_UPS",-7.49037940209468,0.18563589695227,7.48299146745042,-40.3498435651192,4.98445357505791e-10,1.50672910926036e-07
