"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",-4.58394507197935,0.977020696709577,4.81726363054235,-4.69175841148219,0.00590925583544973,0.271568844263929
"O76070ups|SYUG_HUMAN_UPS",-6.32386668521727,0.134381658551435,7.08191040747023,-47.0590016032342,4.18844527175556e-10,1.80534903356789e-07
"P00167ups|CYB5_HUMAN_UPS",-0.88446754851856,0.132333362729174,8.56198858227584,-6.683632383231,0.000113775208533564,0.00707414090705748
"P00441ups|SODC_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",-4.81018084564731,0.217766461724598,7.2364404417332,-22.0887128695262,6.59977744447282e-08,8.20701736330326e-06
"P00915ups|CAH1_HUMAN_UPS",1.77699251231827,0.0913398116215186,8.35295133670258,19.4547424695984,2.98642239994329e-08,4.88979242713535e-06
"P00918ups|CAH2_HUMAN_UPS",1.76907908946522,0.101440527601644,8.42789157118663,17.439569088327,6.582527431172e-08,8.20701736330326e-06
"P01008ups|ANT3_HUMAN_UPS",-6.01533546925569,0.296982344390405,7.53377428837244,-20.2548588590441,7.63702106583236e-08,8.93054349728539e-06
"P01031ups|CO5_HUMAN_UPS",2.05294917670337,0.126721198255692,8.56198858227584,16.2005189736371,1.01234372998738e-07,1.01909268818729e-05
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-5.15471248440611,0.297835990587535,8.04415138331607,-17.3072182251632,1.18978435783949e-07,1.1432746056694e-05
"P01133ups|EGF_HUMAN_UPS",-0.670067605206857,0.272635603324362,8.39768302099894,-2.45774065102444,0.0381013759496648,0.84319588144277
"P01344ups|IGF2_HUMAN_UPS",-6.85595728421233,0.174619680331231,7.56198858227584,-39.2622256048544,5.12398022772343e-10,1.80534903356789e-07
"P01375ups|TNFA_HUMAN_UPS",-5.0191406789191,0.213324456121166,8.01625152362086,-23.5282009863336,1.10190725863712e-08,2.35440781289458e-06
"P01579ups|IFNG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02144ups|MYG_HUMAN_UPS",-1.62427089431779,0.247023949783351,8.29496349417424,-6.5753579591871,0.000147841612794922,0.00868158804023514
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.04845859237738,0.155640600661474,7.56936585324851,-26.011584221414,1.11372176579687e-08,2.35440781289458e-06
"P02787ups|TRFE_HUMAN_UPS",-5.16970994742561,0.930410019313818,7.24807534614318,-5.55637819897759,0.000757592398035971,0.0400387582362011
"P02788ups|TRFL_HUMAN_UPS",-5.41173109281954,0.357009739369518,6.44757623037137,-15.1584970829555,2.77492605824973e-06,0.000225622834120767
"P04040ups|CATA_HUMAN_UPS",-0.954820716871981,0.0964341474364704,8.34299992185644,-9.90127192757114,6.77322675282279e-06,0.000477286711848912
"P05413ups|FABPH_HUMAN_UPS",-7.5787158691521,0.170982377579444,7.18380354288669,-44.3245437128793,5.01643552608407e-10,1.80534903356789e-07
"P06732ups|KCRM_HUMAN_UPS",-4.37814819716685,0.0998568507106131,7.65074275322259,-43.8442446963885,1.81411513612081e-10,1.80534903356789e-07
"P08263ups|GSTA1_HUMAN_UPS",-7.25592972088291,0.449457568237916,6.40080376798571,-16.1437480056895,1.99657359699867e-06,0.000168830263362208
"P08758ups|ANXA5_HUMAN_UPS",-7.70969318301886,0.413631807524388,5.91411912205015,-18.6390239888993,1.76957699456968e-06,0.000155870240271679
"P09211ups|GSTP1_HUMAN_UPS",-3.04043471729121,0.513081708329615,5.64072202950787,-5.9258294886201,0.00128347167266128,0.0646014075239511
"P10145ups|IL8_HUMAN_UPS",-7.24206596221186,0.945917012597016,5.08649249098049,-7.656132478608,0.000560480242464425,0.0303809033992255
"P10599ups|THIO_HUMAN_UPS",-6.52761564596012,0.252035054921163,8.39007517854435,-25.8996338743512,2.65626020627701e-09,7.01916759508699e-07
"P10636-8ups|TAU_HUMAN_UPS",-8.49754153633414,0.331345462856702,6.24446929305511,-25.6455647923241,1.44812695960339e-07,1.33101756200068e-05
"P12081ups|SYHC_HUMAN_UPS",-4.37706255804599,0.105426362515584,7.40457593735555,-41.5177234005298,4.82189810730948e-10,1.80534903356789e-07
"P15559ups|NQO1_HUMAN_UPS",-1.21309239464917,0.119263671885394,8.23649751795984,-10.1715164011962,6.04156523900571e-06,0.000440409272939934
"P16083ups|NQO2_HUMAN_UPS",-4.30199972871455,0.163985539239404,8.42433614594692,-26.2340188571994,2.24754523475986e-09,6.78758660897476e-07
"P41159ups|LEP_HUMAN_UPS",1.69502867291995,0.1633759164739,8.56198858227584,10.3750216647797,3.86865483548851e-06,0.000302901345267508
"P51965ups|UB2E1_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P55957ups|BID_HUMAN_UPS",-5.08586405264639,0.556489042548683,6.65651318595417,-9.13919891280065,5.24362461025107e-05,0.00346406950814712
"P61626ups|LYSC_HUMAN_UPS",-4.04791941878717,0.171590933810275,7.16823058033663,-23.5905203666697,4.64708753781875e-08,6.5492953699659e-06
"P61769ups|B2MG_HUMAN_UPS",-7.60102150751547,0.333456947788784,7.55033070677822,-22.7946112921602,3.08904239674398e-08,4.88979242713535e-06
"P62937ups|PPIA_HUMAN_UPS",-0.898364146207323,0.134971893924981,8.47003337937132,-6.65593495121764,0.000123242994191909,0.00744387684919128
"P62988ups|UBIQ_HUMAN_UPS",2.09445194021595,0.107447030902393,7.68638872390052,19.4928787014934,8.02650550844004e-08,8.93054349728539e-06
"P63165ups|SUMO1_HUMAN_UPS",-0.905281787320921,0.0974934556217475,8.56198858227584,-9.28556467249667,9.32206285024157e-06,0.000635704544045506
"P63279ups|UBC9_HUMAN_UPS",-3.98961929195342,0.0982786076278534,8.41283234772426,-40.5949920155636,5.98503541658465e-11,1.265236487066e-07
"P68871ups|HBB_HUMAN_UPS",1.58203835799072,0.0851887317491321,8.56198858227584,18.5709814609001,3.23827313055321e-08,4.88979242713535e-06
"P69905ups|HBA_HUMAN_UPS",1.78932203191387,0.109804142822554,8.55323288250699,16.2955785266268,9.75312987965361e-08,1.01909268818729e-05
"P99999ups|CYC_HUMAN_UPS",-6.81626619232774,0.724368684427476,4.99095408136901,-9.40994046107219,0.000230906316549001,0.0128456829785418
"Q06830ups|PRDX1_HUMAN_UPS",-0.780866222161207,0.102594305804407,7.84177161931109,-7.61120430650318,6.93800529254595e-05,0.00444452823892186
"Q15843ups|NEDD8_HUMAN_UPS",-4.77368168800006,0.14503045682523,6.58390778828539,-32.9150289704502,1.48813650334739e-08,2.85992778916035e-06
"sp|P00350|6PGD_ECOLI",0.0105855908344057,0.0861417691993718,6.94093853144616,0.12288569102761,0.905680072427581,0.98888252140737
"sp|P00363|FRDA_ECOLI",-0.0159506308272487,0.112342754630443,7.86997586991975,-0.141981838345687,0.890661639080074,0.988642919198494
"sp|P00370|DHE4_ECOLI",0.192227444809502,0.119248692558252,8.05182199250561,1.61198786071051,0.145386756578747,0.84319588144277
