"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",-4.56540445711835,0.94172494942095,6.4468193370494,-4.84791706954938,0.00234254254624599,0.117963749650244
"O76070ups|SYUG_HUMAN_UPS",-6.20929442974198,0.169469589383985,8.64501603304399,-36.6395791263347,8.68775902899346e-11,1.16397689576271e-07
"P00167ups|CYB5_HUMAN_UPS",-0.770478975830667,0.142351658826743,9.28853566490762,-5.41250437248802,0.000382177797568289,0.0207257959450495
"P00441ups|SODC_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",-4.68545727866963,0.232539589093306,8.58792614550772,-20.1490735273881,1.57131087179829e-08,1.95489558461964e-06
"P00915ups|CAH1_HUMAN_UPS",1.84075190703872,0.121849403143602,9.30841178091222,15.1067781995564,7.33344897545225e-08,7.75512229154075e-06
"P00918ups|CAH2_HUMAN_UPS",1.83541801544185,0.120160214843731,9.52404593575629,15.2747564393823,5.13466696681946e-08,5.71569507095956e-06
"P01008ups|ANT3_HUMAN_UPS",-6.12754844572621,0.325475491778987,9.31850585164375,-18.8264511476246,9.89118895770772e-09,1.57372227357743e-06
"P01031ups|CO5_HUMAN_UPS",2.18550276028894,0.14806351796081,9.19534046963183,14.7605756663664,1.03049394368338e-07,1.03785461470969e-05
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-5.07351901908181,0.217637457856534,8.54064510225368,-23.3117914032347,4.955859065645e-09,1.04816419238392e-06
"P01133ups|EGF_HUMAN_UPS",-0.619311735909556,0.295946454241781,9.22726274810292,-2.09264793354676,0.0651470663547249,0.828098155198621
"P01344ups|IGF2_HUMAN_UPS",-6.7991888464687,0.273141589967192,8.52404593575629,-24.8925432677074,2.93288477184608e-09,6.89227921383829e-07
"P01375ups|TNFA_HUMAN_UPS",-4.94710229571459,0.201974034507778,9.03181353063777,-24.4937539014406,1.43187698113422e-09,3.78552476887359e-07
"P01579ups|IFNG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02144ups|MYG_HUMAN_UPS",-1.61041685028751,0.211282040972255,9.27964433589297,-7.62211895945751,2.74106087978366e-05,0.00181166992523201
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.0161848387702,0.213650464577541,9.52404593575629,-18.7979223294064,7.54050791569579e-09,1.32901452014138e-06
"P02787ups|TRFE_HUMAN_UPS",-5.07807182516923,0.848404482926043,8.13248301224843,-5.9854372853566,0.000308184887426476,0.0176165145109999
"P02788ups|TRFL_HUMAN_UPS",-5.20705206596409,0.354428047031949,8.62128727463966,-14.6914221647214,2.12067789618267e-07,2.03874261383016e-05
"P04040ups|CATA_HUMAN_UPS",-0.861119347495059,0.0991631787360569,9.10455709757726,-8.68386187767442,1.06031950067813e-05,0.000773301980666984
"P05413ups|FABPH_HUMAN_UPS",-7.48494052350157,0.201810284405629,7.40025953290538,-37.0889944759069,1.11812309483400e-09,3.37832906510557e-07
"P06732ups|KCRM_HUMAN_UPS",-4.32406139716023,0.152454073504025,9.34505677612603,-28.3630427037824,2.20137474375927e-10,1.16397689576271e-07
"P08263ups|GSTA1_HUMAN_UPS",-7.20647773062908,0.483269118554526,5.94263816485032,-14.9119350977441,6.20664157097388e-06,0.000486186923059621
"P08758ups|ANXA5_HUMAN_UPS",-7.57880923698588,0.453379833559573,7.50195736640369,-16.7162468993894,3.29703106181244e-07,2.90550862322221e-05
"P09211ups|GSTP1_HUMAN_UPS",-3.05809128512614,0.491039297804949,7.40368703941956,-6.22779337376145,0.000345733815877196,0.0192428163310597
"P10145ups|IL8_HUMAN_UPS",-7.27180884801161,0.911630710009827,5.70763866624008,-7.97670456706447,0.000265171030324228,0.0155787980315484
"P10599ups|THIO_HUMAN_UPS",-6.49605870811403,0.242418732523276,9.4324599996887,-26.7968512189556,3.19857632018581e-10,1.3529977834386e-07
"P10636-8ups|TAU_HUMAN_UPS",-8.32757551077696,0.257196641682915,6.80481270607742,-32.3782435738162,1.041707415134e-08,1.57372227357743e-06
"P12081ups|SYHC_HUMAN_UPS",-4.28088500631569,0.145423784533392,9.41123456633655,-29.4373098599475,1.38332120959915e-10,1.16397689576271e-07
"P15559ups|NQO1_HUMAN_UPS",-1.16952312375402,0.131056080427777,9.42515377665283,-8.92383718433059,6.70748763616231e-06,0.000506654869660118
"P16083ups|NQO2_HUMAN_UPS",-4.22375014371072,0.240089101434972,9.52404593575629,-17.5924276381813,1.39484512837507e-08,1.84381090407079e-06
"P41159ups|LEP_HUMAN_UPS",1.81520645367572,0.174241419250568,8.82305135041336,10.4177666910837,2.96897061437641e-06,0.000241514340361774
"P51965ups|UB2E1_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P55957ups|BID_HUMAN_UPS",-5.10658604511673,0.611266899951596,8.21804075896477,-8.35410202240805,2.72016229162524e-05,0.00181166992523201
"P61626ups|LYSC_HUMAN_UPS",-4.00110817382203,0.191319881472376,8.48785166790177,-20.9131855143854,1.33950215551595e-08,1.84381090407079e-06
"P61769ups|B2MG_HUMAN_UPS",-7.51128334574092,0.34022200716631,8.68677478866036,-22.0775940048734,6.20943386505796e-09,1.19390478405433e-06
"P62937ups|PPIA_HUMAN_UPS",-0.808951576264465,0.199527346425118,9.52404593575629,-4.05433937131051,0.00255019421710903,0.125433971376409
"P62988ups|UBIQ_HUMAN_UPS",2.13216272646145,0.124055925406259,8.83104476406421,17.1871091161429,4.30910764328951e-08,5.06320148086517e-06
"P63165ups|SUMO1_HUMAN_UPS",-0.821637292994898,0.110194388324186,9.52404593575629,-7.45625349430392,2.84083378952633e-05,0.00182071620146915
