"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"O76070ups|SYUG_HUMAN_UPS",-5.77553264943957,0.840559965374076,9.06160552140954,-6.87105368725154,7.06100297629419e-05,0.0117000819317195
"P00167ups|CYB5_HUMAN_UPS",-0.491092567838892,0.489017147746317,7.79928507082591,-1.0042440640418,0.34539635594387,0.999197125387016
"P00441ups|SODC_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",-2.01516619699952,0.426954851938543,9.26055974986841,-4.71985782068027,0.0010075189217518,0.0982034619613368
"P00915ups|CAH1_HUMAN_UPS",2.25668566810729,0.325809637055811,7.71851381337612,6.92639324146424,0.000143644525557212,0.0197126234361447
"P00918ups|CAH2_HUMAN_UPS",2.58951014231812,0.497501143707715,8.71375241576644,5.20503354629365,0.000621728416902787,0.0643877491754949
"P01008ups|ANT3_HUMAN_UPS",-0.739936891749803,0.451148092475282,7.26055974986841,-1.64011973915271,0.143447701533566,0.999197125387016
"P01031ups|CO5_HUMAN_UPS",1.53453034609596,1.22825352289586,8.93216297552825,1.24935961305285,0.243279357370717,0.999197125387016
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-5.00333524810499,0.475033696009304,6.1740874796069,-10.5325901933639,3.57011700735798e-05,0.0100044600004871
"P01133ups|EGF_HUMAN_UPS",-0.432737419818778,0.427443043479901,9.26055974986841,-1.01238615628359,0.33707291245764,0.999197125387016
"P01344ups|IGF2_HUMAN_UPS",-6.10783645316435,0.607103114039803,7.79019808009376,-10.0606244835765,9.80839538558901e-06,0.00406312778848025
"P01375ups|TNFA_HUMAN_UPS",-4.05897836944344,0.277035462508543,8.58528531963325,-14.6514757810772,2.26503859424042e-07,0.00028875872790282
"P02144ups|MYG_HUMAN_UPS",-1.88232634728339,0.789108767422137,9.26055974986841,-2.38538263037247,0.0401284584690622,0.992430681839344
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.0275449232451,0.29809297739104,8.79823070176825,-13.511035914012,3.48531958844683e-07,0.00028875872790282
"P02768ups|ALBU_HUMAN_UPS",2.1996438984317,0.310368447582451,9.18245267299275,7.08720205151446,5.19019376854826e-05,0.0107501888431056
"P02787ups|TRFE_HUMAN_UPS",0.0569310716971992,0.599572256651489,6.26055974986841,0.0949528118848423,0.927318971259638,0.999197125387016
"P02788ups|TRFL_HUMAN_UPS",-4.05054080837417,0.534844646625579,7.26055974986841,-7.57330345162784,0.000107196431728031,0.0161476806703043
"P04040ups|CATA_HUMAN_UPS",-0.707611745728729,0.298295168513085,9.02975360753242,-2.37218641272659,0.041671897834709,0.999197125387016
"P05413ups|FABPH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P06396ups|GELS_HUMAN_UPS",2.15824517244041,0.728405499278119,8.17114582324055,2.96297210081379,0.0176448350852234,0.664488448550344
"P06732ups|KCRM_HUMAN_UPS",-1.98132346944501,0.516439526846155,8.03437776224256,-3.8365062440994,0.00493176550783021,0.314305209479795
"P08263ups|GSTA1_HUMAN_UPS",-1.83623380378544,0.966786217196705,8.17874867748548,-1.899317316614,0.0932644379738366,0.999197125387016
"P08758ups|ANXA5_HUMAN_UPS",-2.34333239512568,0.690196018553736,8.83081525905167,-3.39516938975683,0.00815500288999206,0.435898057700543
"P09211ups|GSTP1_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10145ups|IL8_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10599ups|THIO_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10636-8ups|TAU_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P12081ups|SYHC_HUMAN_UPS",-2.24031807185921,0.491008463968539,7.1655260139415,-4.56268727783633,0.00244592922225968,0.193617151568024
"P15559ups|NQO1_HUMAN_UPS",-0.109734950669217,0.692905140477422,8.66015760021102,-0.158369370147272,0.877796956674197,0.999197125387016
"P16083ups|NQO2_HUMAN_UPS",-2.99979570385153,0.394593440831366,8.80171600177834,-7.60224421757057,3.75273671734591e-05,0.0100044600004871
"P41159ups|LEP_HUMAN_UPS",4.44992669949379,1.08998561756491,9.0952318698579,4.08255542805712,0.00268750421609206,0.193617151568024
"P51965ups|UB2E1_HUMAN_UPS",0.799778873586135,1.23311395736656,6.09888157177432,0.648584722286449,0.54024463635285,0.999197125387016
"P55957ups|BID_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P61626ups|LYSC_HUMAN_UPS",-3.15667490243372,0.765317231076171,8.86481089919235,-4.12466200191896,0.00266489555125796,0.193617151568024
"P61769ups|B2MG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P62937ups|PPIA_HUMAN_UPS",-1.17967419621649,0.564495344100595,8.293389883472,-2.08978552001355,0.0688185829584962,0.999197125387016
"P62988ups|UBIQ_HUMAN_UPS",3.27962496367832,0.453422721058542,9.26055974986841,7.23304062933114,4.22638624039888e-05,0.0100044600004871
"P63165ups|SUMO1_HUMAN_UPS",-1.16215143522518,0.291619697581672,9.21034108541679,-3.98516096430592,0.00303727420339946,0.209698473126371
"P63279ups|UBC9_HUMAN_UPS",-2.95759468214998,0.292088171241318,8.10282776688969,-10.1256913951044,7.04816028927075e-06,0.00389293386644055
"P68871ups|HBB_HUMAN_UPS",2.67230461612925,0.563466772118302,8.94261253446146,4.74261260532358,0.00107383308840509,0.0988523015270685
"P69905ups|HBA_HUMAN_UPS",1.92093006579161,0.654188777391658,9.26055974986841,2.93635435546697,0.0160974168906981,0.631186163629043
"P99999ups|CYC_HUMAN_UPS",0.11200497119371,0.756572405609277,7.28186568555105,0.148042633280434,0.886325522144695,0.999197125387016
"Q06830ups|PRDX1_HUMAN_UPS",-0.919433455573549,0.456438654897334,8.81144212034933,-2.0143636953368,0.0754740866243578,0.999197125387016
"Q15843ups|NEDD8_HUMAN_UPS",-4.17570194168962,0.667143913415207,8.90804004942255,-6.25907222972866,0.000154655464496006,0.0197126234361447
"sp|P00350|6PGD_ECOLI",0.177422367243635,0.300783337388847,8.98799764773098,0.589867672803517,0.569809087649571,0.999197125387016
"sp|P00363|FRDA_ECOLI",0.0378158951243658,0.286174150781346,9.26055974986841,0.132142945200034,0.897697934655029,0.999197125387016
"sp|P00370|DHE4_ECOLI",0.481508526519926,0.479845344036925,8.81163208923804,1.00346608027705,0.342394241914297,0.999197125387016
"sp|P00393|NDH_ECOLI",-0.0260761652082526,0.349080580201266,9.26055974986841,-0.0746995584607373,0.942042582677628,0.999197125387016
"sp|P00448|SODM_ECOLI",0.0994226400753885,0.282559691303886,9.26055974986841,0.351864201212133,0.732814420780002,0.999197125387016
"sp|P00452|RIR1_ECOLI",0.0438983692178501,0.266995886502406,9.26055974986841,0.164415900907351,0.872936654777137,0.999197125387016
"sp|P00490|PHSM_ECOLI",-0.182179767376698,0.295841450828273,8.02975914788687,-0.615802034727202,0.555074449075815,0.999197125387016
"sp|P00509|AAT_ECOLI",0.380319772630277,0.414125237024595,9.08148338543836,0.918368982684553,0.382169288200026,0.999197125387016
"sp|P00550|PTM3C_ECOLI",-0.428371780752497,0.787887267959166,9.26055974986841,-0.543696792895375,0.599493005800396,0.999197125387016
"sp|P00561|AK1H_ECOLI",-0.0401118464765249,0.334445774895399,9.26055974986841,-0.119935276470663,0.907096233558152,0.999197125387016
"sp|P00562|AK2H_ECOLI",-0.30487375363784,0.406186051350139,8.87490678379026,-0.750576620306032,0.472337401205532,0.999197125387016
"sp|P00579|RPOD_ECOLI",-0.193049462983623,0.370531886922094,8.59801734222476,-0.521006341956779,0.615512620010461,0.999197125387016
"sp|P00582|DPO1_ECOLI",0.0269207603729575,0.364219781648377,9.02874695349664,0.0739135042339551,0.942690874047361,0.999197125387016
"sp|P00634|PPB_ECOLI",-0.0340916209975505,0.312383645316714,9.26055974986841,-0.10913382153213,0.915424684946864,0.999197125387016
"sp|P00722|BGAL_ECOLI",0.182474404873786,0.389641646384547,8.9778897279673,0.468313401729386,0.650721872607772,0.999197125387016
"sp|P00803|LEP_ECOLI",0.134478132986929,0.352913273665864,9.26055974986841,0.381051501945636,0.711760142016788,0.999197125387016
"sp|P00805|ASPG2_ECOLI",-0.389147726249543,0.706676748833545,8.87271898947373,-0.550672888123005,0.595448417570219,0.999197125387016
"sp|P00811|AMPC_ECOLI",-0.616149538109037,0.41702781820654,9.25264883525854,-1.47747826693873,0.172757476299895,0.999197125387016
"sp|P00864|CAPP_ECOLI",0.00686507581233389,0.319458897626639,9.07112314219369,0.0214896998122034,0.983320306963353,0.999197125387016
"sp|P00887|AROH_ECOLI",-0.00767047794839772,0.367739132071461,9.06168517249003,-0.0208584762388224,0.983810626739827,0.999197125387016
"sp|P00895|TRPE_ECOLI",0.235477178909177,0.297124680286942,8.92636562494152,0.792519755281755,0.448607187191156,0.999197125387016
"sp|P00904|TRPGD_ECOLI",0.0488756696189284,0.489670772831864,6.71940529524462,0.0998133283231723,0.923404881631974,0.999197125387016
"sp|P00909|TRPC_ECOLI",0.209848103147276,0.317191197576245,8.95665767455884,0.661582366568773,0.524891551069995,0.999197125387016
"sp|P00926|SDHD_ECOLI",0.0742877607762771,0.514640238046531,9.26055974986841,0.144348916552383,0.888317690106202,0.999197125387016
"sp|P00934|THRC_ECOLI",0.0937654122522543,0.276774930057361,8.88853416776947,0.338778560011998,0.742642154717106,0.999197125387016
"sp|P00944|XYLA_ECOLI",-0.20476393976763,0.49019502779219,9.26055974986841,-0.417719332425454,0.685671463339412,0.999197125387016
"sp|P00946|MANA_ECOLI",-0.238292442406789,0.324024122399052,9.03580921811637,-0.73541574819334,0.480738486889188,0.999197125387016
"sp|P00954|SYW_ECOLI",0.250474979107207,0.416056587925866,9.24266737607575,0.602021422989309,0.561635750663317,0.999197125387016
"sp|P00956|SYI_ECOLI",0.469503944518704,0.293986917750113,9.10892291963371,1.59702325570072,0.144321575005545,0.999197125387016
"sp|P00957|SYA_ECOLI",0.155907317785859,0.29092595717664,9.26055974986841,0.535900334569311,0.604658474873931,0.999197125387016
"sp|P00959|SYM_ECOLI",0.109530567326769,0.285029059730918,9.11101346522871,0.384278597523256,0.709587290225327,0.999197125387016
"sp|P00960|SYGA_ECOLI",-0.35677539152471,0.426629228811115,9.26055974986841,-0.836265701998277,0.424057947669452,0.999197125387016
"sp|P00961|SYGB_ECOLI",-0.267679453951531,0.311811287168161,8.92791290099589,-0.858466210067534,0.413088573888772,0.999197125387016
"sp|P00962|SYQ_ECOLI",-0.039611721980427,0.351239943970105,9.17158917912471,-0.112776814426888,0.912637433863046,0.999197125387016
"sp|P00963|ASNA_ECOLI",0.420288842645349,0.541850370024203,8.97963150740074,0.775654804160374,0.457893194797495,0.999197125387016
