"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"O76070ups|SYUG_HUMAN_UPS",-5.98621130593433,1.03813570419489,9.11340872783781,-5.76630904971798,0.00025813447448578,0.085442511054793
"P00167ups|CYB5_HUMAN_UPS",-0.70161287310821,0.750321168493695,8.70595465237303,-0.935083405039379,0.374954462515066,0.999001072755213
"P00441ups|SODC_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",-2.06845291207261,0.663549214268236,9.05630845114969,-3.11725621490443,0.012280974760746,0.799149019242619
"P00915ups|CAH1_HUMAN_UPS",2.23363500350871,0.606008860308053,8.94322927609083,3.68581245226891,0.00508483569827657,0.442915951613038
"P00918ups|CAH2_HUMAN_UPS",2.50085215400482,0.814339606051797,8.78142670630934,3.07101869468172,0.0137198394391651,0.818913669791522
"P01008ups|ANT3_HUMAN_UPS",-0.766454922717954,0.692717750710302,6.6512660738419,-1.10644619967085,0.306938480915643,0.999001072755213
"P01031ups|CO5_HUMAN_UPS",1.48135850238769,1.28281628858053,8.97532945115772,1.15477057437964,0.278002410672478,0.999001072755213
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-4.79052690323131,0.831670485309784,6.18017727535833,-5.76012614112056,0.00107640986188703,0.176138480454366
"P01133ups|EGF_HUMAN_UPS",-0.382244517856505,0.498457621142948,9.22006232481759,-0.766854596344682,0.462351188946902,0.999001072755213
"P01344ups|IGF2_HUMAN_UPS",-6.03816114808344,0.859070048092339,7.7972550798733,-7.02871804399635,0.000123889178684995,0.0683455302412221
"P01375ups|TNFA_HUMAN_UPS",-4.10542810280569,0.480864405419257,9.16732060297186,-8.5376003225405,1.16641734849464e-05,0.0193042071175864
"P02144ups|MYG_HUMAN_UPS",-1.848188302505,1.05480413981458,9.27931041807485,-1.75216254159742,0.112645349452334,0.999001072755213
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.14139493958118,0.519335663011109,8.95411251595567,-7.97440891228105,2.33990096588801e-05,0.0193626804927233
"P02768ups|ALBU_HUMAN_UPS",2.18424488395919,0.365919399514014,8.9511701114678,5.9691967325595,0.000214919174334665,0.085442511054793
"P02787ups|TRFE_HUMAN_UPS",-0.48551590831548,1.11084922416451,6.27931041807485,-0.437067333490417,0.676694642085184,0.999001072755213
"P02788ups|TRFL_HUMAN_UPS",-4.04062890109744,0.7082426397426,6.03112844768551,-5.70514774790451,0.00123223237393674,0.176138480454366
"P04040ups|CATA_HUMAN_UPS",-0.773383489597935,0.584825482515728,8.97930698209108,-1.32241756339189,0.218720108637064,0.999001072755213
"P05413ups|FABPH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P06396ups|GELS_HUMAN_UPS",2.41095415982858,0.993964434266951,9.05989584769969,2.42559399180782,0.0380888949976242,0.999001072755213
"P06732ups|KCRM_HUMAN_UPS",-2.06568423493344,0.792445242568085,8.13614928772233,-2.60672173163556,0.0308527862846632,0.999001072755213
"P08263ups|GSTA1_HUMAN_UPS",-1.60752539647321,0.951741213923545,7.82601993321192,-1.689036234804,0.130525099715111,0.999001072755213
"P08758ups|ANXA5_HUMAN_UPS",-2.61593693975607,0.825613129241669,8.77776649878039,-3.1684778828055,0.0117554069303701,0.799149019242619
"P09211ups|GSTP1_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10145ups|IL8_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10599ups|THIO_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10636-8ups|TAU_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P12081ups|SYHC_HUMAN_UPS",-2.15285486609443,0.509481646983859,9.1464632795891,-4.22557883849078,0.00214226308895989,0.253246100873473
"P15559ups|NQO1_HUMAN_UPS",-0.304468633079059,0.906412203636478,8.54006451937465,-0.335905266784303,0.745047038031643,0.999001072755213
"P16083ups|NQO2_HUMAN_UPS",-3.11339616095458,0.668682220508568,8.77019638639308,-4.65601756030941,0.00127713701840024,0.176138480454366
"P41159ups|LEP_HUMAN_UPS",4.46081291635643,1.36277607966525,9.16504311044694,3.27332786575779,0.00940077613442945,0.676447152281771
"P51965ups|UB2E1_HUMAN_UPS",0.456336864381678,0.860048440746121,5.68191307256684,0.53059437441197,0.615784179312764,0.999001072755213
"P55957ups|BID_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P61626ups|LYSC_HUMAN_UPS",-3.08941982947104,0.909538921087371,9.27931041807485,-3.39668787980792,0.00757354972012953,0.569737490309744
"P61769ups|B2MG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P62937ups|PPIA_HUMAN_UPS",-1.25865538548975,0.878100101594852,8.31411088349614,-1.43338485350783,0.188262054271563,0.999001072755213
"P62988ups|UBIQ_HUMAN_UPS",3.31376300845671,0.752736865968752,9.27931041807485,4.40228605542255,0.00159274233848468,0.202768351553242
"P63165ups|SUMO1_HUMAN_UPS",-1.1218327261606,0.445057414155723,9.27931041807485,-2.52064720298778,0.0320124555187188,0.999001072755213
"P63279ups|UBC9_HUMAN_UPS",-2.95067885741416,0.566852689605256,9.00193018959783,-5.20537153924232,0.000559636454440301,0.13093910522742
"P68871ups|HBB_HUMAN_UPS",2.55068009888526,0.860070575078095,8.89037106349843,2.96566371736838,0.0160233703221344,0.914437168383876
"P69905ups|HBA_HUMAN_UPS",1.95506811057,0.998276592515438,9.27931041807485,1.95844330642237,0.0808824414922368,0.999001072755213
"P99999ups|CYC_HUMAN_UPS",0.245547163216827,0.900905248608724,5.97271529409545,0.272556035827328,0.7943722843715,0.999001072755213
"Q06830ups|PRDX1_HUMAN_UPS",-0.834475810278276,0.784334320950755,9.19797893745901,-1.06392872017476,0.314493458965952,0.999001072755213
"Q15843ups|NEDD8_HUMAN_UPS",-4.30758688567038,0.930130695526189,8.9100115601227,-4.63116302514188,0.00126789090733602,0.176138480454366
"sp|P00350|6PGD_ECOLI",0.0456773383831906,0.444269497441755,8.91134307303058,0.102814482304582,0.920386674743849,0.999001072755213
"sp|P00363|FRDA_ECOLI",-0.0047218395956764,0.392299424538145,8.92537891242888,-0.0120363153762854,0.990661385571304,0.999001072755213
"sp|P00370|DHE4_ECOLI",0.686652406754625,0.536894481533464,9.16572483333246,1.27893362731803,0.232350018022553,0.999001072755213
"sp|P00393|NDH_ECOLI",-0.0305177990876236,0.426274488598395,9.1081928690452,-0.0715918965452686,0.944474099144052,0.999001072755213
"sp|P00448|SODM_ECOLI",0.0398554002328837,0.409683457543281,8.81564492860562,0.0972834013652435,0.924677130772343,0.999001072755213
"sp|P00452|RIR1_ECOLI",0.0555015257386952,0.414459952197196,9.17158690131864,0.133912879747398,0.896363982493597,0.999001072755213
"sp|P00490|PHSM_ECOLI",-0.153095076125023,0.511697109445223,9.21072235662463,-0.299190816792004,0.771435664014247,0.999001072755213
"sp|P00509|AAT_ECOLI",0.41631623663018,0.689319329166702,8.46918716602869,0.603952651572171,0.561700708881095,0.999001072755213
"sp|P00550|PTM3C_ECOLI",-0.394233735974118,1.15406596577226,9.27931041807485,-0.341604160998121,0.740257702660748,0.999001072755213
"sp|P00561|AK1H_ECOLI",-0.0292038285675494,0.352945145993704,8.82096077271275,-0.0827432503295296,0.935902855225826,0.999001072755213
"sp|P00562|AK2H_ECOLI",-0.196494682673957,0.487901444260324,9.27931041807485,-0.402734373889485,0.69626454996775,0.999001072755213
