"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-4.39662056458708,0.453931141738502,-9.68565529068693,5,0.000199202420698263,0.0175215129205848,NA,0.505681818181818,0.380681818181818
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-5.89613884678592,0.285309319216416,-20.6657772798284,6,8.35383172193005e-07,0.000440873469124858,NA,0.386904761904762,0.386904761904762
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.792613760774522,0.378654212586664,-2.09323898804668,6,0.0812335863761946,0.975943034190774,NA,0.0227272727272727,0.0227272727272727
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-4.91779574086883,0.643876440541603,-7.63779419655761,3,0.00466009528307421,0.298104883108171,NA,0.519230769230769,0.144230769230769
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-4.03738902167365,0.364050845703755,-11.0901789387932,6,3.20139677647546e-05,0.00375452699729983,NA,0.138888888888889,0.138888888888889
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",1.8977243284007,0.380994442009589,4.98097641107567,6,0.00249929412698435,0.170193867808515,NA,0.0993589743589743,0.0993589743589744
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.94428444012108,0.364014919861602,5.3412218401935,6,0.00175923804575762,0.128060397054977,NA,0.155405405405405,0.155405405405405
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-6.19193809844074,0.373175664810169,-16.5925559524106,6,3.05660480126591e-06,0.000586590248679302,NA,0.477040816326531,0.477040816326531
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",2.13654746676663,0.386573087167067,5.52689138921683,6,0.00147743036343329,0.111387696328845,NA,0.025,0.025
"10","P01112ups|RASH_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-5.08186599956976,0.293159106371257,-17.3348393044086,6,2.36178722046176e-06,0.000586590248679302,NA,0.391666666666667,0.391666666666667
