"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-4.21011181665758,0.322383140898598,-13.0593423865854,5,4.69670688469925e-05,0.00341887870124142,NA,0.505681818181818,0.380681818181818
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-5.94285001996715,0.224569830466386,-26.4632609270135,6,1.921838124197e-07,5.07125035022482e-05,NA,0.386904761904762,0.386904761904762
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.834135461793676,0.182551953477045,-4.56930449609549,6,0.00381327784228813,0.187205337792331,NA,0.0227272727272727,0.0227272727272727
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-4.55751703362693,0.253551143343408,-17.9747445565815,3,0.000375547224046979,0.0208626365779782,NA,0.519230769230769,0.144230769230769
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-4.18036804440867,0.22044674007554,-18.9631656289233,6,1.38985773556755e-06,0.000172587628222535,NA,0.138888888888889,0.138888888888889
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",1.85319311247444,0.158879112826434,11.6641708246378,6,2.39306978349063e-05,0.00210490429706197,NA,0.0993589743589743,0.0993589743589744
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.88232307566045,0.168566589306417,11.1666438966669,6,3.07722785002351e-05,0.00240593629311098,NA,0.155405405405405,0.155405405405405
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-6.31496072620726,0.22758132016502,-27.7481505144107,6,1.44893645526167e-07,4.41404583338174e-05,NA,0.477040816326531,0.477040816326531
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",2.07451978379102,0.184953110314482,11.2164633525959,6,2.99933197080993e-05,0.00240593629311098,NA,0.025,0.025
"10","P01112ups|RASH_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-5.19829273129646,0.207335413653741,-25.0718998732066,6,2.65062982895969e-07,6.21719952103768e-05,NA,0.391666666666667,0.391666666666667
"12","P01133ups|EGF_HUMAN_UPS","UPS2-UPS1",-0.537805022448713,0.435475575667681,-1.23498320571513,6,0.263001687289368,0.883310990305383,NA,0.145833333333333,0.145833333333333
"13","P01344ups|IGF2_HUMAN_UPS","UPS2-UPS1",-6.71437707227045,0.374759151665646,-17.9165126253165,5,9.94601063775136e-06,0.000927664280642953,NA,0.392857142857143,0.267857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS2-UPS1",-5.48956702803536,0.280442752598899,-19.574643941278,6,1.15192400640396e-06,0.000162114105167917,NA,0.46875,0.46875
"15","P01579ups|IFNG_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"16","P02144ups|MYG_HUMAN_UPS","UPS2-UPS1",-1.73317215114637,0.186343257084449,-9.30096520938728,6,8.74225058598022e-05,0.00595319064096911,NA,0.215,0.215
"17","P02741ups|CRP_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"18","P02753ups|RETBP_HUMAN_UPS","UPS2-UPS1",-3.84040194126961,0.2307895823958,-16.6402742333637,6,3.00535305064464e-06,0.000317215014495542,NA,0.25,0.25
"19","P02787ups|TRFE_HUMAN_UPS","UPS2-UPS1",-5.03539229567267,0.0787264858473017,-63.9605876151941,6,9.82105952118673e-10,2.07322566492252e-06,NA,0.496575342465753,0.496575342465753
"20","P02788ups|TRFL_HUMAN_UPS","UPS2-UPS1",-6.63099007652804,0.328847150700739,-20.1643531421759,6,9.66262521551187e-07,0.000148442234690064,NA,0.494718309859155,0.494718309859155
"21","P04040ups|CATA_HUMAN_UPS","UPS2-UPS1",-0.841922995948378,0.0950218101561704,-8.86031316983606,6,0.000114966384185067,0.00758418865670862,NA,0.105769230769231,0.105769230769231
"22","P05413ups|FABPH_HUMAN_UPS","UPS2-UPS1",-7.69856615216772,0.164802364591059,-46.7139301749156,5,8.49066792429909e-08,4.41404583338174e-05,NA,0.5,0.375
"23","P06732ups|KCRM_HUMAN_UPS","UPS2-UPS1",-4.2346046638222,0.193069549358794,-21.9330530261546,6,5.86916162337303e-07,0.000103248334891171,NA,0.286057692307692,0.286057692307692
"24","P08263ups|GSTA1_HUMAN_UPS","UPS2-UPS1",-7.00442593025048,0.201776609334976,-34.7137656507162,5,3.73199941616775e-07,7.87825076753013e-05,NA,0.470588235294118,0.345588235294118
"25","P08758ups|ANXA5_HUMAN_UPS","UPS2-UPS1",-7.85044190235404,0.231739015228116,-33.8762201721895,5,4.21485817803102e-07,8.08869601256681e-05,NA,0.483333333333333,0.358333333333333
"26","P09211ups|GSTP1_HUMAN_UPS","UPS2-UPS1",-1.95853926141509,0.304595942840459,-6.42995846612748,4,0.00300846154049239,0.151211007428082,NA,0.514705882352941,0.264705882352941
"27","P10145ups|IL8_HUMAN_UPS","UPS2-UPS1",-7.68499349928897,0.35576392051627,-21.6013852336033,4,2.7167229859959e-05,0.00229400088937494,NA,0.416666666666667,0.166666666666667
"28","P10599ups|THIO_HUMAN_UPS","UPS2-UPS1",-6.37594267011497,0.138733583613779,-45.9581775661832,6,7.11038294909372e-09,7.08332712129334e-06,NA,0.375,0.375
"29","P10636-8ups|TAU_HUMAN_UPS","UPS2-UPS1",-8.74929398299881,0.306258815521634,-28.5683008604882,5,9.84458212061057e-07,0.000148442234690064,NA,0.504901960784314,0.379901960784314
"30","P12081ups|SYHC_HUMAN_UPS","UPS2-UPS1",-4.13940287707485,0.149431288614275,-27.7010451790979,6,1.46368170694799e-07,4.41404583338174e-05,NA,0.319148936170213,0.319148936170213
"31","P15559ups|NQO1_HUMAN_UPS","UPS2-UPS1",-1.21169112169926,0.114256138385149,-10.605041784405,6,4.13941079195901e-05,0.00312082006493767,NA,0.149038461538462,0.149038461538462
"32","P16083ups|NQO2_HUMAN_UPS","UPS2-UPS1",-3.97795035526294,0.29399737822575,-13.5305640453991,6,1.01071901728034e-05,0.000927664280642953,NA,0.295833333333333,0.295833333333333
"33","P41159ups|LEP_HUMAN_UPS","UPS2-UPS1",2.24034035161933,0.271680270668086,8.24623866175536,6,0.000171897287176925,0.0104023921888304,NA,0.158653846153846,0.158653846153846
"34","P51965ups|UB2E1_HUMAN_UPS",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"35","P55957ups|BID_HUMAN_UPS","UPS2-UPS1",-6.18624726654975,0.142657191052595,-43.3644264330775,6,1.00663104518617e-08,7.08332712129334e-06,NA,0.443181818181818,0.443181818181818
"36","P61626ups|LYSC_HUMAN_UPS","UPS2-UPS1",-4.40837838936817,0.259057462404737,-17.0169905489183,6,2.63403504119353e-06,0.000292655156418923,NA,0.340277777777778,0.340277777777778
"37","P61769ups|B2MG_HUMAN_UPS","UPS2-UPS1",-6.96501084911207,0.360443805327753,-19.3234305768655,6,1.24343076279843e-06,0.000164055146266717,NA,0.291666666666667,0.291666666666667
"38","P62937ups|PPIA_HUMAN_UPS","UPS2-UPS1",-0.79145322158141,0.232143981858244,-3.4093204365931,6,0.0143306114075039,0.581767705408476,NA,0.0855263157894737,0.0855263157894737
"39","P62988ups|UBIQ_HUMAN_UPS","UPS2-UPS1",2.29925143295146,0.156153317050543,14.7243201513757,6,6.16539139786099e-06,0.000619768630518312,NA,0.05,0.05
"40","P63165ups|SUMO1_HUMAN_UPS","UPS2-UPS1",-1.02116912844459,0.123908436482134,-8.24132042527892,6,0.00017246978996166,0.0104023921888304,NA,0.15,0.15
"41","P63279ups|UBC9_HUMAN_UPS","UPS2-UPS1",-3.86941143208828,0.217699314632381,-17.7741093885499,6,2.03761959616244e-06,0.000238967498194384,NA,0.301136363636364,0.301136363636364
"42","P69905ups|HBA_HUMAN_UPS","UPS2-UPS1",1.83045716492277,0.215030309717556,8.51255419446256,6,0.000143934295745884,0.00920743328241097,NA,0.0583333333333333,0.0583333333333333
"43","P99999ups|CYC_HUMAN_UPS","UPS2-UPS1",-7.39727787826396,0.425162519046803,-17.3987064872236,4,6.40588315055091e-05,0.00450760644360432,NA,0.520833333333333,0.270833333333333
"44","Q06830ups|PRDX1_HUMAN_UPS","UPS2-UPS1",-0.72389631554162,0.0933143839818528,-7.75760696960073,6,0.000241247293704117,0.0137641361353889,NA,0.109375,0.109375
"45","Q15843ups|NEDD8_HUMAN_UPS","UPS2-UPS1",-4.79366426185616,0.166911017269371,-28.7198792523075,6,1.18017011052629e-07,4.41404583338174e-05,NA,0.28125,0.28125
"46","sp|P00350|6PGD_ECOLI","UPS2-UPS1",0.174573433587177,0.201735952214416,0.865356083885487,6,0.420092442837116,0.883310990305383,NA,0.0558035714285714,0.0558035714285714
