"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-4.76186965441533,0.345043012702815,-13.8008001295674,6,9.00544375115331e-06,0.00213091312761665,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-4.75706481108088,0.485823803943884,-9.7917491330465,6,6.52966334797611e-05,0.009036576633211,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.573980672598535,0.912370576117915,-0.629109144489063,6,0.552461028252239,0.99947715652399,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-3.72985420459565,0.802155768449623,-4.64978792311695,6,0.00350447864272829,0.195117002078961,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-2.23701878528261,0.638041155521179,-3.50607286994727,6,0.0127320060819978,0.46349399063888,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",2.1007524371823,0.330174150431842,6.36255877219546,6,0.000707421498352234,0.0478267462993135,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.62234486644344,0.308012889201755,5.26713304319146,6,0.00188841048688904,0.115314872634869,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-4.66050612846824,0.301386373630338,-15.463559524375,6,4.62578991600182e-06,0.0018848624223371,NA,0.439814814814815,0.439814814814815
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",1.03458927842168,0.307564488641686,3.36381252267058,6,0.0151579667583563,0.516379938273741,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS2-UPS1",-5.90379071858449,0.408348686759133,-14.4577193707663,6,6.86168119923281e-06,0.00206389087336738,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-3.84856682919634,0.399258078687622,-9.63929607096928,6,7.1390213604694e-05,0.009036576633211,NA,0.480263157894737,0.480263157894737
