"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-5.01929373192915,0.543800183138024,-9.23003317682807,6,9.12913432746798e-05,0.0325039985466804,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-4.73270087352596,0.749792106075316,-6.31201747148104,6,0.000738053742529221,0.0873209834129885,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.505187957652045,1.19074411540946,-0.424262401228267,6,0.6861652850202,0.998595046741689,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-4.04902397248158,0.948299573535952,-4.26977306062035,6,0.0052643841289437,0.34363721227898,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-2.27217320541331,0.968721782170994,-2.34553743627109,6,0.0574075906546552,0.998595046741689,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",2.19381737602501,0.679116791941085,3.23039777849482,6,0.0179015363021298,0.770172914089355,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.67138472579206,0.600081129461548,2.78526459795827,6,0.0317754263950951,0.998595046741689,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-4.76334717654078,0.527238827138967,-9.03451515964562,6,0.000103023767184407,0.0325039985466804,NA,0.4375,0.4375
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",1.3717290484935,0.388102944988926,3.53444637873758,6,0.0123013049992586,0.646843621211016,NA,0.104166666666667,0.104166666666667
"10","P01112ups|RASH_HUMAN_UPS","UPS2-UPS1",-6.20512043440872,0.592909405619175,-10.4655456223177,6,4.46571611267821e-05,0.0281786686709995,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-3.95530268837779,0.587878792415539,-6.72809214995803,6,0.000524604881263269,0.0710473776001252,NA,0.480263157894737,0.480263157894737
"12","P01344ups|IGF2_HUMAN_UPS","UPS2-UPS1",-4.47303713763735,0.719985842905514,-6.21267373756453,6,0.000802802058287755,0.0893943703728659,NA,0.392857142857143,0.392857142857143
"13","P01375ups|TNFA_HUMAN_UPS","UPS2-UPS1",-4.78749139011317,0.807295888847848,-5.93028089978974,6,0.0010254473952358,0.107842884398965,NA,0.486842105263158,0.486842105263158
"14","P01579ups|IFNG_HUMAN_UPS","UPS2-UPS1",-2.27789470879434,0.686420879663625,-3.31851022642348,6,0.0160340406172725,0.740303387524315,NA,0.392857142857143,0.392857142857143
"15","P02144ups|MYG_HUMAN_UPS","UPS2-UPS1",-2.07543072443262,0.885208935311094,-2.34456594555638,6,0.0574838947946112,0.998595046741689,NA,0.229166666666667,0.229166666666667
"16","P02741ups|CRP_HUMAN_UPS","UPS2-UPS1",-1.48307083001579,0.259819721955748,-5.70807642642458,6,0.00125100706355541,0.11840781856552,NA,0.458333333333333,0.458333333333333
"17","P02753ups|RETBP_HUMAN_UPS","UPS2-UPS1",-4.07263904724835,0.373993820148688,-10.8895891531823,6,3.55573668180398e-05,0.0281786686709995,NA,0.28125,0.28125
"18","P02768ups|ALBU_HUMAN_UPS","UPS2-UPS1",2.14338879051256,0.653632025010941,3.27919794088529,6,0.0168394485349963,0.758978001827333,NA,0.141304347826087,0.141304347826087
"19","P02787ups|TRFE_HUMAN_UPS","UPS2-UPS1",-4.13124196088946,0.587943213290043,-7.02660030340625,6,0.000414854631912931,0.0668216646062468,NA,0.464583333333333,0.464583333333333
"20","P02788ups|TRFL_HUMAN_UPS","UPS2-UPS1",-4.68966711365658,0.619645351330669,-7.56830839380247,6,0.000276439662017847,0.0578442570930822,NA,0.457746478873239,0.457746478873239
