"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS2-UPS1",-4.74478797525455,0.325749275576839,-14.5657667752367,6,6.56900793361004e-06,0.00177644743118911,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS2-UPS1",-4.73245667372591,0.485559489008649,-9.74639932047876,6,6.7044044657294e-05,0.0084609584357505,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS2-UPS1",-0.387335736985863,0.865300831028941,-0.447631301272734,6,0.670127080711856,0.995820784654303,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS2-UPS1",-3.67292326329762,0.782418979824863,-4.69431769679178,6,0.00334581807996059,0.179934240680828,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS2-UPS1",-2.22615383833854,0.584068264099166,-3.81146173345342,6,0.00884845923653743,0.356385815633306,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS2-UPS1",2.11488236099717,0.323207180098469,6.54342629502491,6,0.000609139003409753,0.0397620735674022,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS2-UPS1",1.71793528978724,0.273801509380611,6.2743821013753,6,0.000761852573939237,0.0480728974155658,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS2-UPS1",-4.66309863144774,0.274549633699893,-16.9845377996203,6,2.66383386504643e-06,0.00177644743118911,NA,0.4375,0.4375
"9","P01031ups|CO5_HUMAN_UPS","UPS2-UPS1",1.0802111784009,0.338836533360317,3.18800091503771,6,0.0188839503247857,0.649951235723989,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS2-UPS1",-5.80959569194223,0.409909264780702,-14.1728821256341,6,7.70883148759616e-06,0.00182410225075244,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS2-UPS1",-3.81966381958824,0.378989350806536,-10.0785518417853,6,5.5391397001836e-05,0.00748970818031969,NA,0.480263157894737,0.480263157894737
"12","P01344ups|IGF2_HUMAN_UPS","UPS2-UPS1",-4.34260237588798,0.463328361142262,-9.37262369431043,6,8.37053170523738e-05,0.00948425718127734,NA,0.392857142857143,0.392857142857143
"13","P01375ups|TNFA_HUMAN_UPS","UPS2-UPS1",-4.4363810660199,0.586436392723718,-7.56498253018546,6,0.000277108850826213,0.0228072632440879,NA,0.486842105263158,0.486842105263158
"14","P01579ups|IFNG_HUMAN_UPS","UPS2-UPS1",-2.03476987849988,0.496993603759479,-4.09415707386973,6,0.006399269681997,0.301921313031211,NA,0.392857142857143,0.392857142857143
"15","P02144ups|MYG_HUMAN_UPS","UPS2-UPS1",-2.01645666076138,0.523940821961737,-3.84863438052293,6,0.00847341172622462,0.356385815633306,NA,0.229166666666667,0.229166666666667
"16","P02741ups|CRP_HUMAN_UPS","UPS2-UPS1",-1.68881303492803,0.220630455389996,-7.65448737320882,6,0.000259732030736259,0.0223487606447154,NA,0.458333333333333,0.458333333333333
"17","P02753ups|RETBP_HUMAN_UPS","UPS2-UPS1",-3.92880577480351,0.244743909538843,-16.0527213208547,6,3.71333771509441e-06,0.00177644743118911,NA,0.28125,0.28125
"18","P02768ups|ALBU_HUMAN_UPS","UPS2-UPS1",2.1212221661445,0.258494062578898,8.20607694034387,6,0.000176637271618318,0.0167187177586738,NA,0.141304347826087,0.141304347826087
"19","P02787ups|TRFE_HUMAN_UPS","UPS2-UPS1",-3.94129854226627,0.264309157465199,-14.9116987851063,6,5.72501861562102e-06,0.00177644743118911,NA,0.464583333333333,0.464583333333333
"20","P02788ups|TRFL_HUMAN_UPS","UPS2-UPS1",-4.42193632429764,0.327729937089803,-13.4926225036499,6,1.02740987091288e-05,0.00216098542848675,NA,0.457746478873239,0.457746478873239
"21","P04040ups|CATA_HUMAN_UPS","UPS2-UPS1",-0.772145536122536,0.162168440649574,-4.76137979146664,6,0.00312195526109904,0.173819450272367,NA,0.158730158730159,0.158730158730159
"22","P05413ups|FABPH_HUMAN_UPS","UPS2-UPS1",-5.04132992617938,0.829988041678179,-6.07397898888538,6,0.000904380193043952,0.0552255388849097,NA,0.453125,0.453125
"23","P06396ups|GELS_HUMAN_UPS","UPS2-UPS1",-3.58925287172971,0.226612949375242,-15.8386927208929,6,4.01822690676568e-06,0.00177644743118911,NA,0.42578125,0.42578125
"24","P06732ups|KCRM_HUMAN_UPS","UPS2-UPS1",-2.66690690598,0.406278961654984,-6.56422595724945,6,0.000598875332717075,0.0397620735674022,NA,0.285714285714286,0.285714285714286
