"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",5.02039167929359,0.543841677741719,9.23134780721584,6,9.1217860988646e-05,0.0376993628058528,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",4.73181753644514,0.749628954269956,6.3122128747726,6,0.000737932420967535,0.101373466330415,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.50628797114163,1.19150162528164,0.424915887984591,6,0.685714297758285,0.998731169372948,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",4.048942465477,0.94831285509038,4.26962731101131,6,0.00526522708350274,0.399067901018587,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",2.27302224892767,0.969036919334865,2.34565082462271,6,0.0573986916473703,0.998731169372948,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-2.19507688020803,0.678955032899643,-3.23302247401189,6,0.017842582386578,0.834425448631881,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.67179484180691,0.600345796441914,-2.78471982599892,6,0.0317982785482385,0.998731169372948,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",4.76344111268188,0.527145942528679,9.03628526444123,6,0.000102909998560108,0.0376993628058528,NA,0.4375,0.4375
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-1.37225293681299,0.388320636460934,-3.53381409064271,6,0.0123107257293791,0.712078293504611,NA,0.104166666666667,0.104166666666667
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",6.20459258801451,0.592505478868669,10.4717893914864,6,4.45048814945448e-05,0.0326072431750031,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",3.95499933969545,0.587552149204668,6.73131626707363,6,0.000523253482215269,0.082525104723568,NA,0.480263157894737,0.480263157894737
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.510879187192651,0.60918149449913,0.838632151182952,6,0.433808520863105,0.998731169372948,NA,0.15625,0.15625
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",4.47369508749722,0.719930877162051,6.2140619737445,6,0.00080185354377571,0.103674946424648,NA,0.392857142857143,0.392857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.78842624901827,0.807364093515423,5.93093783520706,6,0.00102485328624002,0.125145973508643,NA,0.486842105263158,0.486842105263158
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",2.28012853362187,0.687139743320069,3.31828941025143,6,0.0160384447660991,0.804794839298731,NA,0.392857142857143,0.392857142857143
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",2.07581147988121,0.885397665172527,2.34449622077637,6,0.0574893752837486,0.998731169372948,NA,0.229166666666667,0.229166666666667
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",1.48231368827197,0.259444916501263,5.71340424881576,6,0.00124497514486133,0.13682276842026,NA,0.458333333333333,0.458333333333333
"18","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",4.0727627225948,0.374793229168306,10.8666923669687,6,3.59900495654486e-05,0.0326072431750031,NA,0.28125,0.28125
"19","P02768ups|ALBU_HUMAN_UPS","UPS1-UPS2",-2.14444288301654,0.653783021046457,-3.28005288296429,6,0.0168214680791987,0.821635263068417,NA,0.141304347826087,0.141304347826087
"20","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",4.13155079282061,0.587796348461742,7.02888135258555,6,0.000414124159958007,0.0777504913233481,NA,0.464583333333333,0.464583333333333
"21","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",4.69031730937241,0.619195595887379,7.57485573302672,6,0.00027512771965954,0.067060393190188,NA,0.457746478873239,0.457746478873239
"22","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.778973709172552,0.550901914398662,1.4139970996885,6,0.207091795416859,0.998731169372948,NA,0.158730158730159,0.158730158730159
"23","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",5.55145599582207,1.14550504580252,4.84629554113645,6,0.00286240578975239,0.25166271703503,NA,0.453125,0.453125
"24","P06396ups|GELS_HUMAN_UPS","UPS1-UPS2",3.84064042082583,0.516658837222744,7.43361023585867,6,0.000305097330255633,0.067060393190188,NA,0.42578125,0.42578125
"25","P06732ups|KCRM_HUMAN_UPS","UPS1-UPS2",2.6155640222813,0.773852676523231,3.37992501884535,6,0.0148591729539582,0.804794839298731,NA,0.285714285714286,0.285714285714286
"26","P08263ups|GSTA1_HUMAN_UPS","UPS1-UPS2",4.36937449577023,0.624466750771413,6.99696899854584,6,0.000424479479472328,0.0777504913233481,NA,0.35,0.35
"27","P08758ups|ANXA5_HUMAN_UPS","UPS1-UPS2",5.81339488082052,0.750967897282463,7.74120292206568,6,0.000244083771960391,0.067060393190188,NA,0.455,0.455
