"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.76496361459547,0.346559624873883,13.7493327918089,6,9.20406453808198e-06,0.00252881673183802,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",4.75621187433441,0.488891271592286,9.72856778326958,6,6.77459114308832e-05,0.0107099745559361,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.574631525944264,0.916532179685016,0.626962739204364,6,0.553775830638903,0.999307094361552,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",3.7332262946315,0.803718608318092,4.64494196848804,6,0.00352225174870213,0.215053037323536,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",2.23830493832121,0.642677317710755,3.48278191347121,6,0.0130980145733806,0.496369586763629,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-2.10141201496808,0.333638476311434,-6.29847024300196,6,0.00074652089613636,0.0586018903467043,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.62285492810939,0.311469406328797,-5.2103188792682,6,0.00199479161844751,0.141437160559601,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",4.66100304907893,0.303652525029547,15.3497918340227,6,4.8307261972802e-06,0.00228896665526293,NA,0.439814814814815,0.439814814814815
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-1.03520272128818,0.308507693272493,-3.35551671437193,6,0.0153143776616238,0.561016701670819,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",5.90554463761676,0.409794836915807,14.4109786303385,6,6.99296929518312e-06,0.00230133486484085,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",3.84912988510853,0.400961778271579,9.59974265303025,6,7.30770961672178e-05,0.0107099745559361,NA,0.480263157894737,0.480263157894737
"12","P01133ups|EGF_HUMAN_UPS","UPS1-UPS2",0.637559366769226,0.590018031478378,1.08057607183924,6,0.321394077078471,0.999307094361552,NA,0.15625,0.15625
"13","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",4.33812057767956,0.452576228994002,9.58539202848202,6,7.37004971571587e-05,0.0107099745559361,NA,0.392857142857143,0.392857142857143
"14","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.52110922591163,0.621661433079843,7.27262298308116,6,0.000343945922531397,0.0327219434384433,NA,0.486842105263158,0.486842105263158
"15","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",2.0629183454831,0.513846569802478,4.01465820094135,6,0.00700121363168993,0.327418458775627,NA,0.392857142857143,0.392857142857143
"16","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",2.03333863980409,0.572873400101199,3.54936821895536,6,0.012081274735618,0.480111882820067,NA,0.229166666666667,0.229166666666667
"17","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",1.62011882650504,0.208358118039986,7.77564532519979,6,0.000238171978884871,0.0275527373467867,NA,0.458333333333333,0.458333333333333
"18","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",4.03284075407408,0.264174598365022,15.2658157863525,6,4.98878497801059e-06,0.00228896665526293,NA,0.28125,0.28125
"19","P02768ups|ALBU_HUMAN_UPS","UPS1-UPS2",-2.0769082134941,0.323327561642325,-6.42354212843642,6,0.000672381235790276,0.0568420752410395,NA,0.141304347826087,0.141304347826087
"20","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",4.02324413893552,0.309925388357349,12.9813312818912,6,1.28672608370461e-05,0.00282822393198274,NA,0.464583333333333,0.464583333333333
"21","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",4.46673030207399,0.373643444837488,11.9545260696779,6,2.07586861704634e-05,0.00414796292751623,NA,0.457746478873239,0.457746478873239
"22","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.823583011287709,0.210507924784272,3.91236107681796,6,0.007870948802291,0.360423863904909,NA,0.158730158730159,0.158730158730159
"23","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",5.1703749759298,0.887734523529992,5.82423555565947,6,0.00112672342217257,0.0845345468261418,NA,0.453125,0.453125
"24","P06396ups|GELS_HUMAN_UPS","UPS1-UPS2",3.65458476264039,0.23936793156901,15.2676456645019,6,4.98527729830833e-06,0.00228896665526293,NA,0.42578125,0.42578125
"25","P06732ups|KCRM_HUMAN_UPS","UPS1-UPS2",2.61049999676408,0.450262523480632,5.79772879293689,6,0.00115379272283178,0.0845345468261418,NA,0.285714285714286,0.285714285714286
"26","P08263ups|GSTA1_HUMAN_UPS","UPS1-UPS2",4.35838637165584,0.459216511821373,9.49091824762428,6,7.7961598223375e-05,0.0107099745559361,NA,0.35,0.35
"27","P08758ups|ANXA5_HUMAN_UPS","UPS1-UPS2",5.34320657972881,0.514390162088496,10.3874587298378,6,4.66135427363845e-05,0.00853804724454776,NA,0.455,0.455
"28","P09211ups|GSTP1_HUMAN_UPS","UPS1-UPS2",2.65503460034808,0.360722907566818,7.36031603386951,6,0.000322121531551645,0.0321828693795689,NA,0.4453125,0.4453125
"29","P10145ups|IL8_HUMAN_UPS","UPS1-UPS2",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"30","P10599ups|THIO_HUMAN_UPS","UPS1-UPS2",4.39745268770018,0.424237240780996,10.3655508403853,5,0.000143873654367077,0.0186020171940491,NA,0.416666666666667,0.291666666666667
"31","P10636-8ups|TAU_HUMAN_UPS","UPS1-UPS2",5.18706618165682,0.395743803426882,13.1071317775294,6,1.21648056747858e-05,0.00282822393198274,NA,0.454787234042553,0.454787234042553
"32","P12081ups|SYHC_HUMAN_UPS","UPS1-UPS2",3.32910663675527,0.219672473250159,15.1548648198818,6,5.20693051697663e-06,0.00228896665526293,NA,0.386627906976744,0.386627906976744
"33","P15559ups|NQO1_HUMAN_UPS","UPS1-UPS2",0.66875636285788,0.598545600219994,1.11730227840966,6,0.306597489412201,0.999307094361552,NA,0.239583333333333,0.239583333333333
"34","P16083ups|NQO2_HUMAN_UPS","UPS1-UPS2",3.16466925002611,0.497811278359106,6.3571666364361,6,0.000710619190195327,0.0578496659277529,NA,0.33,0.33
"35","P41159ups|LEP_HUMAN_UPS","UPS1-UPS2",-2.54270795092281,0.580111052955517,-4.3831399832297,6,0.00465236668001667,0.269102683228333,NA,0.170454545454545,0.170454545454545
"36","P51965ups|UB2E1_HUMAN_UPS","UPS1-UPS2",1.66776546921772,0.303613805618544,5.49304886126644,4,0.00535249691683193,0.284228691272908,NA,0.5,0.25
"37","P55957ups|BID_HUMAN_UPS","UPS1-UPS2",4.58060943875619,0.634249249530516,7.22209674216699,6,0.00035729146611585,0.0327219434384433,NA,0.419642857142857,0.419642857142857
"38","P61626ups|LYSC_HUMAN_UPS","UPS1-UPS2",5.37948184379891,0.686277097133029,7.83864399128584,6,0.000227780457733306,0.0275527373467867,NA,0.458333333333333,0.458333333333333
"39","P61769ups|B2MG_HUMAN_UPS","UPS1-UPS2",3.87265061042329,0.27089393338305,14.2958188914008,6,7.32909192624476e-06,0.00230133486484085,NA,0.392857142857143,0.392857142857143
"40","P62937ups|PPIA_HUMAN_UPS","UPS1-UPS2",0.883691988043218,0.560650042704422,1.57619177870839,6,0.166052954571988,0.999307094361552,NA,0.159722222222222,0.159722222222222
"41","P62988ups|UBIQ_HUMAN_UPS","UPS1-UPS2",-2.62330555097396,0.157833349132086,-16.6207304438468,6,3.02622219039428e-06,0.00228896665526293,NA,0.0375,0.0375
"42","P63165ups|SUMO1_HUMAN_UPS","UPS1-UPS2",1.16718813747697,0.450539094120004,2.59064785433711,6,0.0411760697010006,0.999307094361552,NA,0.16796875,0.16796875
"43","P63279ups|UBC9_HUMAN_UPS","UPS1-UPS2",3.43682079272023,0.448832074099881,7.65725310432119,6,0.000259215423211945,0.0284877750109927,NA,0.335526315789474,0.335526315789474
"44","P68871ups|HBB_HUMAN_UPS","UPS1-UPS2",-2.20155073374204,0.62206438579617,-3.53910428568309,6,0.012232149880766,0.480111882820067,NA,0.113636363636364,0.113636363636364
"45","P69905ups|HBA_HUMAN_UPS","UPS1-UPS2",-0.792201539022963,0.464514050469324,-1.70544150004194,6,0.138991473848136,0.999307094361552,NA,0.152173913043478,0.152173913043478
"46","P99999ups|CYC_HUMAN_UPS","UPS1-UPS2",4.59464828013424,0.907788384482017,5.06136491574073,6,0.00230756845429214,0.158501108204191,NA,0.471153846153846,0.471153846153846
"47","Q06830ups|PRDX1_HUMAN_UPS","UPS1-UPS2",0.918269072403235,0.493603718682982,1.86033661750631,6,0.112171411142533,0.999307094361552,NA,0.15625,0.15625
"48","Q15843ups|NEDD8_HUMAN_UPS","UPS1-UPS2",3.63853016678107,0.561087650729321,6.48478034056102,6,0.000639181996946903,0.0561968811715717,NA,0.333333333333333,0.333333333333333
"49","sp|A5A614|YCIZ_ECOLI","UPS1-UPS2",0.684786945258526,0.14218977959442,4.81600679888387,3,0.0170528511883625,0.604551079226143,NA,0.375,0
"50","sp|P00350|6PGD_ECOLI","UPS1-UPS2",0.0699559357588724,0.215263463164898,0.324978213814595,6,0.756230112470195,0.999307094361552,NA,0.103070175438597,0.103070175438596
"51","sp|P00363|FRDA_ECOLI","UPS1-UPS2",0.0924882913665049,0.230701489496834,0.400900278399695,6,0.702379868741303,0.999307094361552,NA,0.25,0.25
"52","sp|P00370|DHE4_ECOLI","UPS1-UPS2",-0.311019775803436,0.208297357191163,-1.49315276966284,6,0.186007661487487,0.999307094361552,NA,0.25,0.25
"53","sp|P00393|NDH_ECOLI","UPS1-UPS2",-0.132928528780226,0.248599032503878,-0.534710563598644,6,0.61207481778777,0.999307094361552,NA,0.2,0.2
"54","sp|P00448|SODM_ECOLI","UPS1-UPS2",0.342750055996171,0.307891311431829,1.11321769491394,6,0.308214524213625,0.999307094361552,NA,0.229838709677419,0.229838709677419
"55","sp|P00452|RIR1_ECOLI","UPS1-UPS2",-0.100765840571859,0.331880728155189,-0.303620644476653,6,0.771670114026476,0.999307094361552,NA,0.239583333333333,0.239583333333333
"56","sp|P00490|PHSM_ECOLI","UPS1-UPS2",0.0340581242830187,0.208761231186283,0.163143913692614,6,0.875761406685453,0.999307094361552,NA,0.24537037037037,0.24537037037037
"57","sp|P00509|AAT_ECOLI","UPS1-UPS2",-0.0768269283286617,0.42370201270737,-0.18132301953855,6,0.862084278352968,0.999307094361552,NA,0.215625,0.215625
"58","sp|P00547|KHSE_ECOLI","UPS1-UPS2",0.26744346412584,1.20389831404496,0.22214788492166,5,0.832987506927707,0.999307094361552,NA,0.375,0.25
"59","sp|P00550|PTM3C_ECOLI","UPS1-UPS2",0.103894705737794,0.479727691226066,0.216570166029533,6,0.835719085776898,0.999307094361552,NA,0.24537037037037,0.24537037037037
"60","sp|P00561|AK1H_ECOLI","UPS1-UPS2",-0.162432472280997,0.206333713901412,-0.787231854696359,6,0.461102040853023,0.999307094361552,NA,0.240740740740741,0.240740740740741
"61","sp|P00562|AK2H_ECOLI","UPS1-UPS2",-0.749164446618711,0.511132879730296,-1.46569410094302,6,0.193085484522029,0.999307094361552,NA,0.241071428571429,0.241071428571429
"62","sp|P00579|RPOD_ECOLI","UPS1-UPS2",-0.128721931678489,0.416298065350501,-0.309206173154111,6,0.767620740690219,0.999307094361552,NA,0.220588235294118,0.220588235294118
"63","sp|P00582|DPO1_ECOLI","UPS1-UPS2",0.238265464659206,0.3145806214329,0.757406681867171,6,0.477486896348476,0.999307094361552,NA,0.241803278688525,0.241803278688525
