"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.74480767760797,0.325535556062577,14.5753899666059,6,6.54365231134157e-06,0.00176959054648137,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",4.73233946578643,0.485548750877491,9.74637347379449,6,6.70450558986069e-05,0.00846108605440419,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.38764537541961,0.866261279611417,0.447492441995674,6,0.67022183145188,0.996072594297922,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",3.67300599127091,0.782500758304749,4.69393282024199,6,0.00334715416688214,0.180378302967997,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",2.22639360152178,0.58420364920411,3.81098886416561,6,0.00885334770256074,0.356582706403138,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-2.11539169364987,0.322887652819907,-6.55147905215733,6,0.000605141586415225,0.0395011387270352,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.7185933525288,0.273779401060761,-6.27729239625074,6,0.000759981198014792,0.0479548135947334,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",4.66271676942395,0.274344608864394,16.9958388784257,6,2.65341266625363e-06,0.00176959054648137,NA,0.4375,0.4375
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-1.07998778220494,0.339211549751034,-3.18381783579482,6,0.0189840300639883,0.665495720576479,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",5.80964785136951,0.409887427259432,14.1737644655599,6,7.70602570865364e-06,0.00182343833331017,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",3.819910247643,0.379091709868664,10.0764805671071,6,5.54564050017081e-05,0.00749849819058811,NA,0.480263157894737,0.480263157894737
"12","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",4.34207469002382,0.463206412735287,9.37395202364185,6,8.36381582782764e-05,0.00949212411016715,NA,0.392857142857143,0.392857142857143
"13","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.43708613342818,0.586611389185025,7.56392769597023,6,0.000277321481020776,0.0228247636335795,NA,0.486842105263158,0.486842105263158
"14","P01579ups|IFNG_HUMAN_UPS","UPS1-UPS2",2.03543924363448,0.496977434726104,4.09563714850807,6,0.0063886260599344,0.302341728286395,NA,0.392857142857143,0.392857142857143
"15","P02144ups|MYG_HUMAN_UPS","UPS1-UPS2",2.01623901626157,0.523892322870239,3.84857522861804,6,0.00847399428936679,0.353534210522572,NA,0.229166666666667,0.229166666666667
"16","P02741ups|CRP_HUMAN_UPS","UPS1-UPS2",1.68880147858748,0.22041717574533,7.66184156419241,6,0.000258360959519699,0.0222307861986723,NA,0.458333333333333,0.458333333333333
"17","P02753ups|RETBP_HUMAN_UPS","UPS1-UPS2",3.92981204534067,0.245231796252655,16.0248879035731,6,3.75142448016952e-06,0.00176959054648137,NA,0.28125,0.28125
"18","P02768ups|ALBU_HUMAN_UPS","UPS1-UPS2",-2.12122262191699,0.258706110810826,-8.19935259847068,6,0.000177445552507649,0.016795221544849,NA,0.141304347826087,0.141304347826087
"19","P02787ups|TRFE_HUMAN_UPS","UPS1-UPS2",3.94149155253025,0.264185055589272,14.9194341963766,6,5.70764024243609e-06,0.00176959054648137,NA,0.464583333333333,0.464583333333333
"20","P02788ups|TRFL_HUMAN_UPS","UPS1-UPS2",4.42151188832844,0.327653780688492,13.4944632075895,6,1.02659277207984e-05,0.00215926679727459,NA,0.457746478873239,0.457746478873239
"21","P04040ups|CATA_HUMAN_UPS","UPS1-UPS2",0.773210729145792,0.16188312509194,4.77635163459226,6,0.00307432064716862,0.171167323090888,NA,0.158730158730159,0.158730158730159
"22","P05413ups|FABPH_HUMAN_UPS","UPS1-UPS2",5.04107691241356,0.830127087544832,6.07265681128771,6,0.000905416931376024,0.0552888468095101,NA,0.453125,0.453125
"23","P06396ups|GELS_HUMAN_UPS","UPS1-UPS2",3.59003461393688,0.226519270284659,15.8486940622112,6,4.00334652939094e-06,0.00176959054648137,NA,0.42578125,0.42578125
"24","P06732ups|KCRM_HUMAN_UPS","UPS1-UPS2",2.667442723176,0.40693279891778,6.55499564122122,6,0.000603405384650646,0.0395011387270352,NA,0.285714285714286,0.285714285714286
"25","P08263ups|GSTA1_HUMAN_UPS","UPS1-UPS2",4.29447796176085,0.459669624305547,9.34253153718565,6,8.5243586831929e-05,0.00949212411016715,NA,0.35,0.35
"26","P08758ups|ANXA5_HUMAN_UPS","UPS1-UPS2",5.21212439883184,0.452050516141929,11.5299600657804,6,2.55848910775125e-05,0.00484321988097312,NA,0.455,0.455
"27","P09211ups|GSTP1_HUMAN_UPS","UPS1-UPS2",2.64997843113757,0.362951790172369,7.30118573014634,6,0.000336655754047399,0.0254915736964691,NA,0.4453125,0.4453125
"28","P10145ups|IL8_HUMAN_UPS","UPS1-UPS2",Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"29","P10599ups|THIO_HUMAN_UPS","UPS1-UPS2",4.4170926994593,0.340561747684636,12.9700200609423,5,4.85657545881146e-05,0.00707192103348469,NA,0.416666666666667,0.291666666666667
"30","P10636-8ups|TAU_HUMAN_UPS","UPS1-UPS2",5.14588058348821,0.352665106799667,14.591408348236,6,6.50169823668278e-06,0.00176959054648137,NA,0.454787234042553,0.454787234042553
"31","P12081ups|SYHC_HUMAN_UPS","UPS1-UPS2",3.31491370873072,0.194220628949665,17.0677735246642,6,2.58817983134207e-06,0.00176959054648137,NA,0.386627906976744,0.386627906976744
"32","P15559ups|NQO1_HUMAN_UPS","UPS1-UPS2",0.605100090016823,0.535402236314642,1.1301784881997,6,0.301546435736367,0.996072594297922,NA,0.239583333333333,0.239583333333333
"33","P16083ups|NQO2_HUMAN_UPS","UPS1-UPS2",3.18454833930047,0.466686430687423,6.82374316006932,6,0.000486160599747265,0.0350080964046092,NA,0.33,0.33
