"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-5.91659229708428,28.3193842394179,-11.0431636913787,2.93365874077116e-09,2.69769053770913e-07,11.5522561634669,TRUE,30.855066652454,24.9384743553697,4,3
"2","O76070ups|SYUG_HUMAN_UPS",-5.79880997839747,28.7673087091,-15.1952759839421,7.99017094871084e-12,2.11240144456543e-09,17.1951811943178,TRUE,31.6667136982988,25.8679037199013,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-0.7411875996354,31.2368714624021,-2.06507608970398,0.0533787136390442,0.999602677714484,-4.93343879649897,FALSE,31.6074652622198,30.8662776625844,4,4
"4","P00441ups|SODC_HUMAN_UPS",-5.81772027369888,30.2096409063092,-10.312241350334,2.75426484033904e-08,2.24048851435272e-06,9.20914490109949,TRUE,31.3731849610489,25.5554646873501,4,1
"5","P00709ups|LALBA_HUMAN_UPS",-4.24337449737683,28.5734161055647,-12.4140383392825,2.36274462891458e-10,3.12325305634646e-08,13.98331406808,TRUE,30.6951033542531,26.4517288568763,4,4
"6","P00915ups|CAH1_HUMAN_UPS",1.08677270591772,32.9899182526382,3.03932135124028,0.00695813316848466,0.350391705984406,-3.03575829483365,FALSE,32.4465318996794,33.5333046055971,4,4
"7","P00918ups|CAH2_HUMAN_UPS",1.69260527804609,31.7595678451726,4.71158133260544,0.000166866492284774,0.0110288322244468,0.623512270777788,TRUE,30.9132652061495,32.6058704841956,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-7.54014264022381,27.3546840530237,-18.9704269057331,1.73687557234907e-13,9.18372958879571e-11,20.6703972098971,TRUE,31.1247553731356,23.5846127329118,4,4
"9","P01031ups|CO5_HUMAN_UPS",1.81470541376089,30.83199774154,4.35944935926251,0.000364952720809686,0.0220535715574996,-0.153794586674075,TRUE,29.9246450346596,31.7393504484205,4,4
"10","P01112ups|RASH_HUMAN_UPS",NA,30.1893488530081,NA,NA,NA,NA,NA,30.1893488530081,NA,4,0
"11","P01127ups|PDGFB_HUMAN_UPS",-7.00471997364317,27.5431798663567,-19.8666354738489,7.74562016206091e-14,5.46066221425294e-11,21.3768183448392,TRUE,31.0455398531783,24.0408198795351,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.748398737276981,29.3514528033955,-2.09621000467198,0.050220750210729,0.999602677714484,-4.8788242965059,FALSE,29.7256521720339,28.977253434757,4,4
"13","P01344ups|IGF2_HUMAN_UPS",-6.68805145018878,27.7532326654424,-14.3454551548228,4.86221986893495e-11,7.34542501628387e-09,15.4290469527927,TRUE,30.6195404298091,23.9314889796203,4,3
"14","P01375ups|TNFA_HUMAN_UPS",-5.50445192676501,28.4461852660931,-11.8120582837842,5.33051515287431e-10,6.63178796960539e-08,13.1969719938028,TRUE,31.1984112294756,25.6939593027106,4,4
"15","P01579ups|IFNG_HUMAN_UPS",NA,30.3297141303016,NA,NA,NA,NA,NA,30.3297141303016,NA,4,0
"16","P02144ups|MYG_HUMAN_UPS",-0.680609092458964,31.098459019452,-1.89075737733791,0.0745973898648986,0.999602677714484,-5.22957057402523,FALSE,31.4387635656814,30.7581544732225,4,4
"17","P02741ups|CRP_HUMAN_UPS",NA,29.0264644440412,NA,NA,NA,NA,NA,29.0264644440412,NA,4,0
"18","P02753ups|RETBP_HUMAN_UPS",-4.01600739578224,28.7981937862932,-9.89724334861205,8.92990101373763e-09,7.55469625762203e-07,10.4392036581978,TRUE,30.8061974841843,26.7901900884021,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-6.79498457838182,28.6524609097275,-15.370900592753,6.56954127350644e-12,1.98493997049516e-09,17.3773267097708,TRUE,32.0499531989184,25.2549686205366,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-9.16906226702016,27.4010182744253,-12.5037463550579,2.09860607042012e-10,2.95903455929237e-08,14.0974675810312,TRUE,31.9855494079354,22.8164871409152,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.641261410071378,31.3085851244257,-1.92233847691817,0.0702705974748768,0.999602677714484,-5.17718225226725,FALSE,31.6292158294614,30.98795441939,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-8.96341252149633,27.7113583145885,-21.6245425961223,5.77429244490253e-14,5.46066221425294e-11,21.2924781794083,TRUE,31.5528208238012,22.5894083023049,4,3
"23","P06732ups|KCRM_HUMAN_UPS",-3.60616139979555,29.4047257761162,-8.68991742865544,6.48502045270037e-08,5.07993268794863e-06,8.47494132705058,TRUE,31.207806476014,27.6016450762184,4,4
"24","P08263ups|GSTA1_HUMAN_UPS",-7.42812594022955,28.0554253753753,-15.4236696487021,1.51290570287798e-11,2.90890505598811e-09,16.4975654293314,TRUE,31.238907921188,23.8107819809585,4,3
"25","P08758ups|ANXA5_HUMAN_UPS",-8.32362375928576,27.8394287873318,-15.8244528433889,9.98089734680863e-12,2.34551087650003e-09,16.8737132758221,TRUE,31.40669611274,23.0830723534542,4,3
"26","P09211ups|GSTP1_HUMAN_UPS",-5.52246131567282,27.6605557698852,-11.8385499411567,2.01999591673149e-09,2.13614568194355e-07,11.853839855814,TRUE,29.5013762084429,23.97891489277,4,2
"27","P10145ups|IL8_HUMAN_UPS",-7.76514186968942,28.556650540621,-16.4793771236761,1.3712184676258e-11,2.90012705902857e-09,16.3039519922008,TRUE,31.1450311638508,23.3798892941614,4,2
"28","P10599ups|THIO_HUMAN_UPS",-6.15983974012324,27.9147348645484,-17.7760494719468,5.38633070356473e-13,1.89868157300657e-10,19.6636337063714,TRUE,30.99465473461,24.8348149944867,4,4
"29","P10636-8ups|TAU_HUMAN_UPS",-8.67392735200969,28.3649186265969,-23.6174309439417,1.3174762317181e-14,2.78646223008378e-11,22.4617577274548,TRUE,32.0823160631725,23.4083887111628,4,3
"30","P12081ups|SYHC_HUMAN_UPS",-4.08193707163643,29.0827868778331,-11.6089601090078,7.06598986880983e-10,8.30253809585156e-08,12.9234523734095,TRUE,31.1237554136513,27.0418183420149,4,4
"31","P15559ups|NQO1_HUMAN_UPS",-0.667881328585605,30.6255145688057,-1.98449054289291,0.0624020391412558,0.999602677714484,-5.07242314476106,FALSE,30.9594552330985,30.2915739045129,4,4
"32","P16083ups|NQO2_HUMAN_UPS",-4.21358660594891,29.1281673169617,-10.0704198016072,6.81291125627799e-09,6.00387804459498e-07,10.7059159680098,TRUE,31.2349606199362,27.0213740139873,4,4
"33","P41159ups|LEP_HUMAN_UPS",1.585723810396,31.5785057267588,3.91739381648109,0.000982761365626083,0.0561767645486261,-1.1321744294494,FALSE,30.7856438215608,32.3713676319568,4,4
"34","P51965ups|UB2E1_HUMAN_UPS",NA,29.1119575857465,NA,NA,NA,NA,NA,29.1119575857465,NA,4,0
