"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-5.86297501499884,28.3839067586393,-10.3980472742855,7.03159564529588e-06,0.000512821544475889,4.29142797382851,TRUE,30.896610336496,25.0336353214971,4,3
"2","O76070ups|SYUG_HUMAN_UPS",-5.79917230025869,28.8086712322114,-18.4800890409437,2.12890611488744e-08,3.21616888070496e-06,10.1268318955339,TRUE,31.7082573823408,25.9090850820821,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-0.741549921496614,31.2782339855135,-5.25251942010331,0.000547863220583785,0.0297110438855053,-0.60158524088635,TRUE,31.6490089462618,30.9074590247652,4,4
"4","P00441ups|SODC_HUMAN_UPS",-5.28373731732015,30.3579811816269,-19.8302351129127,1.28800976711961e-06,0.000108965626298319,6.13411258352041,TRUE,31.4147286450909,26.1309913277708,4,1
"5","P00709ups|LALBA_HUMAN_UPS",-4.24373681923804,28.6147786286761,-24.3988952225619,1.88237515491333e-09,8.42102541100249e-07,12.4794830384133,TRUE,30.7366470382951,26.492910219057,4,4
"6","P00915ups|CAH1_HUMAN_UPS",1.08641038405651,33.0312807757496,7.12035827494341,5.90573836342466e-05,0.00367371665842446,1.78967513840926,TRUE,32.4880755837214,33.5744859677779,4,4
"7","P00918ups|CAH2_HUMAN_UPS",1.69224295618488,31.800930368284,12.5538306380165,5.88278974393741e-07,5.40960882975114e-05,6.71026168439587,TRUE,30.9548088901915,32.6470518463764,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-7.54050496208502,27.3960465761351,-20.1889582171242,9.86244449278454e-09,1.89627910020357e-06,10.8899229134756,TRUE,31.1662990571776,23.6257940950926,4,4
"9","P01031ups|CO5_HUMAN_UPS",1.81434309189968,30.8733602646514,5.85177628140661,0.000255259926850348,0.0142072301391707,0.216745027829884,TRUE,29.9661887187016,31.7805318106013,4,4
"10","P01112ups|RASH_HUMAN_UPS",NA,30.2308925370501,NA,NA,NA,NA,NA,30.2308925370501,NA,4,0
"11","P01127ups|PDGFB_HUMAN_UPS",-7.00508229550439,27.5845423894681,-18.7158194271752,1.90696243119045e-08,3.10248118612907e-06,10.2368463893814,TRUE,31.0870835372203,24.0820012417159,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.748761059138193,29.3928153265069,-5.06457840985678,0.000703383671624399,0.0371914116371401,-0.868682526121201,TRUE,29.767195856076,29.0184347969378,4,4
"13","P01344ups|IGF2_HUMAN_UPS",-6.6904167573724,27.7937626464057,-28.3601564715181,3.18525783867707e-09,8.42102541100249e-07,11.8685371946853,TRUE,30.6610841138511,23.9706673564787,4,3
"14","P01375ups|TNFA_HUMAN_UPS",-5.50481424862623,28.4875477892045,-15.0245875354428,1.27221225949467e-07,1.5827817228419e-05,8.30753069983115,TRUE,31.2399549135176,25.7351406648914,4,4
"15","P01579ups|IFNG_HUMAN_UPS",NA,30.3712578143436,NA,NA,NA,NA,NA,30.3712578143436,NA,4,0
"16","P02144ups|MYG_HUMAN_UPS",-0.680971414320175,31.1398215425633,-4.72989099104367,0.00111151682422129,0.0538639015818011,-1.35671927775676,FALSE,31.4803072497234,30.7993358354033,4,4
"17","P02741ups|CRP_HUMAN_UPS",NA,29.0680081280832,NA,NA,NA,NA,NA,29.0680081280832,NA,4,0
"18","P02753ups|RETBP_HUMAN_UPS",-4.01636971764345,28.8395563094046,-14.0144747182552,2.30844524597033e-07,2.71242316401514e-05,7.68958286684205,TRUE,30.8477411682263,26.8313714505829,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-6.79534690024303,28.6938234328389,-17.7981269248593,2.95005144164492e-08,3.95679345246099e-06,9.79934530670496,TRUE,32.0914968829604,25.2961499827174,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-9.16942458888138,27.4423807975367,-9.16070929278035,8.04518130957876e-06,0.000567185282325303,3.93020525620135,TRUE,32.0270930919774,22.857668503096,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.641623731932593,31.3499476475371,-3.70821360948603,0.00496500878896527,0.194462844234473,-2.93882458300926,FALSE,31.6707595135034,31.0291357815708,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-8.90979523941089,27.77588083381,-42.0612420587566,1.44896757449165e-10,1.66160350129472e-07,14.1927191281194,TRUE,31.5943645078432,22.6845692684323,4,3
"23","P06732ups|KCRM_HUMAN_UPS",-3.60652372165676,29.4460882992276,-17.7682537731489,2.99331892384755e-08,3.95679345246099e-06,9.78467703282971,TRUE,31.249350160056,27.6428264383992,4,4
"24","P08263ups|GSTA1_HUMAN_UPS",-7.37450865814411,28.1199478945968,-15.9083336764217,2.82827667955294e-07,3.14831851434445e-05,7.64899766124153,TRUE,31.28045160523,23.9059429470859,4,3
"25","P08758ups|ANXA5_HUMAN_UPS",-8.32598906646938,27.8799587682951,-12.2949112544445,2.0097040200565e-06,0.000157426814904426,5.61962040046204,TRUE,31.448239796782,23.1222507303126,4,3
"26","P09211ups|GSTP1_HUMAN_UPS",-5.25264652043047,27.792037719008,-14.9972028614622,1.63305897406466e-06,0.000132843066544106,6.02918049506544,TRUE,29.5429198924849,24.2902733720544,4,2
"27","P10145ups|IL8_HUMAN_UPS",-7.49532707444707,28.6881324897438,-17.8996219073377,4.96095039470503e-07,4.9963857546672e-05,7.19499122091278,TRUE,31.1865748478928,23.6912477734458,4,2
"28","P10599ups|THIO_HUMAN_UPS",-6.16020206198445,27.9560973876598,-22.2495665973959,4.22137098796589e-09,9.92022182171983e-07,11.7142560669082,TRUE,31.036198418652,24.8759963566675,4,4
"29","P10636-8ups|TAU_HUMAN_UPS",-8.85240476661755,28.3299719900927,-29.9333788621021,2.08794354140641e-09,8.42102541100249e-07,12.2202987610729,TRUE,32.1238597472145,23.2714549805969,4,3
