"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.8220201448301,28.9543937795864,-5.64440008600886,0.000427063002330995,0.0225987505400151,0.226190953536521,TRUE,30.8654038520014,27.0433837071713,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.16445579640552,29.8159777183703,-12.025568773747,1.56536354111681e-06,0.000331335282869725,5.90309446501952,TRUE,32.3982056165731,27.2337498201676,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.0235679835125,31.9605877589458,-4.25583251042589,0.00256420277640299,0.116304911643993,-1.65087982950082,FALSE,32.4723717507021,31.4488037671896,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.51302139442646,29.566084587699,-10.5955390241378,4.2164870897598e-06,0.000502025494124526,4.94588017167447,TRUE,31.8225952849122,27.3095738904857,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.70935317011316,30.151958680289,-8.42522735192084,2.43162645930294e-05,0.00220583257379624,3.19341293819672,TRUE,31.5066352653456,28.7972820952325,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.67701468457075,33.4842901480793,6.04241028559849,0.000268380697227392,0.0150372125946524,0.711988630252792,TRUE,32.1457828057939,34.8227974903646,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.71070043572307,32.4553280088587,7.03809526050054,9.14367850609072e-05,0.0058884125170096,1.83256017946951,TRUE,31.0999777909972,33.8106782267202,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.67260263219725,30.749486330715,-11.5697368764334,2.12124461078346e-06,0.000404097098354249,5.61262130280127,TRUE,32.5857876468136,28.9131850146164,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.12350031047126,30.3683965830587,3.94511912102618,0.00397916934751832,0.168451502378276,-2.10921969112983,FALSE,29.3066464278231,31.4301467382943,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.23824635205092,28.9708270866232,-5.87658823343539,0.000324873294220166,0.0176823892996976,0.5123337391851,TRUE,30.5899502626486,27.3517039105977,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.26682457578471,28.6682989127286,-11.0377282469826,3.06645718023919e-06,0.000422533090001734,5.25662475855318,TRUE,31.301711200621,26.0348866248363,4,4
