"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.80272568244139,28.9124969159285,-5.85026489209276,0.000168024982887939,0.0133369830167302,1.22592043380583,TRUE,30.8138597571492,27.0111340747079,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.14516133401681,29.7740808547125,-8.665975915134,6.2089440366905e-06,0.00134003020007435,4.40262823772894,TRUE,32.3466615217209,27.2015001877041,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.00427352112379,31.918690895288,-2.12266523512702,0.0600266154970791,0.999853997967722,-4.56751749691977,FALSE,32.4208276558499,31.4165541347261,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.49372693203774,29.5241877240412,-8.64693683440574,6.33085133893394e-06,0.00134003020007435,4.38453601367243,TRUE,31.7710511900601,27.2773242580223,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.69005870772444,30.1100618166312,-4.94264995615991,0.000602497347700758,0.0395778430127567,-0.0427617865116119,TRUE,31.4550911704935,28.765032462769,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.69630914695945,33.4423932844215,4.21141968352191,0.00183594309803984,0.0971519889379416,-1.15583733136054,FALSE,32.0942387109418,34.7905478579012,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.72999489811179,32.4134311452009,4.43741385273377,0.00129063661007548,0.0725431017695619,-0.803635893946807,FALSE,31.048433696145,33.7784285942568,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.65330816980855,30.7075894670572,-10.2887248869206,1.32704828310285e-06,0.000505605395862186,5.80557071145852,TRUE,32.5342435519615,28.8809353821529,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.14279477285996,30.3264997194009,3.33007530042157,0.00772050776587648,0.32114816581368,-2.58577746795936,FALSE,29.2551023329709,31.3978971058309,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.21895188966221,28.9289302229654,-4.28366972120974,0.0016390605557971,0.0892117245369566,-1.04248453765905,FALSE,30.5384061677965,27.3194542781343,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.247530113396,28.6264020490708,-10.7763612197127,8.68465372846608e-07,0.000505605395862186,6.1784231760455,TRUE,31.2501671057688,26.0026369923728,4,4
"12","P01344ups|IGF2_HUMAN_UPS",-5.09673143724472,28.2423753387818,-7.69475634936145,1.7514110474273e-05,0.00238317003239215,3.42541020656572,TRUE,30.7907410574042,25.6940096201594,4,4
"13","P01375ups|TNFA_HUMAN_UPS",-5.03960914539752,29.6894387949773,-12.32407393935,2.50334439018398e-07,0.000476887106330049,7.23570299952839,TRUE,32.209243367676,27.1696342222785,4,4
"14","P01579ups|IFNG_HUMAN_UPS",-1.41632933557862,29.1705268463951,-1.5844284378287,0.144485366260489,0.999853997967722,-5.35877587831465,FALSE,29.8786915141844,28.4623621786058,4,4
"15","P02144ups|MYG_HUMAN_UPS",-1.27431723114016,30.7507059559045,-1.24882444507885,0.240450457227928,0.999853997967722,-5.783033953403,FALSE,31.3878645714746,30.1135473403344,4,4
"16","P02741ups|CRP_HUMAN_UPS",-4.33184922020918,28.4602573123991,-9.36429884855631,3.11207264299908e-06,0.000846928340701892,5.0389593522856,TRUE,30.6261819225037,26.2943327022945,4,4
"17","P02753ups|RETBP_HUMAN_UPS",-4.16846482670949,29.4993276411009,-8.17045470253144,1.04155039717507e-05,0.00168945624410436,3.91818395367343,TRUE,31.5835600544556,27.4150952277462,4,4
"18","P02768ups|ALBU_HUMAN_UPS",2.31278492894615,33.8434851675613,5.60257143597596,0.000235353653615945,0.017933948405535,0.892378939049743,TRUE,32.6870927030882,34.9998776320344,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-3.02355698516003,30.4591383382631,-6.5567246961896,6.72455338398502e-05,0.00587183218354494,2.12594130557507,TRUE,31.9709168308431,28.9473598456831,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-3.52273077731085,30.6667890089752,-7.33780238828286,2.62815996880754e-05,0.00312915296286148,3.03675373226919,TRUE,32.4281543976306,28.9054236203197,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.959289821754439,31.9501371950874,-1.97814372916283,0.0763956008708533,0.999853997967722,-4.79016470877873,FALSE,32.4297821059646,31.4704922842102,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-4.55011197931731,28.7665734093635,-6.55002785875637,6.78111853217788e-05,0.00587183218354494,2.11775810468912,TRUE,31.0416293990221,26.4915174197048,4,4
"23","P06396ups|GELS_HUMAN_UPS",-3.74534102903255,30.5782434437658,-10.3533614383122,1.25331147678428e-06,0.000505605395862186,5.85618816363384,TRUE,32.4509139582821,28.7055729292495,4,4
"24","P06732ups|KCRM_HUMAN_UPS",-1.26311250832275,31.0996013029297,-1.90010676351841,0.0869027376572796,0.999853997967722,-4.907677716178,FALSE,31.7311575570911,30.4680450487683,4,4
"25","P08263ups|GSTA1_HUMAN_UPS",-2.28836671740453,30.5795998642752,-2.54386109107304,0.0293792143308479,0.777325045837016,-3.89133086078502,FALSE,31.7237832229775,29.4354165055729,4,4
"26","P08758ups|ANXA5_HUMAN_UPS",-4.29822363016289,29.9125181210469,-10.5383736887219,1.06588948634059e-06,0.000505605395862186,5.99903113421135,TRUE,32.0616299361283,27.7634063059654,4,4
"27","P09211ups|GSTP1_HUMAN_UPS",-1.97755991451589,29.072805203737,-2.66982768563406,0.0236898759785233,0.697323860387468,-3.68392592963011,FALSE,30.0615851609949,28.0840252464791,4,4
"28","P10145ups|IL8_HUMAN_UPS",NA,30.4447070193855,NA,NA,NA,NA,NA,30.4447070193855,NA,4,0
"29","P10599ups|THIO_HUMAN_UPS",-4.52704145281844,29.5879522680814,-8.17555778177004,1.98928906199515e-05,0.00252639710873384,3.33259383279287,TRUE,31.5281128907179,27.0010714378994,4,3
"30","P10636-8ups|TAU_HUMAN_UPS",-4.9116350575189,30.1531931870716,-9.5209222780178,2.68081751726832e-06,0.000846928340701892,5.17467823048763,TRUE,32.6090107158311,27.6973756583122,4,4
"31","P12081ups|SYHC_HUMAN_UPS",-3.58858610046017,30.5783469453463,-8.07826971791404,1.1498187049302e-05,0.00168945624410436,3.82486583142961,TRUE,32.3726399955764,28.7840538951162,4,4
"32","P15559ups|NQO1_HUMAN_UPS",-0.363871278109309,31.3148818083668,-0.590419148857803,0.568141006700515,0.999853997967722,-6.37873091129595,FALSE,31.4968174474214,31.1329461693121,4,4
