"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.80106074082199,28.9671393574586,-5.61515443244346,0.000448613727447189,0.0237391430774137,0.167243870768622,TRUE,30.8676697278696,27.0666089870476,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.31302972380557,29.8669898939455,-14.1793993811764,4.40263517654146e-07,0.000139783666855191,7.09227265415243,TRUE,32.5235047558483,27.2104750320427,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.00121083269854,32.0356197804353,-4.80153784834692,0.00124018263546041,0.0638526465014078,-0.899811382143156,FALSE,32.5362251967845,31.535014364086,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.54383510724541,29.5653180137033,-10.7880137170673,3.78082739154462e-06,0.000514462584349464,5.05617259943299,TRUE,31.837235567326,27.2934004600806,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.68922694771963,30.1723224564544,-9.00050173737344,1.51586611068836e-05,0.0013795801738207,3.67207091867946,TRUE,31.5169359303143,28.8277089825946,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.56630623960702,33.49139499699,6.4679480782173,0.000169925090855947,0.00952080288472294,1.18312493323534,TRUE,32.2082418771865,34.7745481167935,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.7242570899232,32.4597963324758,7.9268237155426,3.91880052639284e-05,0.00293440018851626,2.70335273636102,TRUE,31.0976677875142,33.8219248774374,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.62428719437888,30.8114847480058,-10.1857111952441,5.89488686173071e-06,0.000660574086564529,4.61833596732945,TRUE,32.6236283451953,28.9993411508164,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.23631777584627,30.3697916183916,4.18016861126111,0.00287521659689858,0.124483809479359,-1.78071984799746,FALSE,29.2516327304685,31.4879505063148,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.22867676634007,28.9290506754268,-6.19375098199692,0.00022987572427008,0.0125118072781286,0.867480905339662,TRUE,30.5433890585968,27.3147122922567,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.30234268206102,28.6509772841735,-11.9712458920199,1.67834077723126e-06,0.000319723918062555,5.84285000278876,TRUE,31.302148625204,25.999805943143,4,4
"12","P01344ups|IGF2_HUMAN_UPS",-5.12749402317139,28.2574757419588,-12.1124610211172,1.53072266953598e-06,0.000319723918062555,5.93078229078141,TRUE,30.8212227535445,25.6937287303731,4,4
"13","P01375ups|TNFA_HUMAN_UPS",-5.11575196846406,29.7202286076845,-19.6309694735421,3.22580306990093e-08,3.22633899507265e-05,9.31188192083993,TRUE,32.2781045919166,27.1623526234525,4,4
"14","P01579ups|IFNG_HUMAN_UPS",-1.38881153791638,29.1779984688873,-1.78889191763163,0.11028342514533,0.886455379332712,-5.45391295221472,FALSE,29.8724042378455,28.4835926999291,4,4
"15","P02144ups|MYG_HUMAN_UPS",-1.2324703560177,30.8207787600953,-1.54767975240325,0.159141463698507,0.900419504881453,-5.78698342481123,FALSE,31.4370139381042,30.2045435820865,4,4
"16","P02741ups|CRP_HUMAN_UPS",-4.40072030378822,28.4680366895698,-14.2601593259114,4.20803658810499e-07,0.000139783666855191,7.13331933521767,TRUE,30.6683968414639,26.2676765376757,4,4
"17","P02753ups|RETBP_HUMAN_UPS",-4.19368186731797,29.535227991588,-15.1327847314614,2.62003220723919e-07,0.000124779033869766,7.55846172286125,TRUE,31.632068925247,27.438387057929,4,4
"18","P02768ups|ALBU_HUMAN_UPS",2.13453258656785,33.9051947949742,9.57939988764729,9.43867177713781e-06,0.000998926096413752,4.1491171229576,TRUE,32.8379285016903,34.9724610882581,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-3.01842850823062,30.5371035342173,-12.5467848393452,1.16015168145831e-06,0.000285949867756223,6.19387022073309,TRUE,32.0463177883326,29.027889280102,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-3.54075694853393,30.7883756871106,-8.99663727354178,1.52079704200707e-05,0.0013795801738207,3.66878540750576,TRUE,32.5587541613776,29.0179972128436,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.944631621056844,32.0743828244399,-4.2893854316862,0.00247000528643997,0.109426978387631,-1.62185000607256,FALSE,32.5466986349684,31.6020670139115,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-4.58000008245258,28.7773445567341,-7.90351094776996,4.00495563786996e-05,0.00293440018851626,2.68100540607198,TRUE,31.0673445979604,26.4873445155078,4,4
"23","P06396ups|GELS_HUMAN_UPS",-3.78787258944999,30.6952004709212,-12.4920150239702,1.20083933965868e-06,0.000285949867756223,6.16129208908439,TRUE,32.5891367656462,28.8012641761962,4,4
"24","P06732ups|KCRM_HUMAN_UPS",-1.25503927331704,31.1998612014927,-2.86066728888222,0.0204686826405823,0.51306368987249,-3.80752395633455,FALSE,31.8273808381512,30.5723415648342,4,4
"25","P08263ups|GSTA1_HUMAN_UPS",-2.25825192306037,30.6427942553333,-2.36616399805374,0.0445939133707835,0.668908700561752,-4.58618263841293,FALSE,31.7719202168635,29.5136682938031,4,4
"26","P08758ups|ANXA5_HUMAN_UPS",-4.3380447316566,29.9618056674397,-19.5129049473936,3.38723254075869e-08,3.22633899507265e-05,9.27361114900779,TRUE,32.130828033268,27.7927833016114,4,4
"27","P09211ups|GSTP1_HUMAN_UPS",-1.90535065443694,29.084454063921,-3.23301455051654,0.0115156949147912,0.371820318858936,-3.22054596841518,FALSE,30.0371293911395,28.1317787367025,4,4
"28","P10145ups|IL8_HUMAN_UPS",NA,30.48172944922,NA,NA,NA,NA,NA,30.48172944922,NA,4,0
"29","P10599ups|THIO_HUMAN_UPS",-4.53631597339899,29.6600111833435,-12.9196383543818,2.87250819948084e-06,0.000456010676667583,5.35166972399115,TRUE,31.6041466005145,27.0678306271155,4,3
"30","P10636-8ups|TAU_HUMAN_UPS",-5.00152131660793,30.2325469369835,-10.4893149430887,4.69931708032051e-06,0.00055951243987566,4.84240995068957,TRUE,32.7333075952874,27.7317862786795,4,4
"31","P12081ups|SYHC_HUMAN_UPS",-3.5740226240059,30.6855451144736,-7.98752647327141,3.70394004205232e-05,0.00293440018851626,2.76126644978485,TRUE,32.4725564264765,28.8985338024706,4,4
"32","P15559ups|NQO1_HUMAN_UPS",-0.324425369107273,31.3989397355068,-0.86964726894254,0.409075402002803,0.911448702708,-6.55208111097267,FALSE,31.5611524200605,31.2367270509532,4,4
"33","P16083ups|NQO2_HUMAN_UPS",-3.75933508183802,29.7157414827109,-8.26840818676564,2.8657962662207e-05,0.00237362690745671,3.02415758608459,TRUE,31.59540902363,27.8360739417919,4,4
"34","P41159ups|LEP_HUMAN_UPS",3.39118103087214,32.4830160420937,7.58586298850233,5.41401890483543e-05,0.00368346643346839,2.37055101353817,TRUE,30.7874255266576,34.1786065575297,4,4
"35","P51965ups|UB2E1_HUMAN_UPS",0.427507719157688,28.3867717304341,1.10063499535301,0.311617399653592,0.900419504881453,-6.12060625216648,FALSE,28.2442691573815,28.6717768765392,4,2
"36","P55957ups|BID_HUMAN_UPS",-3.45798766706933,29.016005423023,-6.97396837302677,9.95650208189649e-05,0.00632237882200427,1.73971634311163,TRUE,30.7449992565577,27.2870115894884,4,4
"37","P61626ups|LYSC_HUMAN_UPS",-3.55419088241993,28.2468508894276,-8.94063240274031,1.5942935352855e-05,0.0013805132657813,3.62101579976958,TRUE,30.0239463306375,26.4697554482176,4,4
"38","P61769ups|B2MG_HUMAN_UPS",-5.14169523419671,29.2238546124081,-7.49424938027723,5.91659963832383e-05,0.00388659390034721,2.27890437390776,TRUE,31.7947022295064,26.6530069953097,4,4
"39","P62937ups|PPIA_HUMAN_UPS",-1.23079135116362,29.9765328996111,-1.76160622262319,0.115014015170923,0.900419504881453,-5.49272877993829,FALSE,30.5919285751929,29.3611372240293,4,4
"40","P62988ups|UBIQ_HUMAN_UPS",2.69956154749006,32.6796189302028,11.0187226975479,3.20775017777198e-06,0.000470058776050432,5.21690935644964,TRUE,31.3298381564578,34.0293997039479,4,4
"41","P63165ups|SUMO1_HUMAN_UPS",-1.27816003814133,31.5673074440261,-3.42635552336683,0.00859234575627567,0.301281002793145,-2.91896694488178,FALSE,32.2063874630968,30.9282274249554,4,4
"42","P63279ups|UBC9_HUMAN_UPS",-4.23918878327623,28.9963729294111,-15.8762287801372,1.78478246234707e-07,0.000113333686359039,7.89581686259417,TRUE,31.1159673210493,26.876778537773,4,4
"43","P68871ups|HBB_HUMAN_UPS",2.38936631539774,32.48848289648,9.089752202528,1.406782447536e-05,0.0013795801738207,3.74756881078901,TRUE,31.2937997387812,33.6831660541789,4,4
"44","P69905ups|HBA_HUMAN_UPS",2.29843887158516,31.8658215364874,7.65227711182876,5.07921678884086e-05,0.00358366962323771,2.43639185862215,TRUE,30.7166021006949,33.01504097228,4,4
"45","P99999ups|CYC_HUMAN_UPS",-4.42484736815194,28.3511042774696,-11.2828481460178,2.66736316902615e-06,0.000456010676667583,5.39642041056286,TRUE,30.5635279615456,26.1386805933937,4,4
"46","Q06830ups|PRDX1_HUMAN_UPS",-1.05440684134528,31.9646047971026,-4.52755327729885,0.00178431846618976,0.0871570943100383,-1.28130175369963,FALSE,32.4918082177752,31.4374013764299,4,4
"47","Q15843ups|NEDD8_HUMAN_UPS",-4.14584307631044,27.4156947839264,-10.6537735291844,4.16625159497669e-06,0.00052911395256204,4.96090731308172,TRUE,29.4886163220816,25.3427732457712,4,4
"48","sp|P00350|6PGD_ECOLI",0.11541911730665,32.4594475326409,0.442361685697501,0.66959299323889,0.978171434097531,-6.84650653751891,FALSE,32.4017379739876,32.5171570912942,4,4
"49","sp|P00363|FRDA_ECOLI",0.0237397538922917,29.5513264817347,0.0761320771348986,0.941127555161112,0.995987183449126,-6.95072551445242,FALSE,29.5394566047886,29.5631963586809,4,4
"50","sp|P00370|DHE4_ECOLI",-0.145624309582316,28.6489908425717,-0.433321605078752,0.675885831046997,0.978171434097531,-6.85080390404268,FALSE,28.7218029973628,28.5761786877805,4,4
"51","sp|P00393|NDH_ECOLI",0.861810805880743,29.8636420527222,2.20085699208878,0.0579084924222723,0.707151782464286,-4.84170313847607,FALSE,29.4327366497818,30.2945474556626,4,4
"52","sp|P00448|SODM_ECOLI",0.117523228290287,31.7680231184503,0.268200256120405,0.795128089970363,0.992394663405173,-6.91415553025823,FALSE,31.7092615043052,31.8267847325955,4,4
"53","sp|P00452|RIR1_ECOLI",-0.436910607752485,29.6375262358384,-1.03489428543712,0.330091641296406,0.900419504881453,-6.39479807815743,FALSE,29.8559815397147,29.4190709319622,4,4
