"","logFC","se","df","t","pval","adjPval"
"O00762ups|UBE2C_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"O76070ups|SYUG_HUMAN_UPS",-5.91872700286737,0.823986233525105,9.0449988889055,-7.18304112624114,5.04596816516792e-05,0.0106584400270855
"P00167ups|CYB5_HUMAN_UPS",-0.539764383863402,0.510506816686211,8.15713220307821,-1.05731082567537,0.320673979374815,0.999978733085574
"P00441ups|SODC_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P00709ups|LALBA_HUMAN_UPS",-1.98668268252369,0.433254267126268,9.23383753723078,-4.58548901480224,0.00123251419358106,0.107423342345802
"P00915ups|CAH1_HUMAN_UPS",2.20801279830787,0.313421103309905,8.95507093680887,7.04487596715729,6.17285687236834e-05,0.0113580566451577
"P00918ups|CAH2_HUMAN_UPS",2.58032319691503,0.496009742680739,8.80107458345422,5.20216232642808,0.000604377725421726,0.0625530945811486
"P01008ups|ANT3_HUMAN_UPS",-0.639851463882618,0.433976578355105,7.23383753723078,-1.47439169714605,0.182516319507952,0.999978733085574
"P01031ups|CO5_HUMAN_UPS",1.50083732335745,1.21869735449802,8.84344575256995,1.23150946198258,0.24987497439684,0.999978733085574
"P01112ups|RASH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P01127ups|PDGFB_HUMAN_UPS",-4.9731206855016,0.466610155560185,6.23383753723078,-10.6579778134729,3.12227158772012e-05,0.0106584400270855
"P01133ups|EGF_HUMAN_UPS",-0.377034675735097,0.412796184786829,9.19281173836231,-0.913367636694122,0.384378326307812,0.999978733085574
"P01344ups|IGF2_HUMAN_UPS",-6.34012226855989,0.637106140795457,7.90389497037511,-9.95143801414934,9.58944676011089e-06,0.00529337461158121
"P01375ups|TNFA_HUMAN_UPS",-4.08134237135149,0.274641996907188,9.10722019178352,-14.8605909413437,1.07716828515192e-07,8.91895340105789e-05
"P02144ups|MYG_HUMAN_UPS",-1.74468743920337,0.778414322741934,9.23383753723078,-2.24133522242727,0.0510094994184927,0.999978733085574
"P02741ups|CRP_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P02753ups|RETBP_HUMAN_UPS",-4.08378365706394,0.269292037045547,9.22367686556931,-15.1648882821337,7.83931821692534e-08,8.91895340105789e-05
"P02768ups|ALBU_HUMAN_UPS",2.15475423853252,0.295955586150157,8.86487503012562,7.28066757097556,5.04379993531317e-05,0.0106584400270855
"P02787ups|TRFE_HUMAN_UPS",0.192516459789127,0.598398179574201,6.23383753723078,0.321719661523895,0.758180624201758,0.999978733085574
"P02788ups|TRFL_HUMAN_UPS",-4.12788625476317,0.530636500125111,7.23383753723078,-7.77912234418461,9.17017265075062e-05,0.0140212369163219
"P04040ups|CATA_HUMAN_UPS",-0.759801654425434,0.277776186978496,8.97068941652561,-2.73530162066863,0.0230910114660556,0.749778725250747
"P05413ups|FABPH_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P06396ups|GELS_HUMAN_UPS",1.93958206728269,0.741947340057399,8.12271244780159,2.61417753331745,0.0305367801280739,0.84281513153484
"P06732ups|KCRM_HUMAN_UPS",-1.95477501523465,0.505605935197141,8.0688266351652,-3.86620266724611,0.00468945531692806,0.299876131139016
"P08263ups|GSTA1_HUMAN_UPS",-1.81414091101199,1.01421185109315,8.58781026022051,-1.78871989028391,0.10889041572898,0.999978733085574
"P08758ups|ANXA5_HUMAN_UPS",-2.42085364584725,0.675714137341616,8.85770051271633,-3.58265945917801,0.00606066320240666,0.358444937970908
"P09211ups|GSTP1_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10145ups|IL8_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10599ups|THIO_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P10636-8ups|TAU_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P12081ups|SYHC_HUMAN_UPS",-2.19925766931222,0.480928439675825,7.84290729064457,-4.57294160186213,0.00191432095522578,0.158505775092695
"P15559ups|NQO1_HUMAN_UPS",-0.0703430340845145,0.729644324493522,8.68344284850914,-0.0964072928729251,0.92538533793997,0.999978733085574
"P16083ups|NQO2_HUMAN_UPS",-2.95992946648647,0.401326955049304,8.87413721700102,-7.37535674901985,4.53961304841409e-05,0.0106584400270855
"P41159ups|LEP_HUMAN_UPS",4.4343347144182,1.11043155331301,8.99882962748584,3.99334357996964,0.00314265276371386,0.236556044395916
"P51965ups|UB2E1_HUMAN_UPS",0.821716348461925,1.22575305104518,5.99137826304276,0.670376751468216,0.527597561363936,0.999978733085574
"P55957ups|BID_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P61626ups|LYSC_HUMAN_UPS",-3.22264567216724,0.763028984301456,8.73829952131569,-4.22349050752972,0.00238011254378825,0.187688874881588
"P61769ups|B2MG_HUMAN_UPS",NA,NA,NA,NA,NA,NA
"P62937ups|PPIA_HUMAN_UPS",-1.15657563498237,0.534900370071087,8.2388207718748,-2.16222627557477,0.0615995213536635,0.999978733085574
"P62988ups|UBIQ_HUMAN_UPS",3.26175619512988,0.44466343938064,8.73367000982012,7.3353370352937,5.14900484400267e-05,0.0106584400270855
"P63165ups|SUMO1_HUMAN_UPS",-1.1339388007631,0.305328468965267,9.23383753723078,-3.71383253126028,0.0046063914727609,0.299876131139016
"P63279ups|UBC9_HUMAN_UPS",-2.96219638607634,0.397800953044681,6.57869590022284,-7.44642858043537,0.000194815406000464,0.0268845260280641
