"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.83408637716612,28.9484186690395,-5.62997703214432,0.000460009848144858,0.0269489102704862,0.198820034464135,TRUE,30.8654618576225,27.0313754804564,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.17441859750772,29.8099612709274,-11.5285508798909,2.48640250966579e-06,0.000524382289288516,5.45524698361172,TRUE,32.3971705696812,27.2227519721735,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.03497085634006,31.9544370613896,-4.00484641948543,0.00377284612261148,0.185044941222967,-1.99791422348645,FALSE,32.4719224895596,31.4369516332196,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.52372480676457,29.5602029113581,-10.5493016985213,4.92143892029056e-06,0.000738469422834059,4.80181338443772,TRUE,31.8220653147404,27.2983405079758,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.72200538265796,30.1457940876775,-8.00156603234509,3.91223427324036e-05,0.0035873487314191,2.74188020482987,TRUE,31.5067967790065,28.7847913963485,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.66520892732928,33.4777160469576,5.75487436118259,0.000397374862741483,0.0246489289859349,0.351417412125117,TRUE,32.145111583293,34.8103205106223,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.69911114733033,32.4483754371646,6.6496012145626,0.000147530807194315,0.0103714157457604,1.38048513638581,TRUE,31.0988198634994,33.7979310108297,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.68388379952317,30.7432707366213,-11.9332838056465,1.90346237053887e-06,0.000501800267433309,5.70677264034849,TRUE,32.5852126363829,28.9013288368597,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.11232143515095,30.3620934987481,3.82972241371975,0.00484279052858217,0.222031417929996,-2.25738332685455,FALSE,29.3059327811727,31.4182542163236,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.24984008535652,28.9644673690034,-5.64672734462186,0.000451013812482568,0.0269489102704862,0.219416928776564,TRUE,30.5893874116817,27.3395473263252,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.27773808286661,28.6628861930848,-11.0867547975452,3.3609781027264e-06,0.000644391165331815,5.16861332710637,TRUE,31.3017552345181,26.0240171516515,4,4
"12","P01133ups|EGF_HUMAN_UPS",-0.449281881468211,30.1657944343886,-1.16966197525969,0.275186429445751,0.967586076484025,-6.18208841535557,FALSE,30.3904353751227,29.9411534936545,4,4
"13","P01344ups|IGF2_HUMAN_UPS",-5.12684230003586,28.2783135134405,-10.3090983043559,5.86849653248439e-06,0.000773541199188098,4.63107981258672,TRUE,30.8417346634584,25.7148923634226,4,4
"14","P01375ups|TNFA_HUMAN_UPS",-5.07249666972782,29.7239033406737,-19.4859882204356,3.96213834384073e-08,8.35614976716009e-05,9.00396648033391,TRUE,32.2601516755376,27.1876550058098,4,4
"15","P01579ups|IFNG_HUMAN_UPS",-1.44785760322505,29.2060281335156,-1.81411166644362,0.106506313271722,0.906723448056369,-5.35126170508456,FALSE,29.9299569351282,28.4820993319031,4,4
"16","P02144ups|MYG_HUMAN_UPS",-1.3047694418086,30.7866133242755,-1.51845743044186,0.166671420069861,0.967586076484025,-5.7576340699324,FALSE,31.4389980451798,30.1342286033712,4,4
"17","P02741ups|CRP_HUMAN_UPS",-4.36351524242714,28.4952587932979,-15.2176239400193,2.83268354599502e-07,0.00019913765328345,7.4194572803978,TRUE,30.6770164145114,26.3135011720843,4,4
"18","P02753ups|RETBP_HUMAN_UPS",-4.20031222064464,29.5351788143094,-12.1141033749587,1.69375444376028e-06,0.000501800267433309,5.81588143936092,TRUE,31.6353349246317,27.435022703987,4,4
"19","P02768ups|ALBU_HUMAN_UPS",2.28174330871788,33.8788481757899,10.45994293062,5.25227185514978e-06,0.000738469422834059,4.73880354095191,TRUE,32.737976521431,35.0197198301488,4,4
"20","P02787ups|TRFE_HUMAN_UPS",-3.05423946840081,30.4949917968362,-11.7023391630619,2.21466881266019e-06,0.000518970725100038,5.56450957123598,TRUE,32.0221115310366,28.9678720626358,4,4
