"","protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","mean_UPS1","mean_UPS2","ngood_UPS1","ngood_UPS2"
"1","O00762ups|UBE2C_HUMAN_UPS",-3.80146382029651,28.9666052189771,-5.61631855850352,0.000447877127023131,0.0237001646383074,0.168766499050399,TRUE,30.8673371291253,27.0658733088288,4,4
"2","O76070ups|SYUG_HUMAN_UPS",-5.31072189473978,29.868010843883,-14.1518787223511,4.46812534668275e-07,0.000141862979757177,7.07897228163518,TRUE,32.5233717912529,27.2126498965131,4,4
"3","P00167ups|CYB5_HUMAN_UPS",-1.00130600448816,32.0357131361791,-4.80029583110808,0.00124195216943843,0.0639437535886541,-0.901517342779631,FALSE,32.5363661384232,31.535060133935,4,4
"4","P00441ups|SODC_HUMAN_UPS",-4.54244468421153,29.5638109234215,-10.7837731367614,3.79028943053394e-06,0.00051575009751194,5.05367839232599,TRUE,31.8350332655272,27.2925885813157,4,4
"5","P00709ups|LALBA_HUMAN_UPS",-2.69064457036609,30.1716637236932,-9.00582667934149,1.50840590299376e-05,0.00138678613446002,3.67694679184518,TRUE,31.5169860088763,28.8263414385102,4,4
"6","P00915ups|CAH1_HUMAN_UPS",2.55942494236252,33.494866139781,6.43415467644182,0.000176232231997987,0.00987418829282838,1.14490385651223,TRUE,32.2151536685997,34.7745786109623,4,4
"7","P00918ups|CAH2_HUMAN_UPS",2.72525747163963,32.4593184488205,7.93980855145769,3.87015392239029e-05,0.00293755269013029,2.71603653426191,TRUE,31.0966897130006,33.8219471846403,4,4
"8","P01008ups|ANT3_HUMAN_UPS",-3.62400176972582,30.8115360326025,-10.1852834036199,5.89371918641797e-06,0.00066044323824272,4.6184625575464,TRUE,32.6235369174654,28.9995351477396,4,4
"9","P01031ups|CO5_HUMAN_UPS",2.23591685889965,30.3699589407451,4.17858707662236,0.00288113594121297,0.124740090182061,-1.78308354424573,FALSE,29.2520005112953,31.487917370195,4,4
"10","P01112ups|RASH_HUMAN_UPS",-3.22965464833618,28.9298306736294,-6.1897443304901,0.000230841245196781,0.0125643592028533,0.862907254421099,TRUE,30.5446579977975,27.3150033494613,4,4
"11","P01127ups|PDGFB_HUMAN_UPS",-5.29807490445441,28.6514969014132,-11.983545984161,1.66386331530164e-06,0.000316965961564963,5.85114703511694,TRUE,31.3005343536404,26.002459449186,4,4
"12","P01344ups|IGF2_HUMAN_UPS",-5.1275550015579,28.2573068538035,-12.1122115011607,1.5300350522133e-06,0.000316965961564963,5.9312281391371,TRUE,30.8210843545824,25.6935293530245,4,4
"13","P01375ups|TNFA_HUMAN_UPS",-5.1173955798532,29.7192541589654,-19.691268249135,3.14393346555908e-08,3.20822355016123e-05,9.33243222997111,TRUE,32.277951948892,27.1605563690388,4,4
"14","P01579ups|IFNG_HUMAN_UPS",-1.38950565376023,29.1789953573367,-1.79150149620146,0.109838102823059,0.88455607814784,-5.45037078627734,FALSE,29.8737481842168,28.4842425304566,4,4
"15","P02144ups|MYG_HUMAN_UPS",-1.23210925567951,30.8204438783256,-1.54654857287522,0.159408453196515,0.90180843265545,-5.78867583449723,FALSE,31.4364985061654,30.2043892504859,4,4
"16","P02741ups|CRP_HUMAN_UPS",-4.40049075073006,28.4668295755877,-14.2645658542646,4.19476704942587e-07,0.000141862979757177,7.13631433796905,TRUE,30.6670749509527,26.2665842002227,4,4
"17","P02753ups|RETBP_HUMAN_UPS",-4.19484056558815,29.5350744041059,-15.1153980017611,2.6422869088263e-07,0.000125838914032852,7.55113405472477,TRUE,31.6324946869,27.4376541213118,4,4
"18","P02768ups|ALBU_HUMAN_UPS",2.13443787331409,33.9053339345089,9.57993762752781,9.42999612922866e-06,0.0009980079236767,4.14994477420603,TRUE,32.8381149978519,34.972552871166,4,4
"19","P02787ups|TRFE_HUMAN_UPS",-3.01850328315145,30.5372135993254,-12.5467791537969,1.15942543412662e-06,0.000285832291097802,6.19450068246706,TRUE,32.0464652409012,29.0279619577497,4,4
"20","P02788ups|TRFL_HUMAN_UPS",-3.53993072820372,30.7886231350894,-8.98989436464444,1.52874062066459e-05,0.00138678613446002,3.66339900916608,TRUE,32.5585884991913,29.0186577709876,4,4
"21","P04040ups|CATA_HUMAN_UPS",-0.944719019121206,32.0742294813646,-4.28931339221177,0.00246984760184953,0.109419992593567,-1.62199662743658,FALSE,32.5465889909252,31.601869971804,4,4
"22","P05413ups|FABPH_HUMAN_UPS",-4.58007849713526,28.7773409617498,-7.90193474020444,4.00925826474475e-05,0.00293755269013029,2.67975135582626,TRUE,31.0673802103174,26.4873017131822,4,4
"23","P06396ups|GELS_HUMAN_UPS",-3.78799447620715,30.6951874712471,-12.4916722467401,1.20034557941334e-06,0.000285832291097802,6.16171724577841,TRUE,32.5891847093507,28.8011902331435,4,4
"24","P06732ups|KCRM_HUMAN_UPS",-1.2554311465333,31.2015193409538,-2.86274968220122,0.0204007653862894,0.511533628377766,-3.80436978070136,FALSE,31.8292349142204,30.5738037676871,4,4
"25","P08263ups|GSTA1_HUMAN_UPS",-2.2598091245341,30.6419484117591,-2.36618529165864,0.0445903400254739,0.668855100382109,-4.5863139753672,FALSE,31.7718529740261,29.512043849492,4,4
"26","P08758ups|ANXA5_HUMAN_UPS",-4.3370317158668,29.9620770000347,-19.5243807090893,3.36821370095667e-08,3.20822355016123e-05,9.27847726875047,TRUE,32.1305928579681,27.7935611421013,4,4
"27","P09211ups|GSTP1_HUMAN_UPS",-1.90713638131957,29.0865243070633,-3.2345704141286,0.0114873077556317,0.370903750414889,-3.21822560170513,FALSE,30.040092497723,28.1329561164035,4,4
"28","P10145ups|IL8_HUMAN_UPS",NA,30.4806334556734,NA,NA,NA,NA,NA,30.4806334556734,NA,4,0
"29","P10599ups|THIO_HUMAN_UPS",-4.53957243495908,29.6607280586531,-12.9611000126068,2.80702438416453e-06,0.000445615120986119,5.37261806903612,TRUE,31.606259102207,27.0666866672479,4,3
"30","P10636-8ups|TAU_HUMAN_UPS",-5.00166376233879,30.232249682815,-10.4935774323152,4.68206411737961e-06,0.00055745825897551,4.84597852927491,TRUE,32.7330815639844,27.7314178016456,4,4
"31","P12081ups|SYHC_HUMAN_UPS",-3.57336527326491,30.686055889745,-7.96767183563776,3.77122866416233e-05,0.00293755269013029,2.74263220227292,TRUE,32.4727385263775,28.8993732531126,4,4
"32","P15559ups|NQO1_HUMAN_UPS",-0.324561702349451,31.3988475475732,-0.869651840122369,0.409071356170017,0.913576709852149,-6.55227186320271,FALSE,31.5611283987479,31.2365666963985,4,4
"33","P16083ups|NQO2_HUMAN_UPS",-3.75957221329449,29.7156384750186,-8.26900725172743,2.86304853522766e-05,0.00237135106939508,3.02499924214789,TRUE,31.5954245816659,27.8358523683714,4,4
"34","P41159ups|LEP_HUMAN_UPS",3.38979192154465,32.4835684075468,7.59288002983781,5.3754730735042e-05,0.00365724150179482,2.37776410055214,TRUE,30.7886724467745,34.1784643683191,4,4
"35","P51965ups|UB2E1_HUMAN_UPS",0.423319630627639,28.3895689090089,1.08902507654745,0.316326456215577,0.90180843265545,-6.13297511797212,FALSE,28.2484623654663,28.671781996094,4,2
"36","P55957ups|BID_HUMAN_UPS",-3.45952097766186,29.0140414321497,-6.97511408596861,9.94137907599267e-05,0.00631277571325535,1.74112049174716,TRUE,30.7438019209806,27.2842809433187,4,4
"37","P61626ups|LYSC_HUMAN_UPS",-3.55523000135245,28.2458745917682,-8.91853759177038,1.6236265936025e-05,0.00140591302764216,3.60243352721856,TRUE,30.0234895924444,26.468259591092,4,4
"38","P61769ups|B2MG_HUMAN_UPS",-5.14127871774026,29.2241160968372,-7.49310924772939,5.92095509820401e-05,0.00388945498692367,2.2779823660802,TRUE,31.7947554557073,26.653476737967,4,4
"39","P62937ups|PPIA_HUMAN_UPS",-1.22925909006234,29.9762039849173,-1.75957364646674,0.115371313551965,0.90180843265545,-5.49579425384637,FALSE,30.5908335299485,29.3615744398862,4,4
"40","P62988ups|UBIQ_HUMAN_UPS",2.69917923270009,32.6795709301948,11.0185332802625,3.20637729194766e-06,0.000469857595473869,5.21729302059694,TRUE,31.3299813138448,34.0291605465449,4,4
"41","P63165ups|SUMO1_HUMAN_UPS",-1.27819181953619,31.5672801236248,-3.42650497204294,0.00858950359284726,0.302896604585965,-2.91884033762549,FALSE,32.2063760333929,30.9281842138567,4,4
"42","P63279ups|UBC9_HUMAN_UPS",-4.23745215555952,28.9971061037996,-15.9056101261753,1.75719192111409e-07,0.000111581686990745,7.90959218490253,TRUE,31.1158321815793,26.8783800260198,4,4
"43","P68871ups|HBB_HUMAN_UPS",2.38901361996808,32.4883795169248,9.08474341291846,1.41201150375382e-05,0.00138678613446002,3.74370856367428,TRUE,31.2938727069408,33.6828863269088,4,4
"44","P69905ups|HBA_HUMAN_UPS",2.29846861827304,31.8658012149631,7.6527724221648,5.0748598895175e-05,0.00358059558871513,2.43711907975374,TRUE,30.7165669058265,33.0150355240996,4,4
"45","P99999ups|CYC_HUMAN_UPS",-4.42539939339869,28.3507450358967,-11.2902252163413,2.6522777795432e-06,0.000445615120986119,5.4019023498633,TRUE,30.5634447325961,26.1380453391974,4,4
"46","Q06830ups|PRDX1_HUMAN_UPS",-1.05530745198383,31.9642642499902,-4.53205540750555,0.00177320712517128,0.0866143480372124,-1.27496686400551,FALSE,32.4919179759821,31.4366105239982,4,4
"47","Q15843ups|NEDD8_HUMAN_UPS",-4.14416224914904,27.4147643335368,-10.6490598398969,4.17828390134551e-06,0.00053064205547088,4.95802314551701,TRUE,29.4868454581113,25.3426832089622,4,4
"48","sp|P00350|6PGD_ECOLI",0.112614891442916,32.4608421094529,0.430794084931825,0.677649347309277,0.978515675626688,-6.85218500521947,FALSE,32.4045346637314,32.5171495551743,4,4
"49","sp|P00363|FRDA_ECOLI",0.0245313542543919,29.5509645265373,0.0786876422396774,0.93915571569354,0.99643103446798,-6.95070028890838,FALSE,29.5386988494101,29.5632302036645,4,4
"50","sp|P00370|DHE4_ECOLI",-0.146068787170014,28.6485031106845,-0.435008547302144,0.674708703743977,0.978515675626688,-6.85020317166344,FALSE,28.7215375042695,28.5754687170995,4,4
"51","sp|P00393|NDH_ECOLI",0.864485828231987,29.8640491098478,2.20793516749203,0.0572628106265452,0.70154183101886,-4.83101919190306,FALSE,29.4318061957318,30.2962920239638,4,4
"52","sp|P00448|SODM_ECOLI",0.117702625073766,31.767938925876,0.268514277547406,0.79489411711686,0.992349268409104,-6.91425727845417,FALSE,31.7090876133391,31.8267902384129,4,4
"53","sp|P00452|RIR1_ECOLI",-0.436139144853945,29.6376549470174,-1.03301386742894,0.330918197333671,0.90180843265545,-6.3969027580332,FALSE,29.8557245194444,29.4195853745904,4,4
"54","sp|P00490|PHSM_ECOLI",-0.0332009440971078,30.2663682171898,-0.0892663182713788,0.930998756649728,0.99637748243419,-6.94971402743306,FALSE,30.2829686892383,30.2497677451412,4,4
"55","sp|P00509|AAT_ECOLI",0.0512420761991386,31.385937533696,0.210490858428667,0.838389107340185,0.992349268409104,-6.92958969431487,FALSE,31.3603164955964,31.4115585717955,4,4
"56","sp|P00547|KHSE_ECOLI",-0.596608513796187,25.138890860473,-0.574570944456789,0.582957423778347,0.965515996593932,-6.69608542561352,FALSE,25.3945802235285,24.7979717097323,4,3
"57","sp|P00550|PTM3C_ECOLI",0.564492192983836,29.2887815910098,2.48804300948643,0.0367754744804566,0.660180246826197,-4.39579351969694,FALSE,29.0065354945179,29.5710276875017,4,4
"58","sp|P00561|AK1H_ECOLI",0.234993381349787,27.9712347723734,1.04375753937987,0.326205740991138,0.90180843265545,-6.38595186127782,FALSE,27.8537380816985,28.0887314630483,4,4
"59","sp|P00562|AK2H_ECOLI",1.10446646524757,30.7316050339599,1.30235808774854,0.227963341218162,0.90180843265545,-6.09788930829703,FALSE,30.1793718013362,31.2838382665837,4,4
"60","sp|P00579|RPOD_ECOLI",-0.0648026374555481,30.1116148998793,-0.195071918078323,0.850053955860866,0.992349268409104,-6.93304652282497,FALSE,30.1440162186071,30.0792135811516,4,4
"61","sp|P00582|DPO1_ECOLI",-0.122952928140836,29.2893239198306,-0.436385082202242,0.673749502533481,0.978515675626688,-6.84955187053042,FALSE,29.350800383901,29.2278474557602,4,4
"62","sp|P00634|PPB_ECOLI",0.695867751448598,29.1389278340977,0.559835205453695,0.590460077482011,0.965515996593932,-6.78326566327094,FALSE,28.7909939583734,29.486861709822,4,4
"63","sp|P00722|BGAL_ECOLI",0.392426927332524,27.6844848013152,0.820163389397677,0.435170475918615,0.921074919620638,-6.594998272269,FALSE,27.488271337649,27.8806982649815,4,4
"64","sp|P00803|LEP_ECOLI",-2.01237777422351,29.0353430677611,-6.74060035911398,0.000126898727388023,0.00779813147336076,1.48726612043964,TRUE,30.0415319548728,28.0291541806493,4,4
"65","sp|P00805|ASPG2_ECOLI",0.0306444269743656,28.512449860795,0.0903754148632667,0.930144041282449,0.99637748243419,-6.94960344282108,FALSE,28.4971276473078,28.5277720742822,4,4
"66","sp|P00811|AMPC_ECOLI",0.170596940130315,27.6137096075129,0.280294906061348,0.786149667940404,0.992349268409104,-6.91069806290238,FALSE,27.5284111374478,27.6990080775781,4,4
"67","sp|P00864|CAPP_ECOLI",-0.396786643842379,29.1502389479703,-1.25465060894948,0.243972064560425,0.90180843265545,-6.15435647619765,FALSE,29.3486322698915,28.9518456260491,4,4
"68","sp|P00887|AROH_ECOLI",0.446602601293684,27.5360490925815,0.97935972042739,0.355236599333153,0.90180843265545,-6.45027286839232,FALSE,27.3127477919347,27.7593503932283,4,4
"69","sp|P00888|AROF_ECOLI",-0.761329466620271,27.271304016967,-0.536645135701276,0.605673820584111,0.965515996593932,-6.79689156096162,FALSE,27.6519687502772,26.8906392836569,4,4
"70","sp|P00893|ILVI_ECOLI",-0.356401922055724,26.2419383695847,-0.292509928316907,0.779361947133515,0.992349268409104,-6.76308704233095,FALSE,26.4201393306126,26.0637374085568,3,3
"71","sp|P00895|TRPE_ECOLI",0.219539549888034,26.9212012882254,0.708883833178335,0.497930430726518,0.926336820216259,-6.68319428976095,FALSE,26.8114315132814,27.0309710631695,4,4
"72","sp|P00904|TRPGD_ECOLI",0.264081394627223,27.4345753852989,0.84208543412364,0.423470371313565,0.917346398775237,-6.57633090388732,FALSE,27.3025346879853,27.5666160826125,4,4
"73","sp|P00909|TRPC_ECOLI",0.504029487416116,27.1634561543044,1.28101196954957,0.235013363575881,0.90180843265545,-6.12332814517833,FALSE,26.9114414105964,27.4154708980125,4,4
"74","sp|P00926|SDHD_ECOLI",-0.0887783782983077,27.5633436984711,-0.364712004362749,0.724495933043532,0.985128302960691,-6.880833165899,FALSE,27.6077328876203,27.5189545093219,4,4
"75","sp|P00934|THRC_ECOLI",0.270670967338241,29.1454975200205,1.15106187046634,0.281963576842407,0.90180843265545,-6.27194599882888,FALSE,29.0101620363514,29.2808330036896,4,4
"76","sp|P00935|METB_ECOLI",0.182151706547663,25.8970802393035,0.415201546306146,0.690003085306098,0.978515675626688,-6.7818944703708,FALSE,25.7929935498477,25.9751452563954,3,4
"77","sp|P00936|CYAA_ECOLI",-0.949323319377724,26.1808798238685,-1.09537395945728,0.304287965077343,0.90180843265545,-6.33214602074183,FALSE,26.6555414835573,25.7062181641796,4,4
"78","sp|P00944|XYLA_ECOLI",-0.0838333859770787,27.4253204478508,-0.266018591440938,0.796750593385653,0.992349268409104,-6.91499201909109,FALSE,27.4672371408393,27.3834037548622,4,4
"79","sp|P00946|MANA_ECOLI",-0.374796307408891,29.8061572993559,-1.41677816462059,0.193171673680052,0.90180843265545,-5.956983460874,FALSE,29.9935554530603,29.6187591456515,4,4
"80","sp|P00954|SYW_ECOLI",0.121216590290421,29.2651037563894,0.451023945196865,0.663588149475593,0.978515675626688,-6.84250423666014,FALSE,29.2044954612442,29.3257120515346,4,4
"81","sp|P00956|SYI_ECOLI",1.09081834475764,30.2934608572106,4.37241074660181,0.00220283318437011,0.102351151615246,-1.50224289908595,FALSE,29.7480516848318,30.8388700295894,4,4
