"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",0.00939663315540441,0.879198669580006,0.0106877244933653,6,0.991819096854479,0.999610377537471,NA,0.485294117647059,0
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",3.45488341727249,0.466165529562876,7.41128032463521,6,0.000310171756097155,0.0757508355446163,NA,0.375,0
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.140522838249221,0.982299765052169,0.143054944375109,6,0.890930113997384,0.999610377537471,NA,0.159090909090909,0
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",1.30719665803924,0.676181244679554,1.93320454881697,6,0.101392707137105,0.999610377537471,NA,0.4375,0
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",1.86505473735559,0.78007424497137,2.39086824027121,6,0.0539623287219455,0.999610377537471,NA,0.140625,0
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-1.94981843496796,0.218156408954227,-8.93770870319496,6,0.000109473080386113,0.0300777288360846,NA,0.103571428571429,0
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.35707483388953,0.333400577756863,-4.07040336588498,6,0.00657283315333146,0.393483068511919,NA,0.22972972972973,0
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",1.72539458930702,0.240543147033699,7.17291101652251,6,0.000370858262552787,0.0815146461091025,NA,0.439814814814815,0.00231481481481481
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-0.738725439888189,0.363207783438746,-2.03389209585255,6,0.0881871540360604,0.999610377537471,NA,0.125,0.0416666666666667
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",0.508961632563558,0.516829289702026,0.984777067988922,6,0.362763227190656,0.999610377537471,NA,0.490384615384615,0
