"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","O00762ups|UBE2C_HUMAN_UPS","UPS1-UPS2",4.76333052024094,0.345157279879891,13.8004637245331,6,9.00672572079486e-06,0.00213121647368308,NA,0.485294117647059,0.485294117647059
"2","O76070ups|SYUG_HUMAN_UPS","UPS1-UPS2",4.7559905899406,0.486235213573445,9.78125495063969,6,6.56962573986064e-05,0.0090348792535508,NA,0.375,0.375
"3","P00167ups|CYB5_HUMAN_UPS","UPS1-UPS2",0.57390904697952,0.91345121691248,0.628286476993667,6,0.552964732268291,0.999542429228678,NA,0.159090909090909,0.159090909090909
"4","P00441ups|SODC_HUMAN_UPS","UPS1-UPS2",3.72982911317916,0.802283686795308,4.64901527298633,6,0.00350730562924939,0.195274398710856,NA,0.4375,0.4375
"5","P00709ups|LALBA_HUMAN_UPS","UPS1-UPS2",2.23707268004984,0.638835962811126,3.50179515599881,6,0.0127983733857127,0.465910015752963,NA,0.140625,0.140625
"6","P00915ups|CAH1_HUMAN_UPS","UPS1-UPS2",-2.10244904304509,0.330272894018557,-6.36579350325662,6,0.000705511123619607,0.0476975913218541,NA,0.103571428571429,0.103571428571429
"7","P00918ups|CAH2_HUMAN_UPS","UPS1-UPS2",-1.62373354581043,0.308937666012926,-5.25586137412745,6,0.00190899273011325,0.116571717358206,NA,0.22972972972973,0.22972972972973
"8","P01008ups|ANT3_HUMAN_UPS","UPS1-UPS2",4.66022546405935,0.301490440729049,15.4572909601718,6,4.63681516560399e-06,0.00191726998461856,NA,0.439814814814815,0.439814814814815
"9","P01031ups|CO5_HUMAN_UPS","UPS1-UPS2",-1.03551512421334,0.308104941328579,-3.36091696468125,6,0.015212359800771,0.51679350210734,NA,0.125,0.125
"10","P01112ups|RASH_HUMAN_UPS","UPS1-UPS2",5.90332632359424,0.408421962839774,14.453988425471,6,6.87205503480115e-06,0.00208696516305005,NA,0.490384615384615,0.490384615384615
"11","P01127ups|PDGFB_HUMAN_UPS","UPS1-UPS2",3.8488198529527,0.399482518228994,9.63451384560076,6,7.15917531977084e-05,0.0090348792535508,NA,0.480263157894737,0.480263157894737
"12","P01344ups|IGF2_HUMAN_UPS","UPS1-UPS2",4.33765912034128,0.450167428611476,9.63565741244456,6,7.1543499474469e-05,0.0090348792535508,NA,0.392857142857143,0.392857142857143
"13","P01375ups|TNFA_HUMAN_UPS","UPS1-UPS2",4.51952763560847,0.620693497599887,7.28141611453107,6,0.000341682439910951,0.0281219503804969,NA,0.486842105263158,0.486842105263158
