Raw.file	Condition	Experiment	TechReplicate	IsotopeLabelType	BioReplicate
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_1	fold1	fold1_01	1	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_2	fold1	fold1_02	2	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_3	fold1	fold1_03	3	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_4	fold1	fold1_04	4	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_5	fold1	fold1_05	5	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_1_6	fold1	fold1_06	6	L	1
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_1	fold10	fold10_01	1	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_2	fold10	fold10_02	2	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_3	fold10	fold10_03	3	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_4	fold10	fold10_04	4	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_5	fold10	fold10_05	5	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_10_6	fold10	fold10_06	6	L	2
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_1	fold4	fold4_01	1	L	3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_2	fold4	fold4_02	2	L	3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_3	fold4	fold4_03	3	L	3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_4	fold4	fold4_04	4	L	3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_5	fold4	fold4_05	5	L	3
20171106_LUMOS1_nLC13_AH_TechBench2_LFQ_4_6	fold4	fold4_06	6	L	3
