"","RUN","Protein","LogIntensities","originalRUN","GROUP","SUBJECT","TotalGroupMeasurements","NumMeasuredFeature","MissingPercentage","more50missing","NumImputedFeature"
"1","1","sp|A0FGR8|ESYT2_HUMAN",22.4084181590513,"1","SP=Yeast;CT=Mixture;QY=1",1,54,2,0.777777777777778,TRUE,7
"2","2","sp|A0FGR8|ESYT2_HUMAN",23.5941985299869,"2","SP=Yeast;CT=Mixture;QY=1",1,54,6,0.333333333333333,FALSE,3
"3","3","sp|A0FGR8|ESYT2_HUMAN",23.7018906972621,"3","SP=Yeast;CT=Mixture;QY=1",1,54,8,0.111111111111111,FALSE,1
"4","4","sp|A0FGR8|ESYT2_HUMAN",22.7939889718155,"4","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"5","5","sp|A0FGR8|ESYT2_HUMAN",22.9848304043963,"5","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"6","6","sp|A0FGR8|ESYT2_HUMAN",23.3437191978431,"6","SP=Yeast;CT=Mixture;QY=1",1,54,5,0.444444444444444,FALSE,4
"7","7","sp|A0FGR8|ESYT2_HUMAN",21.8428347686087,"13","SP=Yeast;CT=Mixture;QY=10",3,54,1,0.888888888888889,TRUE,8
"8","8","sp|A0FGR8|ESYT2_HUMAN",21.745376776833,"14","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"9","9","sp|A0FGR8|ESYT2_HUMAN",22.4504997143785,"15","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"10","10","sp|A0FGR8|ESYT2_HUMAN",22.4310495344502,"16","SP=Yeast;CT=Mixture;QY=10",3,54,3,0.666666666666667,TRUE,6
"11","11","sp|A0FGR8|ESYT2_HUMAN",22.69435123782,"17","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"12","12","sp|A0FGR8|ESYT2_HUMAN",22.8736291547935,"18","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"13","13","sp|A0FGR8|ESYT2_HUMAN",22.4102421147798,"10","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"14","14","sp|A0FGR8|ESYT2_HUMAN",22.5139824225079,"11","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"15","15","sp|A0FGR8|ESYT2_HUMAN",22.726302372084,"12","SP=Yeast;CT=Mixture;QY=4",2,54,4,0.555555555555556,TRUE,5
"16","16","sp|A0FGR8|ESYT2_HUMAN",23.5225980914321,"7","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"17","17","sp|A0FGR8|ESYT2_HUMAN",23.5826042262361,"8","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"18","18","sp|A0FGR8|ESYT2_HUMAN",23.223474649526,"9","SP=Yeast;CT=Mixture;QY=4",2,54,6,0.333333333333333,FALSE,3
"19","1","sp|A0JNW5|UH1BL_HUMAN",23.0151669897497,"1","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"20","2","sp|A0JNW5|UH1BL_HUMAN",22.9280804731287,"2","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"21","3","sp|A0JNW5|UH1BL_HUMAN",23.0178972919108,"3","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"22","4","sp|A0JNW5|UH1BL_HUMAN",22.8697964938737,"4","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"23","5","sp|A0JNW5|UH1BL_HUMAN",23.0043240500215,"5","SP=Yeast;CT=Mixture;QY=1",1,36,5,0.166666666666667,FALSE,1
"24","6","sp|A0JNW5|UH1BL_HUMAN",22.6422513490723,"6","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"25","7","sp|A0JNW5|UH1BL_HUMAN",22.2186416519768,"13","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
"26","8","sp|A0JNW5|UH1BL_HUMAN",22.6955809899985,"14","SP=Yeast;CT=Mixture;QY=10",3,36,3,0.5,TRUE,3
"27","9","sp|A0JNW5|UH1BL_HUMAN",21.694906441464,"15","SP=Yeast;CT=Mixture;QY=10",3,36,1,0.833333333333333,TRUE,5
"28","10","sp|A0JNW5|UH1BL_HUMAN",21.7172998839291,"16","SP=Yeast;CT=Mixture;QY=10",3,36,1,0.833333333333333,TRUE,5
"29","11","sp|A0JNW5|UH1BL_HUMAN",22.1493017178568,"17","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
