"","RUN","Protein","LogIntensities","originalRUN","GROUP","SUBJECT","TotalGroupMeasurements","NumMeasuredFeature","MissingPercentage","more50missing","NumImputedFeature"
"1","1","sp|A0FGR8|ESYT2_HUMAN",22.2813342182563,"1","SP=Yeast;CT=Mixture;QY=1",1,54,2,0.777777777777778,TRUE,7
"2","2","sp|A0FGR8|ESYT2_HUMAN",23.2115396024319,"2","SP=Yeast;CT=Mixture;QY=1",1,54,6,0.333333333333333,FALSE,3
"3","3","sp|A0FGR8|ESYT2_HUMAN",23.3387902651347,"3","SP=Yeast;CT=Mixture;QY=1",1,54,8,0.111111111111111,FALSE,1
"4","4","sp|A0FGR8|ESYT2_HUMAN",22.795292875067,"4","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"5","5","sp|A0FGR8|ESYT2_HUMAN",22.9504508909023,"5","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"6","6","sp|A0FGR8|ESYT2_HUMAN",23.2140224794384,"6","SP=Yeast;CT=Mixture;QY=1",1,54,5,0.444444444444444,FALSE,4
"7","7","sp|A0FGR8|ESYT2_HUMAN",22.0711153462729,"13","SP=Yeast;CT=Mixture;QY=10",3,54,1,0.888888888888889,TRUE,8
"8","8","sp|A0FGR8|ESYT2_HUMAN",22.012752695236,"14","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"9","9","sp|A0FGR8|ESYT2_HUMAN",22.7304346577421,"15","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"10","10","sp|A0FGR8|ESYT2_HUMAN",22.7091037517275,"16","SP=Yeast;CT=Mixture;QY=10",3,54,3,0.666666666666667,TRUE,6
"11","11","sp|A0FGR8|ESYT2_HUMAN",23.0245687192629,"17","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"12","12","sp|A0FGR8|ESYT2_HUMAN",23.1628040836122,"18","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"13","13","sp|A0FGR8|ESYT2_HUMAN",22.4756454101393,"10","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"14","14","sp|A0FGR8|ESYT2_HUMAN",22.6313779654531,"11","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"15","15","sp|A0FGR8|ESYT2_HUMAN",22.8412430216157,"12","SP=Yeast;CT=Mixture;QY=4",2,54,4,0.555555555555556,TRUE,5
"16","16","sp|A0FGR8|ESYT2_HUMAN",23.4778245117044,"7","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"17","17","sp|A0FGR8|ESYT2_HUMAN",23.6261105366444,"8","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"18","18","sp|A0FGR8|ESYT2_HUMAN",23.247357601209,"9","SP=Yeast;CT=Mixture;QY=4",2,54,6,0.333333333333333,FALSE,3
"19","1","sp|A0JNW5|UH1BL_HUMAN",22.5011083294365,"1","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"20","2","sp|A0JNW5|UH1BL_HUMAN",22.6088189621829,"2","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"21","3","sp|A0JNW5|UH1BL_HUMAN",22.7449448695744,"3","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"22","4","sp|A0JNW5|UH1BL_HUMAN",22.6498152655698,"4","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"23","5","sp|A0JNW5|UH1BL_HUMAN",22.8817389168706,"5","SP=Yeast;CT=Mixture;QY=1",1,36,5,0.166666666666667,FALSE,1
"24","6","sp|A0JNW5|UH1BL_HUMAN",22.4940082926807,"6","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"25","7","sp|A0JNW5|UH1BL_HUMAN",22.3052034622279,"13","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
"26","8","sp|A0JNW5|UH1BL_HUMAN",22.8309443152304,"14","SP=Yeast;CT=Mixture;QY=10",3,36,3,0.5,TRUE,3
"27","9","sp|A0JNW5|UH1BL_HUMAN",21.7669242400763,"15","SP=Yeast;CT=Mixture;QY=10",3,36,1,0.833333333333333,TRUE,5
