"","RUN","Protein","LogIntensities","originalRUN","GROUP","SUBJECT","TotalGroupMeasurements","NumMeasuredFeature","MissingPercentage","more50missing","NumImputedFeature"
"1","1","sp|A0FGR8|ESYT2_HUMAN",22.4505022805038,"1","SP=Yeast;CT=Mixture;QY=1",1,54,2,0.777777777777778,TRUE,7
"2","2","sp|A0FGR8|ESYT2_HUMAN",23.6538640043567,"2","SP=Yeast;CT=Mixture;QY=1",1,54,6,0.333333333333333,FALSE,3
"3","3","sp|A0FGR8|ESYT2_HUMAN",23.7241480684376,"3","SP=Yeast;CT=Mixture;QY=1",1,54,8,0.111111111111111,FALSE,1
"4","4","sp|A0FGR8|ESYT2_HUMAN",22.8419757281209,"4","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"5","5","sp|A0FGR8|ESYT2_HUMAN",23.0362384867053,"5","SP=Yeast;CT=Mixture;QY=1",1,54,4,0.555555555555556,TRUE,5
"6","6","sp|A0FGR8|ESYT2_HUMAN",23.3989915377128,"6","SP=Yeast;CT=Mixture;QY=1",1,54,5,0.444444444444444,FALSE,4
"7","7","sp|A0FGR8|ESYT2_HUMAN",21.8744803742401,"13","SP=Yeast;CT=Mixture;QY=10",3,54,1,0.888888888888889,TRUE,8
"8","8","sp|A0FGR8|ESYT2_HUMAN",21.7903786009625,"14","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"9","9","sp|A0FGR8|ESYT2_HUMAN",22.4642791653853,"15","SP=Yeast;CT=Mixture;QY=10",3,54,2,0.777777777777778,TRUE,7
"10","10","sp|A0FGR8|ESYT2_HUMAN",22.4427584702013,"16","SP=Yeast;CT=Mixture;QY=10",3,54,3,0.666666666666667,TRUE,6
"11","11","sp|A0FGR8|ESYT2_HUMAN",22.7125731417611,"17","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"12","12","sp|A0FGR8|ESYT2_HUMAN",22.8932497865306,"18","SP=Yeast;CT=Mixture;QY=10",3,54,4,0.555555555555556,TRUE,5
"13","13","sp|A0FGR8|ESYT2_HUMAN",22.4504604115896,"10","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"14","14","sp|A0FGR8|ESYT2_HUMAN",22.5534502799827,"11","SP=Yeast;CT=Mixture;QY=4",2,54,3,0.666666666666667,TRUE,6
"15","15","sp|A0FGR8|ESYT2_HUMAN",22.7693915359015,"12","SP=Yeast;CT=Mixture;QY=4",2,54,4,0.555555555555556,TRUE,5
"16","16","sp|A0FGR8|ESYT2_HUMAN",23.5456225472644,"7","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"17","17","sp|A0FGR8|ESYT2_HUMAN",23.6286942740391,"8","SP=Yeast;CT=Mixture;QY=4",2,54,7,0.222222222222222,FALSE,2
"18","18","sp|A0FGR8|ESYT2_HUMAN",23.2761038369909,"9","SP=Yeast;CT=Mixture;QY=4",2,54,6,0.333333333333333,FALSE,3
"19","1","sp|A0JNW5|UH1BL_HUMAN",23.0424914340425,"1","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"20","2","sp|A0JNW5|UH1BL_HUMAN",22.9673982711925,"2","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"21","3","sp|A0JNW5|UH1BL_HUMAN",23.0360097276159,"3","SP=Yeast;CT=Mixture;QY=1",1,36,4,0.333333333333333,FALSE,2
"22","4","sp|A0JNW5|UH1BL_HUMAN",22.8814362933852,"4","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"23","5","sp|A0JNW5|UH1BL_HUMAN",23.0415598380601,"5","SP=Yeast;CT=Mixture;QY=1",1,36,5,0.166666666666667,FALSE,1
"24","6","sp|A0JNW5|UH1BL_HUMAN",22.6776959947129,"6","SP=Yeast;CT=Mixture;QY=1",1,36,3,0.5,TRUE,3
"25","7","sp|A0JNW5|UH1BL_HUMAN",22.2226463417805,"13","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
"26","8","sp|A0JNW5|UH1BL_HUMAN",22.7021634018031,"14","SP=Yeast;CT=Mixture;QY=10",3,36,3,0.5,TRUE,3
"27","9","sp|A0JNW5|UH1BL_HUMAN",21.6856025287233,"15","SP=Yeast;CT=Mixture;QY=10",3,36,1,0.833333333333333,TRUE,5
"28","10","sp|A0JNW5|UH1BL_HUMAN",21.704549650516,"16","SP=Yeast;CT=Mixture;QY=10",3,36,1,0.833333333333333,TRUE,5
"29","11","sp|A0JNW5|UH1BL_HUMAN",22.1588915017163,"17","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
"30","12","sp|A0JNW5|UH1BL_HUMAN",22.5758026487005,"18","SP=Yeast;CT=Mixture;QY=10",3,36,2,0.666666666666667,TRUE,4
"31","13","sp|A0JNW5|UH1BL_HUMAN",22.9870710122429,"10","SP=Yeast;CT=Mixture;QY=4",2,36,5,0.166666666666667,FALSE,1
"32","14","sp|A0JNW5|UH1BL_HUMAN",22.7747731735417,"11","SP=Yeast;CT=Mixture;QY=4",2,36,3,0.5,TRUE,3
"33","15","sp|A0JNW5|UH1BL_HUMAN",22.9718614988135,"12","SP=Yeast;CT=Mixture;QY=4",2,36,4,0.333333333333333,FALSE,2
"34","16","sp|A0JNW5|UH1BL_HUMAN",22.9123757714147,"7","SP=Yeast;CT=Mixture;QY=4",2,36,4,0.333333333333333,FALSE,2
"35","17","sp|A0JNW5|UH1BL_HUMAN",23.0317162113631,"8","SP=Yeast;CT=Mixture;QY=4",2,36,4,0.333333333333333,FALSE,2
"36","18","sp|A0JNW5|UH1BL_HUMAN",22.9829829877288,"9","SP=Yeast;CT=Mixture;QY=4",2,36,4,0.333333333333333,FALSE,2
"37","1","sp|A0MZ66|SHOT1_HUMAN",24.7232103803778,"1","SP=Yeast;CT=Mixture;QY=1",1,48,6,0.25,FALSE,2
"38","2","sp|A0MZ66|SHOT1_HUMAN",24.9704267535613,"2","SP=Yeast;CT=Mixture;QY=1",1,48,7,0.125,FALSE,1
"39","3","sp|A0MZ66|SHOT1_HUMAN",24.8177057930044,"3","SP=Yeast;CT=Mixture;QY=1",1,48,7,0.125,FALSE,1
"40","4","sp|A0MZ66|SHOT1_HUMAN",24.7706328104989,"4","SP=Yeast;CT=Mixture;QY=1",1,48,7,0.125,FALSE,1
"41","5","sp|A0MZ66|SHOT1_HUMAN",24.6875814365584,"5","SP=Yeast;CT=Mixture;QY=1",1,48,7,0.125,FALSE,1
"42","6","sp|A0MZ66|SHOT1_HUMAN",24.7628656488744,"6","SP=Yeast;CT=Mixture;QY=1",1,48,7,0.125,FALSE,1
"43","7","sp|A0MZ66|SHOT1_HUMAN",24.2153404743727,"13","SP=Yeast;CT=Mixture;QY=10",3,48,8,0,FALSE,0
"44","8","sp|A0MZ66|SHOT1_HUMAN",24.2174040947885,"14","SP=Yeast;CT=Mixture;QY=10",3,48,7,0.125,FALSE,1
"45","9","sp|A0MZ66|SHOT1_HUMAN",24.1520144083881,"15","SP=Yeast;CT=Mixture;QY=10",3,48,8,0,FALSE,0
"46","10","sp|A0MZ66|SHOT1_HUMAN",24.2579795638003,"16","SP=Yeast;CT=Mixture;QY=10",3,48,5,0.375,FALSE,3
"47","11","sp|A0MZ66|SHOT1_HUMAN",24.1992723638188,"17","SP=Yeast;CT=Mixture;QY=10",3,48,6,0.25,FALSE,2
"48","12","sp|A0MZ66|SHOT1_HUMAN",23.9936592202331,"18","SP=Yeast;CT=Mixture;QY=10",3,48,7,0.125,FALSE,1
"49","13","sp|A0MZ66|SHOT1_HUMAN",24.505348252696,"10","SP=Yeast;CT=Mixture;QY=4",2,48,8,0,FALSE,0
"50","14","sp|A0MZ66|SHOT1_HUMAN",24.5412523222049,"11","SP=Yeast;CT=Mixture;QY=4",2,48,8,0,FALSE,0
