"","1_1","1_2","1_3","1_4","1_5","1_6","10_1","10_2","10_3","10_4","10_5","10_6","4_1","4_2","4_3","4_4","4_5","4_6"
"sp|A0FGR8|ESYT2_HUMAN",38690032.7513913,58864503.2785399,68852567.5406607,33155843.3738919,74909594.5833496,81742309.1669549,8568282.14989212,7156406.95185043,18768460.959341,15315088.1494054,36830898.9522753,25227825.934036,59651227.5687591,59955118.6478246,52566843.7694463,35386260.7809552,42545083.0053358,54442327.6241873
"sp|A0JNW5|UH1BL_HUMAN",39761905.799051,28476494.1319833,34112536.153625,29556861.618179,27891772.2607362,28387660.501963,9083661.69990409,13437986.1417251,9494846.19997135,10313495.0233257,9599893.35879532,8184613.2487739,21438233.1775604,25595047.9948442,22606867.4524141,21842093.4105437,23884916.2003386,23413864.2507566
"sp|A0MZ66|SHOT1_HUMAN",102031629.662713,107744262.213125,105065165.376088,98212393.9746774,97487290.8418348,99190770.6159289,68570729.5189744,70497213.9004055,64936724.9920777,61520985.513339,61179588.0248599,65106058.1751738,81064236.0307298,82278502.7670526,83081282.1123805,83948849.7590348,86802535.744334,79620245.0350385
"sp|A1L390|PKHG3_HUMAN",41983069.8761964,30006607.7932686,27894625.5823295,25088437.0024203,27234826.6059736,34362263.5841826,18121846.5502993,48340353.268511,45513274.8242776,46597056.866676,43393698.1667137,22788612.492044,17889113.9019012,20326678.0876913,16969472.8352993,14029535.0368604,19845912.1063732,14822839.5132147
"sp|A6NHT5|HMX3_HUMAN",NA,2764860.60242319,28914970.4103481,NA,NA,37404155.6431367,21303076.9202103,49645816.8817578,15879136.4023369,23496070.4100284,45066509.5037365,22674691.1721267,29301810.7091718,59300698.1376467,6327971.93489014,23818161.0935034,27661257.6571476,37585958.5921023
"sp|A7KAX9|RHG32_HUMAN",48705268.2807555,114987854.332847,106138411.200704,55042378.99528,92638498.1002081,52832901.7466782,63818688.3921288,63334990.0842232,59341317.5359282,69608233.3101644,66506218.8882375,66508483.7478214,85549919.0713552,47933992.5813645,82756303.5251816,85486388.657857,84275531.0430317,94422854.1131706
"sp|O00148|DX39A_HUMAN",11316744.0316216,13482153.8739046,NA,NA,23455414.9134446,NA,NA,NA,NA,NA,986223.5,NA,NA,NA,5472555.70264224,12390745.2345887,NA,NA
"sp|O00193|SMAP_HUMAN",214921140.865868,1592667991.9801,1677968747.88562,580376077.446282,1769715283.79644,1953773402.32064,497066182.510843,1512658655.3839,1422361757.84079,1522668178.21472,444789990.038143,1455941937.22303,1548284283.6201,1613750644.90229,1470200467.14351,1489609943.86142,1549297391.05441,1493803703.28666
"sp|O00203|AP3B1_HUMAN",632823776.719676,536297238.585015,498827506.302484,494892420.803113,475957364.331325,500374898.128705,460096105.691988,472481395.078192,444257983.1234,462957933.450458,452671940.889749,448018092.763708,477541220.45568,487150501.407503,460743157.79095,476660693.196207,488268936.059629,467716037.741364
"sp|O00232|PSD12_HUMAN",27320161.7133885,161318896.701701,17304068.7284435,14197164.0551059,10596331.2871586,10888188.2968545,NA,8253035.9528115,NA,10368006.5932385,NA,NA,NA,16019220.7883265,NA,12257501.8658118,6459824.84876534,10636224.9450033
"sp|O00257|CBX4_HUMAN",36342975.1181417,23458967.6985644,29567416.5901826,27661106.5735255,29368778.1499367,28591463.1289338,43487195.6758946,44396417.163178,14409174.5655921,52051644.3143532,51753573.3429233,60594513.4482653,21620114.5829348,23912412.6661261,22425677.9813091,21656976.8418972,24583805.6175184,23529086.5356113
"sp|O00264|PGRC1_HUMAN",6673327874.14594,6875231313.04644,233506873.366772,6114701264.10519,6114701264.10519,6150510311.19816,4967274109.3651,5255474428.92748,4410041123.36584,4216615396.57174,4158263366.85919,3940851081.30502,6481647389.66733,5290403888.44917,5288240347.2997,4720077148.99216,5275204655.38893,5277383775.54368
"sp|O00299|CLIC1_HUMAN",83561345.5520325,76247016.7618668,74669934.4902333,65940768.3725853,69258521.0419859,102773667.002522,82707897.4097576,71518579.0852908,71487652.7854948,72503978.2111079,74007259.5513071,81828567.6961165,99311810.8924127,92343715.3162914,104431733.040404,91215629.5824625,107234449.503398,100490149.444321
"sp|O00410|IPO5_HUMAN",192960494.670083,41794285.6423038,119003690.003072,101308339.364705,101716302.199939,88080587.7625356,30714115.8570939,60289736.4747072,10450201.1960789,22449032.1002963,10728393.6895907,11592012.6109673,73538587.5973335,22267658.4660875,58356573.5204884,39146368.3291559,59741511.9925392,58420707.9775848
"sp|O00429|DNM1L_HUMAN",772444602.690985,230902042.556896,239535438.717838,421842972.726375,185872226.094079,213613160.493046,1307754795.275,1336009698.88861,1256991424.47453,696479924.662962,670297873.726755,1382373752.42452,168341026.48973,408224849.194138,187642020.209606,578888361.964136,412931919.318229,164268741.742071
"sp|O00443|P3C2A_HUMAN",50087692.8843036,44124637.3286092,38286728.850467,37987855.3396058,38803267.4063824,37774218.4374538,19187555.0887245,17618925.9510372,16402065.5001447,18796492.1716804,23523260.8026961,18105939.3828784,27894148.0162312,31408435.334292,30597046.3868181,30424514.4502694,30791651.0842897,28722983.4509826
"sp|O00499|BIN1_HUMAN",272994264.835283,471745529.298219,531497035.481098,548368564.552098,575145416.705317,402726064.743873,397403518.759883,394217131.994931,317193718.702142,434801876.163474,220994795.047121,410730181.377453,524770033.022702,426262680.756412,556192519.084138,473815512.425314,445640485.750665,561405371.245044
"sp|O00505|IMA4_HUMAN",13063987.6641594,455351641.59996,814726810.968176,781543357.170593,895992394.918819,911667233.229694,1019640829.64269,680517573.525964,645671207.900958,998940077.690202,966066448.441168,990699753.269093,730989087.045836,744553378.266676,733578629.473711,963751695.452736,708449597.154883,181298889.279448
