"","logFC","se","df","t","pval","adjPval"
"sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-1.45340139919899,0.316203749269545,16.7827739425262,-4.59640786219792,0.000265160637131,0.000495069985546424
"sp|A0JNW5|UH1BL_HUMAN",0.158604235626506,0.16123766221323,13.4068685482946,0.983667422669271,0.342698647963845,0.372745290259749
"sp|A0MZ66|SHOT1_HUMAN",-0.601206019569214,0.11017529181212,16.8498946801033,-5.45681349856952,4.39719272455825e-05,9.66430251371906e-05
"sp|A1L390|PKHG3_HUMAN",0.0638414093864214,0.117144364181559,16.9058048640039,0.544980629947125,0.592884308285472,0.620389250422427
"sp|A2A2Y4|FRMD3_HUMAN",-1.21643107475789,0.190823952333815,15.8847903542194,-6.37462467305963,9.53114920444647e-06,2.51572768008617e-05
"sp|A2RU67|F234B_HUMAN",-1.2341029571817,0.172967198912312,14.6136075361328,-7.13489589322279,3.96687401159192e-06,1.16860549708242e-05
"sp|A3KN83|SBNO1_HUMAN",-0.0688603647929167,0.166155125972861,14.7647987911789,-0.414434188471344,0.684514501142535,0.705362658537739
"sp|A6H8Y1|BDP1_HUMAN",-0.446627704729187,0.117312252857573,16.9621779037774,-3.80717012801238,0.00141361759189337,0.00230241289766441
"sp|A6ND36|FA83G_HUMAN",-0.185490333464952,0.174802947075776,15.6187610001989,-1.06113962360453,0.304760293352257,0.335566930500784
"sp|A6NFI3|ZN316_HUMAN",1.01837783405189,0.442603952863428,16.448018899568,2.30087830771391,0.0347868247090485,0.0447201954952823
"sp|A6NHT5|HMX3_HUMAN",1.10872881641478,0.589331100874356,13.0943886683502,1.88133430387405,0.0823453766123526,0.0995545349081664
"sp|A7KAX9|RHG32_HUMAN",2.61161910496261,0.386318663200858,7.6066247090043,6.76027164549581,0.000180793693709171,0.000347728094791197
"sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",-0.469419545446445,0.205608762276573,16.9958262020139,-2.28307169523742,0.0355709146057701,0.0456231202267
"sp|O00159|MYO1C_HUMAN",-0.607983393545469,0.133216996748983,17.3461858519712,-4.56385752856351,0.000262600282071482,0.000491522573231869
"sp|O00178|GTPB1_HUMAN",-0.896459937240077,0.155582184008146,11.4474614073688,-5.76197038854489,0.00010804763800302,0.000218740141124881
"sp|O00193|SMAP_HUMAN",-0.600619942126478,0.272075196878722,16.3925493806328,-2.20755125427404,0.0418493880456927,0.0530060598446012
"sp|O00203|AP3B1_HUMAN",-0.250236284642205,0.0649535588519899,16.9253362069782,-3.85254155530446,0.00128562172908782,0.00210640878342212
"sp|O00231|PSD11_HUMAN",-0.293779465346664,0.449638282835339,10.4716370699956,-0.653368444284022,0.52760402667337,0.557567341013552
"sp|O00232|PSD12_HUMAN",1.74955041194316,1.00488705176118,13.5295865502822,1.74104185030236,0.104354807446027,0.12454531535381
"sp|O00257|CBX4_HUMAN",-0.406358889921403,0.128311059019469,14.3063427778768,-3.16698258923843,0.0067017403451345,0.00959909313065127
"sp|O00264|PGRC1_HUMAN",-0.362723006256929,0.0803682113520382,16.766061925948,-4.5132646372841,0.000316980461918244,0.000582086654164012
"sp|O00267|SPT5H_HUMAN",-1.81574750874405,0.299586160380508,12.7562350682153,-6.0608524320277,4.36659506852998e-05,9.62547560516037e-05
"sp|O00299|CLIC1_HUMAN",-0.109475237335773,0.154062806700809,17.2397873762658,-0.710588361202419,0.486842010073103,0.517675337377733
"sp|O00400|ACATN_HUMAN",-0.488853877179349,0.190401338585262,13.2822735557239,-2.5674918086799,0.0230880675832283,0.0302912191030252
"sp|O00401|WASL_HUMAN",-0.468319663195111,0.18036474962413,16.7765959573115,-2.59651436420399,0.018955797434418,0.025210420292469
