"","logFC","se","df","t","pval","adjPval"
"sp|A0JNW5|UH1BL_HUMAN",-0.576184298222755,0.0592054376864464,16.4547770624963,-9.73194896850932,3.10378523285118e-08,8.7798512806501e-08
"sp|A0MZ66|SHOT1_HUMAN",-0.5918775687845,0.0448692643975122,16.6062027433841,-13.1911582846746,3.18093279078992e-10,1.72975568840781e-09
"sp|A1L390|PKHG3_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",-0.414433324995702,0.121118111585689,16.422901713924,-3.42172875361004,0.00338772698668464,0.00429848547368464
"sp|A6ND36|FA83G_HUMAN",-0.627941610550579,0.109103894747086,15.9198366346794,-5.75544632944784,3.01083056022891e-05,4.72821911296934e-05
"sp|A6NI28|RHG42_HUMAN",-0.76955968494277,0.127992117675395,15.9987907261234,-6.01255529574468,1.80937789672638e-05,2.93625643852446e-05
"sp|A7E2V4|ZSWM8_HUMAN",-4.13885521727224,0.33208986052527,12.3307505599217,-12.463058073275,2.36483222576085e-08,6.90136871217874e-08
"sp|A7KAX9|RHG32_HUMAN",-0.501554082481357,0.0542703805224562,16.6905000730593,-9.2417646173279,5.68183514741546e-08,1.50512758594924e-07
"sp|O00159|MYO1C_HUMAN",-0.135554435207933,0.0956401976345424,14.8720927926234,-1.41733746437779,0.176993435811893,0.191305867967053
"sp|O00161|SNP23_HUMAN",-0.400221904249707,0.0339524589047927,14.5894495673488,-11.7877148565876,7.49754761370477e-09,2.57921529893852e-08
"sp|O00178|GTPB1_HUMAN",-0.376269629008078,0.0561191651785682,14.6346907322085,-6.70483297124624,7.99567449927212e-06,1.36722910627202e-05
"sp|O00203|AP3B1_HUMAN",-0.358591470597269,0.051086414723221,16.1016781071199,-7.01931173953128,2.79573109621345e-06,5.17476231445006e-06
