"","logFC","se","df","t","pval","adjPval"
"sp|A0JNW5|UH1BL_HUMAN",-0.603643741334887,0.0605423329942517,16.4704525438334,-9.97060587989236,2.18087027186512e-08,7.60697977297974e-08
"sp|A0MZ66|SHOT1_HUMAN",-0.574675240612758,0.0450001512006308,16.1980531001743,-12.7705179933863,7.12369398821842e-10,4.31612047521469e-09
"sp|A1L390|PKHG3_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",-0.42346924024949,0.122032821148881,16.4657309908149,-3.47012579290333,0.00304529356830677,0.00392163388526439
"sp|A6ND36|FA83G_HUMAN",-0.649078576782761,0.115825677084502,15.9095603338963,-5.60392646191238,4.04092575796557e-05,6.48548212850387e-05
"sp|A6NI28|RHG42_HUMAN",-0.795656652401911,0.130951748034332,16.146117421649,-6.07595289368195,1.54329105821697e-05,2.61851031292434e-05
"sp|A7E2V4|ZSWM8_HUMAN",-4.09994217671876,0.328754006340975,12.3946096453017,-12.4711550205913,2.21940690843613e-08,7.71067757276125e-08
"sp|A7KAX9|RHG32_HUMAN",-0.507298458127137,0.055714192212138,16.2326869402375,-9.10537222177684,8.83111622766891e-08,2.50620494564802e-07
"sp|O00159|MYO1C_HUMAN",-0.162485259570766,0.0926614846262458,14.7476166195736,-1.7535361129401,0.100262200777241,0.111892360459496
"sp|O00161|SNP23_HUMAN",-0.352332747883921,0.0334894284222233,14.6749058722257,-10.5207154759953,3.1581947520691e-08,1.03171623337183e-07
"sp|O00178|GTPB1_HUMAN",-0.393309711169108,0.0580291465954509,14.9433828655073,-6.77779588783304,6.34707340672876e-06,1.1540732642972e-05
"sp|O00203|AP3B1_HUMAN",-0.262381203234384,0.0569070175224334,14.7273589936506,-4.61070030828711,0.000355685989359704,0.000506758476296861
"sp|O00232|PSD12_HUMAN",-0.554795899343778,0.223451017511993,9.02996801314214,-2.48285241893786,0.0347462525161226,0.0402918464607488
"sp|O00257|CBX4_HUMAN",-0.559975028594942,0.0573533647193286,15.9657069147349,-9.76359506256177,3.90312903205558e-08,1.24714944071703e-07
"sp|O00264|PGRC1_HUMAN",-0.0249190684607978,0.0405797214236976,16.1926652340706,-0.614076873535305,0.547695807796662,0.566459160928503
"sp|O00299|CLIC1_HUMAN",-0.241316925929942,0.0664518675328839,15.5569166421566,-3.6314543878022,0.00233616565412585,0.0030323395555036
"sp|O00401|WASL_HUMAN",0.0331530039258326,0.0988450775935402,14.2901838122437,0.33540369164523,0.742193744464856,0.756010032901666
"sp|O00429|DNM1L_HUMAN",-1.02145227946459,0.181934028999642,13.0311736664534,-5.61441026223082,8.34332833303511e-05,0.000129170361725415
"sp|O00443|P3C2A_HUMAN",-0.520045749334072,0.0751490783614016,15.5174961568251,-6.9201879873111,4.071367495105e-06,7.68207379733713e-06
"sp|O00499|BIN1_HUMAN",-0.511475217447944,0.0544285864628313,14.1277262462307,-9.39717987710787,1.86063805046865e-07,4.81949293841807e-07
"sp|O00505|IMA4_HUMAN",-0.0394773247722774,0.178865995080623,14.2253039148545,-0.220708943332035,0.828455438407153,0.838027424986092
"sp|O00512|BCL9_HUMAN",-0.880258090703092,0.0963332779019911,16.2390769395959,-9.13763249703453,8.38508063910476e-08,2.4108827913091e-07
"sp|O00571|DDX3X_HUMAN",-1.48847891806283,0.253700342126706,16.1288549290453,-5.86707493409465,2.30785950176525e-05,3.80156348785602e-05
"sp|O00712|NFIB_HUMAN",0.384610523851301,0.223967817263819,10.3654999851596,1.71725799067933,0.115613320027317,0.127883084881763
"sp|O13297|CET1_YEAST",NA,NA,NA,NA,NA,NA
"sp|O13563|RPN13_YEAST",NA,NA,NA,NA,NA,NA
"sp|O14497|ARI1A_HUMAN",-1.1711736654296,0.171688190692522,12.765334421721,-6.82151556671165,1.34273803276329e-05,2.30503362291032e-05
"sp|O14523|C2C2L_HUMAN",1.25626312942889,0.211477219219214,11.4227085288933,5.94041823543494,8.33890064134809e-05,0.000129170361725415
"sp|O14544|SOCS6_HUMAN",-0.30190739783275,0.074283223000294,15.0256289797717,-4.06427434942552,0.00101410773360748,0.00137014092711937
"sp|O14578|CTRO_HUMAN",-0.474911994494039,0.0557317664765567,15.9717505616041,-8.52138779225324,2.45402856290777e-07,6.08640795134773e-07
"sp|O14617|AP3D1_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O14646|CHD1_HUMAN",-0.101836382690586,0.0994610338901917,14.4257548275627,-1.02388220499514,0.322754964902436,0.342096818126008
"sp|O14647|CHD2_HUMAN",-0.398032076220989,0.0975026487024727,13.0074643620094,-4.08226936927197,0.00129402050002834,0.00170877066029384
"sp|O14672|ADA10_HUMAN",-0.534110034704555,0.134338641606197,16.351424705433,-3.97584811278839,0.00104523328401649,0.0014078488310099
"sp|O14686|KMT2D_HUMAN",-0.440538300230753,0.0439842759640894,15.7323620699499,-10.0158133918227,3.14680670880877e-08,1.03171623337183e-07
"sp|O14737|PDCD5_HUMAN",-0.136561003363401,0.0462789732342555,16.6470275701876,-2.95082180566442,0.00909557290814606,0.0111529048754648
"sp|O14874|BCKD_HUMAN",-2.29777180639113,0.103575021398655,9.95510072560419,-22.1846133880786,8.31947783415913e-10,4.88839117033981e-09
"sp|O14929|HAT1_HUMAN",-0.354204975816106,0.108422172378952,13.8571291957933,-3.26690535749557,0.00568692605100105,0.00712289521838544
"sp|O14974|MYPT1_HUMAN",-0.0618893537119704,0.121089847493603,12.5274980922223,-0.511102747199678,0.618167050183458,0.63521743243617
"sp|O14980|XPO1_HUMAN",3.52629018715008,1.38199768244655,9.18243529201622,2.551589074236,0.0306470581571691,0.0357991986879273
"sp|O15014|ZN609_HUMAN",-0.400832993168187,0.0347430282911287,16.5476722897024,-11.5370770161257,2.48855916425109e-09,1.21389100155923e-08
"sp|O15027|SC16A_HUMAN",-0.380002944167285,0.157026998081279,15.763069274471,-2.41998477211284,0.0279905675167892,0.0328055446599049
"sp|O15042|SR140_HUMAN",-0.156159351717457,0.0541924287225097,16.1181572347681,-2.88157138180805,0.0107864401648091,0.0130706274938275
"sp|O15061|SYNEM_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O15075|DCLK1_HUMAN",-0.389865096216309,0.0540825600402742,16.9909679145506,-7.20870269317842,1.46684415329717e-06,3.03957883127023e-06
"sp|O15144|ARPC2_HUMAN",0.569998369764574,0.403856438397998,14.7614206898749,1.4113885915144,0.178859518678893,0.194523613171889
"sp|O15164|TIF1A_HUMAN",-0.773250331767087,0.0833188861962212,16.174024634886,-9.28061292065324,7.00663939036727e-08,2.06890819098366e-07
"sp|O15169|AXIN1_HUMAN",-1.72852258012465,0.0951212445757661,12.8154243461988,-18.1717826320896,1.58164732384212e-10,1.20937312840504e-09
"sp|O15234|CASC3_HUMAN",-0.375857392365066,0.0341884121925876,16.6458090167726,-10.9937071732906,4.75719611219293e-09,2.08246259811246e-08
"sp|O15347|HMGB3_HUMAN",-0.827470405850863,0.446594731468123,13.8205164306814,-1.85284408333851,0.0853766438722575,0.0961379443217511
"sp|O15355|PPM1G_HUMAN",-0.16662439377677,0.288597394148815,12.0266225481355,-0.577359314931479,0.574346433328601,0.592622630971349
