"","logFC","se","df","t","pval","adjPval"
"sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-0.761509686550591,0.309687126768999,16.7396983024792,-2.45896461533777,0.0251403938198361,0.0545041757386209
"sp|A0JNW5|UH1BL_HUMAN",-0.0408266115778403,0.104372403803566,13.3581322825107,-0.391162894501097,0.701844790694519,0.777025571993567
"sp|A0MZ66|SHOT1_HUMAN",-0.262481328460948,0.112160274144035,17.2158778430552,-2.34023436964742,0.0315598052497442,0.0657103407811837
"sp|A1L390|PKHG3_HUMAN",-0.991770161091479,0.112938500289415,17.1500933918147,-8.7815063822344,9.35219558917252e-08,8.25063263044786e-07
"sp|A2A2Y4|FRMD3_HUMAN",-0.471271851020801,0.16018236232003,15.3300463554732,-2.94209577256229,0.00991109754540641,0.0253687726162238
"sp|A2RU67|F234B_HUMAN",0.36869686083755,0.173452160901557,15.066321126928,2.12564005499364,0.05047437966089,0.0976246233995723
"sp|A3KN83|SBNO1_HUMAN",0.211682681455345,0.162672157514706,15.1494069657231,1.30128403464624,0.212604611314768,0.306206654945276
"sp|A6H8Y1|BDP1_HUMAN",-0.218822993252798,0.107946975217502,17.124239821734,-2.0271340888607,0.0585082758537932,0.109280729460809
"sp|A6ND36|FA83G_HUMAN",-0.442929806088632,0.150843288717244,15.6910834263338,-2.93635739352583,0.00983701132720165,0.0252370221635794
"sp|A6NFI3|ZN316_HUMAN",1.11441581793091,0.442821582009565,16.4227900258413,2.51662489636027,0.0225808697089121,0.0501984179553925
"sp|A6NHT5|HMX3_HUMAN",-0.0430350621670297,0.595321825687494,13.1071056055136,-0.0722887357898086,0.943463593628011,0.960132379605826
"sp|A7KAX9|RHG32_HUMAN",-0.66258144247861,0.552188127768583,8.06166879769577,-1.19991975408115,0.264243244052351,0.365239150220516
"sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",0.49753044694881,0.216716926220317,17.0563040138683,2.29576182915687,0.034633758495527,0.0711155004250379
"sp|O00159|MYO1C_HUMAN",-0.576827788000234,0.134761221861832,17.581423866272,-4.28036923404897,0.000472283382025024,0.00187882302940641
"sp|O00178|GTPB1_HUMAN",-0.435642011102212,0.196103556098709,11.7289457885092,-2.2214896035997,0.0468024169997001,0.0915896662386086
"sp|O00193|SMAP_HUMAN",-0.216708997461269,0.285381872359782,16.1665246653928,-0.759364971815952,0.458564579988068,0.560830763031982
"sp|O00203|AP3B1_HUMAN",-0.155864294178164,0.0657165893600124,17.107029897435,-2.37176481153487,0.0296956462848486,0.0628848980149735
"sp|O00231|PSD11_HUMAN",0.51180293237002,0.356583580512171,10.4135741850111,1.4352958474277,0.180549656521355,0.267943373241799
