"","logFC","se","df","t","pval","adjPval"
"sp|A0FGR8|ESYT2_HUMAN",0.0509671424698837,0.458271540921865,15.2734675821834,0.111216032240094,0.912893408204616,0.952046850091496
"sp|A0JNW5|UH1BL_HUMAN",0.121596941895342,0.0525045546406808,16.1262714925806,2.31593130781702,0.0340444084564393,0.0902266991333665
"sp|A0MZ66|SHOT1_HUMAN",-0.00666436654407027,0.0678061630309466,16.317217473221,-0.0982855576273894,0.922902809280667,0.95765169282996
"sp|A1L390|PKHG3_HUMAN",-0.455693908875593,0.131995728677011,16.0735706053914,-3.45233829490543,0.00325875069983197,0.0125461901943531
"sp|A1X283|SPD2B_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",-0.0260842846553069,0.0990318914901275,15.7678659707301,-0.263392774416585,0.79565884484774,0.876627768501136
"sp|A6ND36|FA83G_HUMAN",0.0327089402407505,0.0983957400979152,15.3850452438607,0.33242232039925,0.744056513845069,0.839653418164196
"sp|A6NI28|RHG42_HUMAN",0.132927890386865,0.154270385810667,16.0049398776789,0.861655266422975,0.401602925881466,0.564652268374163
"sp|A7E2V4|ZSWM8_HUMAN",0.402028525686532,0.263732702517745,12.1712713712626,1.52437874351013,0.152968199118768,0.290350484769395
"sp|A7KAX9|RHG32_HUMAN",0.0978056535191062,0.0523536933080928,16.5254764567686,1.86817103701808,0.07957356854468,0.177598979070735
"sp|O00159|MYO1C_HUMAN",0.0147908210314543,0.111537819441142,14.7321994723011,0.132608124361435,0.896297565173978,0.938552754103304
"sp|O00161|SNP23_HUMAN",0.0996340163995495,0.05473259843781,14.0699809761477,1.82037796931492,0.0900347623978681,0.195411536258413
"sp|O00178|GTPB1_HUMAN",-0.382240495945065,0.381375684827618,11.748165225126,-1.00226760947761,0.336411629811134,0.506261149748352
"sp|O00193|SMAP_HUMAN",0.212184059456058,0.180477540437958,13.1456726987507,1.17568124510761,0.260576393418719,0.427508145452587
"sp|O00203|AP3B1_HUMAN",0.202329886064104,0.0544097014090729,16.0126842681471,3.71863621420951,0.00186519959052005,0.00779134006166604
"sp|O00232|PSD12_HUMAN",0.347919817836115,0.275003666242505,9.64219186290456,1.26514610728611,0.235537619581265,0.397727997977135
"sp|O00257|CBX4_HUMAN",0.153405827663958,0.0683216323313065,16.023949128363,2.2453478119501,0.0392054757795222,0.101529875617373
"sp|O00264|PGRC1_HUMAN",0.302662387553329,0.0827462067868599,13.014882003222,3.65771917899434,0.00288924759642053,0.0112929982195117
"sp|O00299|CLIC1_HUMAN",0.554094206907235,0.131539409364896,16.1889995058338,4.21238174614389,0.00064572483724801,0.00298388791503391
"sp|O00401|WASL_HUMAN",-0.398133154202786,0.141079702717526,15.0618851707841,-2.82204418164915,0.0128338119634638,0.0403897896942798
"sp|O00410|IPO5_HUMAN",-0.409713340925907,0.355729855991997,16.1862617964449,-1.15175415845648,0.266150911913857,0.433268926371395
"sp|O00418|EF2K_HUMAN",0.313645489344123,0.340332488110614,15.6060911823018,0.92158550917473,0.370772981094452,0.537432121836949
"sp|O00429|DNM1L_HUMAN",-0.361809200398875,0.151011270477587,16.8065089590719,-2.3959085918198,0.0285062489507786,0.0777443153203051
"sp|O00443|P3C2A_HUMAN",0.0285123187861207,0.0723171591924822,16.5789853160311,0.394267682863913,0.698408703664249,0.806258923270572
"sp|O00472|ELL2_HUMAN",0.111717521076941,0.0496016270635734,16.364138681341,2.25229549292315,0.0383628039135312,0.0997951318020912
"sp|O00499|BIN1_HUMAN",0.203959460796322,0.116180457472132,15.49770927451,1.75554017632652,0.0989080132845629,0.209601692727055
"sp|O00505|IMA4_HUMAN",0.416234541234425,0.103840347353256,15.4239202619634,4.00840859881208,0.00108325990187711,0.00469852573930778
"sp|O00512|BCL9_HUMAN",-0.103261345933901,0.0782001964940004,16.4507045639699,-1.32047425151705,0.204754255768847,0.359409065977231
"sp|O00566|MPP10_HUMAN",1.98994529912984,0.160316784602501,13.6768655937237,12.4125824009247,7.89282918595382e-09,6.9324849504005e-08
"sp|O00567|NOP56_HUMAN",0.55636448179228,0.243740410131615,15.0825928323462,2.28261075581129,0.0373740679617391,0.0978844637093167
"sp|O00571|DDX3X_HUMAN",-0.156875056707245,0.246677130882809,15.946356971915,-0.635952980909986,0.533828840041615,0.681671984796092
"sp|O00592|PODXL_HUMAN",-1.0361139740368,1.05342287611765,12.922864020855,-0.983568894815885,0.343384673814188,0.51374261432045
"sp|O00712|NFIB_HUMAN",0.577969250320689,0.191649767344339,10.3200899577151,3.01575764129286,0.0125587290007267,0.0396862708504498
"sp|O13297|CET1_YEAST",NA,NA,NA,NA,NA,NA
"sp|O13563|RPN13_YEAST",3.07796880631903,0.130808209436099,13.4037572409657,23.530394763355,2.72067604458025e-12,4.3378638521743e-11
"sp|O14497|ARI1A_HUMAN",-0.0324006807172828,0.0688771626095033,14.8106142506017,-0.470412535733757,0.644912942227332,0.767911802342854
"sp|O14523|C2C2L_HUMAN",0.327467164832959,0.178251549322666,16.8486293389373,1.83710697650199,0.0838982440471184,0.184928381439736
"sp|O14544|SOCS6_HUMAN",0.0504272563390699,0.0577163658840231,14.7330164343424,0.873708099369941,0.396295519575075,0.559991528363191
"sp|O14578|CTRO_HUMAN",0.0346430465976342,0.059846698234056,16.8151031125335,0.578863122275315,0.570355027473902,0.711403948955029
"sp|O14617|AP3D1_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O14646|CHD1_HUMAN",0.281050593828288,0.103680052780231,14.7906343933941,2.7107489463188,0.0162630455043844,0.0490439100719687
"sp|O14647|CHD2_HUMAN",0.247247962543092,0.0861171863272276,16.2964241599491,2.87106410564322,0.010932720703815,0.035075812258073
"sp|O14672|ADA10_HUMAN",0.0502284326750404,0.129636526227931,16.0599858673308,0.387455867081219,0.703505461123172,0.809311561351856
"sp|O14686|KMT2D_HUMAN",0.0654320596752069,0.0625186525717942,15.1724854206235,1.04660060611618,0.311671586003594,0.482371643135519
"sp|O14713|ITBP1_HUMAN",1.285671991662,0.769493553071863,15.9809273929551,1.67080281118604,0.11422537519,0.233918986426329
"sp|O14737|PDCD5_HUMAN",0.121449455952423,0.0660627593868039,15.8853721332047,1.83839514243304,0.0847763255460786,0.186330458621733
"sp|O14757|CHK1_HUMAN",-0.230020443499578,0.26787644078525,14.424306826734,-0.858681124869732,0.404560444323504,0.567416288031144
"sp|O14874|BCKD_HUMAN",0.395711507497412,0.254242559950841,13.9725307598221,1.55643298892965,0.14196013456518,0.275338296259921
"sp|O14917|PCD17_HUMAN",0.0690195075777998,0.126108183472434,16.1561099611378,0.547303955043382,0.591650746773574,0.729692058220478
"sp|O14929|HAT1_HUMAN",0.0622444313892279,0.0920044058123907,13.922864020855,0.676537507520592,0.509783400149793,0.660318728322047
"sp|O14974|MYPT1_HUMAN",0.00848175985097498,0.0606821311216667,16.2819816933802,0.139773598820536,0.890553292183833,0.934231655288217
"sp|O14979|HNRDL_HUMAN",-0.277564232427638,0.178210267201391,15.6343974798333,-1.55750977082577,0.139358864660223,0.271891028179997
"sp|O14980|XPO1_HUMAN",2.19425874440544,0.67178508019344,10.7838878735162,3.26631062388823,0.00770402693190752,0.0262095761600977
"sp|O15013|ARHGA_HUMAN",-0.115519162798261,0.121338835663861,13.7839933331412,-0.95203783822583,0.357474708981872,0.527646375557906
"sp|O15014|ZN609_HUMAN",0.0860747091421452,0.0557077373738873,16.4423176291159,1.54511228062356,0.141347438021055,0.274611086483295
"sp|O15027|SC16A_HUMAN",0.0236379264458575,0.158006939790796,14.5608066481356,0.149600558539736,0.883132192726514,0.929824687875226
"sp|O15042|SR140_HUMAN",0.186981629705346,0.077423750706593,15.9125486002616,2.41504225769087,0.0281390986378903,0.0771641397926337
"sp|O15047|SET1A_HUMAN",0.149474949462328,0.0706526192565234,16.922864020855,2.11563210303102,0.0495098108079162,0.121023981974906
"sp|O15061|SYNEM_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O15075|DCLK1_HUMAN",0.00793509842562973,0.0905357634712916,16.8263827514143,0.0876460099455163,0.931192664982961,0.962010311319606
"sp|O15144|ARPC2_HUMAN",0.70872195214736,0.431538908370471,14.8894812626796,1.64231298360455,0.121471317874904,0.245064405494348
"sp|O15164|TIF1A_HUMAN",-0.167132367095265,0.0514464764072875,14.330997230673,-3.24866499645427,0.00567730933239301,0.020238556416401
"sp|O15169|AXIN1_HUMAN",-0.292840208455431,0.0754479403297398,11.9022014185103,-3.88135457609039,0.0022150049397089,0.00904003782814057
"sp|O15173|PGRC2_HUMAN",0.35973484244666,0.189378114549385,13.3823522150889,1.89955868608487,0.0792581031056117,0.177237384485927
"sp|O15194|CTDSL_HUMAN",-2.39434081637199,0.103928581155254,11.8238449984907,-23.0383287230219,3.44004685156496e-11,4.27231625113712e-10
"sp|O15234|CASC3_HUMAN",0.126409122400205,0.0612738092504772,16.922864020855,2.06302046415077,0.0548016609417446,0.130911930481313
"sp|O15347|HMGB3_HUMAN",0.268042525759801,0.29166293115579,16.4668509810173,0.919014715711776,0.371354381573973,0.537823587107133
"sp|O15355|PPM1G_HUMAN",0.412753330197698,0.351101793965047,12.2977810744905,1.17559447799002,0.262015117392489,0.429258809345142
"sp|O15371|EIF3D_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O15372|EIF3H_HUMAN",0.0409887231550545,0.0518271606404669,15.7786419132955,0.790873407852683,0.440744212254076,0.598893606062892
"sp|O15417|TNC18_HUMAN",0.338949284405857,0.153112474794465,15.81464929086,2.21372742397937,0.0419021748989654,0.10676185983364
"sp|O15427|MOT4_HUMAN",0.204157619905479,0.14598530490781,16.3409810545167,1.39848062128174,0.180660325680765,0.331210597081403
"sp|O15440|MRP5_HUMAN",-0.0130096744014974,0.21960604185427,13.7429812847604,-0.05924096756013,0.953612986111721,0.976006202001806
"sp|O15446|RPA34_HUMAN",0.122380039837486,0.231072131864865,13.6583861579418,0.52961834406347,0.604879055148904,0.738902097585374
"sp|O15504|NUP42_HUMAN",0.318904095949075,0.190761004974378,14.8546532535385,1.67174678070032,0.115500171232131,0.235693812319984
"sp|O15511|ARPC5_HUMAN",0.636051931933984,0.307371039682762,8.87437294248459,2.06932940914165,0.0688754066126275,0.158468316011125
"sp|O15534|PER1_HUMAN",0.132902172625935,0.0741009074502747,16.3136336342253,1.79352962330615,0.0914451730149587,0.197683528984746
"sp|O15541|R113A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O43156|TTI1_HUMAN",0.253871698362501,0.184489828384768,15.0466821768708,1.37607422905197,0.188935287990285,0.339378316685504
"sp|O43159|RRP8_HUMAN",0.0374263424090876,0.0671958213940542,15.3446682203192,0.556974252753152,0.585577966499142,0.723748048482086
"sp|O43164|PJA2_HUMAN",0.159553832609957,0.0569629095803342,14.922864020855,2.80101269028296,0.0134838503272756,0.0420346751093206
"sp|O43166|SI1L1_HUMAN",0.0742762132626306,0.0454716081509916,14.5233074671965,1.63346352334827,0.123856367825793,0.247372409139362
"sp|O43172|PRP4_HUMAN",0.0699525278171036,0.226289665687863,9.82341199093848,0.309128247657558,0.763680759278856,0.855529851568457
"sp|O43175|SERA_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O43237|DC1L2_HUMAN",-0.130137881276638,0.423330383026103,16.922864020855,-0.307414460418292,0.762278902795773,0.854373733846791
"sp|O43242|PSMD3_HUMAN",-0.248459463184602,0.114704396933152,15.9434184624273,-2.16608490892813,0.0458086373632755,0.114150973364796
"sp|O43294|TGFI1_HUMAN",0.206458463873327,0.0610046781510069,16.1338766404182,3.3843054357614,0.00374643310595759,0.0140276480046154
"sp|O43303|CP110_HUMAN",0.453471623636258,0.144594290848153,16.8014440538419,3.13616548050624,0.00608615315600504,0.0214641431914071
"sp|O43314|VIP2_HUMAN",-0.0469290620489211,0.209665445462366,15.7743088797339,-0.223828308691642,0.825764018417455,0.893449593697574
"sp|O43390|HNRPR_HUMAN",0.118114199577421,0.120104626381861,13.9909303894201,0.983427559250614,0.342098769124278,0.512482591878782
"sp|O43395|PRPF3_HUMAN",0.132137598552436,0.0368616751376474,16.3254115434122,3.58468783795128,0.00241116537819301,0.00968592677348047
"sp|O43399|TPD54_HUMAN",0.0239315466675315,0.0493112932413439,15.0314492554916,0.485315737926473,0.634449787821766,0.760944449568162
"sp|O43426|SYNJ1_HUMAN",0.0206126524673685,0.0930298933911732,16.1935316216566,0.221570204113813,0.827418413898453,0.894401748294538
"sp|O43432|IF4G3_HUMAN",0.101147591142421,0.119177952691526,15.7505667647641,0.848710595022773,0.408756503915236,0.57048037832416
"sp|O43491|E41L2_HUMAN",-0.11484970850354,0.0636762501454335,14.2465799231348,-1.80365062705841,0.0924685479373325,0.199070219697333
"sp|O43493|TGON2_HUMAN",0.0917125134694098,0.0727071579920373,16.1038584810205,1.26139593407645,0.225133033971527,0.38579919026278
"sp|O43572|AKA10_HUMAN",-0.0200290657076072,0.0390995883881678,16.4119943974624,-0.51225771250493,0.615295099545494,0.745714417602357
"sp|O43583|DENR_HUMAN",-0.00662016401075156,0.0803883528625724,15.2329992800709,-0.0823522783464544,0.935438969734064,0.964240972818246
"sp|O43663|PRC1_HUMAN",-0.0661175379359571,0.0672110053466533,15.5647282783993,-0.983730827934259,0.3402934339728,0.510440150959199
"sp|O43683|BUB1_HUMAN",0.124641388946918,0.137629528097821,14.7381459378201,0.905629705119158,0.37969927152144,0.544476730116718
"sp|O43707|ACTN4_HUMAN",0.065558122258723,0.0625193018125984,16.0127915698633,1.04860611615967,0.309929503820012,0.48049473411022
"sp|O43719|HTSF1_HUMAN",0.119485686050644,0.0381214904347546,15.7274851063676,3.13433931066115,0.00650985313052531,0.022658583353277
"sp|O43741|AAKB2_HUMAN",0.341854017245712,0.136761020557299,13.7197414932189,2.49964511710034,0.0257808224702834,0.0724497565770738
"sp|O43747|AP1G1_HUMAN",-0.500546249646315,0.298210520599189,16.4523166679492,-1.67849963388473,0.112140023192219,0.230876518336922
"sp|O43768|ENSA_HUMAN",0.0651239224386533,0.123037286049049,13.0276117939235,0.529302332080793,0.60549812537997,0.738902097585374
"sp|O43815|STRN_HUMAN",0.666134272307286,0.190607742925297,14.6215036900773,3.49479125078544,0.00337010828087006,0.012867686163322
"sp|O43829|ZBT14_HUMAN",0.52593927582417,0.24768326908014,14.0434324177775,2.12343481163437,0.0519655772332623,0.126092944757181
"sp|O43852|CALU_HUMAN",-0.185264026966087,0.178065527131616,9.7086518410039,-1.04042612823733,0.323358135486,0.494019373659166
"sp|O43933|PEX1_HUMAN",0.171383193724197,0.0850602467881684,13.2987278760083,2.01484477409294,0.064599796226952,0.149975406315838
"sp|O60216|RAD21_HUMAN",-0.011249837845711,0.0497908233231255,15.8126776574755,-0.225941992818704,0.824141040923965,0.892529678637768
"sp|O60245|PCDH7_HUMAN",0.0847570599130852,0.0762406200969736,14.3265246255761,1.11170475535586,0.284573506728242,0.453042591690034
"sp|O60264|SMCA5_HUMAN",0.300251139856387,0.0514774770780231,16.5635685000975,5.83267007047187,2.21659523467455e-05,0.000127371517216373
"sp|O60271|JIP4_HUMAN",0.0301915423968772,0.0579853151706469,15.9591367120578,0.520675662588459,0.609741457256505,0.741048287437253
"sp|O60285|NUAK1_HUMAN",0.0258216273303275,0.0967471409822007,16.1839463098862,0.266898091955794,0.792918653774823,0.875781631667728
"sp|O60292|SI1L3_HUMAN",0.0254901838799147,0.0995166048619817,16.3001389567193,0.256140007140183,0.801047273541128,0.879059003268411
"sp|O60293|ZC3H1_HUMAN",0.121571276445212,0.0561583640548958,15.3972161104541,2.16479376654159,0.0464953268124424,0.115364344722601
"sp|O60303|KATIP_HUMAN",-0.00837659366651002,0.147914594417194,16.2361509096814,-0.0566312857734904,0.955529995351998,0.97710238568531
