"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|A0FGR8|ESYT2_HUMAN",-12221590,31825739,42169125,9735450,24345609,29335527,39452077.5,42751978,18326134,-6531172,1452561,13338410,-40735275,-49337726,-27973230,-31783384,-7200217,-9334120
"sp|A0JNW5|UH1BL_HUMAN",-5844650,-13231491.7679807,-11824039.661167,-15296230,-16680378.9570316,-17153905,-18210166.5,-15843476.6666667,-19012793.3333333,-18737531.6829291,-17725043.3333333,-17579100,-29271577.932354,-30134763.8444384,-32322882.932354,-33394912.932354,-33138905.3444384,-35974532.932354
"sp|A0MZ66|SHOT1_HUMAN",14001489.1245106,28894851.1101827,28762643,25129984.25,24316651.7274037,26453879.4573171,21229278,20279313.8570872,23907765.4321041,22465818.25,23515962,19739822,10865983.2185009,11983182.8475777,10641480.9888289,16090182.2132547,11776350.2988442,4330524.95408952
"sp|A1L390|PKHG3_HUMAN",2717425,13705848,14006128,8761328,9760048,6449853,-1096176.5,-3042522,-2883601.99999998,-4319887,-3409382,-4204572,-23138613.5,-13628498,-13566558,-15019078,-18021918,-27221040.5
"sp|A1X283|SPD2B_HUMAN",-22596305,-29455021,-29600503,-31812310,-34134537,-34122953,-34906269.5,-35714305,-36472432,-35780399,-36381845,-36034533,NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",-7751210,-4662018.5,1584766.50000001,-4264655,-5490074.99999999,-6076880,-11854370.5,-12857165,-11666303.5,-11886620,-11005094.5,-8065322.5,-21580125,-19845297.5,-18509632,-19914370,-13650777,-19283533
"sp|A6ND36|FA83G_HUMAN",-11715775,-16679325,-19941050,-20279740,-22904970,-23225695,-25551514.5,-25857795,-25053915,-24400260,-23546970,-25483005,-35006615,-43287840.4382969,-42049116,-38874565,-38796049.5617031,-38244245
"sp|A6NI28|RHG42_HUMAN",-21351118,-23803815,-21097250,-23864900,-26073690,-26097055,-26392444.5,-28491790,-29053150,-30657805,-28928070,-28231490,-42940794,-43973513,-44135440,-39542280,-45606440,-46015290
"sp|A7E2V4|ZSWM8_HUMAN",-19527012.5,25543985.5,47939448,64673226.5,62096510,70439439,56737900.5,50433668.5756543,55722665,49066313.5756543,50831748.5756543,62865078.5756543,-124420810.424346,-120423321.424346,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",45942420,50338330,47622680,42705930,39147000,40066155,43091755.5,43517380,41239760,41716555,40463600,52826810,26435075,23815500,23205340,30928440,29990270,33339660
