"","sumIntensity_1","sumIntensity_2","sumIntensity_3","sumIntensity_4","sumIntensity_5","sumIntensity_6","sumIntensity_7","sumIntensity_8","sumIntensity_9","sumIntensity_10","sumIntensity_11","sumIntensity_12","sumIntensity_13","sumIntensity_14","sumIntensity_15","sumIntensity_16","sumIntensity_17","sumIntensity_18"
"sp|A0FGR8|ESYT2_HUMAN",15102100,65547999,77158705,47008210,63147059,68863082,79735352,84012058,60813524,35584163,43522261,55218480,10441110,3635884,25111810,22903536,48690453,47973980
"sp|A0JNW5|UH1BL_HUMAN",21479040,20490768.2320193,23165540.338833,21976530,22121071.0429684,22373650,22073108,25416603.3333333,23474596.6666667,23377803.3170709,24344656.6666667,24300970,21904807.067646,22838846.1555616,20762157.067646,21292007.067646,22751764.6555616,21333567.067646
"sp|A0MZ66|SHOT1_HUMAN",41325179.1245106,62617111.1101827,63752223,62402744.25,63118101.7274036,65981434.4573171,61512552.5,61539393.8570872,66395155.4321041,64581153.25,65585662,61619892,62042368.218501,64956792.8475776,63726520.9888289,70777102.2132547,67667020.2988442,61638624.9540895
"sp|A1L390|PKHG3_HUMAN",30041115,47428108,48995708,46034088,48561498,45977408,39187098,38217558,39603788,37795448,38660318,37675498,28037771.5,39345112,39518482,39667842,37868752,30087059.5
"sp|A1X283|SPD2B_HUMAN",4727385,4267239,5389077,5460450,4666913,5404602,5377005,5545775,6014958,6334936,5687855,5845537,NA,NA,NA,NA,NA,NA
"sp|A2A2Y4|FRMD3_HUMAN",19572480,29060241.5,36574346.5,33008105,33311375,33450675,28428904,28402915,30821086.5,30228715,31064605.5,33814747.5,29596260,33128312.5,34575408,34772550,42239893,38024567
"sp|A6ND36|FA83G_HUMAN",15607915,17042935,15048530,16993020,15896480,16301860,14731760,15402285,17433475,17715075,18522730,16397065,16169770,9685769.5617031,11035924,15812355,17094620.4382969,19063855
"sp|A6NI28|RHG42_HUMAN",5972572,9918445,13892330,13407860,12727760,13430500,13890830,12768290,13434240,11457530,13141630,13648580,8235591,9000097,8949600,15144640,10284230,11292810
"sp|A7E2V4|ZSWM8_HUMAN",7796677.49999995,59266245.5,82929028,101945986.5,100897960,109966994,97021175,91693748.5756543,98210055,91181648.5756544,92901448.5756544,104745148.575654,-73244425.4243456,-67449711.4243456,NA,NA,NA,NA
"sp|A7KAX9|RHG32_HUMAN",73266110,84060590,82612260,79978690,77948450,79593710,83375030,84777460,83727150,83831890,82533300,94706880,77611460,76789110,76290380,85615360,85880940,90647760
"sp|O00159|MYO1C_HUMAN",13126860,13806733.75,14466630,15571223.75,15068955,14568363.75,7929725.75,16549710,17910453.75,15518876.25,13432183.75,14168583.75,18936146.25,19334116.25,15658526.25,21187726.25,22579376.25,19790376.25
"sp|O00161|SNP23_HUMAN",88456170,115350080,120499150,116145740,128151630,115855300,119906760,122698180,123664040,125849670,126617950,128976740,107616400,125563500,127579630,128500690,130135440,137138790
"sp|O00178|GTPB1_HUMAN",94656388,20018342,17942869.8813803,18546111.5,20824217.5,133580558.5,21596343.5,19269097,19454310.1186197,21206350.1186197,NA,19846033.5,21862210.1186197,19713650.1186197,21624777,20391016.5,23561620.1186197,29082910.1186197
"sp|O00193|SMAP_HUMAN",1035540491.48605,1499025049.82529,1511614208.96327,1495429861.33305,1571450711.66667,1562478992,1555780823.33333,1651478473.33333,1602504384,1630769633.33333,1654514243.33333,1645938993.33333,1534830704.34552,1607894870.03865,1616870587.1712,1622084447.00482,1485394008.45664,1627108974.08784
"sp|O00203|AP3B1_HUMAN",292341686.81519,345508122.099192,347274327.635547,348957085.046241,349327186.791965,354177155.922427,359124817.25,362644560.25,355150720.291709,355982450,361777651.412322,353043807.5,356460994.571576,358898935.302977,357778553.154159,360785996.644417,360083069.173663,363010194.564884
"sp|O00232|PSD12_HUMAN",7782466,8182936,10684170,11007550,13429470,12743830,NA,15308700,NA,NA,7171749,17889010,NA,10496360,NA,11544520,NA,NA
"sp|O00257|CBX4_HUMAN",19614770,22363400,21554360,20349685,22888620,22709820,22383615,23930945,23208935,22572765,24975775,24386700,22879395,21234610,18868510,21475443.3417009,24728093.3417009,26168643.3417009
"sp|O00264|PGRC1_HUMAN",1623090050.59197,4848277987.33333,4725483904.72636,5308582247.33333,5452357572,5509832576,5555105303.33333,5632540935.54215,5554856696.66667,5633811197.06727,5627157964.99104,5608952845.70859,5036168300,4923936011.0108,4921317642.10785,4926093572.71879,4946627723.33334,5285086830
