"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|A0AVK6|E2F8_HUMAN",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"2","sp|A0AVK6|E2F8_HUMAN",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"3","sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA,NA,"completeMissing",NA,NA
"4","sp|A0FGR8|ESYT2_HUMAN","fold10-fold1",-0.696824430999084,0.181982886787602,-3.82906570666928,12,0.00239963625353901,0.0050504698001988,NA,0.697916666666667,0.53125
"5","sp|A0FGR8|ESYT2_HUMAN","fold4-fold1",-0.435327408826911,0.181982886787602,-2.3921337687922,12,0.0340027904421802,0.0909663571740984,NA,0.645833333333333,0.479166666666667
"6","sp|A0FGR8|ESYT2_HUMAN","fold4-fold10",0.261497022172173,0.181982886787602,1.43693193787707,12,0.176295224318607,0.236344206527417,NA,0.760416666666667,0.59375
"7","sp|A0JLT2|MED19_HUMAN","fold10-fold1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.916666666666667,0
"8","sp|A0JLT2|MED19_HUMAN","fold4-fold1",0.432559772393712,0.251273857587237,1.72146747197343,3,0.183647012890301,0.319868698275965,NA,0.583333333333333,0
"9","sp|A0JLT2|MED19_HUMAN","fold4-fold10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.666666666666667,0
"10","sp|A0JNW5|UH1BL_HUMAN","fold10-fold1",-0.113098858646377,0.305740006319569,-0.369918415348506,11,0.718466607297209,0.75754931850849,NA,0.611111111111111,0.277777777777778
"11","sp|A0JNW5|UH1BL_HUMAN","fold4-fold1",-0.286968710877376,0.216190831748585,-1.32738612713744,11,0.211271358752653,0.353674137287807,NA,0.388888888888889,0.388888888888889
"12","sp|A0JNW5|UH1BL_HUMAN","fold4-fold10",-0.173869852230999,0.305740006319569,-0.568685316403327,11,0.580994292637781,0.642750729772458,NA,0.666666666666667,0.333333333333333
"13","sp|A0MZ66|SHOT1_HUMAN","fold10-fold1",-0.415314394090641,0.150852875942945,-2.75310889165758,15,0.0147933950634103,0.0252697729922211,NA,0.464285714285714,0.464285714285714
"14","sp|A0MZ66|SHOT1_HUMAN","fold4-fold1",-0.00770541938930999,0.150852875942945,-0.051079035392234,15,0.959936540515957,0.979888383132068,NA,0.392857142857143,0.392857142857143
"15","sp|A0MZ66|SHOT1_HUMAN","fold4-fold10",0.407608974701331,0.150852875942945,2.70202985626535,15,0.0163919253298537,0.0328205906419283,NA,0.452380952380952,0.452380952380952
"16","sp|A1A4S6|RHG10_HUMAN","fold10-fold1",-0.425542334006427,0.0913985076248538,-4.65590024459776,14,0.000370909624625604,0.000971387099444239,NA,0.5,0.5
"17","sp|A1A4S6|RHG10_HUMAN","fold4-fold1",-0.0680578453293733,0.0958595635064938,-0.709974496438876,14,0.48937765166812,0.634843702145362,NA,0.541666666666667,0.458333333333333
"18","sp|A1A4S6|RHG10_HUMAN","fold4-fold10",0.357484488677054,0.0958595635064938,3.72925220604449,14,0.00224359385117689,0.00635713231260796,NA,0.541666666666667,0.458333333333333
"19","sp|A1KXE4|F168B_HUMAN","fold10-fold1",-0.655536447622749,0.267285692859096,-2.45256841326081,15,0.0269052600696646,0.0425879348877772,NA,0.583333333333333,0.583333333333333
"20","sp|A1KXE4|F168B_HUMAN","fold4-fold1",-0.225357147065074,0.267285692859096,-0.843132098297066,15,0.412397982596618,0.563492071047965,NA,0.541666666666667,0.541666666666667
"21","sp|A1KXE4|F168B_HUMAN","fold4-fold10",0.430179300557675,0.267285692859096,1.60943631496374,15,0.12836026179347,0.181439750714864,NA,0.625,0.625
"22","sp|A1L390|PKHG3_HUMAN","fold10-fold1",-0.820720948056767,0.150796359844358,-5.44257798334031,15,6.80051504340362e-05,0.00022439619975023,NA,0.472222222222222,0.472222222222222
"23","sp|A1L390|PKHG3_HUMAN","fold4-fold1",-0.882090732736891,0.150796359844358,-5.84954924407542,15,3.19726957933586e-05,0.000261710775191177,NA,0.472222222222222,0.472222222222222
"24","sp|A1L390|PKHG3_HUMAN","fold4-fold10",-0.0613697846801238,0.150796359844358,-0.40697126073511,15,0.68977714670737,0.742760604178851,NA,0.611111111111111,0.611111111111111
"25","sp|A1XBS5|CBAR1_HUMAN","fold10-fold1",-1.03605436950264,0.236142849966872,-4.3874052068398,8,0.00232560988364439,0.0049168884491809,NA,0.25,0
"26","sp|A1XBS5|CBAR1_HUMAN","fold4-fold1",-0.68867811912792,0.294521879637465,-2.33829187826599,8,0.047542290815336,0.117076248639178,NA,0.416666666666667,0
"27","sp|A1XBS5|CBAR1_HUMAN","fold4-fold10",0.347376250374723,0.304859108415884,1.13946488979702,8,0.287475474827683,0.357639753701016,NA,0.5,0
"28","sp|A2A2Y4|FRMD3_HUMAN","fold10-fold1",-0.918032431071507,0.230154484068395,-3.98876621842699,12,0.00179768097748267,0.0039133109106331,NA,0.611111111111111,0.361111111111111
"29","sp|A2A2Y4|FRMD3_HUMAN","fold4-fold1",0.126474215099648,0.187920349327029,0.673020327774884,12,0.513687083320307,0.657813756716089,NA,0.25,0.25
"30","sp|A2A2Y4|FRMD3_HUMAN","fold4-fold10",1.04450664617116,0.230154484068395,4.53828501495004,12,0.000679859565517749,0.00236770032011485,NA,0.472222222222222,0.222222222222222
"31","sp|A2A3K4|PTPC1_HUMAN","fold10-fold1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.791666666666667,0.208333333333333
"32","sp|A2A3K4|PTPC1_HUMAN","fold4-fold1",0.149291136898067,0.23624783370806,0.631925950620786,9,0.543151695410671,0.682757736804978,NA,0.541666666666667,0.458333333333333
"33","sp|A2A3K4|PTPC1_HUMAN","fold4-fold10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0.25
"34","sp|A2RU67|F234B_HUMAN","fold10-fold1",-0.182833928694375,0.196313794272082,-0.931335107511475,13,0.368654139086128,0.425886312712989,NA,0.527777777777778,0.361111111111111
"35","sp|A2RU67|F234B_HUMAN","fold4-fold1",0.867235634903628,0.187956148262592,4.61403174580924,13,0.000485167356253591,0.00274937861712086,NA,0.361111111111111,0.277777777777778
"36","sp|A2RU67|F234B_HUMAN","fold4-fold10",1.050069563598,0.187956148262592,5.58677954035831,13,8.81944151271963e-05,0.000449743454797133,NA,0.388888888888889,0.305555555555556
"37","sp|A3KN83|SBNO1_HUMAN","fold10-fold1",-0.409867054783643,0.235450904290112,-1.74077502916966,14,0.103644564595504,0.13973238467124,NA,0.416666666666667,0.333333333333333
"38","sp|A3KN83|SBNO1_HUMAN","fold4-fold1",-0.0880305220476293,0.235450904290112,-0.373880585904067,14,0.714094449430689,0.814059678549869,NA,0.416666666666667,0.333333333333333
"39","sp|A3KN83|SBNO1_HUMAN","fold4-fold10",0.321836532736014,0.224493628844666,1.43361098661157,14,0.173638492016149,0.233367639359585,NA,0.5,0.5
"40","sp|A4D1P6|WDR91_HUMAN","fold10-fold1",-0.606992141745738,0.481380356080333,-1.2609408216991,3,0.296472997589465,0.350633209059956,NA,0.75,0
"41","sp|A4D1P6|WDR91_HUMAN","fold4-fold1",-0.504979758124856,0.453849752152531,-1.11265844198399,3,0.346989295324489,0.501247696639605,NA,0.666666666666667,0
"42","sp|A4D1P6|WDR91_HUMAN","fold4-fold10",0.102012383620882,0.358799733076226,0.284315661960679,3,0.794663700248813,0.830806169396436,NA,0.583333333333333,0
"43","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN","fold10-fold1",0.773708913187507,0.273104802159843,2.83301101653523,1,0.216023118377275,0.265678888369012,NA,0.833333333333333,0
"44","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN","fold4-fold1",0.862270100658075,0.236515696565947,3.64572040324457,1,0.170429432004217,0.304606575806614,NA,0.75,0
"45","sp|A4QPH2|PI4P2_HUMAN;sp|P42356|PI4KA_HUMAN","fold4-fold10",0.0885611874705677,0.236515696565947,0.374441057216997,1,0.771911518951595,0.814106738640693,NA,0.75,0
"46","sp|A6H8Y1|BDP1_HUMAN","fold10-fold1",-0.52764895377075,0.134697526015293,-3.91728763979558,15,0.00137199806605293,0.00307772539141602,NA,0.277777777777778,0.277777777777778
"47","sp|A6H8Y1|BDP1_HUMAN","fold4-fold1",-0.156742053424451,0.134697526015293,-1.16365948255542,15,0.262738720628895,0.414288629440823,NA,0.222222222222222,0.222222222222222
"48","sp|A6H8Y1|BDP1_HUMAN","fold4-fold10",0.370906900346299,0.134697526015293,2.75362815724016,15,0.0147779469470102,0.0302188433456006,NA,0.277777777777778,0.277777777777778
"49","sp|A6ND36|FA83G_HUMAN","fold10-fold1",-0.32263511424911,0.16502501135012,-1.9550679718761,13,0.0724214233598448,0.101177448172558,NA,0.333333333333333,0.166666666666667
"50","sp|A6ND36|FA83G_HUMAN","fold4-fold1",-0.498742356308195,0.147602857346617,-3.3789478420258,13,0.00493811077979944,0.0191112012088354,NA,0.25,0.25
"51","sp|A6ND36|FA83G_HUMAN","fold4-fold10",-0.176107242059085,0.16502501135012,-1.06715485500226,13,0.305319506504303,0.375061015046146,NA,0.5,0.333333333333333
"52","sp|A6NDB9|PALM3_HUMAN","fold10-fold1",-0.613066584195844,0.296410509251659,-2.06830245575179,9,0.0685522756120789,0.0963320129671595,NA,0.333333333333333,0
"53","sp|A6NDB9|PALM3_HUMAN","fold4-fold1",-0.413784034545383,0.272270438274403,-1.51975380495901,9,0.162892960679697,0.294457104142096,NA,0.25,0
"54","sp|A6NDB9|PALM3_HUMAN","fold4-fold10",0.199282549650461,0.309993530669339,0.642860350085918,9,0.53634682343887,0.602143419355635,NA,0.416666666666667,0
"55","sp|A6NFI3|ZN316_HUMAN","fold10-fold1",0.102686996226082,0.21222342363587,0.483862688042726,14,0.635964296583148,0.681886859238043,NA,0.65,0.566666666666667
"56","sp|A6NFI3|ZN316_HUMAN","fold4-fold1",0.0862690034252346,0.21222342363587,0.406500856254462,14,0.690520540936394,0.797563804652271,NA,0.7,0.616666666666667
"57","sp|A6NFI3|ZN316_HUMAN","fold4-fold10",-0.0164179928008477,0.202347094998421,-0.0811377736901822,14,0.936480919616977,0.948133103090707,NA,0.616666666666667,0.616666666666667
"58","sp|A6NHT5|HMX3_HUMAN","fold10-fold1",0.460661199308901,0.282481437552547,1.63076626662667,10,0.13399263016141,0.175671990211618,NA,0.729166666666667,0.3125
"59","sp|A6NHT5|HMX3_HUMAN","fold4-fold1",-0.0626651949769128,0.282481437552547,-0.221838275533612,10,0.828904501272738,0.895689493628149,NA,0.833333333333333,0.416666666666667
"60","sp|A6NHT5|HMX3_HUMAN","fold4-fold10",-0.523326394285814,0.150992679635001,-3.46590573497248,10,0.00606250946715936,0.0143620081870744,NA,0.604166666666667,0.604166666666667
"61","sp|A6NI28|RHG42_HUMAN","fold10-fold1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"62","sp|A6NI28|RHG42_HUMAN","fold4-fold1",-0.26337009858615,0.253416021307893,-1.03927958945485,4,0.357366650029537,0.511550701417486,NA,0.5,0
"63","sp|A6NI28|RHG42_HUMAN","fold4-fold10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.75,0
"64","sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN","fold10-fold1",-0.374478578835697,0.246631106565057,-1.51837529357602,6,0.179720128441932,0.22778154102057,NA,0.416666666666667,0
"65","sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN","fold4-fold1",-0.171779630027242,0.246631106565057,-0.696504315370816,6,0.512179031629438,0.656844446078931,NA,0.416666666666667,0
"66","sp|A6NMS7|L37A1_HUMAN;sp|A6NM11|L37A2_HUMAN","fold4-fold10",0.202698948808456,0.294780554518355,0.687626594432754,6,0.517372873459038,0.584347213445136,NA,0.666666666666667,0
"67","sp|A7E2V4|ZSWM8_HUMAN",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
"68","sp|A7E2V4|ZSWM8_HUMAN",NA,-Inf,NA,NA,NA,NA,0,"oneConditionMissing",NA,NA
