,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
4,sp|A0FGR8|ESYT2_HUMAN,fold10-fold1,-0.698194875,0.181525673,-3.846259675,12,0.002325892,0.004726409,NA,0.697916667,0.53125
7,sp|A0JNW5|UH1BL_HUMAN,fold10-fold1,-0.118195005,0.303573513,-0.38934558,11,0.70445242,0.741959567,NA,0.611111111,0.277777778
10,sp|A0MZ66|SHOT1_HUMAN,fold10-fold1,-0.41601567,0.150405504,-2.765960413,15,0.014415627,0.024110995,NA,0.464285714,0.464285714
13,sp|A1L390|PKHG3_HUMAN,fold10-fold1,-0.826413482,0.151090357,-5.469663971,15,6.46E-05,0.00020773,NA,0.472222222,0.472222222
16,sp|A2A2Y4|FRMD3_HUMAN,fold10-fold1,-0.920099608,0.227566946,-4.043204096,12,0.001630089,0.003480935,NA,0.611111111,0.361111111
19,sp|A2RU67|F234B_HUMAN,fold10-fold1,-0.179508656,0.196145573,-0.91518077,13,0.376760252,0.431262656,NA,0.527777778,0.361111111
22,sp|A3KN83|SBNO1_HUMAN,fold10-fold1,-0.281433046,0.160587432,-1.752522233,14,0.101545584,0.136328954,NA,0.416666667,0.333333333
25,sp|A6H8Y1|BDP1_HUMAN,fold10-fold1,-0.525087442,0.13401184,-3.918216786,15,0.001369402,0.002963756,NA,0.277777778,0.277777778
28,sp|A6ND36|FA83G_HUMAN,fold10-fold1,-0.322659084,0.165869744,-1.945255813,13,0.073695621,0.102300849,NA,0.333333333,0.166666667
31,sp|A6NFI3|ZN316_HUMAN,fold10-fold1,0.102017362,0.210879924,0.48376991,14,0.63602851,0.678763138,NA,0.65,0.566666667
34,sp|A6NHT5|HMX3_HUMAN,fold10-fold1,0.465349214,0.284297907,1.636836579,10,0.132706835,0.172916211,NA,0.729166667,0.3125
37,sp|A7KAX9|RHG32_HUMAN,fold10-fold1,-0.300630897,0.108604785,-2.768118328,8,0.024367369,0.038197019,NA,0.583333333,0.416666667
40,sp|B2RTY4|MYO9A_HUMAN,fold10-fold1,-0.385535586,0.214363392,-1.798514111,8,0.109802073,0.145955596,NA,0.166666667,0
43,sp|O00148|DX39A_HUMAN,fold10-fold1,-0.395347574,0.143840772,-2.748508428,15,0.014930944,0.024801324,NA,0.583333333,0.583333333
46,sp|O00159|MYO1C_HUMAN,fold10-fold1,-0.576602165,0.133817054,-4.308884022,14,0.000721046,0.00168891,NA,0.416666667,0.333333333
