"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.708685228493041,0.190920607581299,-3.71193679650984,15,0.00208742991854738,0.00301624047863497,NA,0.395833333333333,0.395833333333333
"2","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.242401813962272,0.190920607581299,-1.26964719541368,15,0.223555066476128,0.311408285582536,NA,0.3125,0.3125
"3","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.466283414530769,0.190920607581299,2.44228960109617,15,0.0274539181513553,0.0384779764288127,NA,0.416666666666667,0.416666666666667
"4","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.659590401591178,0.0452343877278308,-14.5816144469523,15,2.892242001451e-10,1.87460129723676e-09,NA,0.145833333333333,0.145833333333333
"5","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.280771548013013,0.0452343877278308,-6.20703765689009,15,1.67859075477228e-05,0.000100210605961593,NA,0.135416666666667,0.135416666666667
"6","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.378818853578165,0.0452343877278308,8.37457679006218,15,4.87930234660539e-07,3.01259955491166e-06,NA,0.135416666666667,0.135416666666667
"7","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-1.77695270008944,0.208084578162061,-8.53956941828485,14,6.3546282103033e-07,1.65157416356893e-06,NA,0.444444444444444,0.361111111111111
"8","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.595535984865067,0.208084578162061,-2.86199001447021,14,0.0125495320246618,0.0293068483164161,NA,0.416666666666667,0.333333333333333
"9","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",1.18141671522437,0.198400860676476,5.9546955149094,14,3.51893527117397e-05,0.00010334890976601,NA,0.472222222222222,0.472222222222222
"10","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.142745967575806,0.303241394016948,0.470733779728727,9,0.649030687816622,0.684677383329658,NA,0.75,0.25
"11","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.377303499499029,0.299000046757102,1.26188441637783,9,0.238710880173653,0.32763429361777,NA,0.611111111111111,0.194444444444444
"12","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.234557531923223,0.167622987476423,1.39931602135545,9,0.195226890766285,0.228268623607279,NA,0.416666666666667,0.333333333333333
"13","sp|A7KAX9|RHG32_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.68995042799451,0.117510356177361,-5.87140104445904,15,3.07224378299775e-05,5.75360756031089e-05,NA,0.375,0.375
"14","sp|A7KAX9|RHG32_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.18191674879497,0.117510356177361,-1.54809120415225,15,0.142436952022253,0.217072821316064,NA,0.333333333333333,0.333333333333333
"15","sp|A7KAX9|RHG32_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.508033679199539,0.117510356177361,4.32330984030679,15,0.000602877205256647,0.00119840224947358,NA,0.458333333333333,0.458333333333333
"16","sp|O00193|SMAP_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.186232058596762,0.329877393626454,0.56454932103546,15,0.580725193166564,0.617584185845604,NA,0.322916666666667,0.322916666666667
"17","sp|O00193|SMAP_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.441194721906207,0.329877393626454,1.33745061174397,15,0.201003253486974,0.286015382201895,NA,0.354166666666667,0.354166666666667
"18","sp|O00193|SMAP_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.254962663309445,0.329877393626454,0.772901290708507,15,0.451588920791729,0.484907734446981,NA,0.322916666666667,0.322916666666667
"19","sp|O00203|AP3B1_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.555281698949413,0.0421657585468336,-13.1690195572471,15,1.20134657777271e-09,6.34939885903362e-09,NA,0.145833333333333,0.145833333333333
"20","sp|O00203|AP3B1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.0706147861833374,0.0421657585468336,-1.67469502783652,15,0.114710606123904,0.182892010567028,NA,0.0208333333333334,0.0208333333333333
"21","sp|O00203|AP3B1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.484666912766076,0.0421657585468336,11.4943245294106,15,7.76804509605711e-09,1.26317230690744e-07,NA,0.125,0.125
