"","Protein","Label","log2FC","SE","Tvalue","DF","pvalue","adj.pvalue","issue","MissingPercentage","ImputationPercentage"
"1","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.666666666666667,0
"2","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.484946711632121,0.36732014619425,-1.32022900637654,4,0.257237379673439,0.36090020431796,NA,0.5,0
"3","sp|A0AVK6|E2F8_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.833333333333333,0
"4","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.802586409704358,0.28244890948226,-2.8415277339025,15,0.0123767664840089,0.0169567153150959,NA,0.583333333333333,0.583333333333333
"5","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.145296228549831,0.28244890948226,-0.514415965762323,15,0.614456733376257,0.711673614285722,NA,0.453703703703704,0.453703703703704
"6","sp|A0FGR8|ESYT2_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.657290181154527,0.28244890948226,2.32711176814018,15,0.0343721095270633,0.0489811830477352,NA,0.574074074074074,0.574074074074074
"7","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.737697511012962,0.150854763074199,-4.89011746119095,15,0.000196089532687793,0.000354042639569833,NA,0.541666666666667,0.541666666666667
"8","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.00255712841072375,0.150854763074199,0.016950929215712,15,0.98669917804511,0.991386585066702,NA,0.361111111111111,0.361111111111111
"9","sp|A0JNW5|UH1BL_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.740254639423686,0.150854763074199,4.90706839040666,15,0.000189714641267713,0.000496755284667292,NA,0.513888888888889,0.513888888888889
"10","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.669265586241057,0.045652458110045,-14.6600120551624,15,2.68201016950798e-10,2.23171949890831e-09,NA,0.145833333333333,0.145833333333333
"11","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.284722245248245,0.045652458110045,-6.23673416581259,15,1.59236485672842e-05,0.000109821250173281,NA,0.125,0.125
"12","sp|A0MZ66|SHOT1_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.384543340992812,0.045652458110045,8.42327788934984,15,4.53759626317662e-07,3.45484995023419e-06,NA,0.125,0.125
"13","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-1.67287935753816,0.226229692621704,-7.39460562471573,15,2.23815507904845e-06,5.82482200488761e-06,NA,0.444444444444444,0.444444444444444
"14","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.649661398859709,0.226229692621704,-2.87168934957649,15,0.0116439212282642,0.0286207160634782,NA,0.416666666666667,0.416666666666667
"15","sp|A1L390|PKHG3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",1.02321795867845,0.226229692621704,4.52291627513925,15,0.000404409754440893,0.000959111823368797,NA,0.527777777777778,0.527777777777778
"16","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"17","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.0815625767173553,0.0800555327665607,-1.0188249818434,10,0.332301549673019,0.44109902357224,NA,0,0
"18","sp|A1X283|SPD2B_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",Inf,NA,NA,NA,NA,0,"oneConditionMissing",0.5,0
"19","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.439917891542689,0.106082297539463,-4.14694913049972,15,0.000860415775397083,0.00140374717979537,NA,0.166666666666667,0.166666666666667
"20","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.210304972862933,0.106082297539463,-1.98247000433506,15,0.0660517239841023,0.11957894789514,NA,0.166666666666667,0.166666666666667
"21","sp|A2A2Y4|FRMD3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.229612918679756,0.106082297539463,2.16447912616466,15,0.0469667574309129,0.0651029239939517,NA,0.111111111111111,0.111111111111111
"22","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",-0.883579623449175,0.123976082115499,-7.12701682753621,15,3.46610233981082e-06,8.67571692298724e-06,NA,0.0833333333333334,0.0833333333333333
"23","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",-0.271393065710505,0.123976082115499,-2.18907599820478,15,0.0448196293267,0.0879754209057731,NA,0,0
"24","sp|A6ND36|FA83G_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=10",0.61218655773867,0.123976082115499,4.93794082933142,15,0.000178647390975506,0.0004734066268378,NA,0.0833333333333334,0.0833333333333333
"25","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=10-SP=Yeast;CT=Mixture;QY=1",0.445994738338455,0.395188824097472,1.12856111089936,10,0.285430050768493,0.319312035212235,NA,0.722222222222222,0.305555555555556
"26","sp|A6NHT5|HMX3_HUMAN","SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1",0.620428747706154,0.395188824097473,1.56995519578035,10,0.147498338888777,0.231939767100195,NA,0.638888888888889,0.222222222222222
